stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A026040,제이에스티나,20190129,9220,9440,8920,8920,1141707,144023,3319,9116,8046,6365,6696
A026040,제이에스티나,20190128,9120,9300,8910,9080,592648,183156,7228,9192,7860,6306,6682
A026040,제이에스티나,20190125,8940,9300,8930,9150,787899,219787,7652,9000,7656,6241,6663
A026040,제이에스티나,20190124,9500,9550,8900,9000,1101363,198458,-89,8800,7445,6173,6644
A026040,제이에스티나,20190123,9150,9440,9050,9430,1183080,280449,28393,8648,7253,6105,6626
A026040,제이에스티나,20190122,8130,10050,8060,9300,6788616,278632,-7013,8392,7043,6040,6604
A026040,제이에스티나,20190121,8270,8370,8040,8120,332637,328589,3018,8166,6839,5981,6579
A026040,제이에스티나,20190118,8240,8440,8010,8150,489242,291385,-6471,8116,6695,5941,6566
A026040,제이에스티나,20190117,8240,8250,7870,8240,423456,290787,-5382,8058,6551,5905,6550
A026040,제이에스티나,20190116,8370,8760,8120,8150,1148695,232159,-6672,7926,6402,5871,6536
A026040,제이에스티나,20190115,7870,8170,7780,8170,425101,379032,0,7850,6271,5843,6524
A026040,제이에스티나,20190114,8200,8240,7820,7870,494189,297640,0,7714,6144,5814,6512
A026040,제이에스티나,20190111,7940,7970,7540,7860,539853,336879,0,7646,6028,5790,6503
A026040,제이에스티나,20190110,7800,7880,7490,7580,360015,322877,-919,7462,5918,5762,6496
A026040,제이에스티나,20190109,7490,7980,7360,7770,726286,317911,0,7286,5831,5738,6492
A026040,제이에스티나,20190108,7550,8040,7230,7490,1152310,315662,-60871,6828,5748,5713,6484
A026040,제이에스티나,20190107,7060,8370,6860,7530,2173822,309283,2799,6366,5663,5691,6478
A026040,제이에스티나,20190104,6540,7190,6100,6940,1259127,326881,63273,5860,5583,5682,6470
A026040,제이에스티나,20190103,5540,6890,5520,6700,2963052,332739,390,5459,5530,5696,6465
A026040,제이에스티나,20190102,5920,5960,5450,5480,288172,414329,0,5151,5481,5717,6467
A026040,제이에스티나,20181228,5070,5180,5010,5180,51285,445394,0,5101,5487,5756,6477
A026040,제이에스티나,20181227,5010,5120,4915,5000,45799,430464,0,5111,5509,5798,6492
A026040,제이에스티나,20181226,5010,5070,4900,4935,79709,428847,0,5159,5536,5843,6508
A026040,제이에스티나,20181224,5320,5320,5150,5160,20721,442674,0,5224,5570,5889,6524
A026040,제이에스티나,20181221,5180,5240,5180,5230,27051,451055,0,5246,5590,5933,6541
A026040,제이에스티나,20181220,5240,5330,5120,5230,45296,455979,0,5304,5608,5978,6556
A026040,제이에스티나,20181219,5260,5290,5160,5240,30610,469371,0,5386,5626,6015,6573
A026040,제이에스티나,20181218,5210,5330,5150,5260,50910,470043,0,5448,5646,6053,6592
A026040,제이에스티나,20181217,5430,5470,5200,5270,66579,522496,0,5526,5662,6096,6614
A026040,제이에스티나,20181214,5610,5710,5480,5520,44292,533116,0,5640,5680,6140,6637
A026040,제이에스티나,20181213,5530,5640,5530,5640,43975,540075,0,5760,5680,6180,6660
A026040,제이에스티나,20181212,5600,5720,5500,5550,59514,539589,0,5788,5670,6218,6687
A026040,제이에스티나,20181211,5880,5910,5620,5650,81109,541474,0,5864,5659,6259,6713
A026040,제이에스티나,20181210,5900,6000,5730,5840,108587,558313,0,5912,5642,6299,6740
A026040,제이에스티나,20181207,5850,6200,5820,6120,163842,588240,0,5886,5620,6340,6767
A026040,제이에스티나,20181206,5920,5960,5660,5780,74878,582417,0,5784,5590,6373,6790
A026040,제이에스티나,20181205,5870,6050,5790,5930,125462,602210,-1846,5752,5586,6401,6820
A026040,제이에스티나,20181204,5780,5890,5630,5890,137452,612514,0,5672,5562,6423,6851
A026040,제이에스티나,20181203,5700,5780,5620,5710,113268,594673,-3486,5616,5552,6445,6882
A026040,제이에스티나,20181130,5650,5650,5550,5610,41737,597795,0,5588,5554,6470,6911
A026040,제이에스티나,20181129,5610,5880,5530,5620,197343,600578,-5661,5582,5562,6495,6942
A026040,제이에스티나,20181128,5560,5630,5480,5530,39025,584164,0,5576,5548,6520,6970
A026040,제이에스티나,20181127,5620,5620,5530,5610,29543,608498,0,5598,5532,6544,7001
A026040,제이에스티나,20181126,5610,5660,5550,5570,63619,602902,0,5594,5506,6568,7033
A026040,제이에스티나,20181123,5620,5720,5500,5580,37581,611323,0,5608,5473,6594,7064
A026040,제이에스티나,20181122,5620,5760,5490,5590,33070,618757,0,5592,5471,6628,7096
A026040,제이에스티나,20181121,5600,5640,5510,5640,32921,627370,0,5564,5479,6662,7131
A026040,제이에스티나,20181120,5590,5660,5510,5590,29752,635031,0,5502,5482,6695,7150
A026040,제이에스티나,20181119,5540,5740,5540,5640,37286,635467,0,5444,5502,6724,7179
A026040,제이에스티나,20181116,5450,5560,5420,5500,39205,637786,-9007,5398,5530,6752,7209
A026040,제이에스티나,20181115,5220,5460,5220,5450,54592,635553,0,5404,5578,6785,7242
A026040,제이에스티나,20181114,5390,5420,5310,5330,24544,633479,0,5452,5629,6813,7274
A026040,제이에스티나,20181113,5210,5350,5140,5300,72056,637229,0,5476,5681,6839,7306
A026040,제이에스티나,20181112,5490,5600,5410,5410,35524,643766,0,5552,5727,6863,7338
A026040,제이에스티나,20181109,5610,5680,5480,5530,45047,648933,0,5620,5763,6890,7376
A026040,제이에스티나,20181108,5590,5740,5540,5690,36266,653671,0,5668,5800,6914,7409
A026040,제이에스티나,20181107,5750,5830,5230,5450,112211,647873,0,5602,5825,6935,7438
A026040,제이에스티나,20181106,5750,5890,5630,5680,40626,644182,0,5554,5902,6959,7469
A026040,제이에스티나,20181105,5810,5890,5530,5750,65470,656359,0,5432,6007,6981,7496
A026040,제이에스티나,20181102,5390,5990,5390,5770,120001,660932,0,5265,6117,7004,7522
A026040,제이에스티나,20181101,5290,5540,5290,5360,59541,661069,0,5221,6220,7027,7554
A026040,제이에스티나,20181031,5080,5310,5050,5210,63301,657752,0,5299,6337,7059,7584
A026040,제이에스티나,20181030,4705,5170,4705,5070,234096,648305,0,5397,6461,7085,7623
A026040,제이에스티나,20181029,5400,5580,4900,4915,217987,581942,0,5581,6593,7115,7666
A026040,제이에스티나,20181026,5820,5890,5520,5550,94159,563148,0,5838,6736,7148,7704
A026040,제이에스티나,20181025,5720,5960,5600,5750,131254,579227,0,6020,6856,7167,7737
A026040,제이에스티나,20181024,6060,6230,5700,5700,99139,567428,0,6164,6941,7177,7770
A026040,제이에스티나,20181023,6100,6390,5970,5990,184530,577333,0,6298,7031,7191,7804
A026040,제이에스티나,20181022,6330,6430,6190,6200,68091,556827,-6292,6344,7124,7195,7842
A026040,제이에스티나,20181019,6470,6490,6230,6460,48613,567169,0,6328,7210,7202,7879
A026040,제이에스티나,20181018,6380,6560,6380,6470,53537,576184,0,6290,7281,7206,7918
A026040,제이에스티나,20181017,6320,6460,6320,6370,48055,571150,0,6234,7354,7208,7956
A026040,제이에스티나,20181016,6150,6330,6150,6220,43784,573779,0,6360,7437,7217,7984
A026040,제이에스티나,20181015,6250,6450,6010,6120,80089,559594,0,6672,7528,7231,8015
A026040,제이에스티나,20181012,6070,6340,6070,6270,177903,548689,-6589,7038,7638,7246,8042
A026040,제이에스티나,20181011,6520,6730,6190,6190,342948,536122,-7554,7350,7730,7255,8066
A026040,제이에스티나,20181010,7730,7760,6850,7000,297226,529711,0,7650,7793,7264,8089
A026040,제이에스티나,20181008,7900,7950,7770,7780,79358,558890,0,7788,7804,7259,8106
A026040,제이에스티나,20181005,7780,8000,7660,7950,162904,566561,0,7776,7777,7234,8115
A026040,제이에스티나,20181004,8060,8180,7770,7830,405296,563284,0,7742,7739,7217,8123
A026040,제이에스티나,20181002,7690,7820,7640,7690,41274,580191,0,7764,7702,7198,8134
A026040,제이에스티나,20181001,7760,7960,7650,7690,60893,579883,0,7716,7674,7186,8147
A026040,제이에스티나,20180928,7890,7890,7580,7720,78908,578435,0,7678,7638,7173,8160
A026040,제이에스티나,20180927,8100,8130,7720,7780,104149,592365,-1933,7702,7604,7158,8174
A026040,제이에스티나,20180921,7410,8130,7410,7940,269752,617413,0,7730,7572,7148,8188
A026040,제이에스티나,20180920,7710,7730,7340,7450,78710,608185,0,7720,7558,7133,8201
A026040,제이에스티나,20180919,7850,7900,7500,7500,165355,619391,0,7814,7564,7130,8222
A026040,제이에스티나,20180918,7850,8000,7820,7840,123100,629087,20000,7922,7572,7132,8238
A026040,제이에스티나,20180917,8100,8100,7800,7920,88318,626869,0,7964,7547,7133,8252
A026040,제이에스티나,20180914,7910,7970,7800,7890,87551,636840,0,8042,7518,7133,8265
A026040,제이에스티나,20180913,7930,8150,7840,7920,90968,626275,0,8086,7496,7141,8280
A026040,제이에스티나,20180912,8070,8130,7680,8040,132314,623558,0,7992,7458,7156,8294
