stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A026910,광진실업,20190129,3640,3675,3590,3645,25578,124297,0,3676,3661,3518,3630
A026910,광진실업,20190128,3660,3685,3635,3655,7239,123482,0,3684,3658,3512,3631
A026910,광진실업,20190125,3690,3715,3650,3660,16386,122247,0,3677,3648,3507,3632
A026910,광진실업,20190124,3710,3750,3665,3690,35525,119961,0,3679,3637,3503,3633
A026910,광진실업,20190123,3685,3735,3635,3730,38317,123132,0,3677,3633,3500,3635
A026910,광진실업,20190122,3620,3695,3610,3685,22476,121023,0,3669,3628,3498,3635
A026910,광진실업,20190121,3630,3670,3620,3620,35001,118261,0,3672,3626,3496,3636
A026910,광진실업,20190118,3680,3735,3600,3670,34617,116343,0,3689,3628,3493,3638
A026910,광진실업,20190117,3685,3725,3650,3680,15482,114278,0,3695,3629,3490,3639
A026910,광진실업,20190116,3700,3740,3670,3690,10840,113218,0,3694,3631,3485,3640
A026910,광진실업,20190115,3660,3725,3660,3700,22244,107801,0,3691,3634,3483,3642
A026910,광진실업,20190114,3665,3725,3665,3705,28236,106343,0,3683,3626,3481,3644
A026910,광진실업,20190111,3675,3700,3645,3700,32216,101665,0,3681,3618,3478,3646
A026910,광진실업,20190110,3655,3685,3640,3675,23898,96096,-16,3661,3608,3476,3648
A026910,광진실업,20190109,3660,3700,3610,3675,16930,97911,0,3634,3598,3473,3650
A026910,광진실업,20190108,3695,3695,3630,3660,16987,97975,-16,3609,3583,3470,3654
A026910,광진실업,20190107,3605,3710,3600,3695,69500,98584,0,3595,3568,3468,3658
A026910,광진실업,20190104,3530,3615,3530,3600,20036,94277,0,3545,3550,3467,3661
A026910,광진실업,20190103,3510,3635,3510,3540,25175,93400,0,3512,3539,3468,3663
A026910,광진실업,20190102,3580,3685,3550,3550,33044,92893,0,3526,3529,3472,3664
A026910,광진실업,20181228,3485,3590,3445,3590,36858,87024,0,3541,3516,3475,3664
A026910,광진실업,20181227,3435,3535,3430,3445,38002,77021,0,3552,3506,3479,3665
A026910,광진실업,20181226,3570,3570,3430,3435,45621,71860,509,3595,3508,3485,3666
A026910,광진실업,20181224,3625,3650,3585,3610,24831,76111,0,3647,3503,3492,3668
A026910,광진실업,20181221,3640,3715,3590,3625,54550,77435,43,3670,3489,3496,3668
A026910,광진실업,20181220,3610,3700,3555,3645,34762,72405,47,3694,3476,3501,3669
A026910,광진실업,20181219,3700,3740,3585,3660,43101,69584,603,3674,3461,3505,3670
A026910,광진실업,20181218,3730,3760,3640,3695,40421,67288,0,3650,3446,3508,3670
A026910,광진실업,20181217,3640,3770,3600,3725,90838,67427,-185,3614,3429,3512,3672
A026910,광진실업,20181214,3520,3745,3455,3745,210357,78172,8358,3564,3415,3515,3673
A026910,광진실업,20181213,3525,3595,3525,3545,66645,84509,16,3487,3395,3518,3674
A026910,광진실업,20181212,3515,3595,3475,3540,70403,76967,0,3452,3385,3526,3678
A026910,광진실업,20181211,3475,3550,3445,3515,90302,66937,16,3411,3376,3532,3681
A026910,광진실업,20181210,3315,3615,3310,3475,350982,66916,0,3383,3370,3538,3685
A026910,광진실업,20181207,3370,3445,3330,3360,66266,70745,0,3356,3367,3545,3690
A026910,광진실업,20181206,3335,3695,3300,3370,625904,65797,-4394,3344,3370,3555,3695
