stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A026940,부국철강,20190129,3500,3510,3370,3405,428949,810396,-1101,3445,3241,3064,2935
A026940,부국철강,20190128,3445,3615,3410,3565,1395685,852735,-3482,3436,3219,3048,2929
A026940,부국철강,20190125,3510,3985,3380,3385,5645458,777987,2370,3373,3195,3029,2921
A026940,부국철강,20190124,3455,3455,3355,3415,475071,932955,-3,3356,3178,3010,2916
A026940,부국철강,20190123,3295,3455,3290,3455,660259,1006024,15,3322,3158,2990,2910
A026940,부국철강,20190122,3290,3500,3225,3360,677025,1048793,-180,3290,3141,2976,2903
A026940,부국철강,20190121,3310,3355,3225,3250,201347,1030302,-2269,3261,3126,2969,2896
A026940,부국철강,20190118,3255,3315,3230,3300,202822,1046467,-67,3244,3116,2965,2891
A026940,부국철강,20190117,3340,3395,3245,3245,396955,976009,-76,3218,3110,2959,2884
A026940,부국철강,20190116,3220,3330,3200,3295,443622,1051546,-1838,3185,3114,2948,2878
A026940,부국철강,20190115,3200,3265,3180,3215,251460,947078,-11086,3172,3120,2936,2872
A026940,부국철강,20190114,3250,3250,3090,3165,213318,916400,-27,3166,3126,2926,2867
A026940,부국철강,20190111,3080,3205,3050,3170,217083,889066,77,3175,3134,2917,2863
A026940,부국철강,20190110,3320,3320,3080,3080,405173,816394,-5222,3146,3137,2906,2860
A026940,부국철강,20190109,3270,3385,3175,3230,472580,872795,11996,3116,3145,2896,2857
A026940,부국철강,20190108,3230,3315,3145,3185,514528,932795,4432,3056,3153,2884,2852
A026940,부국철강,20190107,3025,3410,2970,3210,3016530,918697,98,3014,3169,2872,2848
A026940,부국철강,20190104,2880,3035,2880,3025,172358,901351,-195,2987,3175,2861,2843
A026940,부국철강,20190103,2960,2975,2880,2930,146194,905392,79,2990,3183,2857,2840
A026940,부국철강,20190102,3000,3025,2900,2930,333112,874523,-10,3011,3193,2854,2838
A026940,부국철강,20181228,3075,3155,2970,2975,216195,806389,-772,3047,3194,2853,2837
A026940,부국철강,20181227,3080,3120,3015,3075,146948,790795,-39,3062,3192,2851,2835
A026940,부국철강,20181226,3000,3140,2990,3040,148646,767514,-2076,3058,3180,2848,2833
A026940,부국철강,20181224,3110,3140,3020,3035,144545,787113,-148,3084,3170,2845,2831
A026940,부국철강,20181221,3060,3165,3040,3110,150991,766334,-1458,3146,3159,2843,2830
A026940,부국철강,20181220,3085,3185,3040,3050,147087,739963,34,3204,3141,2840,2829
A026940,부국철강,20181219,3170,3205,3055,3055,232744,710614,526,3264,3129,2837,2830
A026940,부국철강,20181218,3290,3320,3025,3170,574746,711514,52,3317,3122,2834,2833
A026940,부국철강,20181217,3400,3470,3275,3345,459197,733416,2802,3327,3108,2831,2835
A026940,부국철강,20181214,3350,3420,3225,3400,587618,757700,-1217,3306,3084,2826,2838
A026940,부국철강,20181213,3370,3660,3325,3350,1166237,686777,-103,3306,3050,2820,2844
A026940,부국철강,20181212,3290,3400,3200,3320,1066533,733806,385,3336,3018,2815,2849
A026940,부국철강,20181211,3200,3340,3160,3220,272276,788297,-448,3339,2988,2812,2846
A026940,부국철강,20181210,3400,3520,3150,3240,790598,727813,-90459,3331,2964,2810,2846
A026940,부국철강,20181207,3500,3565,3305,3400,784561,750472,-16634,3308,2936,2810,2844
A026940,부국철강,20181206,3385,3720,3335,3500,3637092,736358,-68069,3220,2900,2805,2840
A026940,부국철강,20181205,3120,3365,3105,3335,1519556,800384,-13312,3107,2860,2800,2837
A026940,부국철강,20181204,3140,3395,3105,3180,3385467,815759,-1696,3006,2822,2794,2836
A026940,부국철강,20181203,2960,3255,2940,3125,912521,926163,-6916,2938,2797,2792,2836
A026940,부국철강,20181130,2935,3030,2920,2960,259019,902465,-1995,2876,2774,2792,2836
A026940,부국철강,20181129,2860,2945,2830,2935,243539,909062,-3466,2834,2758,2794,2838
A026940,부국철강,20181128,2815,2860,2800,2830,87890,898158,-284,2808,2733,2795,2839
A026940,부국철강,20181127,2790,2890,2770,2840,121097,906760,13,2825,2711,2793,2841
A026940,부국철강,20181126,2750,2865,2750,2815,103199,897723,-252,2835,2684,2791,2843
A026940,부국철강,20181123,2800,2860,2740,2750,156448,882712,-13,2844,2652,2791,2844
A026940,부국철강,20181122,2910,2920,2780,2805,234251,874350,-52,2838,2645,2793,2846
A026940,부국철강,20181121,2830,2955,2800,2915,287865,911741,-431,2821,2653,2794,2849
A026940,부국철강,20181120,2860,3060,2830,2890,707587,891742,-106,2782,2656,2793,2848
A026940,부국철강,20181119,2745,2860,2695,2860,259049,883803,724,2752,2660,2792,2849
A026940,부국철강,20181116,2730,2750,2700,2720,81294,871129,352,2716,2646,2792,2851
A026940,부국철강,20181115,2720,2735,2675,2720,48011,858613,38,2706,2639,2796,2854
A026940,부국철강,20181114,2795,2795,2685,2720,131093,857358,-763,2702,2633,2798,2858
A026940,부국철강,20181113,2640,2765,2610,2740,153270,880591,3,2676,2628,2798,2861
A026940,부국철강,20181112,2650,2780,2630,2680,142130,884506,-717,2663,2618,2797,2864
A026940,부국철강,20181109,2675,2720,2620,2670,94507,880316,101,2659,2608,2798,2870
A026940,부국철강,20181108,2650,2715,2610,2700,109130,890938,47,2654,2599,2798,2874
A026940,부국철강,20181107,2770,2770,2560,2590,258012,861144,-33,2600,2587,2798,2877
A026940,부국철강,20181106,2660,2690,2605,2675,151368,875245,-607,2561,2584,2800,2883
A026940,부국철강,20181105,2620,2725,2580,2660,225286,884196,-4661,2485,2591,2801,2886
A026940,부국철강,20181102,2450,2770,2450,2645,921892,895848,-78,2389,2597,2803,2891
A026940,부국철강,20181101,2395,2520,2395,2430,111771,901340,-9,2382,2607,2805,2894
A026940,부국철강,20181031,2280,2395,2235,2395,120245,893413,74,2488,2628,2810,2899
A026940,부국철강,20181030,2200,2330,2065,2295,458294,897973,25556,2607,2653,2814,2905
A026940,부국철강,20181029,2615,2625,2175,2180,608131,876645,469,2742,2682,2821,2911
A026940,부국철강,20181026,2960,2985,2610,2610,744927,853457,114,2822,2718,2829,2918
A026940,부국철강,20181025,2870,3035,2840,2960,799933,871637,-330,2814,2734,2830,2921
A026940,부국철강,20181024,2905,3140,2865,2990,2905502,892977,36,2742,2728,2824,2920
A026940,부국철강,20181023,2600,3075,2565,2970,4106122,927220,-120,2670,2724,2817,2920
A026940,부국철강,20181022,2550,2605,2465,2580,83715,1062957,20,2582,2724,2808,2920
A026940,부국철강,20181019,2570,2600,2555,2570,31181,1063289,108,2561,2747,2808,2923
A026940,부국철강,20181018,2655,2660,2595,2600,25095,1059223,-1031,2547,2772,2807,2925
A026940,부국철강,20181017,2540,2675,2540,2630,105046,1065830,-36,2518,2794,2808,2927
A026940,부국철강,20181016,2470,2560,2470,2530,31275,1075030,33,2500,2818,2810,2928
A026940,부국철강,20181015,2485,2620,2475,2475,71079,1071939,-340,2555,2849,2813,2930
A026940,부국철강,20181012,2380,2540,2380,2500,137455,1081064,69,2615,2885,2818,2932
A026940,부국철강,20181011,2430,2535,2430,2455,171509,1057085,-116,2684,2917,2820,2933
A026940,부국철강,20181010,2750,2800,2500,2540,205646,1039337,-825,2764,2953,2825,2936
A026940,부국철강,20181008,2770,2820,2765,2805,38700,1040522,31,2835,2976,2826,2937
A026940,부국철강,20181005,2840,2870,2725,2775,103085,1027608,4,2847,2988,2822,2936
A026940,부국철강,20181004,2865,2915,2840,2845,39078,1017977,-701,2874,3006,2822,2936
A026940,부국철강,20181002,2895,2920,2840,2855,66874,1019605,30,2890,3018,2820,2935
A026940,부국철강,20181001,2920,2920,2850,2895,60223,1010033,1776,2890,3024,2819,2934
A026940,부국철강,20180928,2910,2950,2845,2865,105965,997669,-779,2889,3016,2818,2933
A026940,부국철강,20180927,2925,2945,2870,2910,106534,997322,1396,2910,3009,2816,2932
A026940,부국철강,20180921,2855,2945,2855,2925,62463,993438,3,2937,3002,2818,2931
A026940,부국철강,20180920,2925,2960,2830,2855,157381,969851,-80,2969,3001,2819,2930
A026940,부국철강,20180919,2975,3035,2890,2890,161100,948664,-349,3005,3001,2824,2930
A026940,부국철강,20180918,3080,3080,2915,2970,157404,937311,-136,3048,2998,2832,2929
A026940,부국철강,20180917,3125,3125,3025,3045,141870,900691,131,3083,2993,2839,2928
A026940,부국철강,20180914,3085,3090,3015,3085,147288,910840,-284,3115,2984,2851,2925
A026940,부국철강,20180913,3100,3115,3030,3035,208381,893822,-2778,3126,2975,2867,2922
A026940,부국철강,20180912,3220,3260,3075,3105,839775,866956,-8522,3153,2966,2882,2920
A026940,부국철강,20180911,3240,3250,3130,3145,536692,871694,-4131,3131,2948,2881,2918
A026940,부국철강,20180910,3145,3220,3100,3205,591740,921963,-4629,3114,2925,2883,2915
A026940,부국철강,20180907,3165,3230,3105,3140,905117,896060,-72,3099,2902,2879,2911
A026940,부국철강,20180906,3020,3170,2910,3170,1265915,905557,-1517,3087,2879,2875,2908
A026940,부국철강,20180905,3050,3110,2980,2995,561459,959064,-474,3047,2856,2875,2904
A026940,부국철강,20180904,3115,3115,3010,3060,516203,924852,2604,2995,2841,2878,2903
A026940,부국철강,20180903,3085,3175,3005,3130,1394030,941675,23268,2929,2824,2879,2899
A026940,부국철강,20180831,3210,3210,2970,3080,2583736,936883,-86,2859,2806,2880,2895
A026940,부국철강,20180830,2720,3370,2720,2970,7919179,996068,-7197,2821,2790,2881,2891
A026940,부국철강,20180829,2720,2745,2705,2735,42334,1046793,-103,2800,2778,2883,2888
A026940,부국철강,20180828,2765,2815,2715,2730,152441,1035771,-152,2820,2774,2890,2888
A026940,부국철강,20180827,2840,2870,2775,2780,250478,1024102,-25,2847,2772,2894,2887
A026940,부국철강,20180824,2865,2890,2815,2890,282936,1060553,-893,2864,2767,2898,2885
A026940,부국철강,20180823,2840,2960,2830,2865,422515,1044721,94,2866,2756,2900,2883
A026940,부국철강,20180822,2850,2880,2810,2835,104984,1067029,-75,2863,2742,2903,2881
A026940,부국철강,20180821,2875,2920,2820,2865,112248,1042382,-451,2846,2729,2904,2880
A026940,부국철강,20180820,2960,2960,2850,2865,157421,1042975,-101,2809,2708,2906,2878
A026940,부국철강,20180817,2850,2925,2825,2900,212355,1059773,-2546,2785,2692,2909,2876
A026940,부국철강,20180816,2800,2955,2760,2850,778219,1037660,-3,2742,2675,2913,2874
A026940,부국철강,20180814,2680,2830,2680,2750,267050,1023358,-294,2712,2664,2918,2873
A026940,부국철강,20180813,2820,3095,2675,2680,1930773,987392,-14576,2702,2663,2924,2873
