stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A027830,대성창투,20190129,1790,1805,1755,1765,224110,525824,0,1778,1758,1703,1844
A027830,대성창투,20190128,1795,1825,1785,1790,152539,534026,0,1775,1754,1698,1847
A027830,대성창투,20190125,1790,1830,1775,1795,329118,532602,0,1778,1747,1691,1851
A027830,대성창투,20190124,1760,1870,1735,1800,945781,540044,0,1776,1740,1684,1854
A027830,대성창투,20190123,1750,1770,1740,1740,133373,582503,32,1772,1735,1676,1858
A027830,대성창투,20190122,1800,1805,1750,1750,287278,566541,-1,1779,1738,1674,1862
A027830,대성창투,20190121,1790,1810,1775,1805,238754,578182,-32,1787,1742,1670,1866
A027830,대성창투,20190118,1795,1825,1775,1785,295217,506388,0,1784,1748,1666,1868
A027830,대성창투,20190117,1780,1865,1780,1780,733648,489587,0,1777,1755,1664,1871
A027830,대성창투,20190116,1810,1810,1760,1775,186152,576756,0,1775,1766,1663,1874
A027830,대성창투,20190115,1810,1810,1770,1790,193404,541087,0,1767,1766,1662,1877
A027830,대성창투,20190114,1770,1800,1730,1790,307570,532558,0,1751,1766,1662,1881
A027830,대성창투,20190111,1775,1795,1750,1750,297294,489078,-32,1739,1764,1661,1885
A027830,대성창투,20190110,1750,1810,1735,1770,605641,489925,0,1730,1760,1661,1889
A027830,대성창투,20190109,1715,1750,1710,1735,310986,505776,-33,1720,1754,1659,1892
A027830,대성창투,20190108,1730,1750,1700,1710,259412,432099,-35,1709,1750,1658,1895
A027830,대성창투,20190107,1725,1740,1700,1730,282008,434517,-34,1704,1748,1658,1898
A027830,대성창투,20190104,1720,1730,1690,1705,165340,413042,0,1688,1748,1659,1902
A027830,대성창투,20190103,1700,1735,1685,1720,243199,430391,0,1675,1748,1664,1905
A027830,대성창투,20190102,1760,1760,1665,1680,239716,446818,0,1674,1744,1668,1908
A027830,대성창투,20181228,1645,1695,1645,1685,178144,491267,0,1699,1742,1674,1911
A027830,대성창투,20181227,1660,1715,1620,1650,381861,492206,0,1727,1740,1680,1914
A027830,대성창투,20181226,1680,1750,1625,1640,403983,457371,-2,1782,1740,1687,1917
A027830,대성창투,20181224,1780,1805,1715,1715,488703,429896,-2,1837,1739,1694,1920
A027830,대성창투,20181221,1885,1995,1805,1805,2032374,339421,-35,1893,1735,1700,1923
A027830,대성창투,20181220,1890,1970,1825,1825,850176,482839,0,1889,1724,1704,1924
A027830,대성창투,20181219,1925,1985,1845,1925,967555,492617,-33,1884,1713,1708,1927
A027830,대성창투,20181218,1995,2110,1915,1915,4040587,440694,0,1849,1700,1709,1929
A027830,대성창투,20181217,1805,2000,1805,1995,4951271,648722,-33,1800,1692,1711,1931
A027830,대성창투,20181214,1790,1840,1750,1785,612734,789438,0,1727,1680,1713,1933
A027830,대성창투,20181213,1740,1860,1725,1800,1592822,842437,-33,1705,1677,1719,1935
A027830,대성창투,20181212,1665,1750,1660,1750,948477,968601,-4,1677,1668,1724,1938
A027830,대성창투,20181211,1630,1915,1615,1670,4494082,836674,-1,1674,1658,1730,1941
A027830,대성창투,20181210,1660,1685,1625,1630,136857,972027,-4,1680,1652,1738,1945
