stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A028260,삼성물산,20190129,117000,119500,116500,119500,235761,26302864,61643,118000,111875,107593,114451
A028260,삼성물산,20190128,117000,119500,116500,118000,262312,26302723,37010,117400,111175,107385,114480
A028260,삼성물산,20190125,116500,117500,115000,117500,371441,26295128,-37095,116800,110500,107227,114526
A028260,삼성물산,20190124,117000,118500,116000,117500,257380,26285410,-28972,116600,109800,107077,114580
A028260,삼성물산,20190123,116500,119000,115500,117500,449789,26251896,169430,115400,109275,106877,114626
A028260,삼성물산,20190122,114500,118000,114500,116500,441775,26403317,115093,114100,108775,106693,114651
A028260,삼성물산,20190121,117500,117500,115000,115000,255690,26490670,36915,112900,108325,106577,114672
A028260,삼성물산,20190118,112500,117000,112000,116500,461442,26555619,190320,111800,108000,106543,114726
A028260,삼성물산,20190117,111000,112500,110500,111500,222043,26564507,60442,110300,107650,106477,114768
A028260,삼성물산,20190116,110000,112000,110000,111000,221358,26576573,16497,109700,107500,106560,114847
A028260,삼성물산,20190115,109500,111000,109000,110500,281229,26566376,66488,109300,107350,106660,114926
A028260,삼성물산,20190114,110000,110500,108000,109500,232956,26616195,49846,108600,107325,106760,115001
A028260,삼성물산,20190111,107500,109500,107500,109000,185721,26648641,9966,108300,107250,106877,115084
A028260,삼성물산,20190110,109500,110000,107500,108500,354376,26630384,-160838,107900,107200,106993,115155
A028260,삼성물산,20190109,107000,110500,107000,109000,381972,26632348,-54318,107100,107000,107110,115218
A028260,삼성물산,20190108,108500,108500,106500,107000,150285,26613342,14635,106100,106825,107243,115313
A028260,삼성물산,20190107,108500,109500,107500,108000,180052,26656600,27879,105800,106650,107377,115397
A028260,삼성물산,20190104,104000,108000,104000,107000,267026,26657532,91388,105100,106500,107627,115480
A028260,삼성물산,20190103,104000,106000,104000,104500,260189,26672643,41656,104400,106450,107910,115580
A028260,삼성물산,20190102,105500,106500,103000,104000,246954,26590784,9118,104900,106500,108252,115676
A028260,삼성물산,20181228,104500,106500,104500,105500,185250,26570337,-740,105600,106425,108593,115755
A028260,삼성물산,20181227,104000,105000,103000,104500,272249,26561164,-47882,106000,106375,108935,115822
A028260,삼성물산,20181226,105500,106500,102500,103500,454206,26570631,1691,106800,106400,109327,115888
A028260,삼성물산,20181224,107000,108000,106500,107000,174585,26741604,40954,108000,106425,109760,115984
A028260,삼성물산,20181221,108000,108500,106500,107500,305214,26797189,54241,108300,106150,110160,116063
A028260,삼성물산,20181220,108000,108500,106500,107500,278775,26810770,4983,108400,105735,110552,116138
A028260,삼성물산,20181219,109500,110000,108000,108500,263340,26710443,11605,108900,105180,110902,116226
A028260,삼성물산,20181218,108000,110000,106500,109500,252538,26758602,68818,108800,104880,111152,116297
A028260,삼성물산,20181217,108500,109000,107000,108500,232402,26790199,45302,108500,104605,111427,116359
A028260,삼성물산,20181214,107000,108000,106000,108000,578677,26824130,153848,107700,104380,111710,116438
A028260,삼성물산,20181213,108500,111500,108000,110000,1420586,26810797,278648,107200,104155,112002,116501
A028260,삼성물산,20181212,108000,109500,107000,108000,450952,26938896,24410,105900,103805,112235,116568
A028260,삼성물산,20181211,109000,110000,105500,108000,823100,26940107,124022,105300,103680,112518,116638
A028260,삼성물산,20181210,104500,105500,103500,104500,205998,27013552,51126,104900,103580,112818,116734
A028260,삼성물산,20181207,104000,106000,104000,105500,239441,27063562,49607,105100,103455,113168,116880
A028260,삼성물산,20181206,106000,106000,103000,103500,267379,27057199,13984,104500,103430,113493,117022
A028260,삼성물산,20181205,104000,106000,104000,105000,224322,27096372,45547,104700,103580,113877,117213
A028260,삼성물산,20181204,106000,108000,105000,106000,378503,27178298,19543,104700,103755,114210,117384
A028260,삼성물산,20181203,104000,107000,103500,105500,358465,27156231,47158,104300,103930,114527,117534
A028260,삼성물산,20181130,105000,105500,102500,102500,468627,27108420,-98836,103500,104055,114827,117684
A028260,삼성물산,20181129,106000,106500,104500,104500,372051,27142842,95902,102840,104480,115168,117859
A028260,삼성물산,20181128,104500,107000,104000,105000,444589,27230535,188350,101220,104605,115435,118022
A028260,삼성물산,20181127,102000,104000,101500,104000,428842,27355452,50106,100720,104780,115710,118188
A028260,삼성물산,20181126,99300,102000,99300,101500,340102,27372161,93919,100720,105005,116010,118368
A028260,삼성물산,20181123,96900,100500,96900,99200,447778,27406757,4155,101220,105205,116352,118563
A028260,삼성물산,20181122,102500,102500,95800,96400,1017852,27318852,-356490,102080,105570,116757,118808
A028260,삼성물산,20181121,103000,103000,100500,102500,345850,27307396,-73973,103400,106225,117208,119092
A028260,삼성물산,20181120,103500,104500,103000,104000,229365,27324138,45760,104000,106750,117558,119317
A028260,삼성물산,20181119,103500,105500,103000,104000,308271,27348517,36830,104400,107175,117858,119525
A028260,삼성물산,20181116,103000,105500,102000,103500,505266,27426822,9760,104000,107800,118158,119742
A028260,삼성물산,20181115,99900,103000,99400,103000,935318,27412426,-26688,104300,108475,118467,119962
A028260,삼성물산,20181114,105500,107000,105000,105500,317828,27503129,36262,105000,109150,118775,120183
A028260,삼성물산,20181113,101000,106500,100500,106000,504236,27555690,20318,105600,109700,119075,120379
A028260,삼성물산,20181112,105000,105000,101000,102000,801697,27663430,-279477,106300,110200,119375,120583
A028260,삼성물산,20181109,106500,107500,104500,105000,413487,27450383,-168520,107500,110875,119767,120804
