stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A031860,엔에스엔,20190129,2200,2500,2200,2475,958649,592645,0,2221,1847,1639,1828
A031860,엔에스엔,20190128,2195,2290,2195,2200,217890,560161,0,2142,1802,1624,1824
A031860,엔에스엔,20190125,2155,2250,2100,2195,239109,553920,0,2122,1767,1612,1823
A031860,엔에스엔,20190124,2110,2160,2055,2145,100404,547357,0,2088,1724,1600,1821
A031860,엔에스엔,20190123,2045,2090,2020,2090,278834,539761,0,2041,1685,1588,1820
A031860,엔에스엔,20190122,2100,2225,2020,2080,405127,524553,0,1979,1649,1579,1819
A031860,엔에스엔,20190121,2025,2180,1985,2100,309822,530920,0,1887,1612,1571,1817
A031860,엔에스엔,20190118,1910,2260,1910,2025,1205194,533668,0,1787,1575,1564,1816
A031860,엔에스엔,20190117,1775,1925,1755,1910,423024,525635,32,1704,1542,1559,1816
A031860,엔에스엔,20190116,1620,1805,1620,1780,510206,561285,34,1640,1518,1557,1818
A031860,엔에스엔,20190115,1600,1625,1580,1620,68609,526425,35,1600,1498,1557,1820
A031860,엔에스엔,20190114,1585,1625,1580,1600,37410,502292,35,1596,1488,1561,1824
A031860,엔에스엔,20190111,1615,1615,1585,1610,43047,498369,-4,1597,1478,1564,1829
A031860,엔에스엔,20190110,1560,1620,1550,1590,57054,492929,0,1594,1467,1567,1834
A031860,엔에스엔,20190109,1595,1595,1550,1580,67684,477440,-36,1595,1460,1569,1839
A031860,엔에스엔,20190108,1590,1620,1565,1600,39047,464623,-36,1589,1458,1573,1844
A031860,엔에스엔,20190107,1645,1645,1550,1605,76910,464167,0,1582,1454,1575,1849
A031860,엔에스엔,20190104,1600,1635,1570,1595,58637,465540,0,1561,1453,1579,1854
A031860,엔에스엔,20190103,1545,1595,1510,1595,57581,472447,37,1508,1454,1585,1858
A031860,엔에스엔,20190102,1580,1590,1530,1550,64111,474050,0,1463,1454,1591,1862
A031860,엔에스엔,20181228,1530,1620,1505,1565,201759,480655,0,1427,1456,1598,1866
A031860,엔에스엔,20181227,1350,1600,1350,1500,649198,462750,0,1381,1457,1606,1871
A031860,엔에스엔,20181226,1315,1335,1310,1330,58401,446353,0,1354,1462,1616,1876
A031860,엔에스엔,20181224,1370,1380,1360,1370,39297,447569,-35,1363,1473,1630,1883
A031860,엔에스엔,20181221,1315,1400,1315,1370,69562,447774,-36,1372,1484,1645,1891
A031860,엔에스엔,20181220,1355,1360,1335,1335,42750,443293,-35,1374,1495,1660,1898
A031860,엔에스엔,20181219,1375,1375,1340,1365,47060,434188,-35,1393,1509,1674,1906
A031860,엔에스엔,20181218,1415,1415,1355,1375,45205,429715,-35,1400,1521,1688,1913
A031860,엔에스엔,20181217,1380,1425,1310,1415,79951,432547,0,1403,1534,1700,1921
A031860,엔에스엔,20181214,1455,1455,1350,1380,43559,415296,40,1411,1546,1711,1928
A031860,엔에스엔,20181213,1440,1440,1405,1430,32532,419005,0,1441,1557,1724,1936
A031860,엔에스엔,20181212,1415,1420,1380,1400,55301,408259,0,1461,1565,1737,1944
A031860,엔에스엔,20181211,1460,1470,1385,1390,55291,381934,0,1496,1574,1750,1951
A031860,엔에스엔,20181210,1530,1530,1445,1455,78542,381771,0,1540,1586,1764,1959
A031860,엔에스엔,20181207,1510,1555,1500,1530,60899,383958,0,1570,1593,1777,1968
A031860,엔에스엔,20181206,1570,1590,1515,1530,72173,375175,0,1581,1597,1790,1977
A031860,엔에스엔,20181205,1600,1610,1575,1575,68614,387408,0,1592,1602,1803,1986
A031860,엔에스엔,20181204,1610,1620,1600,1610,44238,390550,0,1596,1604,1816,1995
A031860,엔에스엔,20181203,1605,1700,1570,1605,195351,384098,0,1586,1606,1826,2004
A031860,엔에스엔,20181130,1605,1605,1575,1585,45705,376968,0,1582,1611,1838,2012
A031860,엔에스엔,20181129,1610,1635,1565,1585,36986,378947,0,1583,1614,1851,2021
A031860,엔에스엔,20181128,1605,1750,1570,1595,94435,379300,0,1590,1613,1864,2030
A031860,엔에스엔,20181127,1625,1625,1560,1560,44173,379349,35,1593,1608,1880,2039
A031860,엔에스엔,20181126,1585,1600,1560,1585,23347,380457,36,1607,1603,1895,2048
A031860,엔에스엔,20181123,1610,1640,1555,1590,56883,376133,35,1619,1597,1908,2057
A031860,엔에스엔,20181122,1610,1665,1610,1620,37191,381246,35,1624,1593,1921,2067
A031860,엔에스엔,20181121,1590,1680,1590,1610,53742,385628,35,1617,1592,1930,2076
A031860,엔에스엔,20181120,1645,1650,1620,1630,29874,378159,0,1612,1595,1936,2085
A031860,엔에스엔,20181119,1600,1645,1595,1645,64067,369512,0,1610,1600,1942,2094
A031860,엔에스엔,20181116,1605,1630,1585,1615,47260,359426,0,1601,1608,1948,2103
A031860,엔에스엔,20181115,1585,1610,1575,1585,34560,352835,36,1601,1618,1954,2112
A031860,엔에스엔,20181114,1620,1625,1580,1585,27195,350482,36,1607,1631,1961,2121
A031860,엔에스엔,20181113,1570,1620,1565,1620,50728,350429,1,1615,1641,1968,2130
A031860,엔에스엔,20181112,1615,1630,1580,1600,35905,341089,0,1622,1648,1975,2140
A031860,엔에스엔,20181109,1615,1625,1565,1615,35349,340185,0,1643,1653,1982,2149
A031860,엔에스엔,20181108,1625,1660,1550,1615,74001,339653,0,1650,1663,1989,2159
A031860,엔에스엔,20181107,1695,1695,1570,1625,63857,327146,0,1638,1670,1995,2169
A031860,엔에스엔,20181106,1780,1780,1635,1655,57082,340590,0,1614,1680,2001,2179
A031860,엔에스엔,20181105,1650,1740,1635,1705,122377,354335,0,1574,1695,2006,2189
A031860,엔에스엔,20181102,1580,1775,1570,1650,193269,379449,0,1524,1708,2011,2198
A031860,엔에스엔,20181101,1500,1575,1485,1555,74582,381770,0,1498,1725,2017,2207
A031860,엔에스엔,20181031,1460,1505,1410,1505,74526,378196,0,1507,1750,2025,2218
A031860,엔에스엔,20181030,1160,1550,1160,1455,222328,370288,0,1539,1779,2034,2230
A031860,엔에스엔,20181029,1570,1570,1455,1455,81362,313882,0,1596,1815,2042,2243
A031860,엔에스엔,20181026,1605,1610,1475,1520,152810,316518,0,1662,1855,2051,2256
A031860,엔에스엔,20181025,1650,1655,1565,1600,159533,309315,0,1721,1891,2058,2269
A031860,엔에스엔,20181024,1710,1755,1660,1665,69520,315891,0,1773,1920,2063,2281
A031860,엔에스엔,20181023,1785,1790,1700,1740,122837,309897,0,1796,1949,2069,2292
A031860,엔에스엔,20181022,1815,1845,1775,1785,74440,312411,0,1798,1966,2073,2303
A031860,엔에스엔,20181019,1865,1875,1790,1815,94286,308840,0,1783,1981,2078,2314
A031860,엔에스엔,20181018,1790,1960,1775,1860,260215,314091,0,1784,1998,2083,2324
A031860,엔에스엔,20181017,1750,1810,1750,1780,47198,312169,0,1763,2014,2087,2335
A031860,엔에스엔,20181016,1700,1780,1665,1750,110134,312152,0,1771,2034,2093,2348
A031860,엔에스엔,20181015,1820,1820,1705,1710,122046,276090,0,1811,2059,2101,2359
A031860,엔에스엔,20181012,1710,1820,1710,1820,89709,294328,0,1864,2084,2110,2370
A031860,엔에스엔,20181011,1700,1755,1630,1755,316454,292198,0,1898,2109,2116,2380
