stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A032280,삼일,20190129,2120,2155,2090,2130,233041,646438,0,2127,2079,2063,2192
A032280,삼일,20190128,2115,2145,2110,2115,208452,670901,0,2129,2072,2059,2195
A032280,삼일,20190125,2130,2145,2105,2130,254114,620005,0,2135,2067,2056,2197
A032280,삼일,20190124,2130,2160,2120,2130,40834,594853,0,2139,2061,2051,2200
A032280,삼일,20190123,2140,2145,2115,2130,36649,597707,0,2139,2055,2045,2203
A032280,삼일,20190122,2130,2165,2115,2140,37106,588125,-28,2135,2051,2042,2206
A032280,삼일,20190121,2200,2200,2095,2145,61440,586666,-28,2128,2046,2039,2208
A032280,삼일,20190118,2130,2155,2100,2150,87427,581213,0,2120,2041,2037,2210
A032280,삼일,20190117,2115,2135,2080,2130,114655,570176,0,2102,2036,2037,2211
A032280,삼일,20190116,2120,2160,2090,2110,101671,568684,0,2088,2033,2039,2213
A032280,삼일,20190115,2110,2140,2065,2105,102849,583912,0,2081,2032,2041,2215
A032280,삼일,20190114,2065,2105,2060,2105,103511,579771,-27,2057,2031,2042,2218
A032280,삼일,20190111,2060,2085,2045,2060,62333,570429,-27,2033,2027,2045,2222
A032280,삼일,20190110,2080,2090,2030,2060,120432,568691,0,2011,2030,2047,2228
A032280,삼일,20190109,1995,2285,1985,2075,1029937,565560,0,1991,2034,2049,2233
A032280,삼일,20190108,1995,2015,1960,1985,120514,598639,0,1973,2038,2051,2238
A032280,삼일,20190107,1950,2030,1950,1985,30655,595725,0,1972,2052,2054,2244
A032280,삼일,20190104,1935,1960,1925,1950,28933,594391,304,1979,2066,2058,2249
A032280,삼일,20190103,1970,2000,1920,1960,62351,592225,29,1993,2075,2065,2254
A032280,삼일,20190102,1980,2010,1965,1985,44895,594681,0,2003,2084,2072,2259
A032280,삼일,20181228,2020,2030,1970,1980,48253,592170,0,2014,2087,2079,2265
A032280,삼일,20181227,2005,2040,1990,2020,50479,584284,0,2026,2090,2087,2272
A032280,삼일,20181226,2030,2070,2000,2020,72213,580080,1189,2032,2091,2094,2279
A032280,삼일,20181224,2055,2055,2005,2010,88391,585068,28,2038,2092,2101,2287
A032280,삼일,20181221,2040,2070,2005,2040,66804,596162,142,2050,2093,2108,2295
A032280,삼일,20181220,2050,2060,2015,2040,50672,591883,139,2060,2092,2115,2301
A032280,삼일,20181219,2050,2070,2010,2050,37423,592135,3254,2068,2092,2121,2308
A032280,삼일,20181218,2025,2060,1990,2050,124912,591719,564,2065,2092,2127,2315
A032280,삼일,20181217,2110,2110,2025,2070,35829,636592,341,2080,2093,2133,2321
A032280,삼일,20181214,2085,2095,2025,2090,60706,638716,15568,2091,2092,2140,2327
A032280,삼일,20181213,2040,2080,2040,2080,58328,636930,0,2107,2089,2146,2332
A032280,삼일,20181212,2125,2140,2035,2035,120684,622586,0,2142,2084,2152,2338
A032280,삼일,20181211,2115,2140,2075,2125,57437,612497,0,2187,2081,2159,2344
A032280,삼일,20181210,2170,2170,2095,2125,65186,616925,0,2189,2074,2165,2345
A032280,삼일,20181207,2255,2255,2165,2170,98507,613608,0,2190,2067,2170,2348
A032280,삼일,20181206,2260,2280,2110,2255,231687,625940,0,2167,2060,2174,2350
A032280,삼일,20181205,2115,2260,2080,2260,201000,654998,0,2125,2050,2176,2352
A032280,삼일,20181204,2130,2150,2045,2135,93907,650388,0,2081,2038,2177,2354
A032280,삼일,20181203,2055,2135,2020,2130,169255,648218,0,2061,2033,2181,2358
