stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A032580,피델릭스,20190129,1935,1960,1900,1930,142841,5813529,0,1942,1850,1764,1896
A032580,피델릭스,20190128,1930,1960,1920,1940,104070,5812021,4887,1932,1841,1759,1898
A032580,피델릭스,20190125,1950,1970,1935,1935,118450,5805908,0,1914,1830,1754,1900
A032580,피델릭스,20190124,1960,1965,1940,1945,122654,5796392,0,1898,1820,1748,1902
A032580,피델릭스,20190123,1875,1975,1870,1960,713461,5785217,1584,1871,1807,1744,1904
A032580,피델릭스,20190122,1870,1895,1845,1880,137411,5786488,3000,1857,1794,1737,1905
A032580,피델릭스,20190121,1855,1880,1840,1850,126580,5769520,766,1853,1784,1733,1907
A032580,피델릭스,20190118,1830,1855,1815,1855,72698,5749372,6898,1846,1777,1730,1910
A032580,피델릭스,20190117,1885,1890,1810,1810,166042,5720188,30,1847,1766,1728,1913
A032580,피델릭스,20190116,1880,1895,1845,1890,193004,5718404,30,1860,1756,1728,1918
A032580,피델릭스,20190115,1810,1860,1810,1860,87403,5706562,0,1839,1744,1726,1922
A032580,피델릭스,20190114,1845,1860,1810,1815,96568,5693340,31,1824,1735,1724,1927
A032580,피델릭스,20190111,1885,1900,1830,1860,156764,5691431,-2985,1822,1726,1723,1934
A032580,피델릭스,20190110,1760,1890,1760,1875,225309,5690338,0,1806,1714,1722,1940
A032580,피델릭스,20190109,1785,1805,1740,1785,89746,5660471,742,1776,1700,1719,1947
A032580,피델릭스,20190108,1805,1830,1765,1785,114532,5644627,7513,1764,1695,1718,1954
A032580,피델릭스,20190107,1790,1820,1770,1805,126495,5642647,7996,1755,1690,1715,1960
A032580,피델릭스,20190104,1710,1800,1710,1780,124642,5623950,5607,1738,1686,1715,1967
A032580,피델릭스,20190103,1725,1750,1725,1725,59243,5616258,-4700,1728,1684,1717,1974
A032580,피델릭스,20190102,1755,1775,1690,1725,115096,5610139,0,1720,1685,1720,1982
A032580,피델릭스,20181228,1750,1750,1705,1740,110490,5591143,-33,1714,1683,1724,1989
A032580,피델릭스,20181227,1745,1775,1710,1720,150387,5607350,1982,1706,1680,1727,1997
A032580,피델릭스,20181226,1675,1770,1635,1730,317169,5611517,2478,1701,1680,1732,2001
A032580,피델릭스,20181224,1670,1740,1670,1685,65026,5618927,-33,1682,1679,1737,2004
A032580,피델릭스,20181221,1690,1740,1665,1695,96923,5615711,3024,1667,1679,1744,2009
A032580,피델릭스,20181220,1685,1710,1650,1700,82299,5616343,-32,1657,1678,1752,2015
A032580,피델릭스,20181219,1670,1700,1625,1695,121774,5611231,-32,1654,1683,1760,2021
A032580,피델릭스,20181218,1610,1650,1590,1635,71256,5591522,1629,1643,1685,1769,2028
A032580,피델릭스,20181217,1645,1645,1585,1610,70499,5578837,1270,1638,1689,1778,2034
A032580,피델릭스,20181214,1665,1685,1640,1645,90701,5566252,14092,1636,1698,1786,2040
A032580,피델릭스,20181213,1625,1685,1625,1685,60080,5562815,0,1645,1705,1795,2046
A032580,피델릭스,20181212,1620,1640,1595,1640,72502,5544685,0,1645,1711,1803,2053
A032580,피델릭스,20181211,1600,1610,1575,1610,76835,5519929,0,1663,1719,1810,2059
