stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A033050,제이엠아이,20190129,1065,1080,1055,1075,107827,562072,0,1073,1060,1106,1250
A033050,제이엠아이,20190128,1080,1115,1060,1075,344837,557339,0,1074,1059,1106,1251
A033050,제이엠아이,20190125,1065,1075,1050,1070,169885,569731,0,1072,1058,1106,1252
A033050,제이엠아이,20190124,1080,1100,1060,1065,68364,560456,0,1065,1054,1107,1253
A033050,제이엠아이,20190123,1070,1090,1060,1080,100659,558798,53,1059,1052,1106,1254
A033050,제이엠아이,20190122,1075,1100,1060,1080,213096,551663,52,1052,1048,1108,1254
A033050,제이엠아이,20190121,1040,1070,1040,1065,138302,567630,54,1044,1045,1111,1254
A033050,제이엠아이,20190118,1035,1050,1025,1035,196385,546096,54,1036,1043,1114,1254
A033050,제이엠아이,20190117,1050,1075,1005,1035,476708,515004,-1,1037,1042,1118,1254
A033050,제이엠아이,20190116,1045,1060,1035,1045,112522,490223,-1,1041,1048,1122,1255
A033050,제이엠아이,20190115,1025,1065,1020,1040,140566,479278,54,1048,1052,1126,1255
A033050,제이엠아이,20190114,1040,1050,1025,1025,85587,450194,55,1052,1057,1131,1255
A033050,제이엠아이,20190111,1065,1080,1035,1040,78981,433988,54,1060,1062,1137,1256
A033050,제이엠아이,20190110,1085,1095,1050,1055,45569,428907,0,1064,1070,1143,1256
A033050,제이엠아이,20190109,1075,1105,1055,1080,75125,428770,53,1067,1080,1148,1256
A033050,제이엠아이,20190108,1065,1075,1050,1060,18897,421356,53,1067,1080,1154,1256
A033050,제이엠아이,20190107,1080,1080,1050,1065,41571,420132,0,1067,1082,1159,1256
A033050,제이엠아이,20190104,1040,1070,1010,1060,141265,414246,965,1062,1084,1164,1256
A033050,제이엠아이,20190103,1085,1085,1030,1070,162529,431045,3791,1052,1086,1171,1255
A033050,제이엠아이,20190102,1075,1080,1045,1080,130489,459733,0,1040,1086,1178,1255
A033050,제이엠아이,20181228,1035,1070,1030,1060,161120,480684,0,1026,1084,1184,1254
A033050,제이엠아이,20181227,1005,1040,994,1040,186493,475996,0,1018,1084,1191,1254
A033050,제이엠아이,20181226,1000,1015,985,1010,146295,495242,0,1014,1087,1199,1254
A033050,제이엠아이,20181224,1005,1015,1005,1010,67330,526229,0,1016,1094,1208,1254
A033050,제이엠아이,20181221,1015,1025,1005,1010,112627,540049,-50,1042,1101,1216,1254
A033050,제이엠아이,20181220,1020,1030,1005,1020,180107,550714,5,1068,1107,1224,1254
A033050,제이엠아이,20181219,1040,1040,1010,1020,169047,571527,6,1091,1112,1232,1255
A033050,제이엠아이,20181218,1140,1140,999,1020,624805,598825,-49,1111,1118,1240,1256
A033050,제이엠아이,20181217,1125,1145,1125,1140,83474,566176,-49,1149,1125,1248,1256
A033050,제이엠아이,20181214,1145,1170,1115,1140,416598,573921,18926,1169,1127,1256,1255
A033050,제이엠아이,20181213,1120,1160,1120,1135,207173,559844,0,1161,1130,1263,1255
A033050,제이엠아이,20181212,1210,1220,1120,1120,378076,532390,0,1150,1132,1272,1254
A033050,제이엠아이,20181211,1200,1215,1150,1210,682956,543512,0,1151,1135,1280,1254
A033050,제이엠아이,20181210,1105,1250,1065,1240,1450138,518504,53,1128,1134,1285,1253
A033050,제이엠아이,20181207,1085,1130,1080,1100,208993,628754,0,1091,1132,1289,1252
A033050,제이엠아이,20181206,1140,1140,1065,1080,321559,622906,0,1079,1141,1295,1252
A033050,제이엠아이,20181205,1095,1200,1090,1125,914582,660749,0,1079,1150,1301,1253
A033050,제이엠아이,20181204,1055,1140,1040,1095,361459,687835,0,1073,1154,1306,1254
A033050,제이엠아이,20181203,1040,1080,1040,1055,117862,658463,938,1083,1160,1313,1255
A033050,제이엠아이,20181130,1080,1100,1040,1040,167405,669920,0,1102,1168,1320,1256
A033050,제이엠아이,20181129,1105,1105,1050,1080,123042,652628,0,1119,1174,1327,1258
A033050,제이엠아이,20181128,1150,1150,1075,1095,161457,651647,-233,1128,1174,1335,1259
A033050,제이엠아이,20181127,1165,1165,1130,1145,24927,655362,-3175,1138,1174,1342,1260
A033050,제이엠아이,20181126,1105,1160,1105,1150,89853,658449,-1932,1141,1171,1349,1260
A033050,제이엠아이,20181123,1125,1150,1080,1125,147172,654266,-349,1145,1166,1355,1260
A033050,제이엠아이,20181122,1145,1150,1115,1125,59843,656194,-3617,1159,1170,1360,1261
A033050,제이엠아이,20181121,1155,1160,1120,1145,81944,667982,-10240,1173,1176,1365,1261
A033050,제이엠아이,20181120,1170,1170,1145,1160,62085,655619,4,1179,1181,1369,1261
