stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A033230,인성정보,20190129,3370,3415,3360,3400,16122,280415,0,3329,3150,3156,3505
A033230,인성정보,20190128,3365,3420,3335,3365,17346,280695,0,3299,3130,3153,3509
A033230,인성정보,20190125,3250,3365,3250,3365,30566,280632,0,3270,3109,3151,3513
A033230,인성정보,20190124,3220,3300,3220,3265,18198,277714,0,3241,3088,3146,3517
A033230,인성정보,20190123,3250,3300,3205,3250,14525,277815,0,3211,3074,3145,3522
A033230,인성정보,20190122,3235,3270,3225,3250,11503,277299,0,3183,3063,3147,3526
A033230,인성정보,20190121,3215,3265,3180,3220,26659,276897,0,3155,3052,3150,3531
A033230,인성정보,20190118,3100,3220,3100,3220,22664,275712,0,3131,3045,3153,3538
A033230,인성정보,20190117,3110,3140,3085,3115,10194,273814,0,3111,3037,3157,3545
A033230,인성정보,20190116,3115,3145,3080,3110,12850,273498,18,3108,3034,3167,3554
A033230,인성정보,20190115,3105,3135,3075,3110,7268,272013,18,3111,3031,3176,3561
A033230,인성정보,20190114,3115,3145,3075,3100,5275,271887,18,3091,3027,3186,3567
A033230,인성정보,20190111,3075,3160,3075,3120,10783,270403,18,3075,3023,3196,3574
A033230,인성정보,20190110,3150,3160,3090,3100,18002,270604,0,3045,3018,3205,3581
A033230,인성정보,20190109,3010,3140,2980,3125,32651,270012,0,3005,3018,3215,3588
A033230,인성정보,20190108,3055,3055,2975,3010,17910,266268,0,2976,3018,3224,3594
A033230,인성정보,20190107,2970,3055,2950,3020,24144,266227,0,2974,3024,3235,3601
A033230,인성정보,20190104,2850,2970,2850,2970,19304,263918,20,2960,3034,3249,3609
A033230,인성정보,20190103,2955,2985,2900,2900,22871,263486,0,2953,3048,3264,3616
A033230,인성정보,20190102,2995,3040,2950,2980,15434,263195,0,2974,3066,3281,3624
A033230,인성정보,20181228,2960,3000,2905,3000,17472,262216,0,2982,3081,3298,3631
A033230,인성정보,20181227,2935,3000,2900,2950,16782,279187,0,2988,3092,3316,3638
A033230,인성정보,20181226,2990,2990,2900,2935,24252,278003,0,3015,3108,3336,3645
A033230,인성정보,20181224,2980,3020,2930,3005,27692,277619,0,3038,3123,3353,3653
A033230,인성정보,20181221,3025,3035,2970,3020,16683,277824,0,3047,3135,3369,3660
A033230,인성정보,20181220,3080,3095,3000,3030,16567,278742,0,3055,3144,3385,3668
A033230,인성정보,20181219,3050,3095,2940,3085,19225,280100,0,3056,3160,3401,3675
A033230,인성정보,20181218,3010,3060,2990,3050,9172,280528,0,3042,3170,3416,3682
A033230,인성정보,20181217,3060,3085,2960,3050,17616,280507,0,3036,3184,3432,3689
A033230,인성정보,20181214,3030,3060,2950,3060,22423,280565,0,3048,3193,3447,3696
A033230,인성정보,20181213,3015,3035,2915,3035,32634,278958,0,3061,3201,3464,3704
A033230,인성정보,20181212,3055,3055,2955,3015,49117,277315,0,3080,3208,3480,3711
A033230,인성정보,20181211,3105,3105,2975,3020,31180,271848,0,3119,3215,3497,3718
A033230,인성정보,20181210,3125,3125,3000,3110,38533,273372,0,3166,3222,3514,3726
A033230,인성정보,20181207,3140,3140,3050,3125,12106,275394,0,3197,3224,3527,3735
A033230,인성정보,20181206,3165,3200,3070,3130,26629,275182,0,3225,3229,3540,3743
A033230,인성정보,20181205,3240,3240,3170,3210,9273,277730,0,3246,3232,3553,3752
