stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A034590,인천도시가스,20190129,29250,29250,29000,29100,251,52944,-10,29080,29155,29731,29946
A034590,인천도시가스,20190128,29000,29100,28800,29050,3039,52944,-6,29070,29175,29745,29954
A034590,인천도시가스,20190125,29200,29200,29000,29100,1301,52944,-1,29090,29205,29761,29962
A034590,인천도시가스,20190124,29200,29200,29000,29050,806,52749,-1,29090,29248,29773,29968
A034590,인천도시가스,20190123,29100,29200,29000,29100,1042,52829,6,29080,29298,29787,29975
A034590,인천도시가스,20190122,29400,29400,28950,29050,2296,52829,191,29060,29348,29802,29982
A034590,인천도시가스,20190121,29150,29200,28950,29150,4266,52829,-483,29090,29402,29817,29990
A034590,인천도시가스,20190118,29100,29100,29050,29100,1244,52829,6,29080,29448,29832,29996
A034590,인천도시가스,20190117,28950,29100,28950,29000,733,52829,-7,29100,29495,29846,30004
A034590,인천도시가스,20190116,29200,29200,28950,29000,2000,52585,55,29140,29550,29865,30012
A034590,인천도시가스,20190115,29100,29200,29100,29200,301,52585,-107,29160,29605,29884,30020
A034590,인천도시가스,20190114,29200,29350,29000,29100,905,52542,72,29160,29650,29901,30028
A034590,인천도시가스,20190111,29200,29200,29050,29200,443,52281,88,29210,29695,29920,30035
A034590,인천도시가스,20190110,29000,29250,29000,29200,1611,52281,215,29220,29738,29938,30042
A034590,인천도시가스,20190109,29300,29300,29000,29100,1577,52281,197,29260,29780,29956,30049
A034590,인천도시가스,20190108,29350,29400,29000,29200,1617,52281,152,29320,29828,29973,30056
A034590,인천도시가스,20190107,29050,29350,29050,29350,745,52282,62,29380,29868,29989,30063
A034590,인천도시가스,20190104,29400,29450,29050,29250,1261,52281,-22,29440,29905,30008,30068
A034590,인천도시가스,20190103,29500,29500,29050,29400,1132,52281,-294,29580,29938,30028,30074
A034590,인천도시가스,20190102,29500,29600,29300,29400,1271,52281,-2,29710,29972,30048,30078
