stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A035080,인터파크홀딩스,20190129,2545,2565,2480,2550,130223,12303054,-16688,2562,2525,2408,2406
A035080,인터파크홀딩스,20190128,2600,2600,2540,2570,145014,12313198,-14648,2560,2515,2401,2408
A035080,인터파크홀딩스,20190125,2595,2595,2550,2575,123493,12333034,-19156,2553,2506,2393,2409
A035080,인터파크홀딩스,20190124,2550,2595,2500,2590,186696,12349337,-6500,2567,2498,2386,2410
A035080,인터파크홀딩스,20190123,2490,2565,2490,2525,103479,12357875,11543,2570,2491,2377,2411
A035080,인터파크홀딩스,20190122,2520,2555,2515,2540,92793,12371179,-13742,2593,2488,2370,2412
A035080,인터파크홀딩스,20190121,2620,2675,2490,2535,302441,12372837,-20163,2625,2484,2364,2413
A035080,인터파크홀딩스,20190118,2595,2650,2585,2645,126204,12331149,0,2647,2490,2358,2414
A035080,인터파크홀딩스,20190117,2640,2675,2590,2605,144493,12326892,0,2627,2484,2348,2415
A035080,인터파크홀딩스,20190116,2705,2745,2605,2640,175065,12347634,0,2609,2489,2342,2417
A035080,인터파크홀딩스,20190115,2655,2735,2630,2700,305716,12366109,28202,2583,2489,2331,2419
A035080,인터파크홀딩스,20190114,2550,2695,2535,2645,501810,12312249,50014,2525,2469,2320,2420
A035080,인터파크홀딩스,20190111,2500,2570,2475,2545,222577,12174389,14000,2472,2454,2309,2420
A035080,인터파크홀딩스,20190110,2500,2520,2460,2515,154487,12091939,12885,2439,2442,2300,2422
A035080,인터파크홀딩스,20190109,2415,2510,2415,2510,258240,12099867,32317,2405,2435,2291,2423
A035080,인터파크홀딩스,20190108,2400,2425,2360,2410,154812,12059943,15166,2363,2431,2283,2424
A035080,인터파크홀딩스,20190107,2400,2415,2355,2380,208865,12052699,40500,2351,2434,2275,2426
A035080,인터파크홀딩스,20190104,2315,2385,2310,2380,107978,12033972,13820,2354,2442,2270,2429
A035080,인터파크홀딩스,20190103,2340,2400,2300,2345,159188,12042452,21004,2357,2444,2267,2431
A035080,인터파크홀딩스,20190102,2370,2390,2290,2300,168619,12038595,-8731,2380,2446,2264,2434
A035080,인터파크홀딩스,20181228,2405,2430,2345,2350,155258,12053104,4,2415,2446,2264,2437
A035080,인터파크홀딩스,20181227,2425,2455,2385,2395,147102,12086498,-43,2437,2446,2263,2439
A035080,인터파크홀딩스,20181226,2410,2430,2360,2395,179608,12084272,1,2486,2445,2264,2441
A035080,인터파크홀딩스,20181224,2500,2520,2440,2460,218174,12086286,-22,2513,2442,2266,2444
A035080,인터파크홀딩스,20181221,2485,2510,2440,2475,309685,12091150,46641,2563,2432,2267,2447
A035080,인터파크홀딩스,20181220,2600,2605,2450,2460,640088,12193737,-37982,2594,2422,2268,2450
