stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A035430,드림라인,20190129,3900,4990,3900,4990,52,0,0,4279,4433,4899,5119
A035430,드림라인,20190128,4000,4000,3900,3905,231,0,0,4279,4433,4891,5129
A035430,드림라인,20190125,3850,4500,3850,4500,70,0,0,4396,4562,4909,5133
A035430,드림라인,20190124,5000,5000,4000,4000,2,0,0,4222,4661,4900,5147
A035430,드림라인,20190123,4000,4000,3800,4000,364,0,0,4072,4710,4900,5174
A035430,드림라인,20190122,3800,5000,3800,4990,110,0,0,4185,4760,4900,5192
A035430,드림라인,20190121,4490,4490,4490,4490,66,0,0,4084,4796,4900,5212
A035430,드림라인,20190118,3630,3630,3630,3630,0,0,0,4086,4818,4907,5240
A035430,드림라인,20190117,5900,5900,3250,3250,100,0,0,4310,4826,4913,5276
A035430,드림라인,20190116,4565,4565,4565,4565,1,0,0,4560,4854,4926,5314
A035430,드림라인,20190115,4000,4490,4000,4485,70,0,0,4646,4826,4917,5342
A035430,드림라인,20190114,4500,4500,4500,4500,1,0,0,4525,4792,4940,5356
A035430,드림라인,20190111,4010,4750,4010,4750,3,0,0,4524,4816,4937,5377
A035430,드림라인,20190110,3850,4500,3830,4500,8,0,0,4325,4829,4926,5388
A035430,드림라인,20190109,4990,4995,3735,4995,247,0,0,4463,4854,4937,5402
A035430,드림라인,20190108,3880,3880,3880,3880,0,0,0,4622,4854,4941,5419
A035430,드림라인,20190107,3850,5000,3800,4495,132,0,0,4845,4910,4968,5445
A035430,드림라인,20190104,3640,4500,3640,3755,23,0,0,5242,4970,4971,5470
A035430,드림라인,20190103,5190,5190,5190,5190,1,0,0,5787,5068,5007,5501
A035430,드림라인,20190102,4000,5790,4000,5790,11,0,0,5747,5093,5019,5506
A035430,드림라인,20181228,4540,4995,4540,4995,6,0,0,5587,5204,4998,5506
A035430,드림라인,20181227,6480,6480,6480,6480,0,0,0,5728,5264,4994,5513
A035430,드림라인,20181226,6480,6480,6480,6480,1,0,0,5420,5190,4970,5510
A035430,드림라인,20181224,4990,4990,4990,4990,0,0,0,4884,5071,4954,5519
A035430,드림라인,20181221,4990,4990,4990,4990,1,0,0,4646,5022,4950,5540
