stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A035720,카카오,20190129,101500,102000,101000,102000,225138,20244716,32652,102200,101285,104660,109367
A035720,카카오,20190128,103000,104000,101500,102000,275296,20253289,-2969,102200,101335,104512,109454
A035720,카카오,20190125,101500,103000,101000,102500,355017,20241923,33026,101560,101310,104338,109542
A035720,카카오,20190124,102500,103500,101000,102000,282408,20251342,7415,100980,101110,104138,109658
A035720,카카오,20190123,101500,103000,100500,102500,360462,20355229,155454,100280,101060,103898,109804
A035720,카카오,20190122,99400,102500,99300,102000,448490,20529477,69762,99780,101160,103705,109929
A035720,카카오,20190121,99900,100000,98700,98800,252620,20478632,594,99360,101210,103575,110062
A035720,카카오,20190118,99000,99900,98900,99600,291588,20555631,61288,99600,101670,103582,110214
A035720,카카오,20190117,100000,102000,98500,98500,434803,20599512,-70989,100080,102115,103597,110347
A035720,카카오,20190116,100500,101000,99800,100000,217209,20572115,-6021,100580,102715,103663,110484
A035720,카카오,20190115,100000,102500,99500,99900,381581,20592917,39957,100980,103215,103680,110601
A035720,카카오,20190114,102000,102000,99800,100000,243305,20779630,-16484,100980,103795,103690,110710
A035720,카카오,20190111,101000,103500,101000,102000,180561,20855502,20528,101580,104295,103698,110827
A035720,카카오,20190110,101000,103000,100500,101000,291573,20887455,-42843,101880,104545,103673,110948
A035720,카카오,20190109,100500,102500,100000,102000,357096,20839386,-7045,102180,105045,103645,111089
A035720,카카오,20190108,102500,103000,99500,99900,450462,20874559,-88485,102180,105670,103628,111218
A035720,카카오,20190107,105000,107000,102000,103000,378153,20948034,-69318,102800,106475,103605,111357
A035720,카카오,20190104,102000,104000,101500,103500,251728,20968019,50222,102500,107050,103622,111473
A035720,카카오,20190103,102500,105500,100500,102500,293989,20904339,60944,101500,107550,103688,111590
A035720,카카오,20190102,103500,105000,101500,102000,173462,20623661,5192,101200,108100,103797,111690
A035720,카카오,20181228,101000,104500,101000,103000,190847,20617081,16499,101700,108625,103963,111811
A035720,카카오,20181227,100500,102000,100000,101500,217247,20639049,32873,101700,109075,104172,111928
A035720,카카오,20181226,99000,100500,98000,98500,492532,20702994,19498,103000,109600,104472,112032
A035720,카카오,20181224,104500,104500,100000,101000,320266,20746149,-36695,105000,110200,104813,112140
A035720,카카오,20181221,102500,104500,101000,104500,429650,20690851,50753,106900,110775,105138,112252
A035720,카카오,20181220,107000,107000,101000,103000,579446,20901004,-124947,108000,110950,105372,112311
A035720,카카오,20181219,108500,109000,106000,108000,218497,20911013,-3884,109700,111125,105613,112378
A035720,카카오,20181218,108500,111000,107000,108500,188963,20915445,-13005,110100,111100,105763,112411
A035720,카카오,20181217,110000,112000,108500,110500,173155,20933501,34775,109800,111025,105963,112457
A035720,카카오,20181214,110500,111500,109000,110000,196803,20932325,-5809,109900,110850,106147,112486
A035720,카카오,20181213,111500,114500,110500,111500,494887,20908234,-36181,110800,110475,106313,112461
