stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A035900,JYP Ent.,20190129,27600,28000,27400,27650,431548,4372290,-65821,27750,30085,30973,31384
A035900,JYP Ent.,20190128,28050,28150,27500,27650,566972,4383069,-162463,28080,30215,31013,31348
A035900,JYP Ent.,20190125,27550,28250,27550,28000,652120,4418598,-56449,28310,30382,31029,31307
A035900,JYP Ent.,20190124,27650,28350,27350,27850,920789,4424117,-69372,29040,30562,31038,31267
A035900,JYP Ent.,20190123,29000,29000,27200,27600,2112568,4415163,-682566,29830,30718,31019,31236
A035900,JYP Ent.,20190122,28900,29400,28100,29300,817451,4504386,-104029,30940,30848,31016,31208
A035900,JYP Ent.,20190121,31700,32000,28200,28800,2484135,4576148,-979996,31670,30858,31032,31153
A035900,JYP Ent.,20190118,32000,32000,31100,31650,411760,4741902,-41418,32090,30915,31068,31110
A035900,JYP Ent.,20190117,33150,33200,31450,31800,586505,4784144,-67526,31940,30780,31189,31039
A035900,JYP Ent.,20190116,33100,33250,32450,33150,460147,4843586,13507,31880,30632,31312,30974
A035900,JYP Ent.,20190115,30900,33500,30900,32950,1615359,4842542,29112,31560,30542,31391,30895
A035900,JYP Ent.,20190114,30800,31200,30600,30900,331558,4399614,-1046,31270,30438,31458,30825
A035900,JYP Ent.,20190111,31000,31150,29650,30900,811176,4359878,-41797,31360,30422,31577,30780
A035900,JYP Ent.,20190110,31300,31650,30850,31500,232543,4411545,-26771,31230,30368,31676,30740
A035900,JYP Ent.,20190109,31650,31850,30950,31550,376344,4391955,-39759,30590,30298,31746,30699
A035900,JYP Ent.,20190108,31600,31800,30800,31500,357678,4317411,4783,30090,30258,31821,30652
A035900,JYP Ent.,20190107,30850,32150,30400,31350,876522,4297910,84900,29840,30192,31887,30596
A035900,JYP Ent.,20190104,28300,30300,28100,30250,487820,4109758,145222,29770,30195,31974,30547
A035900,JYP Ent.,20190103,29150,29650,28250,28300,463812,4096211,-14280,30040,30338,32076,30512
A035900,JYP Ent.,20190102,30500,30800,28950,29050,482873,4137672,-104376,30570,30545,32235,30492
A035900,JYP Ent.,20181228,30950,31350,29850,30250,530255,4181189,27565,30800,30712,32372,30461
A035900,JYP Ent.,20181227,32100,32300,30750,31000,502394,4312904,-20770,30650,30840,32486,30425
A035900,JYP Ent.,20181226,30100,31950,29950,31600,804936,4387890,311339,30440,30940,32604,30388
A035900,JYP Ent.,20181224,30100,31500,29750,30950,592041,4362795,126441,29910,31040,32696,30334
A035900,JYP Ent.,20181221,29300,30250,29200,30200,365047,4287040,88249,29490,31172,32787,30296
A035900,JYP Ent.,20181220,29800,30900,28950,29500,438817,4246616,-1376,29720,31265,32893,30257
A035900,JYP Ent.,20181219,28950,30350,28500,29950,545339,4237881,119534,29990,31428,33018,30221
A035900,JYP Ent.,20181218,28200,29100,27550,28950,521534,4195908,92005,30120,31598,33129,30184
A035900,JYP Ent.,20181217,31150,31300,28500,28850,1203641,4159177,-193838,30290,31840,33228,30154
A035900,JYP Ent.,20181214,30700,31600,30550,31350,454074,4366218,184721,30540,32112,33334,30129
A035900,JYP Ent.,20181213,30950,31050,30300,30850,344715,4373540,-5656,30420,32268,33392,30086
A035900,JYP Ent.,20181212,29800,30650,29600,30600,299944,4387729,40212,30290,32445,33456,30032
A035900,JYP Ent.,20181211,29950,30650,29600,29800,424611,4501013,-57097,30450,32545,33512,29976
A035900,JYP Ent.,20181210,30000,30650,29800,30100,289444,4488062,-58337,31110,32595,33570,29929
A035900,JYP Ent.,20181207,30600,31300,29900,30750,491126,4472729,-7144,31580,32642,33618,29885
A035900,JYP Ent.,20181206,31250,31600,29600,30200,850641,4418070,-178132,31910,32592,33675,29832
A035900,JYP Ent.,20181205,32450,32800,30800,31400,787652,4370391,-156538,32430,32518,33712,29785
A035900,JYP Ent.,20181204,32250,33300,32250,33100,408042,4424864,-46185,32750,32410,33722,29724
A035900,JYP Ent.,20181203,32750,32850,32100,32450,351219,4234705,-41290,32850,32265,33701,29652
A035900,JYP Ent.,20181130,32850,33150,32150,32400,383296,4101231,-107209,33080,32168,33691,29581
A035900,JYP Ent.,20181129,33600,33650,32600,32800,419893,4073037,-37320,33010,32122,33688,29512
A035900,JYP Ent.,20181128,33750,33750,33000,33000,336833,4058358,-51579,33000,31985,33668,29449
A035900,JYP Ent.,20181127,34000,34250,33000,33600,394849,4030395,-33129,33070,31765,33640,29382
A035900,JYP Ent.,20181126,32400,33650,32250,33600,532522,3964312,62995,33110,31510,33590,29309
A035900,JYP Ent.,20181123,32450,33150,32000,32050,407339,3898667,-38918,33250,31168,33553,29232
A035900,JYP Ent.,20181122,33550,33550,32600,32750,386813,3830640,-43258,33730,30935,33516,29170
A035900,JYP Ent.,20181121,33350,33600,31650,33350,834247,3797368,-12038,34060,30810,33468,29089
A035900,JYP Ent.,20181120,33500,35000,33450,33800,712670,3725692,-48092,33910,30692,33396,28997
A035900,JYP Ent.,20181119,34350,34750,33500,34300,588826,3726899,-112701,33310,30948,33310,28901
A035900,JYP Ent.,20181116,34600,35300,33600,34450,995452,3606186,-127787,32660,31190,33188,28797
A035900,JYP Ent.,20181115,32750,34750,32700,34400,1328139,3416111,50547,31720,31362,33053,28694
A035900,JYP Ent.,20181114,30900,32950,30300,32600,1647245,3366607,227711,30580,31490,32908,28589
A035900,JYP Ent.,20181113,30650,31100,28750,30800,1686771,3202877,-18273,29910,31762,32761,28495
A035900,JYP Ent.,20181112,29400,31400,29100,31050,1415908,3322570,277660,29790,32065,32632,28421
A035900,JYP Ent.,20181109,28550,29750,27400,29750,864550,3419112,65488,29680,32298,32508,28335
A035900,JYP Ent.,20181108,29700,30000,28500,28700,881379,3369390,-63037,30030,32612,32399,28249
A035900,JYP Ent.,20181107,30200,30300,28500,29250,823719,3437065,-77634,30300,32950,32303,28177
A035900,JYP Ent.,20181106,30900,31450,29450,30200,800377,3459679,-37288,30170,33318,32188,28095
A035900,JYP Ent.,20181105,31300,31300,30150,30500,784230,3482664,-97295,29830,33625,32057,28010
A035900,JYP Ent.,20181102,30500,31550,29600,31500,1205217,3506801,-9690,29080,33992,31935,27922
A035900,JYP Ent.,20181101,29100,31200,28900,30050,1936920,3605451,-108542,28260,34282,31795,27830
A035900,JYP Ent.,20181031,28950,29150,27450,28600,1266390,3599768,-43098,28300,34632,31682,27752
A035900,JYP Ent.,20181030,26900,28900,25650,28500,2818570,3717331,580054,28780,35108,31584,27682
A035900,JYP Ent.,20181029,27850,28450,26200,26750,2504469,3975082,169970,30860,35538,31496,27623
A035900,JYP Ent.,20181026,31000,31100,27000,27400,4581304,3947002,-160485,33340,36020,31453,27587
A035900,JYP Ent.,20181025,30500,32150,29250,30250,3131302,3834015,216826,35440,36480,31401,27542
A035900,JYP Ent.,20181024,39300,39350,30300,31000,5697680,3700953,-734161,36780,36815,31275,27474
A035900,JYP Ent.,20181023,39150,39800,38500,38900,625497,4481644,-85453,38190,37098,31151,27400
A035900,JYP Ent.,20181022,37600,39150,37500,39150,531009,4569037,95859,37780,36898,30888,27259
A035900,JYP Ent.,20181019,36300,38150,36050,37900,746154,4547475,129623,37090,36700,30637,27123
A035900,JYP Ent.,20181018,38650,38650,36950,36950,525651,4510329,-31665,36720,36545,30400,26999
A035900,JYP Ent.,20181017,38150,38300,37050,38050,531431,4650920,131026,36420,36432,30192,26890
A035900,JYP Ent.,20181016,36050,37450,35700,36850,493110,4707843,76036,36130,36228,29982,26769
A035900,JYP Ent.,20181015,36500,37300,35350,35700,510062,4688835,-2266,36030,36050,29804,26650
A035900,JYP Ent.,20181012,35500,36850,35200,36050,631103,4677318,-2664,36460,35912,29652,26529
