stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A036170,씨티젠,20190129,3080,3115,2930,2970,611092,657148,36482,2933,2763,3020,3428
A036170,씨티젠,20190128,2945,3385,2905,3105,3880041,684218,0,2913,2742,3024,3436
A036170,씨티젠,20190125,2810,2945,2790,2890,245108,823365,0,2846,2705,3021,3443
A036170,씨티젠,20190124,2895,2930,2770,2810,139597,802127,0,2804,2673,3022,3451
A036170,씨티젠,20190123,2825,2895,2770,2890,185037,823876,0,2782,2654,3022,3459
A036170,씨티젠,20190122,2800,2925,2785,2870,337561,832030,0,2743,2638,3025,3466
A036170,씨티젠,20190121,2690,2785,2680,2770,267588,833836,0,2703,2621,3026,3473
A036170,씨티젠,20190118,2670,2695,2645,2680,110447,761502,0,2704,2614,3035,3481
A036170,씨티젠,20190117,2695,2735,2640,2700,78787,747028,0,2718,2613,3051,3489
A036170,씨티젠,20190116,2675,2720,2650,2695,103908,731027,0,2726,2607,3070,3498
A036170,씨티젠,20190115,2790,2790,2665,2670,134334,717296,0,2715,2606,3092,3507
A036170,씨티젠,20190114,2750,2805,2740,2775,144205,716404,0,2709,2610,3118,3519
A036170,씨티젠,20190111,2740,2780,2705,2750,154573,723536,0,2684,2608,3140,3532
A036170,씨티젠,20190110,2635,2800,2635,2740,299710,714246,0,2660,2606,3160,3543
A036170,씨티젠,20190109,2675,2675,2595,2640,166917,674225,0,2648,2606,3176,3553
A036170,씨티젠,20190108,2645,2680,2600,2640,94176,630974,0,2662,2614,3189,3563
A036170,씨티젠,20190107,2655,2690,2605,2650,172918,604273,0,2644,2626,3203,3573
A036170,씨티젠,20190104,2650,2665,2495,2630,329593,552892,0,2586,2654,3220,3583
A036170,씨티젠,20190103,2670,2735,2600,2680,191802,520519,0,2510,2685,3242,3593
A036170,씨티젠,20190102,2600,2820,2560,2710,898476,561530,0,2461,2713,3262,3602
A036170,씨티젠,20181228,2320,2900,2320,2550,1644735,597624,0,2430,2738,3278,3611
A036170,씨티젠,20181227,2265,2400,2265,2360,319747,680346,0,2427,2774,3299,3624
A036170,씨티젠,20181226,2350,2380,2240,2250,330199,552844,0,2482,2832,3322,3637
A036170,씨티젠,20181224,2555,2555,2405,2435,227614,524772,0,2565,2898,3346,3650
A036170,씨티젠,20181221,2590,2640,2500,2555,162146,516416,0,2592,2958,3364,3662
A036170,씨티젠,20181220,2670,2670,2530,2535,181933,515288,0,2617,3007,3380,3672
A036170,씨티젠,20181219,2700,2700,2600,2635,89374,519283,0,2662,3058,3396,3684
A036170,씨티젠,20181218,2535,2780,2535,2665,291297,517029,0,2678,3106,3411,3696
A036170,씨티젠,20181217,2680,2720,2550,2570,198072,489852,0,2689,3156,3426,3707
A036170,씨티젠,20181214,2815,2815,2665,2680,105007,468216,0,2721,3210,3444,3722
A036170,씨티젠,20181213,2720,2835,2705,2760,134139,469272,0,2747,3251,3460,3733
A036170,씨티젠,20181212,2650,2760,2650,2715,80046,459225,0,2773,3278,3475,3745
A036170,씨티젠,20181211,2705,2815,2650,2720,197093,453912,0,2871,3306,3490,3756
A036170,씨티젠,20181210,2720,2850,2680,2730,180403,417721,0,2977,3336,3508,3767
A036170,씨티젠,20181207,2895,2985,2800,2810,276209,404567,0,3077,3369,3526,3782
A036170,씨티젠,20181206,3195,3205,2595,2890,1523920,396476,0,3156,3409,3544,3795
A036170,씨티젠,20181205,3225,3245,3190,3205,42759,367030,0,3234,3451,3562,3809
A036170,씨티젠,20181204,3270,3270,3200,3250,70071,370399,0,3298,3471,3577,3822
A036170,씨티젠,20181203,3220,3270,3185,3230,122981,362410,0,3362,3506,3594,3837
A036170,씨티젠,20181130,3320,3375,3185,3205,324205,351696,0,3441,3542,3610,3851
A036170,씨티젠,20181129,3550,3550,3280,3280,511372,357129,0,3508,3558,3628,3866
A036170,씨티젠,20181128,3620,3630,3500,3525,94603,421686,0,3563,3555,3646,3881
A036170,씨티젠,20181127,3605,3645,3530,3570,97607,426215,0,3578,3526,3659,3894
A036170,씨티젠,20181126,3585,3625,3530,3625,65893,437295,0,3596,3494,3673,3906
A036170,씨티젠,20181123,3600,3600,3455,3540,84940,427433,0,3602,3454,3684,3916
A036170,씨티젠,20181122,3615,3665,3510,3555,79819,438069,0,3594,3431,3692,3926
A036170,씨티젠,20181121,3650,3650,3525,3600,83128,450048,0,3544,3400,3697,3938
A036170,씨티젠,20181120,3600,3670,3510,3660,218230,464716,0,3475,3385,3704,3949
A036170,씨티젠,20181119,3580,3670,3525,3655,211818,474314,0,3407,3384,3710,3959
A036170,씨티젠,20181116,3370,3545,3295,3500,208702,482529,0,3357,3394,3716,3970
A036170,씨티젠,20181115,3220,3310,3170,3305,122412,473601,0,3379,3418,3727,3985
A036170,씨티젠,20181114,3350,3380,3255,3255,134473,475155,-10906,3462,3464,3741,4003
A036170,씨티젠,20181113,3390,3390,3200,3320,222587,486263,-7119,3532,3508,3757,4015
A036170,씨티젠,20181112,3660,3660,3405,3405,174115,439786,-7475,3658,3540,3772,4026
A036170,씨티젠,20181109,3735,3735,3550,3610,100517,439715,-4707,3766,3553,3788,4038
A036170,씨티젠,20181108,3720,3760,3500,3720,176811,453662,0,3751,3544,3800,4049
A036170,씨티젠,20181107,3950,3950,3570,3605,328161,441640,0,3651,3531,3811,4060
