stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A036260,이매진아시아,20190129,2480,2540,2450,2495,451950,133641,0,2527,2322,2316,2391
A036260,이매진아시아,20190128,2490,2540,2480,2520,311753,119667,0,2538,2302,2314,2387
A036260,이매진아시아,20190125,2545,2560,2485,2500,463427,132917,0,2534,2279,2312,2383
A036260,이매진아시아,20190124,2585,2590,2500,2550,562912,150095,0,2525,2250,2304,2379
A036260,이매진아시아,20190123,2490,2570,2490,2570,430227,112671,0,2531,2222,2293,2374
A036260,이매진아시아,20190122,2490,2555,2440,2550,486357,105210,0,2521,2196,2286,2369
A036260,이매진아시아,20190121,2455,2500,2370,2500,318763,108509,-29,2501,2170,2282,2364
A036260,이매진아시아,20190118,2560,2560,2405,2455,552474,96704,-28,2489,2150,2280,2359
A036260,이매진아시아,20190117,2540,2600,2430,2580,929732,114149,0,2442,2127,2281,2355
A036260,이매진아시아,20190116,2495,2520,2420,2520,686344,194366,0,2326,2102,2281,2350
A036260,이매진아시아,20190115,2430,2500,2380,2450,413403,238192,0,2223,2084,2282,2346
A036260,이매진아시아,20190114,2290,2450,2290,2440,1061228,180403,0,2132,2070,2284,2343
A036260,이매진아시아,20190111,2010,2270,1980,2220,877853,193014,0,2044,2050,2288,2340
A036260,이매진아시아,20190110,1985,2005,1970,2000,131528,138764,0,2000,2047,2297,2338
A036260,이매진아시아,20190109,1995,2030,1990,2005,161002,135712,0,2005,2062,2308,2337
A036260,이매진아시아,20190108,2005,2020,1970,1995,81043,133519,0,2015,2084,2316,2336
A036260,이매진아시아,20190107,2005,2045,1985,2000,89925,138290,0,2036,2104,2326,2336
A036260,이매진아시아,20190104,2015,2025,1945,2000,138303,130563,0,2048,2126,2334,2335
A036260,이매진아시아,20190103,2080,2080,1910,2025,105841,135017,0,2035,2147,2345,2334
A036260,이매진아시아,20190102,2100,2220,2035,2055,83601,132074,0,2028,2167,2358,2334
A036260,이매진아시아,20181228,2070,2140,2025,2100,152375,127688,0,2025,2183,2372,2333
A036260,이매진아시아,20181227,1960,2080,1955,2060,136549,128783,0,2011,2196,2386,2332
A036260,이매진아시아,20181226,1940,1960,1840,1935,173786,120441,0,2017,2212,2400,2332
A036260,이매진아시아,20181224,2040,2050,1955,1990,61751,100868,29,2032,2234,2416,2332
A036260,이매진아시아,20181221,2020,2050,1965,2040,89229,104038,28,2050,2256,2430,2333
A036260,이매진아시아,20181220,2150,2150,1980,2030,129915,101973,0,2073,2274,2440,2334
A036260,이매진아시아,20181219,2000,2170,1885,2090,290412,109685,0,2099,2290,2448,2334
A036260,이매진아시아,20181218,2050,2060,1960,2010,153585,108995,0,2092,2315,2456,2334
A036260,이매진아시아,20181217,2155,2170,2025,2080,88784,96390,0,2120,2350,2466,2336
A036260,이매진아시아,20181214,2160,2200,2130,2155,105476,104665,0,2166,2381,2475,2338
A036260,이매진아시아,20181213,2055,2185,2055,2160,136892,97940,0,2222,2406,2484,2338
A036260,이매진아시아,20181212,2100,2180,2040,2055,158140,96807,0,2268,2428,2492,2337
A036260,이매진아시아,20181211,2300,2300,2080,2150,544231,91836,-40709,2345,2449,2503,2336
A036260,이매진아시아,20181210,2435,2435,2310,2310,202232,115001,-20792,2402,2468,2510,2335
A036260,이매진아시아,20181207,2395,2520,2315,2435,376465,130128,0,2424,2472,2515,2332
A036260,이매진아시아,20181206,2460,2500,2230,2390,504701,140371,-51550,2413,2461,2519,2329
A036260,이매진아시아,20181205,2420,2440,2370,2440,185507,138463,0,2408,2456,2524,2326
A036260,이매진아시아,20181204,2425,2455,2355,2435,190709,151422,0,2392,2444,2528,2323
A036260,이매진아시아,20181203,2430,2490,2385,2420,272537,142799,-10221,2381,2440,2532,2321
A036260,이매진아시아,20181130,2395,2425,2340,2380,185057,152433,-8095,2384,2438,2537,2318
A036260,이매진아시아,20181129,2400,2405,2290,2365,306976,156915,0,2388,2442,2540,2315
A036260,이매진아시아,20181128,2370,2520,2330,2360,254890,183620,0,2384,2444,2541,2314
A036260,이매진아시아,20181127,2400,2455,2320,2380,341438,216266,0,2432,2446,2543,2312
A036260,이매진아시아,20181126,2400,2485,2400,2435,149738,171752,0,2499,2428,2547,2311
A036260,이매진아시아,20181123,2320,2460,2320,2400,206609,166696,0,2550,2400,2547,2308
A036260,이매진아시아,20181122,2600,2640,2190,2345,723462,207936,-12324,2601,2388,2547,2305
A036260,이매진아시아,20181121,2705,2705,2570,2600,691868,200576,0,2650,2387,2548,2303
A036260,이매진아시아,20181120,2675,2745,2630,2715,795428,241764,-9000,2626,2374,2543,2300
A036260,이매진아시아,20181119,2500,2730,2500,2690,811986,223501,143691,2588,2365,2539,2295
A036260,이매진아시아,20181116,2575,2655,2520,2655,573391,191269,0,2531,2359,2533,2291
A036260,이매진아시아,20181115,2490,2615,2480,2590,394161,157731,0,2442,2357,2527,2287
A036260,이매진아시아,20181114,2510,2620,2385,2480,451362,173319,0,2382,2356,2522,2284
A036260,이매진아시아,20181113,2380,2545,2305,2525,430997,128974,0,2325,2365,2516,2281
A036260,이매진아시아,20181112,2125,2495,2115,2405,761554,155496,0,2290,2376,2505,2278
A036260,이매진아시아,20181109,2250,2280,2175,2210,134744,165538,0,2288,2388,2498,2275
A036260,이매진아시아,20181108,2210,2380,2175,2290,107585,152043,0,2336,2404,2494,2272
A036260,이매진아시아,20181107,2355,2360,2150,2195,311020,157544,0,2358,2417,2490,2269
A036260,이매진아시아,20181106,2480,2480,2300,2350,185182,171594,0,2399,2432,2486,2266
A036260,이매진아시아,20181105,2535,2550,2335,2395,165265,183011,0,2335,2448,2481,2261
A036260,이매진아시아,20181102,2400,2485,2395,2450,133342,221814,0,2232,2468,2474,2257
A036260,이매진아시아,20181101,2440,2575,2350,2400,223578,240853,0,2175,2491,2466,2252
A036260,이매진아시아,20181031,2105,2470,2035,2400,356681,276361,0,2158,2518,2460,2248
A036260,이매진아시아,20181030,1500,2035,1500,2030,497253,345743,0,2148,2542,2454,2243
A036260,이매진아시아,20181029,2025,2150,1870,1880,391476,263425,0,2247,2585,2453,2242
A036260,이매진아시아,20181026,2315,2365,2080,2165,363592,191616,0,2385,2632,2455,2243
A036260,이매진아시아,20181025,2210,2320,2150,2315,381319,164050,0,2474,2658,2452,2241
A036260,이매진아시아,20181024,2500,2510,2330,2350,270396,107318,0,2528,2667,2446,2239
A036260,이매진아시아,20181023,2600,2605,2445,2525,133877,122821,0,2588,2678,2438,2236
A036260,이매진아시아,20181022,2570,2620,2465,2570,188085,127554,-286,2633,2683,2428,2231
A036260,이매진아시아,20181019,2585,2645,2445,2610,254455,131599,-11149,2647,2686,2420,2227
A036260,이매진아시아,20181018,2670,2670,2515,2585,241808,91222,0,2633,2689,2410,2222
A036260,이매진아시아,20181017,2750,2795,2560,2650,334718,75105,0,2625,2693,2402,2217
A036260,이매진아시아,20181016,2675,2760,2610,2750,338486,139479,0,2593,2696,2392,2212
A036260,이매진아시아,20181015,2530,2700,2420,2640,316487,143272,-23,2577,2686,2378,2207
A036260,이매진아시아,20181012,2600,2605,2500,2540,184325,193898,3200,2608,2684,2367,2202
