stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A036570,엔씨소프트,20190129,466500,469000,460500,465500,89814,10834836,9514,470700,475625,476792,441546
A036570,엔씨소프트,20190128,466000,469500,461500,463500,103224,10814230,7043,476800,475675,476217,440867
A036570,엔씨소프트,20190125,471000,473500,462000,467000,136450,10812598,-12580,483700,476700,475650,440217
A036570,엔씨소프트,20190124,477500,486500,468000,473500,95774,10845768,4125,489900,477025,474875,439554
A036570,엔씨소프트,20190123,495500,499000,483500,484000,68089,10872507,9074,491300,477175,473717,438829
A036570,엔씨소프트,20190122,498000,501000,493000,496000,48434,10884730,-73,487600,476975,472475,438025
A036570,엔씨소프트,20190121,500000,504000,493500,498000,61535,10884904,1964,483500,475550,471300,437092
A036570,엔씨소프트,20190118,484500,502000,482500,498000,123645,10886472,10790,480400,474775,470017,436142
A036570,엔씨소프트,20190117,466000,483000,463000,480500,115113,10871129,16450,478700,473725,468800,435167
A036570,엔씨소프트,20190116,476000,477500,459000,465500,116641,10867818,-3837,477000,473700,467900,434267
A036570,엔씨소프트,20190115,482500,488000,473000,475500,88024,10885580,6271,478800,475425,467175,433492
A036570,엔씨소프트,20190114,487000,493000,481000,482500,64728,10892406,5317,477500,477100,466183,432754
A036570,엔씨소프트,20190111,477000,490000,472000,489500,104444,10905684,15364,475500,478125,465075,431971
A036570,엔씨소프트,20190110,469000,476000,466000,472000,95616,10895461,852,470400,478525,463942,431162
A036570,엔씨소프트,20190109,467500,477500,466500,474500,62707,10899863,14013,466900,479800,462933,430521
A036570,엔씨소프트,20190108,476000,477500,462500,469000,59862,10909163,5968,465400,480500,461992,429838
A036570,엔씨소프트,20190107,460000,476500,460000,472500,99745,10883703,20843,464900,481375,460917,429158
A036570,엔씨소프트,20190104,455500,468000,455000,464000,85521,10870668,21206,467200,482650,460042,428442
A036570,엔씨소프트,20190103,467000,467000,450500,454500,86434,10898640,6401,469100,484075,459317,427717
A036570,엔씨소프트,20190102,464500,472500,461000,467000,83710,10905637,3800,473500,486075,458692,427004
A036570,엔씨소프트,20181228,475000,476000,464000,466500,122528,10898979,-4689,476100,488325,458125,426204
A036570,엔씨소프트,20181227,485000,487000,471500,484000,87402,10935809,-13653,476300,490400,457408,425362
A036570,엔씨소프트,20181226,472500,482500,468500,473500,102465,10962815,20130,476000,491450,456925,424333
A036570,엔씨소프트,20181224,480500,487000,474000,476500,76016,10959647,19110,476700,492025,456408,423442
A036570,엔씨소프트,20181221,468500,483500,460000,480000,227454,10987999,66542,477400,492850,455767,422562
A036570,엔씨소프트,20181220,482500,482500,466000,467500,121353,11027580,4281,481400,492550,455250,421562
A036570,엔씨소프트,20181219,481000,485000,476000,482500,58809,11005952,6183,489700,493125,454867,420821
A036570,엔씨소프트,20181218,478500,485000,473000,477000,87914,11009855,9434,493800,492775,454175,419867
A036570,엔씨소프트,20181217,500000,503000,479500,480000,99691,11010388,4259,497900,492725,453433,418992
A036570,엔씨소프트,20181214,507000,509000,491000,500000,90733,11028486,-7088,501400,492100,452600,418096
A036570,엔씨소프트,20181213,510000,510000,503000,509000,223965,11031676,-10937,499100,490400,451475,416954
