stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A037370,EG,20190129,15700,16550,15150,15250,1878245,37687,4516,15400,13090,11541,10105
A037370,EG,20190128,15050,16100,15050,16100,1183370,28647,-1000,15420,12898,11448,10048
A037370,EG,20190125,15000,15700,14550,14850,1372500,23353,1000,15480,12650,11334,9982
A037370,EG,20190124,15550,15600,15000,15200,800998,16615,-96,15040,12455,11234,9927
A037370,EG,20190123,15100,15700,15000,15600,1305637,29353,0,14390,12270,11121,9869
A037370,EG,20190122,16650,16800,15050,15350,2439325,26293,0,13650,12082,11035,9805
A037370,EG,20190121,12800,16400,12500,16400,5383328,41025,0,12940,11910,10951,9742
A037370,EG,20190118,12200,12950,12150,12650,1313673,32740,0,12040,11730,10833,9672
A037370,EG,20190117,11950,12550,11700,11950,566545,36847,-7386,11770,11725,10762,9633
A037370,EG,20190116,11850,12050,11750,11900,234902,34677,0,11640,11790,10715,9601
A037370,EG,20190115,11700,11850,11500,11800,265600,45853,0,11530,11840,10670,9571
A037370,EG,20190114,12850,13250,11850,11900,1270840,21041,0,11430,11885,10629,9544
A037370,EG,20190111,11450,11450,11150,11300,134882,49194,0,11400,11902,10589,9517
A037370,EG,20190110,11350,11750,11050,11300,257132,45567,1169,11510,11950,10562,9495
A037370,EG,20190109,11300,11500,11250,11350,105174,62877,0,11670,12000,10507,9473
A037370,EG,20190108,11700,11800,10950,11300,331372,46242,0,11780,11958,10449,9451
A037370,EG,20190107,11900,12000,11650,11750,215335,23722,0,11800,11912,10391,9430
A037370,EG,20190104,12100,12250,11600,11850,249650,22201,-3960,11680,11888,10335,9402
A037370,EG,20190103,11900,12650,11700,12100,752545,19427,0,11500,11855,10284,9373
A037370,EG,20190102,11600,11900,11250,11900,398659,34317,0,11380,11768,10229,9342
A037370,EG,20181228,11300,11700,11200,11400,262155,63669,0,11370,11668,10176,9313
A037370,EG,20181227,11350,11500,11100,11150,222586,64063,0,11470,11570,10136,9288
A037370,EG,20181226,11200,11750,10950,10950,384550,67717,0,11800,11478,10102,9264
A037370,EG,20181224,11700,12050,11500,11500,361293,36215,5384,12120,11393,10071,9243
A037370,EG,20181221,12100,12200,11650,11850,321298,49543,0,12470,11279,10034,9217
A037370,EG,20181220,12650,13200,11900,11900,756962,54310,0,12680,11144,9988,9188
A037370,EG,20181219,12550,13750,12350,12800,1475105,86572,0,12840,11016,9942,9161
A037370,EG,20181218,13500,14050,12400,12550,1352708,20853,0,12730,10854,9886,9129
A037370,EG,20181217,12850,13600,12700,13250,1036378,38371,0,12670,10704,9840,9100
A037370,EG,20181214,12750,13650,12550,12900,1396389,33614,0,12480,10533,9792,9064
A037370,EG,20181213,12850,13200,12350,12700,1227610,35318,-5384,12000,10384,9742,9030
A037370,EG,20181212,12700,14150,12150,12250,3981677,23840,0,11540,10256,9705,9000
A037370,EG,20181211,12100,12550,11950,12250,1307691,74084,0,11340,10135,9644,8972
A037370,EG,20181210,10500,13100,10500,12300,4601883,102585,0,11130,10028,9590,8952
A037370,EG,20181207,10550,11200,10400,10500,456723,99186,0,10740,9905,9523,8934
A037370,EG,20181206,11250,11450,10350,10400,472732,87949,0,10620,9892,9483,8931
A037370,EG,20181205,10950,11550,10750,11250,704500,76006,0,10432,9908,9444,8930
A037370,EG,20181204,10550,11600,10300,11200,972427,84304,0,10044,9878,9390,8922
A037370,EG,20181203,10000,10950,9860,10350,1145737,88959,0,9652,9832,9338,8915
A037370,EG,20181130,9600,10100,9420,9900,380625,91842,0,9426,9845,9299,8914
A037370,EG,20181129,9370,9660,9320,9460,72451,105704,0,9274,9865,9267,8916
A037370,EG,20181128,9240,9380,9240,9310,48063,103298,0,9250,9876,9243,8923
A037370,EG,20181127,9220,9490,9140,9240,71977,99678,0,9300,9872,9220,8931
A037370,EG,20181126,9110,9300,9100,9220,36149,93921,0,9362,9855,9201,8938
