stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A039230,에이아이비트,20190129,1205,1265,1130,1170,8798586,292025,0,1061,1133,1173,1313
A039230,에이아이비트,20190128,985,1230,965,1175,20106007,605628,0,1044,1134,1171,1315
A039230,에이아이비트,20190125,972,1010,920,970,3159413,382490,0,1031,1133,1168,1317
A039230,에이아이비트,20190124,1035,1035,930,966,3611860,573504,-5381,1076,1143,1168,1321
A039230,에이아이비트,20190123,1085,1090,1020,1025,909237,551376,0,1127,1152,1168,1325
A039230,에이아이비트,20190122,1105,1115,1055,1085,886626,575271,0,1169,1160,1167,1327
A039230,에이아이비트,20190121,1165,1165,1100,1110,1912268,623866,-4618,1184,1164,1167,1330
A039230,에이아이비트,20190118,1200,1245,1160,1195,2449687,842922,-3,1182,1167,1169,1333
A039230,에이아이비트,20190117,1235,1280,1170,1220,2638132,698016,47,1163,1165,1169,1335
A039230,에이아이비트,20190116,1170,1295,1150,1235,5775130,880770,49,1152,1162,1171,1338
A039230,에이아이비트,20190115,1105,1175,1090,1160,1254760,665159,51,1134,1160,1172,1342
A039230,에이아이비트,20190114,1110,1125,1070,1100,433989,638623,52,1137,1160,1175,1346
A039230,에이아이비트,20190111,1175,1180,1075,1100,702638,620970,49,1153,1162,1179,1350
A039230,에이아이비트,20190110,1150,1185,1140,1165,319598,681081,0,1169,1163,1183,1355
A039230,에이아이비트,20190109,1190,1190,1145,1145,404829,630717,48,1165,1162,1184,1359
A039230,에이아이비트,20190108,1200,1205,1160,1175,419543,676962,48,1167,1166,1185,1363
A039230,에이아이비트,20190107,1185,1200,1160,1180,112779,716872,0,1170,1167,1186,1366
A039230,에이아이비트,20190104,1145,1190,1115,1180,528592,728354,-2972,1166,1172,1189,1369
A039230,에이아이비트,20190103,1145,1200,1125,1145,328479,705096,49,1162,1178,1194,1372
A039230,에이아이비트,20190102,1195,1240,1135,1155,419865,745475,0,1165,1186,1198,1375
A039230,에이아이비트,20181228,1200,1200,1145,1190,615248,736823,0,1169,1194,1202,1380
A039230,에이아이비트,20181227,1185,1380,1150,1160,2464311,680352,0,1163,1196,1205,1384
A039230,에이아이비트,20181226,1125,1170,1085,1160,426859,649175,51,1167,1204,1209,1389
A039230,에이아이비트,20181224,1175,1195,1125,1160,682854,649951,48,1165,1214,1214,1394
A039230,에이아이비트,20181221,1160,1180,1130,1175,358105,627796,6,1167,1224,1220,1400
A039230,에이아이비트,20181220,1165,1175,1120,1160,401620,600631,-45,1168,1231,1226,1405
A039230,에이아이비트,20181219,1130,1190,1120,1180,648048,638005,-8046,1169,1235,1232,1410
A039230,에이아이비트,20181218,1160,1170,1110,1150,327765,681834,-2806,1162,1236,1237,1415
A039230,에이아이비트,20181217,1180,1185,1125,1170,255420,665538,-47,1156,1239,1243,1419
A039230,에이아이비트,20181214,1180,1205,1150,1180,352908,658814,0,1152,1241,1249,1423
A039230,에이아이비트,20181213,1145,1170,1120,1165,148687,630906,0,1161,1240,1254,1427
A039230,에이아이비트,20181212,1120,1150,1080,1145,301975,609489,0,1165,1239,1261,1431
A039230,에이아이비트,20181211,1150,1170,1085,1120,327892,572323,0,1191,1241,1269,1435
A039230,에이아이비트,20181210,1190,1190,1110,1150,426666,577113,0,1229,1243,1279,1440
A039230,에이아이비트,20181207,1185,1240,1100,1225,745607,608000,0,1261,1246,1287,1446
A039230,에이아이비트,20181206,1260,1280,1185,1185,259421,573038,0,1276,1246,1294,1450
A039230,에이아이비트,20181205,1295,1300,1225,1275,453445,572158,0,1289,1244,1303,1454
A039230,에이아이비트,20181204,1305,1330,1270,1310,582882,510327,0,1297,1234,1308,1458
A039230,에이아이비트,20181203,1310,1340,1285,1310,199638,448733,0,1306,1222,1314,1462
A039230,에이아이비트,20181130,1250,1370,1215,1300,893047,433994,0,1315,1207,1319,1463
A039230,에이아이비트,20181129,1315,1350,1185,1250,751862,402553,0,1320,1194,1325,1465
A039230,에이아이비트,20181128,1355,1375,1285,1315,537124,416098,0,1318,1183,1332,1467
A039230,에이아이비트,20181127,1370,1410,1280,1355,1075984,307629,0,1295,1168,1339,1469
A039230,에이아이비트,20181126,1335,1360,1300,1355,419772,262584,43,1264,1148,1345,1470
A039230,에이아이비트,20181123,1240,1370,1240,1325,2004520,265579,1851,1236,1127,1351,1471
A039230,에이아이비트,20181122,1245,1270,1205,1240,753304,195661,9046,1201,1111,1355,1473
A039230,에이아이비트,20181121,1160,1215,1145,1200,266008,227927,0,1183,1104,1359,1475
A039230,에이아이비트,20181120,1200,1215,1170,1200,159868,228013,47,1181,1103,1364,1478
A039230,에이아이비트,20181119,1155,1215,1115,1215,377516,237887,0,1174,1104,1370,1482
A039230,에이아이비트,20181116,1170,1185,1125,1150,176452,232888,0,1171,1109,1376,1484
A039230,에이아이비트,20181115,1200,1220,1150,1150,156132,226471,0,1185,1117,1383,1488
A039230,에이아이비트,20181114,1165,1225,1115,1190,219385,266840,0,1185,1128,1391,1492
A039230,에이아이비트,20181113,1150,1170,1100,1165,217061,296477,0,1161,1134,1397,1495
A039230,에이아이비트,20181112,1210,1275,1145,1200,438400,273372,0,1143,1141,1404,1499
A039230,에이아이비트,20181109,1195,1250,1150,1220,861572,279594,0,1105,1144,1410,1504
A039230,에이아이비트,20181108,1065,1150,1020,1150,876921,289168,0,1068,1145,1417,1508
A039230,에이아이비트,20181107,1090,1090,1035,1070,389869,373739,0,1045,1148,1424,1514
A039230,에이아이비트,20181106,1010,1190,1010,1075,1981550,394600,0,1034,1163,1431,1521
A039230,에이아이비트,20181105,1040,1055,992,1010,443632,506273,0,1011,1181,1438,1527
A039230,에이아이비트,20181102,1050,1065,998,1035,389848,534624,0,997,1201,1446,1533
A039230,에이아이비트,20181101,1010,1055,1005,1035,226379,538880,0,988,1219,1452,1540
A039230,에이아이비트,20181031,990,1030,970,1015,298022,534628,0,1001,1236,1459,1548
A039230,에이아이비트,20181030,851,1015,851,962,489555,501469,-38,1036,1256,1466,1555
A039230,에이아이비트,20181029,961,1035,899,939,402181,414005,0,1088,1280,1473,1564
A039230,에이아이비트,20181026,1075,1130,968,990,892848,420054,0,1162,1308,1481,1574
A039230,에이아이비트,20181025,1150,1150,1020,1100,633709,419943,0,1226,1335,1488,1583
A039230,에이아이비트,20181024,1215,1245,1035,1190,667971,353484,0,1280,1356,1492,1593
A039230,에이아이비트,20181023,1315,1350,1185,1220,258754,313944,0,1304,1372,1497,1601
A039230,에이아이비트,20181022,1300,1310,1270,1310,108221,319532,0,1323,1387,1501,1610
A039230,에이아이비트,20181019,1355,1360,1300,1310,232454,325035,0,1313,1396,1506,1619
A039230,에이아이비트,20181018,1310,1420,1240,1370,749591,326388,0,1296,1405,1511,1628
A039230,에이아이비트,20181017,1305,1350,1260,1310,227180,353335,0,1266,1417,1516,1638
A039230,에이아이비트,20181016,1260,1340,1260,1315,291540,406805,0,1278,1433,1521,1649
A039230,에이아이비트,20181015,1255,1280,1230,1260,352029,399033,0,1302,1452,1527,1659
A039230,에이아이비트,20181012,1180,1250,1155,1225,341806,358073,1110,1330,1470,1534,1670
A039230,에이아이비트,20181011,1330,1365,1220,1220,691659,357820,-34,1367,1493,1540,1682
A039230,에이아이비트,20181010,1455,1455,1345,1370,242983,298415,961,1395,1516,1545,1692
A039230,에이아이비트,20181008,1385,1440,1370,1435,266284,305512,0,1404,1528,1548,1702
A039230,에이아이비트,20181005,1390,1430,1335,1400,296260,331430,0,1407,1538,1550,1711
A039230,에이아이비트,20181004,1390,1420,1315,1410,318230,355793,0,1426,1550,1553,1719
A039230,에이아이비트,20181002,1405,1455,1310,1360,596759,393604,0,1450,1562,1557,1727
A039230,에이아이비트,20181001,1455,1475,1400,1415,315179,419870,39,1482,1576,1563,1735
A039230,에이아이비트,20180928,1515,1520,1435,1450,420405,439452,0,1504,1595,1569,1744
A039230,에이아이비트,20180927,1535,1540,1470,1495,398702,428075,0,1515,1607,1574,1755
A039230,에이아이비트,20180921,1525,1535,1495,1530,255110,461906,0,1516,1617,1579,1765
A039230,에이아이비트,20180920,1525,1540,1490,1520,292929,456197,0,1508,1619,1584,1773
A039230,에이아이비트,20180919,1475,1565,1460,1525,684332,484725,0,1524,1618,1588,1780
A039230,에이아이비트,20180918,1500,1520,1440,1505,447848,514565,0,1547,1616,1592,1787
A039230,에이아이비트,20180917,1520,1520,1400,1500,989506,469521,0,1582,1620,1595,1793
A039230,에이아이비트,20180914,1565,1585,1420,1490,1634656,306661,0,1608,1622,1597,1798
A039230,에이아이비트,20180913,1640,1645,1580,1600,518241,283322,1,1647,1628,1599,1804
A039230,에이아이비트,20180912,1750,1750,1630,1640,1045240,263027,0,1663,1627,1601,1809
A039230,에이아이비트,20180911,1640,1800,1580,1680,1652132,279878,0,1658,1624,1600,1814
A039230,에이아이비트,20180910,1725,1775,1600,1630,1099285,293080,0,1650,1618,1601,1819
A039230,에이아이비트,20180907,1665,1730,1640,1685,882746,319340,34,1650,1617,1604,1825
A039230,에이아이비트,20180906,1630,1700,1600,1680,775536,344605,0,1645,1613,1605,1830
A039230,에이아이비트,20180905,1650,1655,1610,1615,312022,290058,0,1637,1606,1606,1835
A039230,에이아이비트,20180904,1610,1685,1610,1640,410754,291731,0,1670,1602,1608,1841
A039230,에이아이비트,20180903,1660,1660,1610,1630,363090,265913,0,1682,1594,1609,1846
A039230,에이아이비트,20180831,1635,1685,1615,1660,549122,254221,0,1694,1586,1608,1851
A039230,에이아이비트,20180830,1780,1810,1565,1640,2216987,239813,0,1675,1574,1605,1856
A039230,에이아이비트,20180829,1690,1800,1690,1780,1689415,493278,0,1648,1564,1602,1862
A039230,에이아이비트,20180828,1715,1780,1670,1700,1032986,266158,0,1591,1546,1598,1866
A039230,에이아이비트,20180827,1585,1690,1565,1690,1920264,367062,0,1564,1532,1595,1870
A039230,에이아이비트,20180824,1515,1570,1500,1565,738661,268569,0,1538,1520,1592,1876
A039230,에이아이비트,20180823,1500,1520,1480,1505,213913,281881,0,1544,1510,1591,1882
A039230,에이아이비트,20180822,1550,1590,1470,1495,603852,300514,0,1560,1502,1592,1889
