stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A039340,한국경제TV,20190129,4160,4160,4050,4070,48994,206477,2049,4144,3932,3843,3782
A039340,한국경제TV,20190128,4180,4210,4120,4170,91569,206557,3374,4116,3922,3832,3779
A039340,한국경제TV,20190125,4230,4230,4145,4185,73392,208187,0,4066,3908,3817,3774
A039340,한국경제TV,20190124,4200,4200,4110,4165,147065,209974,12063,4011,3893,3801,3769
A039340,한국경제TV,20190123,3930,4300,3930,4130,650697,211851,4627,3957,3881,3785,3764
A039340,한국경제TV,20190122,3920,3950,3870,3930,73758,233551,3492,3913,3871,3774,3759
A039340,한국경제TV,20190121,3930,3940,3875,3920,43493,227853,3505,3895,3870,3766,3756
A039340,한국경제TV,20190118,3895,3950,3840,3910,73838,227367,-14,3866,3869,3759,3752
A039340,한국경제TV,20190117,3920,3930,3875,3895,55485,227144,-348,3840,3867,3752,3748
A039340,한국경제TV,20190116,3850,3940,3840,3910,110306,225445,-120,3811,3863,3748,3745
A039340,한국경제TV,20190115,3775,3840,3760,3840,65380,212236,-105,3789,3858,3744,3742
A039340,한국경제TV,20190114,3780,3790,3720,3775,85788,206871,15,3786,3857,3739,3740
A039340,한국경제TV,20190111,3790,3795,3705,3780,38628,201882,95,3805,3863,3738,3738
A039340,한국경제TV,20190110,3785,3865,3730,3750,42971,200209,140,3825,3865,3736,3738
A039340,한국경제TV,20190109,3825,3835,3755,3800,32589,202831,0,3854,3874,3733,3737
A039340,한국경제TV,20190108,3845,3850,3790,3825,28770,205960,70,3880,3881,3730,3736
A039340,한국경제TV,20190107,3880,3910,3840,3870,23473,211868,0,3892,3882,3725,3734
A039340,한국경제TV,20190104,3890,3890,3790,3880,35879,210930,-185,3895,3883,3722,3733
A039340,한국경제TV,20190103,3930,3960,3875,3895,38335,216914,14,3895,3882,3720,3730
A039340,한국경제TV,20190102,3880,3980,3850,3930,160503,220566,-1100,3902,3882,3716,3729
A039340,한국경제TV,20181228,3900,3905,3855,3885,39434,212254,-400,3901,3877,3714,3727
A039340,한국경제TV,20181227,3830,3950,3830,3885,31436,206795,-2535,3905,3873,3713,3726
A039340,한국경제TV,20181226,3900,3955,3835,3880,99448,206506,-1162,3910,3868,3714,3725
A039340,한국경제TV,20181224,3925,3950,3880,3930,53220,206925,-490,3909,3863,3714,3724
A039340,한국경제TV,20181221,3905,3950,3875,3925,30433,208731,-10,3886,3854,3713,3724
A039340,한국경제TV,20181220,3910,3910,3860,3905,22261,208216,24,3863,3843,3711,3722
A039340,한국경제TV,20181219,3850,3920,3845,3910,92686,208254,-2905,3846,3838,3710,3722
A039340,한국경제TV,20181218,3750,3875,3750,3875,168045,205662,-65,3841,3835,3708,3722
A039340,한국경제TV,20181217,3745,3820,3730,3815,8979,209242,285,3832,3833,3706,3722
A039340,한국경제TV,20181214,3840,3860,3725,3810,42190,212117,989,3855,3837,3706,3723
A039340,한국경제TV,20181213,3875,3925,3820,3820,42135,212772,0,3879,3836,3707,3725
A039340,한국경제TV,20181212,3850,3900,3840,3885,26705,209968,-830,3885,3836,3708,3727
A039340,한국경제TV,20181211,3930,4000,3830,3830,73546,207653,-995,3887,3832,3708,3728
A039340,한국경제TV,20181210,3930,3980,3875,3930,184209,209469,-1563,3893,3826,3710,3731
A039340,한국경제TV,20181207,3850,3930,3805,3930,144302,200022,-496,3884,3813,3710,3734
A039340,한국경제TV,20181206,3860,3930,3810,3850,124669,187653,-11609,3866,3798,3709,3736
A039340,한국경제TV,20181205,3790,3905,3780,3895,118549,196104,5,3856,3786,3710,3738
A039340,한국경제TV,20181204,3885,3885,3830,3860,23036,189158,-135,3833,3771,3709,3739
A039340,한국경제TV,20181203,3840,3895,3835,3885,22233,188245,-30,3819,3756,3708,3741
