stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A039980,리노스,20190129,2180,2180,2110,2140,217645,1105676,0,2172,2098,1979,2108
A039980,리노스,20190128,2185,2190,2145,2180,152867,1140016,0,2184,2092,1973,2109
A039980,리노스,20190125,2165,2200,2160,2190,176842,1135925,26,2198,2084,1965,2109
A039980,리노스,20190124,2180,2195,2140,2170,235548,1121657,0,2214,2074,1956,2110
A039980,리노스,20190123,2180,2230,2150,2180,259478,1142765,0,2208,2066,1946,2110
A039980,리노스,20190122,2250,2255,2170,2200,525212,1154497,0,2212,2056,1941,2110
A039980,리노스,20190121,2290,2300,2225,2250,427239,1143368,0,2188,2039,1936,2109
A039980,리노스,20190118,2190,2405,2160,2270,2388420,1174723,-2,2148,2019,1931,2108
A039980,리노스,20190117,2265,2265,2140,2140,651559,1157480,0,2098,1998,1926,2106
A039980,리노스,20190116,2095,2260,2060,2200,933020,1224101,-29,2070,1986,1925,2106
A039980,리노스,20190115,2040,2090,2035,2080,208105,1166743,-29,2035,1974,1924,2105
A039980,리노스,20190114,2030,2070,2010,2050,243126,1161454,0,2017,1969,1924,2106
A039980,리노스,20190111,1990,2055,1980,2020,124423,1115666,0,2000,1963,1927,2107
A039980,리노스,20190110,2025,2035,2000,2000,82517,1100822,0,1989,1959,1926,2109
A039980,리노스,20190109,2000,2055,1995,2025,222887,1107004,0,1983,1956,1925,2111
A039980,리노스,20190108,1995,2045,1980,1990,242111,1150952,0,1971,1956,1924,2112
A039980,리노스,20190107,1975,1995,1900,1965,200734,1115118,0,1979,1955,1923,2114
A039980,리노스,20190104,1940,1975,1890,1965,133258,1064227,0,1992,1958,1924,2116
A039980,리노스,20190103,1980,2015,1915,1970,236878,1067814,29,1996,1961,1929,2117
A039980,리노스,20190102,2065,2065,1935,1965,160387,1028388,0,2004,1963,1935,2118
A039980,리노스,20181228,2020,2085,2010,2030,171176,1022292,0,2004,1965,1942,2120
A039980,리노스,20181227,2015,2055,1990,2030,198178,1038759,-48126,1972,1963,1948,2122
A039980,리노스,20181226,2013,2013,1951,1984,255670,1023509,0,1937,1958,1954,2123
A039980,리노스,20181224,1975,2051,1942,2013,661769,1023167,45835,1908,1957,1961,2124
A039980,리노스,20181221,1870,2137,1865,1965,2812855,955392,28,1885,1953,1968,2126
A039980,리노스,20181220,1851,1894,1841,1870,123615,1170200,0,1884,1951,1977,2129
A039980,리노스,20181219,1832,1865,1817,1851,139397,1153212,29,1907,1952,1985,2133
A039980,리노스,20181218,1851,1879,1784,1841,211620,1154034,29,1923,1956,1994,2138
A039980,리노스,20181217,1927,1946,1870,1899,108277,1170207,0,1942,1958,2005,2143
A039980,리노스,20181214,1989,2008,1927,1961,129371,1190454,0,1953,1957,2016,2147
A039980,리노스,20181213,1932,1984,1908,1984,170642,1221068,0,1964,1951,2024,2151
A039980,리노스,20181212,1937,1956,1899,1932,189359,1198517,0,1961,1942,2032,2157
A039980,리노스,20181211,1984,1984,1908,1932,80253,1193970,0,1979,1936,2040,2161
