stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A041020,인프라웨어,20190129,1490,1495,1440,1455,72699,784118,0,1463,1468,1420,1603
A041020,인프라웨어,20190128,1480,1495,1455,1470,85158,788887,0,1466,1464,1420,1607
A041020,인프라웨어,20190125,1475,1495,1455,1470,104832,798649,0,1471,1458,1420,1610
A041020,인프라웨어,20190124,1450,1495,1440,1465,98849,815251,700,1476,1451,1418,1613
A041020,인프라웨어,20190123,1445,1490,1445,1455,73631,816922,0,1485,1444,1416,1616
A041020,인프라웨어,20190122,1520,1520,1440,1470,143931,821346,0,1502,1438,1416,1618
A041020,인프라웨어,20190121,1500,1550,1455,1495,119813,826783,1038,1511,1431,1415,1621
A041020,인프라웨어,20190118,1545,1545,1465,1495,132725,843137,-42,1509,1425,1415,1624
A041020,인프라웨어,20190117,1555,1560,1505,1510,89955,817683,-4,1506,1418,1416,1628
A041020,인프라웨어,20190116,1500,1540,1445,1540,165562,824918,3616,1489,1410,1418,1631
A041020,인프라웨어,20190115,1485,1525,1475,1515,82955,811328,38,1472,1400,1420,1635
A041020,인프라웨어,20190114,1480,1490,1455,1485,77761,809542,39,1462,1393,1423,1639
A041020,인프라웨어,20190111,1420,1560,1420,1480,474909,802384,38,1455,1385,1425,1644
A041020,인프라웨어,20190110,1430,1450,1420,1425,67674,847361,0,1451,1377,1426,1650
A041020,인프라웨어,20190109,1465,1500,1430,1455,98349,848618,4393,1447,1373,1428,1655
A041020,인프라웨어,20190108,1445,1475,1445,1465,37478,853409,39,1435,1368,1430,1660
A041020,인프라웨어,20190107,1495,1495,1440,1450,40116,856299,0,1419,1362,1432,1664
A041020,인프라웨어,20190104,1400,1495,1370,1460,166059,859266,40,1395,1359,1435,1669
A041020,인프라웨어,20190103,1415,1415,1380,1405,44854,866883,41,1370,1356,1439,1673
A041020,인프라웨어,20190102,1400,1445,1390,1395,69782,871054,0,1353,1357,1445,1677
A041020,인프라웨어,20181228,1350,1400,1345,1385,104938,873090,0,1342,1358,1453,1682
A041020,인프라웨어,20181227,1350,1355,1315,1330,23230,853186,0,1333,1360,1461,1687
A041020,인프라웨어,20181226,1320,1350,1295,1335,139065,849785,0,1341,1365,1470,1692
A041020,인프라웨어,20181224,1340,1350,1300,1320,61294,851506,0,1344,1368,1480,1698
A041020,인프라웨어,20181221,1340,1370,1325,1340,49431,852173,42,1350,1372,1489,1704
A041020,인프라웨어,20181220,1380,1380,1310,1340,119599,849927,41,1351,1376,1498,1710
A041020,인프라웨어,20181219,1350,1385,1320,1370,61476,857236,42,1357,1381,1508,1716
A041020,인프라웨어,20181218,1360,1360,1335,1350,53064,855763,0,1350,1386,1517,1722
A041020,인프라웨어,20181217,1345,1360,1310,1350,36059,1079774,0,1342,1392,1527,1728
A041020,인프라웨어,20181214,1385,1405,1325,1345,57593,1082432,0,1341,1398,1537,1733
A041020,인프라웨어,20181213,1365,1380,1335,1370,55341,1085857,0,1345,1400,1548,1739
A041020,인프라웨어,20181212,1320,1355,1315,1335,39570,1078320,0,1339,1399,1559,1745
A041020,인프라웨어,20181211,1380,1380,1300,1310,70067,1073847,0,1350,1402,1570,1750
