stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A041710,씽크풀,20190129,5500,6040,5500,5950,6337,0,0,6088,6070,6078,6159
A041710,씽크풀,20190128,6100,6100,5810,5950,7135,0,0,6156,6104,6082,6160
A041710,씽크풀,20190125,6360,6360,5980,6000,66,0,0,6218,6117,6088,6162
A041710,씽크풀,20190124,6440,6440,6000,6280,756,0,0,6258,6123,6092,6165
A041710,씽크풀,20190123,6200,6260,5950,6260,1806,0,0,6204,6114,6089,6163
A041710,씽크풀,20190122,6390,6390,5950,6290,2017,0,0,6122,6101,6088,6162
A041710,씽크풀,20190121,6280,6280,6200,6260,4,0,0,6054,6092,6088,6160
A041710,씽크풀,20190118,6190,6200,6180,6200,270,0,0,6002,6070,6094,6160
A041710,씽크풀,20190117,5820,6050,5820,6010,1020,0,0,5970,6049,6096,6160
A041710,씽크풀,20190116,5750,6010,5750,5850,705,0,0,5986,6038,6100,6162
A041710,씽크풀,20190115,4130,6040,4130,5950,686,0,0,6022,6036,6108,6165
A041710,씽크풀,20190114,5900,6020,5850,6000,2767,0,0,6032,6028,6114,6169
A041710,씽크풀,20190111,6050,6050,6030,6040,337,0,0,6062,6024,6119,6171
A041710,씽크풀,20190110,6260,6260,6000,6090,222,0,0,6054,6012,6122,6173
A041710,씽크풀,20190109,5140,6090,5140,6030,2698,0,0,6016,5998,6124,6175
A041710,씽크풀,20190108,6140,6140,5800,6000,1101,0,0,6048,5986,6127,6181
A041710,씽크풀,20190107,6200,6200,5700,6150,3386,0,0,6176,5976,6131,6183
A041710,씽크풀,20190104,5860,6200,5800,6000,2200,0,0,6186,5954,6134,6184
A041710,씽크풀,20190103,5810,6790,5810,5900,2695,0,0,6210,5964,6142,6190
A041710,씽크풀,20190102,5810,6300,5800,6190,1350,0,0,6250,5974,6150,6192
A041710,씽크풀,20181228,6640,6640,6610,6640,3,0,0,6212,5980,6153,6192
A041710,씽크풀,20181227,6190,6280,5900,6200,2631,0,0,6108,5945,6152,6189
A041710,씽크풀,20181226,6200,6200,5600,6120,2056,0,0,6028,5939,6158,6190
A041710,씽크풀,20181224,6120,6120,5710,6100,1054,0,0,5962,5936,6164,6192
A041710,씽크풀,20181221,6000,6000,5700,6000,881,0,0,5900,5936,6167,6195
A041710,씽크풀,20181220,6140,6140,5700,6120,3016,0,0,5860,5941,6171,6197
A041710,씽크풀,20181219,5790,5800,5790,5800,960,0,0,5796,5932,6173,6197
A041710,씽크풀,20181218,5750,5790,5750,5790,300,0,0,5820,5938,6180,6199
A041710,씽크풀,20181217,5600,5790,5600,5790,4048,0,0,5822,5963,6186,6205
A041710,씽크풀,20181214,5700,5800,5700,5800,1920,0,0,5824,5988,6192,6208
A041710,씽크풀,20181213,5700,5800,5700,5800,4180,0,0,5824,6014,6197,6211
A041710,씽크풀,20181212,5700,6000,5700,5920,2151,0,0,5824,6038,6203,6215
A041710,씽크풀,20181211,5700,5800,5700,5800,1740,0,0,5784,6057,6207,6217
A041710,씽크풀,20181210,5600,5800,5600,5800,281,0,0,5864,6084,6214,6221
A041710,씽크풀,20181207,5800,5800,5800,5800,4570,0,0,5922,6108,6219,6225
A041710,씽크풀,20181206,5800,5800,5800,5800,10,0,0,6022,6132,6226,6228
A041710,씽크풀,20181205,5800,5800,5700,5720,7370,0,0,6052,6158,6232,6231
A041710,씽크풀,20181204,5900,6200,5800,6200,8370,0,0,6124,6179,6239,6234
A041710,씽크풀,20181203,6030,6090,5900,6090,5560,0,0,6098,6179,6238,6235
A041710,씽크풀,20181130,5950,6300,5950,6300,7030,0,0,6100,6184,6238,6236
A041710,씽크풀,20181129,6080,6080,5950,5950,3110,0,0,6058,6184,6238,6235
A041710,씽크풀,20181128,6070,6080,5950,6080,1240,0,0,6058,6197,6244,6237
A041710,씽크풀,20181127,6050,6100,5800,6070,14235,0,0,6022,6208,6248,6238
