stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A041910,에스텍파마,20190129,8780,8890,8620,8720,36400,534315,6000,8704,8364,8622,9720
A041910,에스텍파마,20190128,8630,8950,8630,8780,71248,538018,0,8664,8340,8621,9736
A041910,에스텍파마,20190125,8800,8800,8540,8630,75916,522684,0,8572,8296,8614,9752
A041910,에스텍파마,20190124,8690,8790,8600,8700,58555,535678,0,8516,8252,8610,9766
A041910,에스텍파마,20190123,8530,8750,8470,8690,94006,540624,0,8432,8222,8600,9780
A041910,에스텍파마,20190122,8280,8540,8280,8520,62542,526840,0,8376,8194,8615,9794
A041910,에스텍파마,20190121,8360,8450,8300,8320,26091,517526,0,8352,8170,8643,9808
A041910,에스텍파마,20190118,8230,8390,8230,8350,26970,515964,-4,8352,8169,8670,9824
A041910,에스텍파마,20190117,8400,8550,8250,8280,35138,513099,0,8352,8148,8711,9840
A041910,에스텍파마,20190116,8500,8500,8300,8410,29633,513575,0,8344,8137,8766,9862
A041910,에스텍파마,20190115,8260,8480,8260,8400,35956,519850,0,8320,8136,8811,9882
A041910,에스텍파마,20190114,8360,8420,8310,8320,35864,511424,0,8254,8152,8834,9905
A041910,에스텍파마,20190111,8310,8370,8200,8350,56332,508116,0,8202,8168,8861,9933
A041910,에스텍파마,20190110,8300,8330,8170,8240,39167,507739,0,8136,8175,8884,9957
A041910,에스텍파마,20190109,8090,8300,8090,8290,65474,513787,0,8072,8185,8905,9985
A041910,에스텍파마,20190108,8080,8390,8040,8070,96273,501275,0,8058,8206,8931,10007
A041910,에스텍파마,20190107,8330,8330,8060,8060,27834,496210,0,8092,8238,8959,10024
A041910,에스텍파마,20190104,7860,8020,7730,8020,36499,499264,0,8056,8290,8997,10043
A041910,에스텍파마,20190103,8120,8240,7900,7920,43988,498407,0,8002,8350,9039,10062
A041910,에스텍파마,20190102,8340,8400,8150,8220,34423,518138,0,8038,8418,9085,10082
A041910,에스텍파마,20181228,7880,8380,7880,8240,96674,516604,0,8024,8464,9136,10097
A041910,에스텍파마,20181227,7910,8070,7750,7880,55453,479701,0,7980,8511,9190,10115
A041910,에스텍파마,20181226,7890,8040,7680,7750,74736,459777,0,8066,8576,9256,10133
A041910,에스텍파마,20181224,8060,8300,7990,8100,43659,472446,0,8104,8649,9333,10149
A041910,에스텍파마,20181221,8520,8610,8070,8150,163954,487340,0,8094,8698,9408,10168
A041910,에스텍파마,20181220,8310,8350,7970,8020,55855,517322,0,8144,8735,9477,10187
A041910,에스텍파마,20181219,7930,8350,7930,8310,64711,523895,0,8284,8784,9543,10210
A041910,에스텍파마,20181218,7860,8090,7830,7940,65830,515838,0,8348,8828,9594,10232
A041910,에스텍파마,20181217,8240,8380,7990,8050,84928,506115,0,8458,8890,9653,10256
A041910,에스텍파마,20181214,8780,8780,8360,8400,57089,514819,0,8536,8952,9705,10280
A041910,에스텍파마,20181213,8630,8750,8560,8720,28732,535488,0,8598,8980,9759,10298
A041910,에스텍파마,20181212,8520,8650,8510,8630,28141,527995,0,8594,8986,9804,10314
A041910,에스텍파마,20181211,8490,8800,8450,8490,41197,521151,0,8692,8998,9851,10326
A041910,에스텍파마,20181210,8560,8700,8400,8440,45781,525353,0,8834,9008,9898,10346
A041910,에스텍파마,20181207,8720,8930,8690,8710,47087,522496,0,9002,9012,9944,10374
A041910,에스텍파마,20181206,9200,9200,8640,8700,87525,519209,0,9092,9024,9986,10401
A041910,에스텍파마,20181205,8970,9210,8970,9120,53761,547094,0,9186,9049,10027,10427
A041910,에스텍파마,20181204,9300,9360,9120,9200,41497,542507,0,9198,9046,10067,10451
A041910,에스텍파마,20181203,9330,9590,9190,9280,86544,540516,4,9200,9050,10111,10477
A041910,에스텍파마,20181130,9240,9280,9090,9160,35010,535480,0,9162,9042,10154,10504
