stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A041930,동아화성,20190129,5550,6230,5450,5990,2718146,121906,0,5652,4764,3896,3724
A041930,동아화성,20190128,5600,5670,5450,5490,390736,118377,0,5584,4666,3849,3705
A041930,동아화성,20190125,5450,5720,5360,5450,869367,161975,0,5686,4584,3809,3691
A041930,동아화성,20190124,5660,5820,5550,5580,519736,118507,-187,5612,4508,3768,3677
A041930,동아화성,20190123,5550,5940,5480,5750,751344,124476,0,5421,4428,3724,3662
A041930,동아화성,20190122,6170,6500,5540,5650,1255596,144155,-9010,5192,4342,3683,3645
A041930,동아화성,20190121,5110,6100,4980,6000,3360198,147254,-8572,4948,4257,3647,3629
A041930,동아화성,20190118,4650,5290,4645,5080,1990674,165294,-4926,4627,4160,3606,3610
A041930,동아화성,20190117,4720,4895,4490,4625,892283,203699,0,4471,4108,3581,3599
A041930,동아화성,20190116,4460,4605,4400,4605,602174,215644,0,4408,4072,3564,3593
A041930,동아화성,20190115,4445,4470,4320,4430,325999,196983,0,4247,4038,3550,3588
A041930,동아화성,20190114,4305,4400,4250,4395,410617,255814,0,4116,4007,3538,3583
A041930,동아화성,20190111,4285,4380,4205,4300,613252,261158,0,4009,3982,3526,3580
A041930,동아화성,20190110,3815,4740,3810,4310,3452573,196024,-5107,3945,3934,3515,3577
A041930,동아화성,20190109,3835,3850,3760,3800,68917,239645,0,3891,3885,3503,3574
A041930,동아화성,20190108,3855,3865,3750,3775,101574,229623,0,3965,3858,3498,3575
A041930,동아화성,20190107,4000,4000,3805,3860,197791,227743,0,4015,3832,3492,3576
A041930,동아화성,20190104,3995,4030,3935,3980,92771,216505,0,4014,3808,3489,3576
A041930,동아화성,20190103,4270,4285,4000,4040,204759,209556,0,4006,3772,3485,3575
A041930,동아화성,20190102,4075,4220,3980,4170,349851,230929,0,3993,3734,3478,3573
A041930,동아화성,20181228,3890,4025,3845,4025,154846,220602,0,3962,3688,3468,3571
A041930,동아화성,20181227,4090,4095,3845,3855,82799,205386,0,3950,3648,3461,3570
A041930,동아화성,20181226,3980,4000,3805,3940,203425,204481,0,3989,3617,3457,3570
A041930,동아화성,20181224,4015,4270,3950,3975,164064,205209,0,4009,3581,3451,3569
A041930,동아화성,20181221,3965,4170,3870,4015,284060,218586,-5225,3998,3542,3444,3569
A041930,동아화성,20181220,4010,4125,3875,3965,214643,216094,475,3980,3499,3436,3569
A041930,동아화성,20181219,4160,4550,4050,4050,1537125,201287,-750,3947,3458,3429,3570
A041930,동아화성,20181218,3925,4100,3800,4040,688957,216809,5576,3918,3416,3420,3570
A041930,동아화성,20181217,3985,3985,3825,3920,412974,221412,0,3775,3373,3411,3571
A041930,동아화성,20181214,3780,3930,3765,3925,506538,219851,0,3657,3339,3405,3573
A041930,동아화성,20181213,3905,3905,3750,3800,597892,225798,0,3526,3305,3398,3574
A041930,동아화성,20181212,3365,4255,3365,3905,3024047,210055,0,3416,3276,3393,3577
A041930,동아화성,20181211,3305,3385,3250,3325,26553,233117,0,3310,3243,3388,3579
A041930,동아화성,20181210,3300,3355,3270,3330,45834,235044,0,3299,3239,3392,3587
A041930,동아화성,20181207,3345,3345,3230,3270,23395,234737,0,3287,3232,3397,3595
A041930,동아화성,20181206,3455,3455,3250,3250,35541,233594,0,3285,3238,3402,3604
A041930,동아화성,20181205,3290,3450,3240,3375,46978,239339,0,3278,3243,3408,3614
A041930,동아화성,20181204,3245,3280,3245,3270,11440,238256,0,3250,3240,3412,3622
A041930,동아화성,20181203,3230,3285,3230,3270,11261,238677,0,3240,3239,3418,3632
A041930,동아화성,20181130,3270,3270,3135,3260,34964,237895,0,3228,3236,3425,3641
A041930,동아화성,20181129,3275,3275,3145,3215,22356,238659,0,3206,3235,3431,3650
A041930,동아화성,20181128,3230,3285,3200,3235,11721,238732,0,3193,3233,3437,3660
A041930,동아화성,20181127,3210,3290,3180,3220,7399,239023,0,3184,3227,3442,3670
A041930,동아화성,20181126,3175,3230,3155,3210,40642,238449,0,3178,3214,3447,3679
A041930,동아화성,20181123,3150,3160,3100,3150,34051,239160,0,3183,3200,3452,3688
A041930,동아화성,20181122,3240,3240,3150,3150,17386,240479,0,3202,3210,3458,3698
A041930,동아화성,20181121,3150,3415,3120,3190,136329,241743,0,3217,3226,3465,3709
A041930,동아화성,20181120,3260,3260,3160,3190,13160,249580,7157,3229,3244,3469,3719
A041930,동아화성,20181119,3250,3255,3225,3235,16436,250098,0,3238,3261,3474,3729
A041930,동아화성,20181116,3300,3300,3220,3245,3604,251898,0,3231,3281,3477,3738
A041930,동아화성,20181115,3280,3280,3180,3225,10777,252441,5000,3261,3306,3479,3747
A041930,동아화성,20181114,3250,3270,3170,3250,17779,252978,6400,3284,3331,3483,3755
A041930,동아화성,20181113,3115,3235,3105,3235,18131,253516,2657,3295,3352,3489,3763
A041930,동아화성,20181112,3390,3395,3180,3200,67525,254103,10000,3300,3372,3495,3771
A041930,동아화성,20181109,3350,3395,3275,3395,4400,251888,0,3303,3393,3504,3780
A041930,동아화성,20181108,3310,3430,3310,3340,13803,252619,5433,3271,3398,3510,3787
A041930,동아화성,20181107,3270,3315,3240,3305,12634,253348,5145,3237,3401,3517,3795
A041930,동아화성,20181106,3215,3260,3145,3260,8268,255963,5170,3201,3420,3525,3803
A041930,동아화성,20181105,3205,3220,3135,3215,7808,255777,2258,3138,3444,3533,3810
A041930,동아화성,20181102,3120,3270,3120,3235,7887,257252,1512,3085,3464,3542,3819
A041930,동아화성,20181101,3125,3235,3125,3170,13177,257747,2233,3104,3482,3552,3827
A041930,동아화성,20181031,3000,3125,2965,3125,23616,259808,300,3164,3503,3562,3837
A041930,동아화성,20181030,2905,3085,2830,2945,80789,255844,22992,3252,3528,3572,3846
A041930,동아화성,20181029,3250,3395,2950,2950,64960,252225,0,3368,3558,3586,3858
A041930,동아화성,20181026,3470,3565,3200,3330,49607,256850,0,3506,3588,3599,3870
A041930,동아화성,20181025,3530,3685,3435,3470,58548,258761,17977,3589,3600,3607,3880
A041930,동아화성,20181024,3525,3720,3525,3565,62344,260458,20000,3639,3603,3611,3888
A041930,동아화성,20181023,3635,3640,3500,3525,36239,264575,12576,3662,3601,3614,3896
A041930,동아화성,20181022,3745,3745,3640,3640,20220,267080,0,3684,3600,3618,3903
A041930,동아화성,20181019,3670,3745,3650,3745,34728,270635,3250,3677,3594,3622,3908
A041930,동아화성,20181018,3655,3720,3650,3720,39338,270609,6341,3627,3583,3625,3913
A041930,동아화성,20181017,3635,3710,3605,3680,60162,264583,5337,3564,3573,3629,3919
A041930,동아화성,20181016,3615,3665,3585,3635,118755,257002,10497,3566,3568,3634,3924
A041930,동아화성,20181015,3505,3695,3505,3605,111828,254598,14934,3588,3566,3639,3930
A041930,동아화성,20181012,3355,3495,3355,3495,36849,260846,10840,3587,3565,3645,3936
A041930,동아화성,20181011,3520,3645,3375,3405,128092,266682,12203,3609,3571,3651,3943
A041930,동아화성,20181010,3745,3805,3500,3690,93604,276199,17056,3646,3580,3659,3951
A041930,동아화성,20181008,3600,3820,3580,3745,94357,285750,16000,3631,3578,3662,3956
A041930,동아화성,20181005,3560,3625,3560,3600,15986,283327,11667,3592,3572,3664,3961
A041930,동아화성,20181004,3595,3625,3570,3605,23202,286894,10105,3582,3574,3669,3968
A041930,동아화성,20181002,3585,3635,3580,3590,43308,296033,18430,3575,3575,3674,3974
A041930,동아화성,20181001,3560,3620,3560,3615,26643,297324,1073,3563,3575,3679,3981
A041930,동아화성,20180928,3550,3640,3550,3550,43998,297212,20000,3544,3572,3682,3988
A041930,동아화성,20180927,3570,3595,3550,3550,16382,297305,0,3536,3570,3688,3995
A041930,동아화성,20180921,3575,3575,3530,3570,11957,298414,0,3532,3567,3694,4003
A041930,동아화성,20180920,3565,3565,3500,3530,14448,299396,0,3521,3566,3701,4009
A041930,동아화성,20180919,3545,3565,3515,3520,7555,301126,0,3518,3565,3711,4016
A041930,동아화성,20180918,3530,3575,3500,3510,24498,302868,0,3530,3563,3720,4023
A041930,동아화성,20180917,3515,3535,3485,3530,10447,301203,0,3547,3560,3731,4030
A041930,동아화성,20180914,3515,3545,3485,3515,23405,301466,0,3558,3554,3740,4036
A041930,동아화성,20180913,3560,3560,3480,3515,24067,299912,0,3578,3549,3750,4044
A041930,동아화성,20180912,3595,3645,3430,3580,21349,298896,0,3594,3545,3761,4053
A041930,동아화성,20180911,3570,3740,3570,3595,74049,299821,0,3606,3546,3770,4060
A041930,동아화성,20180910,3650,3650,3580,3585,24650,300925,-72,3612,3546,3781,4067
A041930,동아화성,20180907,3545,3665,3545,3615,12496,301912,0,3623,3553,3794,4074
A041930,동아화성,20180906,3600,3645,3570,3595,13896,302775,15,3626,3560,3806,4081
A041930,동아화성,20180905,3675,3680,3605,3640,14172,304229,0,3624,3570,3819,4087
A041930,동아화성,20180904,3600,3690,3600,3625,8710,305669,-15,3608,3576,3832,4094
A041930,동아화성,20180903,3660,3660,3610,3640,14340,306202,0,3584,3584,3845,4101
A041930,동아화성,20180831,3550,3645,3550,3630,39306,306759,0,3556,3590,3857,4109
A041930,동아화성,20180830,3530,3585,3510,3585,50666,302649,0,3537,3598,3870,4115
A041930,동아화성,20180829,3500,3560,3500,3560,11205,303992,0,3525,3608,3884,4122
A041930,동아화성,20180828,3500,3610,3480,3505,17209,304804,-2600,3508,3617,3897,4130
A041930,동아화성,20180827,3535,3540,3500,3500,23810,305048,-2000,3496,3630,3910,4137
A041930,동아화성,20180824,3520,3535,3500,3535,10390,308137,0,3479,3643,3923,4144
A041930,동아화성,20180823,3475,3550,3475,3525,9588,308893,0,3455,3654,3938,4151
A041930,동아화성,20180822,3450,3555,3450,3475,24442,310121,0,3436,3664,3953,4160
A041930,동아화성,20180821,3415,3455,3415,3445,31436,311836,0,3462,3678,3968,4168
A041930,동아화성,20180820,3415,3510,3395,3415,26703,311904,0,3493,3694,3985,4178
A041930,동아화성,20180817,3440,3465,3415,3415,14790,311945,0,3555,3719,4000,4187
A041930,동아화성,20180816,3605,3605,3390,3430,100257,312021,-500,3623,3744,4015,4196
A041930,동아화성,20180814,3600,3675,3565,3605,26384,313198,0,3693,3769,4028,4206
A041930,동아화성,20180813,3725,3730,3600,3600,23465,315708,0,3728,3787,4038,4214
A041930,동아화성,20180810,3755,3795,3725,3725,8762,318853,0,3761,3806,4048,4221
A041930,동아화성,20180809,3795,3795,3725,3755,17292,320266,0,3770,3816,4056,4228
A041930,동아화성,20180808,3810,3810,3755,3780,9837,321790,0,3776,3822,4064,4236
A041930,동아화성,20180807,3765,3845,3755,3780,4917,323339,15,3777,3827,4073,4243
A041930,동아화성,20180806,3810,3810,3735,3765,4701,331862,0,3770,3833,4081,4251
A041930,동아화성,20180803,3745,3815,3745,3770,3241,332318,0,3768,3838,4087,4258
A041930,동아화성,20180802,3805,3805,3745,3785,6070,333046,0,3768,3843,4095,4266
A041930,동아화성,20180801,3745,3800,3745,3785,7850,334309,0,3764,3848,4103,4275
A041930,동아화성,20180731,3755,3795,3705,3745,21511,335266,0,3748,3855,4111,4284
A041930,동아화성,20180730,3770,3770,3700,3755,9576,338339,0,3754,3858,4121,4293
A041930,동아화성,20180727,3800,3800,3740,3770,10248,339873,0,3755,3864,4130,4302
A041930,동아화성,20180726,3705,3780,3690,3765,21092,339841,0,3782,3873,4141,4312
A041930,동아화성,20180725,3775,3780,3705,3705,21046,343113,1,3812,3884,4153,4324
A041930,동아화성,20180724,3710,3800,3710,3775,29494,348977,-424,3859,3903,4165,4337
A041930,동아화성,20180723,3900,3900,3705,3760,51324,348949,0,3895,3920,4177,4348
A041930,동아화성,20180720,3860,3915,3850,3905,14043,355771,0,3939,3939,4187,4358
A041930,동아화성,20180719,3920,3925,3890,3915,14434,359952,0,3943,3949,4194,4365
A041930,동아화성,20180718,4005,4005,3900,3940,19012,364591,0,3937,3958,4202,4371
A041930,동아화성,20180717,3975,3990,3945,3955,6299,369592,0,3925,3970,4209,4376
A041930,동아화성,20180716,3925,3995,3885,3980,50047,370483,-13,3914,3978,4215,4382
A041930,동아화성,20180713,3890,3940,3890,3925,24386,378250,0,3890,3991,4220,4387
A041930,동아화성,20180712,3880,3985,3835,3885,41323,376971,0,3880,4013,4227,4393
A041930,동아화성,20180711,3900,3925,3845,3880,33766,380615,0,3878,4036,4235,4398
A041930,동아화성,20180710,3840,3910,3840,3900,12680,386396,0,3887,4061,4243,4404
A041930,동아화성,20180709,3875,3910,3830,3860,19521,386989,0,3869,4086,4250,4411
A041930,동아화성,20180706,3900,3985,3860,3875,10119,391346,0,3874,4114,4258,4418
A041930,동아화성,20180705,3925,3925,3855,3875,50126,391281,0,3888,4139,4266,4425
A041930,동아화성,20180704,3810,3930,3810,3925,44772,396130,0,3910,4164,4275,4432
A041930,동아화성,20180703,3880,3930,3800,3810,59314,398104,0,3941,4188,4284,4439
A041930,동아화성,20180702,3945,3950,3875,3885,43317,399960,10000,4002,4216,4294,4447
A041930,동아화성,20180629,3985,4000,3865,3945,112962,404350,0,4053,4237,4303,4454
A041930,동아화성,20180628,4080,4080,3980,3985,41689,410897,0,4084,4253,4311,4460
A041930,동아화성,20180627,4115,4115,4045,4080,24371,415829,0,4107,4274,4317,4466
A041930,동아화성,20180626,4160,4165,4075,4115,18212,421379,0,4126,4291,4322,4472
A041930,동아화성,20180625,4100,4200,4010,4140,44118,426678,0,4129,4305,4326,4478
A041930,동아화성,20180622,4095,4175,3975,4100,47090,431096,0,4147,4323,4329,4483
A041930,동아화성,20180621,4185,4185,4070,4100,34298,435728,0,4199,4333,4332,4489
A041930,동아화성,20180620,4165,4175,4100,4175,27322,452495,72,4250,4343,4338,4496
A041930,동아화성,20180619,4230,4230,4110,4130,42988,453211,13,4290,4345,4344,4502
A041930,동아화성,20180618,4360,4360,4200,4230,79374,468364,0,4345,4348,4349,4508
A041930,동아화성,20180615,4360,4380,4340,4360,15820,485331,0,4382,4346,4352,4514
A041930,동아화성,20180614,4375,4375,4340,4355,17927,489971,0,4384,4339,4354,4519
A041930,동아화성,20180612,4425,4440,4355,4375,56961,493134,0,4390,4335,4355,4524
A041930,동아화성,20180611,4445,4445,4360,4405,41847,500657,0,4395,4330,4356,4529
A041930,동아화성,20180608,4405,4430,4340,4415,81175,502994,0,4386,4322,4356,4534
A041930,동아화성,20180607,4385,4400,4335,4370,34365,508961,0,4367,4310,4358,4538
A041930,동아화성,20180605,4430,4450,4360,4385,40893,511148,0,4346,4302,4360,4544
A041930,동아화성,20180604,4360,4425,4320,4400,26645,512130,0,4349,4296,4361,4551
A041930,동아화성,20180601,4375,4375,4300,4360,18709,512302,0,4354,4291,4361,4558
A041930,동아화성,20180531,4265,4360,4265,4320,36183,511624,0,4361,4288,4362,4565
A041930,동아화성,20180530,4340,4390,4255,4265,56565,510714,0,4395,4289,4363,4574
A041930,동아화성,20180529,4500,4500,4360,4400,53116,512664,0,4403,4296,4365,4584
A041930,동아화성,20180528,4455,4455,4370,4425,56522,523616,0,4382,4300,4365,4593
A041930,동아화성,20180525,4490,4490,4370,4395,98607,525483,0,4341,4300,4367,4602
A041930,동아화성,20180524,4345,4495,4310,4490,324956,538603,0,4302,4306,4369,4612
A041930,동아화성,20180523,4300,4350,4290,4305,44503,441320,0,4241,4300,4370,4622
A041930,동아화성,20180521,4250,4300,4230,4295,70499,438405,6000,4223,4302,4374,4633
A041930,동아화성,20180518,4200,4245,4195,4220,25488,436816,634,4219,4304,4378,4645
A041930,동아화성,20180517,4195,4230,4175,4200,52837,435658,0,4229,4311,4384,4655
A041930,동아화성,20180516,4170,4215,4125,4185,78766,435035,0,4240,4318,4390,4664
A041930,동아화성,20180515,4275,4275,4175,4215,103508,446928,0,4238,4324,4395,4672
A041930,동아화성,20180514,4270,4320,4240,4275,45808,446031,0,4235,4330,4401,4680
A041930,동아화성,20180511,4250,4295,4240,4270,20423,433091,0,4233,4333,4407,4685
A041930,동아화성,20180510,4200,4265,4110,4255,103845,430275,0,4241,4339,4413,4691
A041930,동아화성,20180509,4200,4225,4140,4175,77699,416687,0,4250,4342,4421,4697
A041930,동아화성,20180508,4265,4300,4165,4200,106317,434196,0,4281,4351,4429,4704
A041930,동아화성,20180504,4310,4335,4240,4265,95387,453352,0,4322,4359,4438,4710
A041930,동아화성,20180503,4300,4345,4290,4310,47286,467938,0,4367,4366,4447,4715
A041930,동아화성,20180502,4305,4350,4235,4300,131754,469332,0,4390,4371,4456,4719
A041930,동아화성,20180430,4405,4450,4290,4330,109961,460209,0,4434,4379,4466,4724
A041930,동아화성,20180427,4490,4500,4405,4405,79178,451886,0,4439,4383,4475,4728
A041930,동아화성,20180426,4435,4500,4425,4490,46241,455020,0,4426,4384,4484,4732
A041930,동아화성,20180425,4510,4555,4420,4425,184484,453573,0,4398,4377,4495,4735
A041930,동아화성,20180424,4375,4520,4365,4520,260397,453383,7600,4384,4373,4509,4738
A041930,동아화성,20180423,4350,4355,4315,4355,69696,433115,0,4346,4365,4519,4740
A041930,동아화성,20180420,4395,4395,4335,4340,76558,432712,10000,4336,4364,4529,4745
A041930,동아화성,20180419,4375,4375,4315,4350,82003,437188,10000,4335,4362,4536,4749
A041930,동아화성,20180418,4340,4400,4320,4355,106679,441483,0,4334,4368,4540,4753
A041930,동아화성,20180417,4305,4350,4300,4330,84809,451235,0,4340,4376,4544,4757
A041930,동아화성,20180416,4350,4350,4295,4305,40315,443378,0,4339,4380,4548,4761
A041930,동아화성,20180413,4360,4385,4305,4335,74999,443554,10000,4348,4387,4554,4765
A041930,동아화성,20180412,4380,4385,4310,4345,49345,452021,9844,4353,4392,4558,4769
A041930,동아화성,20180411,4340,4385,4300,4385,61191,457459,7293,4366,4397,4562,4772
A041930,동아화성,20180410,4340,4350,4260,4325,100925,455087,9844,4371,4398,4566,4774
A041930,동아화성,20180409,4360,4370,4310,4350,92010,458208,10000,4396,4405,4572,4776
A041930,동아화성,20180406,4390,4420,4330,4360,115824,461212,8100,4409,4412,4578,4778
A041930,동아화성,20180405,4410,4440,4395,4410,51247,468403,0,4420,4418,4584,4780
A041930,동아화성,20180404,4450,4525,4400,4410,185000,464826,0,4411,4421,4589,4783
A041930,동아화성,20180403,4375,4460,4375,4450,122312,479861,6259,4398,4420,4595,4784
A041930,동아화성,20180402,4415,4445,4375,4415,135201,460457,15795,4378,4420,4599,4787
A041930,동아화성,20180330,4365,4430,4355,4415,147343,441236,16034,4362,4417,4604,4790
A041930,동아화성,20180329,4350,4385,4330,4365,55206,398706,21881,4340,4415,4609,4792
A041930,동아화성,20180328,4345,4370,4310,4345,54877,397513,17496,4361,4418,4616,4796
A041930,동아화성,20180327,4335,4385,4295,4350,94995,383905,28244,4394,4426,4622,4799
A041930,동아화성,20180326,4300,4395,4220,4335,147372,403810,7137,4407,4434,4630,4803
A041930,동아화성,20180323,4405,4415,4265,4305,186511,416702,30000,4429,4446,4638,4809
A041930,동아화성,20180322,4560,4590,4455,4470,211880,467372,30000,4457,4458,4645,4814
A041930,동아화성,20180321,4420,4585,4415,4510,380570,534347,28558,4450,4462,4653,4819
A041930,동아화성,20180320,4445,4495,4385,4415,132728,486732,27047,4431,4464,4659,4824
A041930,동아화성,20180319,4450,4460,4430,4445,59023,496880,22579,4438,4472,4667,4828
A041930,동아화성,20180316,4435,4465,4410,4445,90324,505293,17168,4448,4475,4675,4831
A041930,동아화성,20180315,4415,4480,4375,4435,56615,513039,4205,4457,4480,4685,4832
A041930,동아화성,20180314,4460,4460,4365,4415,113892,524106,15029,4461,4490,4694,4833
A041930,동아화성,20180313,4495,4500,4430,4450,89969,542178,20000,4458,4501,4702,4833
A041930,동아화성,20180312,4520,4520,4485,4495,64129,544742,16999,4459,4515,4711,4832
A041930,동아화성,20180309,4475,4495,4435,4490,58190,543431,18424,4428,4524,4719,4831
A041930,동아화성,20180308,4420,4460,4395,4455,53301,542524,12830,4406,4536,4728,4831
A041930,동아화성,20180307,4455,4510,4385,4400,94632,555004,-1,4400,4553,4740,4830
A041930,동아화성,20180306,4335,4460,4335,4455,87316,573941,-1,4422,4577,4755,4831
A041930,동아화성,20180305,4380,4425,4305,4340,60972,571871,-1,4434,4598,4767,4831
A041930,동아화성,20180302,4405,4410,4310,4380,222643,582900,-2,4479,4624,4786,4832
A041930,동아화성,20180228,4510,4510,4410,4425,159126,620590,-2,4512,4654,4804,4833
A041930,동아화성,20180227,4515,4540,4480,4510,49753,628259,-3,4538,4690,4822,4833
A041930,동아화성,20180226,4595,4610,4510,4515,85825,631723,-4,4547,4727,4838,4834
A041930,동아화성,20180223,4545,4595,4535,4565,30999,646581,-6,4559,4759,4856,4834
A041930,동아화성,20180222,4555,4615,4545,4545,165857,647894,-8,4546,4776,4874,4833
A041930,동아화성,20180221,4590,4590,4530,4555,59254,638777,-11,4544,4786,4892,4832
A041930,동아화성,20180220,4595,4595,4525,4555,67112,629219,-14,4563,4789,4912,4831
A041930,동아화성,20180219,4500,4575,4490,4575,61704,624607,-18,4578,4792,4926,4830
A041930,동아화성,20180214,4510,4550,4400,4500,205868,619471,-24,4609,4793,4939,4830
A041930,동아화성,20180213,4605,4620,4530,4535,341821,620666,2,4645,4798,4949,4831
A041930,동아화성,20180212,4650,4650,4580,4650,72545,625520,2,4681,4802,4960,4833
A041930,동아화성,20180209,4670,4670,4585,4630,67758,632495,3,4710,4798,4964,4832
A041930,동아화성,20180208,4680,4730,4615,4730,41700,642276,0,4761,4797,4969,4832
A041930,동아화성,20180207,4845,4845,4625,4680,129430,640047,1,4789,4796,4972,4831
A041930,동아화성,20180206,4615,4730,4530,4715,357243,643651,-1500,4827,4797,4978,4831
A041930,동아화성,20180205,4840,4870,4770,4795,180703,611495,-1,4880,4798,4982,4831
A041930,동아화성,20180202,4915,4935,4855,4885,91715,612659,0,4951,4794,4983,4830
A041930,동아화성,20180201,4880,4935,4850,4870,156036,619142,-50000,5022,4787,4982,4829
A041930,동아화성,20180131,4900,4950,4840,4870,236557,602354,-20000,5078,4779,4981,4827
A041930,동아화성,20180130,5150,5150,4925,4980,418674,630303,-18681,5086,4772,4982,4826
A041930,동아화성,20180129,5350,5480,5060,5150,482407,597986,-19500,5041,4759,4980,4824
