stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A042940,상지카일룸,20190129,1795,1800,1705,1760,89397,871970,0,1796,1901,2098,2107
A042940,상지카일룸,20190128,1835,1845,1750,1760,114528,890655,600,1811,1917,2100,2114
A042940,상지카일룸,20190125,1805,1830,1765,1820,90263,899637,0,1831,1930,2097,2121
A042940,상지카일룸,20190124,1840,1865,1775,1805,99206,900573,0,1841,1940,2092,2127
A042940,상지카일룸,20190123,1810,1870,1805,1835,116581,923912,0,1855,1952,2086,2133
A042940,상지카일룸,20190122,1890,1890,1830,1835,60400,946693,400,1867,1968,2084,2139
A042940,상지카일룸,20190121,1870,1895,1840,1860,122448,974303,0,1883,1980,2082,2146
A042940,상지카일룸,20190118,1935,1935,1850,1870,64884,1011125,600,1892,1990,2080,2149
A042940,상지카일룸,20190117,1910,1910,1860,1875,61965,1008900,0,1915,2000,2078,2152
A042940,상지카일룸,20190116,1945,1945,1860,1895,94219,1010941,0,1936,2010,2078,2156
A042940,상지카일룸,20190115,1905,1975,1895,1915,115771,1000793,0,1944,2026,2077,2161
A042940,상지카일룸,20190114,2040,2040,1905,1905,63540,1013544,3400,1946,2042,2077,2164
A042940,상지카일룸,20190111,2035,2035,1970,1985,53116,1017987,540,1958,2063,2076,2167
A042940,상지카일룸,20190110,1915,2000,1875,1980,178590,1031589,0,1952,2080,2075,2169
A042940,상지카일룸,20190109,1970,1995,1885,1935,167679,1054568,0,1957,2097,2074,2171
A042940,상지카일룸,20190108,2020,2020,1915,1925,113854,1051733,0,1998,2119,2073,2173
A042940,상지카일룸,20190107,2015,2025,1920,1965,185152,1053660,0,2027,2137,2070,2174
A042940,상지카일룸,20190104,2035,2050,1880,1955,255191,1054181,0,2040,2157,2070,2175
A042940,상지카일룸,20190103,2170,2170,1955,2005,187733,1067320,0,2053,2179,2071,2176
A042940,상지카일룸,20190102,2070,2175,2035,2140,165147,1076971,0,2060,2199,2071,2177
A042940,상지카일룸,20181228,2085,2170,1955,2070,293532,1102182,-23,2061,2211,2068,2177
A042940,상지카일룸,20181227,2000,2095,1960,2030,201217,1125964,-23,2063,2227,2066,2177
A042940,상지카일룸,20181226,2040,2180,1880,2020,630128,1146107,0,2072,2238,2067,2177
A042940,상지카일룸,20181224,2195,2195,1980,2040,767318,1115284,0,2078,2248,2068,2178
A042940,상지카일룸,20181221,2095,2160,2060,2145,182277,1138933,0,2088,2256,2070,2179
A042940,상지카일룸,20181220,2055,2095,2045,2080,66515,1147514,0,2099,2262,2070,2179
A042940,상지카일룸,20181219,2050,2180,2030,2075,104789,1150588,0,2131,2272,2071,2180
A042940,상지카일룸,20181218,2120,2175,2035,2050,75239,1160324,0,2181,2287,2072,2180
A042940,상지카일룸,20181217,2285,2285,2070,2090,192612,1132207,0,2237,2304,2074,2182
A042940,상지카일룸,20181214,2295,2295,2180,2200,346587,1115520,0,2284,2317,2075,2183
A042940,상지카일룸,20181213,2325,2375,2240,2240,115861,1075711,-23,2318,2329,2075,2184
A042940,상지카일룸,20181212,2380,2380,2195,2325,225579,1056575,0,2327,2336,2075,2184
A042940,상지카일룸,20181211,2255,2380,2200,2330,118977,1051756,-25,2335,2331,2075,2183
A042940,상지카일룸,20181210,2370,2415,2255,2325,197260,1030279,0,2349,2324,2074,2182
A042940,상지카일룸,20181207,2370,2370,2260,2370,140092,1005829,0,2364,2304,2072,2182
A042940,상지카일룸,20181206,2315,2440,2275,2285,187165,963871,0,2367,2282,2072,2181
A042940,상지카일룸,20181205,2400,2400,2305,2365,172681,939166,0,2387,2265,2069,2180
A042940,상지카일룸,20181204,2390,2445,2285,2400,317556,934288,0,2364,2244,2064,2178
A042940,상지카일룸,20181203,2385,2470,2325,2400,216354,898532,0,2327,2222,2059,2176
A042940,상지카일룸,20181130,2370,2490,2320,2385,481517,900747,23,2289,2202,2054,2174
A042940,상지카일룸,20181129,2180,2450,2180,2385,729460,861094,23,2266,2181,2051,2173
A042940,상지카일룸,20181128,2190,2260,2115,2250,265574,826121,0,2245,2158,2048,2171
A042940,상지카일룸,20181127,2275,2275,2155,2215,111611,821424,60,2268,2124,2048,2172
A042940,상지카일룸,20181126,2260,2315,2205,2210,63565,789167,0,2302,2088,2049,2171
A042940,상지카일룸,20181123,2215,2350,2215,2270,191911,764851,0,2332,2050,2051,2172
A042940,상지카일룸,20181122,2355,2395,2180,2280,340329,724962,0,2365,2024,2053,2170
A042940,상지카일룸,20181121,2380,2435,2340,2365,185073,695816,0,2385,1994,2055,2169
A042940,상지카일룸,20181120,2370,2485,2355,2385,428671,662343,0,2358,1963,2054,2168
A042940,상지카일룸,20181119,2440,2440,2320,2360,206740,642745,0,2320,1932,2052,2167
A042940,상지카일룸,20181116,2365,2515,2270,2435,834285,658072,23,2233,1905,2050,2166
A042940,상지카일룸,20181115,2285,2380,2200,2380,439639,512111,0,2131,1878,2046,2165
A042940,상지카일룸,20181114,2260,2385,2195,2230,1006642,404882,-1887,2043,1852,2044,2165
A042940,상지카일룸,20181113,1925,2225,1900,2195,1174812,228663,2,1984,1834,2045,2166
A042940,상지카일룸,20181112,1980,2000,1920,1925,127963,131429,0,1941,1820,2046,2167
A042940,상지카일룸,20181109,1945,1985,1885,1925,211967,139342,0,1953,1820,2055,2170
A042940,상지카일룸,20181108,1935,1960,1875,1940,135357,126739,0,1962,1816,2066,2174
A042940,상지카일룸,20181107,1980,1985,1850,1935,66962,113731,0,1958,1807,2076,2178
A042940,상지카일룸,20181106,1970,1985,1915,1980,75371,134962,0,1885,1810,2086,2182
A042940,상지카일룸,20181105,1970,1985,1875,1985,147231,144610,0,1790,1810,2097,2186
A042940,상지카일룸,20181102,1855,2010,1850,1970,303458,149309,0,1683,1811,2107,2189
A042940,상지카일룸,20181101,1695,1935,1630,1920,954424,140330,0,1636,1812,2117,2193
A042940,상지카일룸,20181031,1640,1690,1500,1570,142100,191188,0,1592,1815,2127,2198
A042940,상지카일룸,20181030,1105,1520,1105,1505,670046,202024,0,1626,1839,2144,2205
