stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A043340,에쎈테크,20190129,1050,1050,1010,1025,217029,733051,0,1050,1042,971,1045
A043340,에쎈테크,20190128,1065,1065,1040,1055,146893,735914,0,1058,1038,968,1047
A043340,에쎈테크,20190125,1055,1075,1050,1065,116595,726568,0,1065,1032,965,1048
A043340,에쎈테크,20190124,1065,1070,1040,1055,141876,718833,0,1073,1026,960,1050
A043340,에쎈테크,20190123,1070,1075,1045,1050,105602,697672,-6,1078,1021,955,1052
A043340,에쎈테크,20190122,1080,1095,1050,1065,238326,668277,-6,1078,1019,953,1053
A043340,에쎈테크,20190121,1120,1120,1075,1090,237730,651935,51,1073,1014,951,1055
A043340,에쎈테크,20190118,1085,1135,1070,1105,718304,644534,-5,1062,1008,949,1057
A043340,에쎈테크,20190117,1065,1100,1035,1080,803069,653035,-5,1049,1000,947,1058
A043340,에쎈테크,20190116,1035,1060,1025,1050,230930,742391,-4,1039,993,946,1060
A043340,에쎈테크,20190115,1045,1045,1020,1040,179366,695500,-6,1038,987,946,1062
A043340,에쎈테크,20190114,1050,1055,1015,1035,110935,678758,9655,1036,981,945,1065
A043340,에쎈테크,20190111,1020,1045,1010,1040,136399,669936,-6,1041,976,945,1067
A043340,에쎈테크,20190110,1065,1065,1010,1030,218117,639686,-61,1028,970,945,1071
A043340,에쎈테크,20190109,1030,1055,1025,1045,162692,629816,-7,1017,965,944,1072
A043340,에쎈테크,20190108,1055,1055,1025,1030,330186,626953,0,1001,959,943,1073
A043340,에쎈테크,20190107,981,1095,973,1060,1435927,677270,53,985,954,942,1074
A043340,에쎈테크,20190104,973,986,960,976,167173,562415,1,961,949,942,1075
A043340,에쎈테크,20190103,964,975,953,975,181327,596152,59,952,947,944,1076
A043340,에쎈테크,20190102,954,964,949,962,211842,583815,0,950,944,947,1077
A043340,에쎈테크,20181228,942,963,938,954,227518,560637,0,959,942,949,1078
A043340,에쎈테크,20181227,930,949,928,940,263018,601259,60,963,941,952,1079
A043340,에쎈테크,20181226,1000,1080,929,929,2135529,556626,58,969,941,956,1080
A043340,에쎈테크,20181224,1005,1010,960,963,641700,682593,-62,972,940,959,1082
A043340,에쎈테크,20181221,970,1125,968,1010,5007786,772160,56,965,938,963,1083
A043340,에쎈테크,20181220,980,999,959,975,242397,875577,-2,948,933,965,1085
A043340,에쎈테크,20181219,943,994,937,966,338466,867953,-4,940,930,968,1087
A043340,에쎈테크,20181218,930,959,922,946,109555,857699,61,931,929,971,1090
A043340,에쎈테크,20181217,918,935,918,928,53892,848497,62,926,928,975,1094
A043340,에쎈테크,20181214,934,936,919,927,20061,842606,4,926,928,980,1097
A043340,에쎈테크,20181213,919,945,919,934,64771,841948,-1,928,928,984,1100
A043340,에쎈테크,20181212,913,925,913,921,52046,822437,0,929,926,989,1104
A043340,에쎈테크,20181211,929,931,914,921,38488,808601,0,935,926,994,1108
A043340,에쎈테크,20181210,934,935,912,929,65858,804806,0,938,926,999,1112
A043340,에쎈테크,20181207,940,942,927,934,145505,817900,0,937,927,1004,1116
A043340,에쎈테크,20181206,959,959,930,940,121548,795590,0,935,931,1008,1120
A043340,에쎈테크,20181205,923,957,923,950,157244,803770,0,932,931,1012,1124
A043340,에쎈테크,20181204,919,938,919,938,188649,775685,0,928,929,1016,1127
A043340,에쎈테크,20181203,911,930,911,921,162602,710378,0,925,928,1020,1132
A043340,에쎈테크,20181130,933,933,910,924,116362,670432,0,924,928,1025,1136
A043340,에쎈테크,20181129,940,943,919,925,183428,663428,0,923,928,1029,1140
A043340,에쎈테크,20181128,917,943,915,934,202889,638435,0,920,925,1033,1145
A043340,에쎈테크,20181127,919,927,914,923,100958,614635,-8,920,921,1037,1149
A043340,에쎈테크,20181126,916,921,908,916,100671,581978,0,921,915,1042,1153
A043340,에쎈테크,20181123,913,929,894,916,243492,566453,0,924,907,1046,1157
A043340,에쎈테크,20181122,939,939,912,913,119124,574508,62,925,908,1051,1161
A043340,에쎈테크,20181121,920,940,910,933,115070,589034,0,924,909,1056,1166
A043340,에쎈테크,20181120,917,942,911,928,100259,585855,-60,919,911,1061,1170
A043340,에쎈테크,20181119,924,944,918,932,140392,562440,0,918,914,1066,1174
A043340,에쎈테크,20181116,918,931,909,918,229611,534509,62,923,918,1071,1178
A043340,에쎈테크,20181115,907,918,902,909,97616,507962,61,943,923,1076,1183
A043340,에쎈테크,20181114,917,947,909,909,225921,504903,0,949,929,1082,1188
A043340,에쎈테크,20181113,922,945,870,920,623154,505140,1,950,935,1086,1193
A043340,에쎈테크,20181112,1010,1010,959,959,1141222,489474,58,950,939,1090,1197
A043340,에쎈테크,20181109,1030,1205,980,1020,10041052,554832,0,942,940,1094,1202
A043340,에쎈테크,20181108,938,956,912,938,291727,659983,0,922,939,1096,1207
A043340,에쎈테크,20181107,917,940,892,911,98162,673784,0,907,941,1101,1212
A043340,에쎈테크,20181106,911,927,908,920,47102,686179,0,895,948,1105,1218
A043340,에쎈테크,20181105,922,922,900,921,49987,679184,0,870,958,1110,1222
A043340,에쎈테크,20181102,867,932,867,918,111105,696019,0,838,967,1114,1227
A043340,에쎈테크,20181101,852,890,852,866,107699,690199,-50,842,977,1119,1233
A043340,에쎈테크,20181031,798,850,798,850,171371,696369,20,857,990,1125,1239
A043340,에쎈테크,20181030,715,815,715,797,432108,659345,-49,880,1005,1132,1244
A043340,에쎈테크,20181029,915,940,760,760,441225,593536,12,917,1023,1140,1251
A043340,에쎈테크,20181026,935,947,882,935,318485,540848,-49,968,1043,1148,1257
A043340,에쎈테크,20181025,947,964,925,945,154517,531079,-49,984,1054,1154,1261
A043340,에쎈테크,20181024,985,995,965,965,105756,558490,10,1001,1064,1158,1265
A043340,에쎈테크,20181023,1000,1015,971,978,151784,572499,8,1014,1073,1164,1269
A043340,에쎈테크,20181022,1010,1030,1000,1015,73944,603572,0,1019,1084,1169,1274
A043340,에쎈테크,20181019,1020,1035,999,1015,88743,606925,-48,1013,1093,1173,1277
A043340,에쎈테크,20181018,1040,1045,1025,1030,73945,601255,0,1009,1103,1179,1281
A043340,에쎈테크,20181017,1005,1040,1005,1030,104508,596847,0,998,1112,1184,1284
A043340,에쎈테크,20181016,987,1005,985,1005,98707,592523,-46,1003,1120,1190,1287
A043340,에쎈테크,20181015,986,1010,986,987,107125,563998,-47,1024,1132,1197,1290
A043340,에쎈테크,20181012,920,1010,920,993,237022,558470,-94,1049,1143,1200,1294
A043340,에쎈테크,20181011,971,1020,971,975,661446,515494,-47,1073,1154,1203,1297
A043340,에쎈테크,20181010,1085,1110,1055,1055,282019,419665,-48,1105,1164,1206,1300
A043340,에쎈테크,20181008,1110,1130,1080,1110,206309,442517,0,1122,1171,1207,1302
A043340,에쎈테크,20181005,1140,1195,1110,1110,1018639,409607,-44,1131,1176,1207,1304
A043340,에쎈테크,20181004,1135,1150,1100,1115,206880,464887,50,1141,1180,1207,1306
A043340,에쎈테크,20181002,1140,1150,1130,1135,223580,483546,50,1150,1183,1206,1308
A043340,에쎈테크,20181001,1150,1160,1135,1140,222263,469582,49,1152,1185,1206,1310
A043340,에쎈테크,20180928,1155,1170,1140,1155,196316,463869,49,1155,1186,1205,1312
A043340,에쎈테크,20180927,1160,1180,1145,1160,192630,468464,49,1161,1188,1204,1314
A043340,에쎈테크,20180921,1145,1165,1140,1160,175600,456815,49,1169,1188,1204,1316
A043340,에쎈테크,20180920,1150,1175,1135,1145,462226,429910,49,1179,1191,1204,1317
A043340,에쎈테크,20180919,1190,1205,1150,1155,635398,375788,49,1192,1195,1207,1318
A043340,에쎈테크,20180918,1195,1240,1175,1185,1201272,370822,0,1202,1199,1210,1320
A043340,에쎈테크,20180917,1215,1215,1175,1200,358218,328454,48,1210,1201,1212,1322
A043340,에쎈테크,20180914,1200,1215,1195,1210,360554,380363,0,1214,1202,1214,1322
A043340,에쎈테크,20180913,1200,1220,1195,1210,402589,347415,0,1214,1204,1216,1324
A043340,에쎈테크,20180912,1230,1245,1195,1205,780947,322558,46,1208,1206,1220,1326
A043340,에쎈테크,20180911,1220,1235,1205,1225,714096,405670,47,1204,1204,1222,1328
A043340,에쎈테크,20180910,1200,1230,1195,1220,599867,301907,-1,1200,1200,1226,1329
A043340,에쎈테크,20180907,1185,1215,1175,1210,642501,196464,-1,1195,1198,1229,1331
A043340,에쎈테크,20180906,1185,1200,1175,1180,646805,172076,0,1188,1196,1231,1333
A043340,에쎈테크,20180905,1205,1215,1170,1185,933334,150338,-48,1188,1197,1235,1335
A043340,에쎈테크,20180904,1310,1420,1205,1205,6784623,99629,45,1184,1197,1239,1337
A043340,에쎈테크,20180903,1175,1200,1165,1195,266047,236162,0,1180,1196,1243,1339
A043340,에쎈테크,20180831,1185,1260,1155,1175,1076969,176118,0,1174,1196,1248,1341
A043340,에쎈테크,20180830,1175,1190,1170,1180,282622,259341,0,1183,1197,1252,1342
A043340,에쎈테크,20180829,1190,1195,1165,1165,269862,199460,-30000,1191,1200,1256,1344
A043340,에쎈테크,20180828,1165,1190,1160,1185,411493,199171,0,1206,1206,1261,1346
A043340,에쎈테크,20180827,1220,1220,1165,1165,742748,157531,0,1213,1209,1265,1348
A043340,에쎈테크,20180824,1220,1235,1215,1220,222102,213050,0,1227,1214,1268,1350
