stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A043910,자연과환경,20190129,2055,2055,1960,1980,581175,765789,0,2045,1927,1850,1902
A043910,자연과환경,20190128,2100,2100,2045,2055,568859,770411,0,2062,1914,1843,1902
A043910,자연과환경,20190125,2070,2090,2030,2070,415424,833241,0,2058,1896,1835,1901
A043910,자연과환경,20190124,2060,2100,2050,2060,445876,753270,0,2057,1874,1827,1901
A043910,자연과환경,20190123,2040,2100,2025,2060,612743,815983,0,2029,1858,1817,1900
A043910,자연과환경,20190122,2025,2115,2000,2065,1718283,780656,0,2014,1841,1810,1899
A043910,자연과환경,20190121,2100,2100,2000,2035,892585,940221,775,1996,1826,1804,1897
A043910,자연과환경,20190118,1915,2135,1905,2065,4151289,1047326,2100,1971,1812,1798,1895
A043910,자연과환경,20190117,2020,2020,1900,1920,644064,648933,0,1938,1796,1793,1892
A043910,자연과환경,20190116,1970,2050,1960,1985,1381927,570297,3045,1922,1785,1792,1890
A043910,자연과환경,20190115,1910,1990,1910,1975,1566591,644163,3700,1891,1774,1791,1889
A043910,자연과환경,20190114,1980,1980,1875,1910,597449,674794,0,1859,1767,1791,1888
A043910,자연과환경,20190111,1840,1915,1840,1900,757017,685245,-31,1830,1762,1790,1888
A043910,자연과환경,20190110,1855,1900,1825,1840,533791,508359,0,1800,1761,1788,1888
A043910,자연과환경,20190109,1850,1865,1810,1830,756929,512296,5625,1784,1764,1786,1889
A043910,자연과환경,20190108,1780,1925,1760,1815,3591592,525826,0,1757,1771,1785,1890
A043910,자연과환경,20190107,1770,1810,1750,1765,477590,535520,0,1740,1773,1783,1891
A043910,자연과환경,20190104,1755,1755,1695,1750,415014,568229,0,1725,1780,1784,1891
A043910,자연과환경,20190103,1710,1880,1655,1760,1832149,580613,0,1702,1788,1788,1892
A043910,자연과환경,20190102,1770,1770,1690,1695,254936,524531,0,1695,1795,1793,1894
A043910,자연과환경,20181228,1690,1730,1690,1730,213070,579339,0,1703,1803,1800,1896
A043910,자연과환경,20181227,1680,1760,1650,1690,343775,560039,0,1707,1806,1804,1900
A043910,자연과환경,20181226,1715,1725,1635,1635,364263,532825,0,1721,1812,1810,1903
A043910,자연과환경,20181224,1730,1745,1700,1725,180134,556792,0,1742,1821,1817,1908
A043910,자연과환경,20181221,1750,1765,1710,1735,257351,537829,0,1738,1824,1823,1911
A043910,자연과환경,20181220,1740,1810,1740,1750,282122,505297,0,1747,1827,1830,1913
A043910,자연과환경,20181219,1740,1910,1720,1760,1629851,462738,0,1762,1830,1836,1916
A043910,자연과환경,20181218,1640,1745,1635,1740,377307,685254,0,1771,1834,1842,1920
A043910,자연과환경,20181217,1825,1825,1690,1705,446236,644452,0,1799,1838,1852,1925
A043910,자연과환경,20181214,1845,1855,1765,1780,339607,634297,31,1841,1845,1860,1931
A043910,자연과환경,20181213,1810,1845,1785,1825,480231,674601,0,1877,1846,1867,1937
A043910,자연과환경,20181212,1895,1910,1790,1805,735923,604812,0,1882,1845,1874,1942
A043910,자연과환경,20181211,1960,1970,1845,1880,587269,697466,0,1902,1842,1879,1947
A043910,자연과환경,20181210,1905,1975,1860,1915,618332,793395,0,1909,1834,1884,1952
A043910,자연과환경,20181207,1855,1975,1855,1960,1297913,899895,0,1907,1828,1889,1957
A043910,자연과환경,20181206,1915,1930,1825,1850,490670,716025,-4813,1884,1821,1891,1961
A043910,자연과환경,20181205,1870,1935,1845,1905,492162,762026,-2406,1875,1821,1895,1969
A043910,자연과환경,20181204,1905,1945,1880,1915,748818,709671,3600,1852,1815,1897,1977
A043910,자연과환경,20181203,1850,1910,1830,1905,867220,612348,0,1835,1813,1899,1984
A043910,자연과환경,20181130,1815,1890,1810,1845,916787,495084,-1,1811,1812,1899,1993
A043910,자연과환경,20181129,1800,1840,1790,1805,336691,446243,0,1800,1819,1901,2002
A043910,자연과환경,20181128,1830,1830,1780,1790,303809,390820,0,1801,1810,1904,2011
A043910,자연과환경,20181127,1780,1835,1775,1830,320943,411518,0,1810,1798,1906,2020
A043910,자연과환경,20181126,1810,1830,1760,1785,324073,284747,0,1810,1784,1908,2030
A043910,자연과환경,20181123,1825,1870,1765,1790,497345,253961,0,1820,1769,1911,2039
A043910,자연과환경,20181122,1875,1875,1800,1810,205165,271300,0,1825,1762,1916,2049
A043910,자연과환경,20181121,1820,1885,1800,1835,559271,292115,0,1823,1756,1922,2058
A043910,자연과환경,20181120,1790,1865,1785,1830,406645,225849,0,1803,1749,1927,2062
A043910,자연과환경,20181119,1815,1910,1815,1835,1078815,190268,1538,1784,1746,1930,2068
A043910,자연과환경,20181116,1800,1870,1770,1815,764167,198710,0,1772,1746,1934,2075
A043910,자연과환경,20181115,1735,1800,1710,1800,389349,222745,0,1775,1753,1938,2083
A043910,자연과환경,20181114,1775,1775,1710,1735,251287,185196,0,1785,1762,1941,2091
A043910,자연과환경,20181113,1720,1780,1685,1735,369957,209768,1,1796,1767,1944,2099
A043910,자연과환경,20181112,1820,1820,1730,1775,317020,189884,0,1822,1768,1946,2107
A043910,자연과환경,20181109,1870,1870,1790,1830,386902,145256,0,1844,1767,1949,2119
A043910,자연과환경,20181108,1860,1870,1800,1850,558632,138769,0,1877,1764,1950,2130
A043910,자연과환경,20181107,1895,1980,1720,1790,2424365,133404,-4777,1829,1755,1952,2139
A043910,자연과환경,20181106,1890,1900,1815,1865,908110,120128,0,1783,1756,1954,2150
A043910,자연과환경,20181105,1935,1985,1850,1885,2733329,225177,-10554,1722,1763,1955,2159
A043910,자연과환경,20181102,1620,2090,1615,1995,8142667,149650,0,1641,1772,1956,2169
A043910,자연과환경,20181101,1600,1660,1580,1610,513656,187592,0,1569,1777,1955,2182
