stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A044380,주연테크,20190129,405,405,391,392,511414,1133967,-355,402,409,381,417
A044380,주연테크,20190128,405,406,400,403,375589,1178551,-117,406,410,381,418
A044380,주연테크,20190125,406,419,404,405,749088,1211239,-16,408,407,380,419
A044380,주연테크,20190124,405,408,402,405,228100,1223581,-19,408,403,379,420
A044380,주연테크,20190123,406,410,404,406,269727,1257808,61,409,401,379,421
A044380,주연테크,20190122,410,415,404,410,372914,1280604,-256,410,399,378,422
A044380,주연테크,20190121,408,432,400,413,1119715,1318497,16,409,396,378,422
A044380,주연테크,20190118,409,412,400,408,471530,1107242,116,408,392,378,423
A044380,주연테크,20190117,411,429,408,408,948947,1080661,-55,409,390,379,424
A044380,주연테크,20190116,404,415,403,409,551949,1126603,8,409,387,380,425
A044380,주연테크,20190115,408,411,404,406,361679,1122513,-535,410,384,380,426
A044380,주연테크,20190114,411,413,404,409,390132,1068967,-137,410,381,380,426
A044380,주연테크,20190111,414,414,405,411,373178,1031459,332,412,378,381,427
A044380,주연테크,20190110,412,413,403,411,330432,993372,-9,419,375,381,428
A044380,주연테크,20190109,411,425,407,413,1028732,915736,-52,414,372,381,429
A044380,주연테크,20190108,423,439,400,408,1644879,887029,120,415,370,381,430
A044380,주연테크,20190107,431,443,413,418,2391719,946779,508,414,368,381,431
A044380,주연테크,20190104,391,454,387,443,9236161,876781,-516,399,366,382,432
A044380,주연테크,20190103,415,419,380,386,2642282,1150517,319,378,362,381,432
A044380,주연테크,20190102,433,437,406,420,2844136,1162648,-341,372,361,381,433
A044380,주연테크,20181228,350,440,347,401,10576463,1230029,479,360,359,381,434
A044380,주연테크,20181227,346,346,338,346,217336,1417566,-856,350,358,381,435
A044380,주연테크,20181226,353,356,336,336,699301,1425314,1233,351,360,383,436
A044380,주연테크,20181224,359,362,355,356,144209,1457777,-911,353,361,384,438
A044380,주연테크,20181221,351,375,351,359,618974,1465588,-1720,352,361,386,439
A044380,주연테크,20181220,351,354,348,351,131213,1468636,163,351,360,387,440
A044380,주연테크,20181219,356,356,348,351,142247,1462862,174,351,361,389,442
A044380,주연테크,20181218,353,356,346,350,275728,1450498,209,351,361,390,444
A044380,주연테크,20181217,349,355,344,350,393677,1432671,96,351,362,392,446
A044380,주연테크,20181214,349,353,347,352,204926,1471337,2719,351,363,394,447
A044380,주연테크,20181213,346,357,344,351,383957,1470725,1632,354,365,396,449
A044380,주연테크,20181212,350,355,347,350,152357,1388217,621,357,366,398,451
A044380,주연테크,20181211,345,354,343,350,369844,1359492,1292,362,367,400,452
A044380,주연테크,20181210,362,364,343,351,523548,1429365,244,367,368,401,454
A044380,주연테크,20181207,367,369,365,366,86674,1512121,506,371,369,403,456
A044380,주연테크,20181206,378,380,364,367,311659,1515229,251,373,370,405,458
A044380,주연테크,20181205,371,379,366,378,347394,1573135,-35,375,371,407,460
A044380,주연테크,20181204,370,377,370,371,217727,1628381,43,375,371,409,462
A044380,주연테크,20181203,375,380,369,372,236746,1601212,370,373,372,411,464
A044380,주연테크,20181130,388,388,374,377,150902,1604103,63,369,373,412,465
A044380,주연테크,20181129,370,385,370,378,425320,1603969,163,365,374,414,467
A044380,주연테크,20181128,362,378,359,377,641103,1409814,96,360,374,416,468
A044380,주연테크,20181127,363,364,356,359,310358,1330004,124,357,373,418,470
A044380,주연테크,20181126,355,365,351,354,292039,1284153,440,359,373,420,471
A044380,주연테크,20181123,355,370,349,355,597269,1249140,21,363,374,422,473
A044380,주연테크,20181122,358,367,354,355,414696,1223764,-73,367,376,424,474
A044380,주연테크,20181121,367,368,344,364,357812,1226525,277,371,379,426,475
A044380,주연테크,20181120,374,378,364,367,304628,1218222,103,373,382,428,477
A044380,주연테크,20181119,381,381,367,375,284478,1218710,2155,374,385,430,478
A044380,주연테크,20181116,376,379,370,374,288207,1186800,65,374,388,432,479
A044380,주연테크,20181115,377,377,361,373,210855,1146571,8,376,392,434,481
A044380,주연테크,20181114,376,380,372,375,192465,1182902,206,378,394,435,482
A044380,주연테크,20181113,377,377,360,374,368834,1155301,120,379,397,437,483
A044380,주연테크,20181112,384,385,375,375,397004,1137770,65,382,400,439,484
A044380,주연테크,20181109,389,391,378,382,468564,1156517,493,385,402,441,486
A044380,주연테크,20181108,386,395,382,382,232190,1126615,234,387,404,444,487
A044380,주연테크,20181107,392,395,383,383,258517,1090619,37,387,406,446,488
A044380,주연테크,20181106,392,397,383,389,186414,1112482,14,383,408,448,489
A044380,주연테크,20181105,391,396,381,390,266373,1130079,72,377,409,450,490
A044380,주연테크,20181102,383,399,378,392,352946,1104836,186,374,410,452,491
A044380,주연테크,20181101,366,388,366,381,599915,1049272,352,375,411,454,492
A044380,주연테크,20181031,360,372,359,365,567403,887736,274,381,412,456,494
A044380,주연테크,20181030,365,386,331,355,2073001,801328,672,391,415,458,495
A044380,주연테크,20181029,395,414,375,376,512724,646523,652,408,420,461,497
A044380,주연테크,20181026,400,410,397,400,246634,646557,943,420,423,463,498
