stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A045340,토탈소프트,20190129,2945,2965,2890,2890,61987,64960,0,2894,2772,2757,2826
A045340,토탈소프트,20190128,2950,2980,2905,2945,38627,63902,0,2878,2756,2750,2825
A045340,토탈소프트,20190125,2850,2970,2850,2930,61618,62718,0,2839,2741,2741,2824
A045340,토탈소프트,20190124,2845,2895,2830,2875,22649,62035,560,2801,2727,2729,2823
A045340,토탈소프트,20190123,2840,2870,2765,2830,22293,62818,0,2764,2721,2718,2822
A045340,토탈소프트,20190122,2775,2880,2750,2810,39954,62294,0,2758,2720,2711,2821
A045340,토탈소프트,20190121,2780,2780,2740,2750,11117,62122,497,2762,2719,2706,2820
A045340,토탈소프트,20190118,2690,2750,2690,2740,20053,62124,0,2779,2726,2702,2820
A045340,토탈소프트,20190117,2830,2830,2650,2690,58463,58311,0,2797,2740,2702,2819
A045340,토탈소프트,20190116,2840,2840,2770,2800,11017,55571,0,2817,2758,2704,2820
A045340,토탈소프트,20190115,2875,2875,2750,2830,25309,55873,0,2820,2772,2703,2820
A045340,토탈소프트,20190114,2835,2870,2750,2835,23504,56376,0,2791,2787,2703,2820
A045340,토탈소프트,20190111,2790,2835,2740,2830,22060,59713,0,2752,2798,2702,2821
A045340,토탈소프트,20190110,2840,2870,2760,2790,39310,60371,0,2703,2804,2701,2822
A045340,토탈소프트,20190109,2695,3140,2695,2815,378014,61082,0,2659,2812,2699,2824
A045340,토탈소프트,20190108,2650,2745,2640,2685,25135,61893,0,2617,2826,2698,2825
A045340,토탈소프트,20190107,2605,2660,2585,2640,27265,60414,0,2591,2840,2698,2827
A045340,토탈소프트,20190104,2530,2680,2530,2585,37638,55270,0,2595,2861,2701,2829
A045340,토탈소프트,20190103,2605,2635,2555,2570,27908,53664,-3284,2606,2884,2707,2830
A045340,토탈소프트,20190102,2600,2635,2565,2605,33593,58071,0,2644,2896,2714,2832
A045340,토탈소프트,20181228,2660,2680,2500,2555,90585,59074,0,2684,2902,2720,2833
A045340,토탈소프트,20181227,2645,2700,2615,2660,24433,56948,0,2733,2912,2728,2835
A045340,토탈소프트,20181226,2685,2750,2635,2640,30802,56415,824,2780,2918,2734,2837
A045340,토탈소프트,20181224,2805,2810,2690,2760,45891,57480,0,2852,2926,2742,2839
A045340,토탈소프트,20181221,2780,2835,2750,2805,31435,60722,64,2910,2928,2749,2840
A045340,토탈소프트,20181220,2895,2905,2785,2800,18439,57242,54,2967,2928,2754,2841
A045340,토탈소프트,20181219,2955,3030,2775,2895,81489,57955,486,3032,2928,2758,2842
A045340,토탈소프트,20181218,3050,3065,2965,3000,31492,48339,556,3064,2920,2761,2843
A045340,토탈소프트,20181217,3085,3180,2950,3050,95894,53671,-22,3054,2905,2764,2843
A045340,토탈소프트,20181214,3175,3175,3010,3090,63537,50650,9074,3037,2888,2767,2844
A045340,토탈소프트,20181213,3005,3175,2910,3125,109470,64057,0,3036,2864,2769,2845
A045340,토탈소프트,20181212,2910,3065,2905,3055,79162,46688,-59,3005,2841,2773,2845
