stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A046390,삼화네트웍스,20190129,1500,1510,1465,1465,149474,667557,0,1473,1456,1448,1471
A046390,삼화네트웍스,20190128,1485,1515,1475,1500,210611,673686,0,1473,1455,1446,1471
A046390,삼화네트웍스,20190125,1475,1495,1460,1485,156647,671700,0,1466,1452,1442,1470
A046390,삼화네트웍스,20190124,1455,1475,1450,1465,45026,663631,39,1461,1448,1436,1470
A046390,삼화네트웍스,20190123,1465,1470,1445,1450,93103,660972,0,1463,1448,1431,1470
A046390,삼화네트웍스,20190122,1460,1475,1440,1465,48110,661163,-1,1470,1448,1428,1469
A046390,삼화네트웍스,20190121,1480,1480,1430,1465,119818,671316,39,1467,1447,1426,1469
A046390,삼화네트웍스,20190118,1475,1490,1460,1460,186163,666922,-1,1465,1448,1425,1468
A046390,삼화네트웍스,20190117,1490,1495,1460,1475,122396,657022,-1,1463,1447,1425,1468
A046390,삼화네트웍스,20190116,1455,1500,1455,1485,289413,658649,0,1455,1447,1426,1468
A046390,삼화네트웍스,20190115,1455,1465,1445,1450,90878,639332,-1,1447,1447,1426,1467
A046390,삼화네트웍스,20190114,1460,1470,1450,1455,127828,635195,1,1445,1450,1427,1468
A046390,삼화네트웍스,20190111,1425,1450,1425,1450,33544,626733,2,1440,1452,1428,1468
A046390,삼화네트웍스,20190110,1445,1450,1435,1435,52356,624791,-38,1437,1453,1429,1469
A046390,삼화네트웍스,20190109,1445,1450,1430,1445,72669,626291,1,1437,1458,1429,1469
A046390,삼화네트웍스,20190108,1450,1450,1425,1440,22744,627230,1,1433,1461,1430,1470
A046390,삼화네트웍스,20190107,1425,1445,1415,1430,60442,629212,1,1435,1465,1431,1470
A046390,삼화네트웍스,20190104,1420,1445,1405,1435,33478,629573,3,1437,1470,1432,1471
A046390,삼화네트웍스,20190103,1435,1445,1415,1435,36856,628954,40,1433,1472,1434,1471
A046390,삼화네트웍스,20190102,1440,1455,1400,1425,37939,632633,0,1436,1472,1437,1471
A046390,삼화네트웍스,20181228,1460,1465,1425,1450,16639,632333,0,1442,1474,1441,1472
A046390,삼화네트웍스,20181227,1430,1460,1420,1440,12253,635047,39,1441,1474,1444,1472
A046390,삼화네트웍스,20181226,1445,1445,1390,1415,71114,635336,1,1448,1474,1449,1471
A046390,삼화네트웍스,20181224,1455,1460,1415,1450,71259,644312,-39,1456,1476,1452,1471
A046390,삼화네트웍스,20181221,1435,1470,1435,1455,19143,645530,0,1459,1476,1456,1471
A046390,삼화네트웍스,20181220,1475,1475,1445,1445,38454,676718,0,1466,1475,1460,1472
A046390,삼화네트웍스,20181219,1455,1475,1440,1475,28996,679208,0,1478,1476,1464,1473
A046390,삼화네트웍스,20181218,1470,1470,1425,1455,134205,673348,40000,1483,1475,1468,1473
A046390,삼화네트웍스,20181217,1475,1495,1435,1465,89079,660475,30204,1487,1474,1471,1474
A046390,삼화네트웍스,20181214,1500,1505,1460,1490,100668,657072,20000,1498,1472,1474,1474
A046390,삼화네트웍스,20181213,1510,1510,1480,1505,38049,650936,-2,1503,1469,1477,1475
A046390,삼화네트웍스,20181212,1475,1505,1475,1500,24855,646268,-3,1507,1464,1479,1475
A046390,삼화네트웍스,20181211,1565,1565,1470,1475,108542,631861,19997,1514,1458,1482,1474
A046390,삼화네트웍스,20181210,1495,1540,1475,1520,80120,647415,7855,1512,1455,1485,1474
A046390,삼화네트웍스,20181207,1570,1590,1510,1515,89928,643161,-4,1496,1449,1487,1474
A046390,삼화네트웍스,20181206,1545,1655,1465,1525,615268,647995,25613,1484,1443,1488,1475
A046390,삼화네트웍스,20181205,1455,1535,1445,1535,139519,721232,0,1468,1437,1486,1475
A046390,삼화네트웍스,20181204,1450,1480,1440,1465,67692,715579,28580,1449,1428,1484,1476
A046390,삼화네트웍스,20181203,1440,1475,1420,1440,104636,705106,12858,1448,1424,1484,1478
A046390,삼화네트웍스,20181130,1475,1475,1440,1455,34540,704417,10625,1451,1420,1484,1480
A046390,삼화네트웍스,20181129,1480,1480,1440,1445,38915,701266,8072,1448,1415,1484,1481
A046390,삼화네트웍스,20181128,1465,1465,1440,1440,48314,694978,12794,1451,1408,1484,1482
A046390,삼화네트웍스,20181127,1465,1470,1445,1460,36321,690189,3557,1455,1399,1484,1484
A046390,삼화네트웍스,20181126,1440,1460,1415,1455,84129,683468,19346,1451,1382,1484,1485
A046390,삼화네트웍스,20181123,1460,1475,1430,1440,80860,667961,35296,1445,1368,1484,1485
A046390,삼화네트웍스,20181122,1475,1490,1440,1460,59158,664381,39,1440,1360,1484,1487
A046390,삼화네트웍스,20181121,1435,1460,1415,1460,46709,670094,40,1430,1355,1483,1487
A046390,삼화네트웍스,20181120,1420,1445,1400,1440,122797,666049,2000,1416,1352,1482,1487
A046390,삼화네트웍스,20181119,1415,1425,1400,1425,104795,640701,22000,1409,1354,1481,1488
A046390,삼화네트웍스,20181116,1420,1425,1410,1415,59397,621082,5813,1404,1357,1481,1490
A046390,삼화네트웍스,20181115,1390,1420,1370,1410,82310,615093,-65,1401,1363,1481,1491
A046390,삼화네트웍스,20181114,1390,1405,1365,1390,96963,602488,41,1398,1368,1481,1493
A046390,삼화네트웍스,20181113,1400,1405,1345,1405,64455,592980,41,1393,1374,1482,1495
