stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A048530,인트론바이오,20190129,19100,19150,18750,18850,96037,986180,6299,19020,19490,21164,20243
A048530,인트론바이오,20190128,19150,19350,18850,19050,113935,1058889,-14997,18960,19627,21142,20232
A048530,인트론바이오,20190125,19500,19550,18950,19050,163454,1035966,-12023,18860,19752,21119,20216
A048530,인트론바이오,20190124,18500,19550,18450,19550,199632,1082745,-8978,18850,19865,21102,20198
A048530,인트론바이오,20190123,18550,18700,18150,18600,89346,1086034,5788,18700,19964,21074,20173
A048530,인트론바이오,20190122,18400,18700,18300,18550,70785,1097862,-8851,18720,20072,21071,20156
A048530,인트론바이오,20190121,19000,19100,18350,18550,125327,1081599,-3067,18790,20178,21104,20135
A048530,인트론바이오,20190118,18800,19100,18650,19000,87176,1116040,10241,18840,20271,21126,20124
A048530,인트론바이오,20190117,18600,19100,18600,18800,102808,1127526,-1882,18910,20252,21156,20112
A048530,인트론바이오,20190116,19200,19200,18400,18700,129507,1137923,-1428,19200,20235,21217,20107
A048530,인트론바이오,20190115,18900,19200,18700,18900,138112,1144450,243,19600,20205,21265,20103
A048530,인트론바이오,20190114,19100,19200,18700,18800,167088,1139228,-8321,19884,20220,21281,20101
A048530,인트론바이오,20190111,20350,20400,19150,19350,310642,1121102,13367,20229,20244,21297,20104
A048530,인트론바이오,20190110,21100,21850,20050,20250,516936,1193885,-65478,20519,20209,21306,20108
A048530,인트론바이오,20190109,20373,20925,20373,20699,226876,1296507,4127,20504,20207,21294,20104
A048530,인트론바이오,20190108,20549,21000,20098,20323,220502,1258686,15693,20619,20185,21278,20093
A048530,인트론바이오,20190107,21150,21200,20223,20524,185843,1229634,-4302,20874,20178,21262,20086
A048530,인트론바이오,20190104,20048,20799,20022,20799,202654,1221008,-851,21080,20202,21244,20084
A048530,인트론바이오,20190103,21501,21601,19972,20173,281926,1157152,2341,21180,20258,21225,20078
A048530,인트론바이오,20190102,21727,21802,21200,21275,152689,1168456,-3499,21451,20360,21226,20077
A048530,인트론바이오,20181228,21476,21777,21250,21601,133282,1138140,-13841,21351,20395,21205,20062
A048530,인트론바이오,20181227,21852,22102,21225,21551,323339,1098350,-2867,21165,20467,21172,20041
A048530,인트론바이오,20181226,21100,21927,21100,21301,315554,1143640,27734,20935,20555,21160,20016
A048530,인트론바이오,20181224,20599,21902,20474,21526,244328,1139284,16626,20398,20695,21161,19992
A048530,인트론바이오,20181221,20499,20950,20398,20774,178377,1086794,5283,19787,20743,21167,19975
A048530,인트론바이오,20181220,20398,21275,19997,20674,272000,1092107,18638,19251,20877,21176,19964
A048530,인트론바이오,20181219,19972,20849,19221,20398,648475,1129724,-4555,18955,21004,21185,19958
A048530,인트론바이오,20181218,18293,18644,17867,18619,230816,1147400,-12218,18734,21212,21201,19954
A048530,인트론바이오,20181217,18093,18744,17466,18469,251169,1101953,21061,18739,21599,21255,19954
A048530,인트론바이오,20181214,19195,19195,18018,18093,230060,1077042,-1819,19085,21971,21312,19954
A048530,인트론바이오,20181213,19371,19371,18594,19195,250060,1114606,-17888,19521,22362,21375,19953
A048530,인트론바이오,20181212,18820,19421,18820,19296,216854,1106366,18366,19717,22585,21406,19949
A048530,인트론바이오,20181211,20398,20524,18519,18644,452767,1074958,-15092,20058,22828,21431,19938
A048530,인트론바이오,20181210,19947,20724,19697,20198,219439,1077038,-2994,20714,23135,21470,19941
A048530,인트론바이오,20181207,20499,20699,20073,20273,209504,1047802,-3254,21115,23255,21478,19934
A048530,인트론바이오,20181206,20849,21676,20123,20173,391070,1032841,-14391,21456,23432,21480,19930
A048530,인트론바이오,20181205,21326,21526,20849,21000,333064,1026344,-5724,22032,23600,21471,19927
A048530,인트론바이오,20181204,22278,22604,21802,21927,266108,1033221,-10071,22493,23685,21454,19913
A048530,인트론바이오,20181203,22303,22554,21977,22203,266986,1004586,23069,22929,23734,21426,19894
A048530,인트론바이오,20181130,23155,23230,21927,21977,499088,1015978,3882,22984,23749,21390,19876
A048530,인트론바이오,20181129,23631,23781,22980,23055,371691,1007844,54336,23280,23609,21358,19857
A048530,인트론바이오,20181128,24233,24233,23230,23305,477035,975089,-10456,23310,23332,21295,19828
A048530,인트론바이오,20181127,22729,24383,22528,24107,1117392,1044382,133476,23561,23051,21229,19805
A048530,인트론바이오,20181126,23706,23756,22428,22478,716000,982725,15154,24012,22746,21148,19778
A048530,인트론바이오,20181123,23305,24057,22804,23456,962313,991236,30992,24699,22515,21094,19755
A048530,인트론바이오,20181122,25160,25210,23005,23205,1393312,952577,38525,25190,22263,21003,19723
A048530,인트론바이오,20181121,25861,26563,23907,24558,2178980,979835,9675,25280,22131,20910,19699
A048530,인트론바이오,20181120,31575,32177,26062,26363,4734355,977180,-616695,25200,21897,20791,19664
A048530,인트론바이오,20181119,26363,26864,24583,25912,529821,1254097,-122695,24884,21619,20649,19615
A048530,인트론바이오,20181116,23882,26062,23431,25912,484023,1301638,21385,24223,21445,20502,19565
A048530,인트론바이오,20181115,24057,24458,22929,23656,265184,1270829,-63379,23802,21229,20350,19524
A048530,인트론바이오,20181114,24508,25110,23932,24157,206152,1253143,-28877,23777,21039,20223,19493
A048530,인트론바이오,20181113,22503,24884,22002,24784,353948,1260533,21668,23486,20818,20093,19455
A048530,인트론바이오,20181112,23205,23481,22403,22604,145133,1252779,3078,23110,20574,19953,19411
A048530,인트론바이오,20181109,23531,24032,22954,23807,151771,1249203,18470,23090,20420,19863,19390
A048530,인트론바이오,20181108,23080,23781,22203,23531,182732,1263173,-1525,22162,20217,19754,19356
A048530,인트론바이오,20181107,23155,24182,22178,22704,357919,1261270,-15141,20959,20010,19648,19335
A048530,인트론바이오,20181106,22303,23481,22027,22904,428663,1223171,32681,19957,19844,19555,19319
A048530,인트론바이오,20181105,19321,22754,19321,22503,766318,1215244,-13931,18980,19683,19454,19307
A048530,인트론바이오,20181102,17642,19446,17642,19170,136807,1181111,9939,18048,19570,19361,19287
A048530,인트론바이오,20181101,17792,18243,17516,17516,94474,1169475,-21868,17897,19611,19322,19301
A048530,인트론바이오,20181031,18394,18394,17441,17692,83189,1169097,-20200,18509,19718,19323,19331
A048530,인트론바이오,20181030,17141,18043,17040,18018,137798,1176844,9118,18945,19873,19313,19364
A048530,인트론바이오,20181029,18569,19246,17667,17842,120218,1182155,37507,19501,20040,19294,19401
A048530,인트론바이오,20181026,20774,20774,17592,18419,194484,1167881,-34970,20418,20244,19273,19443
A048530,인트론바이오,20181025,19020,20849,18845,20574,174684,1174972,39773,21055,20388,19241,19479
A048530,인트론바이오,20181024,21050,21326,19246,19872,194128,1162463,-23100,20909,20420,19166,19493
