stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A049410,아주엠씨엠,20190129,18000,18000,18000,18000,0,0,0,17200,16300,15456,14715
A049410,아주엠씨엠,20190128,18000,18000,18000,18000,0,0,0,16800,16200,15356,14720
A049410,아주엠씨엠,20190125,18000,18000,18000,18000,1,0,0,16400,16100,15256,14725
A049410,아주엠씨엠,20190124,16000,16000,16000,16000,0,0,0,16000,16000,15156,14730
A049410,아주엠씨엠,20190123,16000,16000,16000,16000,0,0,0,16000,16000,15056,14752
A049410,아주엠씨엠,20190122,16000,16000,16000,16000,0,0,0,16000,16000,14956,14774
A049410,아주엠씨엠,20190121,16000,16000,16000,16000,0,0,0,16000,16000,14856,14795
A049410,아주엠씨엠,20190118,16000,16000,16000,16000,0,0,0,16000,16000,14756,14817
A049410,아주엠씨엠,20190117,16000,16000,16000,16000,0,0,0,16000,16000,14656,14839
A049410,아주엠씨엠,20190116,16000,16000,16000,16000,0,0,0,16000,16000,14556,14860
A049410,아주엠씨엠,20190115,16000,16000,16000,16000,0,0,0,16000,16000,14456,14882
A049410,아주엠씨엠,20190114,16000,16000,16000,16000,0,0,0,16000,16000,14356,14931
A049410,아주엠씨엠,20190111,16000,16000,16000,16000,0,0,0,16000,16000,14256,14939
A049410,아주엠씨엠,20190110,16000,16000,16000,16000,0,0,0,16000,16000,14156,14915
A049410,아주엠씨엠,20190109,16000,16000,16000,16000,0,0,0,16000,16000,14056,14890
A049410,아주엠씨엠,20190108,16000,16000,16000,16000,0,0,0,16000,16000,13956,14840
A049410,아주엠씨엠,20190107,16000,16000,16000,16000,0,0,0,16000,16000,13856,14772
A049410,아주엠씨엠,20190104,16000,16000,16000,16000,0,0,0,16000,16000,13756,14730
A049410,아주엠씨엠,20190103,16000,16000,16000,16000,0,0,0,16000,16000,13656,14728
A049410,아주엠씨엠,20190102,16000,16000,16000,16000,0,0,0,16000,16000,13556,14726
A049410,아주엠씨엠,20181228,16000,16000,16000,16000,0,0,0,16000,16000,13456,14694
A049410,아주엠씨엠,20181227,16000,16000,16000,16000,0,0,0,16000,16000,13356,14639
A049410,아주엠씨엠,20181226,16000,16000,16000,16000,0,0,0,16000,15918,13221,14566
A049410,아주엠씨엠,20181224,16000,16000,16000,16000,0,0,0,16000,15835,13078,14479
A049410,아주엠씨엠,20181221,16000,16000,16000,16000,0,0,0,16000,15752,12976,14394
A049410,아주엠씨엠,20181220,16000,16000,16000,16000,0,0,0,16000,15670,12874,14297
A049410,아주엠씨엠,20181219,16000,16000,16000,16000,0,0,0,16000,15668,12772,14193
A049410,아주엠씨엠,20181218,16000,16000,16000,16000,0,0,0,16000,15668,12671,14081
A049410,아주엠씨엠,20181217,16000,16000,16000,16000,0,0,0,16000,15668,12571,13965
A049410,아주엠씨엠,20181214,16000,16000,16000,16000,0,0,0,16000,15668,12471,13845
A049410,아주엠씨엠,20181213,16000,16000,16000,16000,0,0,0,16000,15668,12371,13721
A049410,아주엠씨엠,20181212,16000,16000,16000,16000,0,0,0,16000,15568,12271,0
A049410,아주엠씨엠,20181211,16000,16000,16000,16000,0,0,0,16000,15468,12171,0
A049410,아주엠씨엠,20181210,16000,16000,16000,16000,0,0,0,16000,15268,12071,0
A049410,아주엠씨엠,20181207,16000,16000,16000,16000,0,0,0,16000,15168,11971,0
A049410,아주엠씨엠,20181206,16000,16000,16000,16000,0,0,0,16000,15068,11914,0
A049410,아주엠씨엠,20181205,16000,16000,16000,16000,0,0,0,16000,14868,11898,0
A049410,아주엠씨엠,20181204,16000,16000,16000,16000,0,0,0,15670,14668,11872,0
A049410,아주엠씨엠,20181203,16000,16000,16000,16000,0,0,0,15340,14468,11937,0
A049410,아주엠씨엠,20181130,16000,16000,16000,16000,0,0,0,15010,14268,12002,0
