stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A050760,에스폴리텍,20190129,2070,2070,1950,1995,128932,167638,-7600,2037,1923,1813,1863
A050760,에스폴리텍,20190128,2100,2100,2020,2065,31058,168983,0,2033,1916,1805,1863
A050760,에스폴리텍,20190125,2085,2100,2040,2065,70017,171796,0,2013,1902,1795,1863
A050760,에스폴리텍,20190124,2000,2140,1990,2060,315480,167976,0,1981,1888,1784,1863
A050760,에스폴리텍,20190123,1980,2010,1965,2000,70381,170810,-1500,1953,1876,1772,1863
A050760,에스폴리텍,20190122,1965,2030,1965,1975,64735,165803,-32,1944,1868,1764,1863
A050760,에스폴리텍,20190121,1885,1990,1880,1965,44411,165157,108,1934,1859,1758,1864
A050760,에스폴리텍,20190118,1885,1945,1885,1905,43400,155383,-3,1917,1852,1752,1864
A050760,에스폴리텍,20190117,1965,1990,1905,1920,18804,149981,30,1927,1846,1748,1865
A050760,에스폴리텍,20190116,1930,1985,1895,1955,145884,149719,-2801,1911,1839,1745,1866
A050760,에스폴리텍,20190115,1880,1950,1835,1925,161616,147581,30,1886,1832,1741,1867
A050760,에스폴리텍,20190114,2035,2095,1850,1880,397121,146278,-2,1863,1828,1738,1868
A050760,에스폴리텍,20190111,1820,1995,1815,1955,326600,150110,-6416,1853,1821,1735,1870
A050760,에스폴리텍,20190110,1815,1845,1810,1840,11637,152857,-31,1828,1809,1730,1872
A050760,에스폴리텍,20190109,1815,1850,1800,1830,27398,153174,-4669,1828,1808,1728,1874
A050760,에스폴리텍,20190108,1845,1845,1800,1810,17276,152391,-4496,1826,1810,1726,1877
A050760,에스폴리텍,20190107,1830,1890,1800,1830,28900,152069,0,1833,1812,1723,1879
A050760,에스폴리텍,20190104,1805,1845,1745,1830,15322,153221,-5767,1825,1814,1724,1881
A050760,에스폴리텍,20190103,1840,1860,1820,1840,11582,153544,0,1818,1820,1726,1883
A050760,에스폴리텍,20190102,1830,1845,1790,1820,13153,155832,-5119,1810,1816,1727,1885
A050760,에스폴리텍,20181228,1790,1860,1775,1845,21158,155793,0,1816,1813,1729,1886
A050760,에스폴리텍,20181227,1795,1810,1770,1790,7518,155926,0,1807,1809,1730,1887
A050760,에스폴리텍,20181226,1800,1805,1745,1795,27200,155995,2358,1811,1808,1733,1889
A050760,에스폴리텍,20181224,1820,1845,1770,1800,20949,158827,-32,1809,1803,1736,1891
A050760,에스폴리텍,20181221,1780,1850,1780,1850,31335,171206,15,1807,1802,1740,1893
A050760,에스폴리텍,20181220,1790,1805,1775,1800,6813,171249,23,1801,1798,1743,1894
A050760,에스폴리텍,20181219,1785,1815,1760,1810,16839,171250,1974,1807,1796,1747,1896
A050760,에스폴리텍,20181218,1755,1795,1740,1785,69593,169637,-10314,1796,1794,1751,1898
A050760,에스폴리텍,20181217,1790,1815,1770,1790,9252,167785,-1080,1781,1792,1755,1900
A050760,에스폴리텍,20181214,1830,1830,1775,1820,11125,167781,1428,1789,1789,1760,1901
A050760,에스폴리텍,20181213,1745,1830,1745,1830,18643,167965,-1,1795,1786,1763,1904
A050760,에스폴리텍,20181212,1740,1780,1730,1755,21108,166179,-35,1802,1782,1767,1905
A050760,에스폴리텍,20181211,1785,1825,1705,1710,121524,157442,-3511,1826,1777,1772,1907
A050760,에스폴리텍,20181210,1845,1885,1805,1830,31863,152986,-5,1873,1774,1778,1910
A050760,에스폴리텍,20181207,1875,1895,1825,1850,53238,154451,0,1857,1765,1781,1912
A050760,에스폴리텍,20181206,1885,1955,1805,1865,227406,155455,-6114,1841,1756,1784,1913
A050760,에스폴리텍,20181205,1870,1905,1835,1875,180380,156975,-892,1819,1745,1787,1915
A050760,에스폴리텍,20181204,1750,2000,1735,1945,276363,158492,0,1797,1732,1791,1918
A050760,에스폴리텍,20181203,1755,1765,1750,1750,4828,163966,0,1749,1717,1793,1921
A050760,에스폴리텍,20181130,1745,1770,1715,1770,12980,164400,-1540,1756,1712,1798,1924
A050760,에스폴리텍,20181129,1760,1780,1745,1755,8137,164411,-1122,1754,1703,1803,1928
A050760,에스폴리텍,20181128,1715,1770,1690,1765,38293,163952,0,1758,1691,1807,1931
A050760,에스폴리텍,20181127,1780,1815,1670,1705,78573,163828,-5207,1757,1674,1812,1935
A050760,에스폴리텍,20181126,1755,1805,1725,1785,26431,163466,-3847,1764,1659,1817,1939
A050760,에스폴리텍,20181123,1775,1780,1730,1760,38498,164699,0,1755,1639,1820,1943
A050760,에스폴리텍,20181122,1775,1820,1745,1775,23868,164049,-5542,1752,1627,1824,1947
A050760,에스폴리텍,20181121,1735,1760,1690,1760,30276,166678,-12088,1751,1618,1829,1951
A050760,에스폴리텍,20181120,1740,1770,1695,1740,22310,168361,0,1727,1611,1833,1955
A050760,에스폴리텍,20181119,1715,1790,1715,1740,14906,166445,32,1711,1607,1837,1959
A050760,에스폴리텍,20181116,1755,1780,1730,1745,20328,166156,32,1693,1606,1841,1964
A050760,에스폴리텍,20181115,1640,1790,1635,1770,47349,166439,35,1675,1605,1845,1969
A050760,에스폴리텍,20181114,1645,1675,1630,1640,11258,169024,34,1651,1602,1848,1974
A050760,에스폴리텍,20181113,1610,1660,1565,1660,64859,169483,36,1649,1606,1855,1979
A050760,에스폴리텍,20181112,1660,1685,1625,1650,48007,178784,0,1643,1608,1861,1983
A050760,에스폴리텍,20181109,1650,1660,1625,1655,10887,178979,0,1643,1609,1867,1989
A050760,에스폴리텍,20181108,1625,1655,1605,1650,35552,179684,-34,1630,1612,1876,1995
A050760,에스폴리텍,20181107,1650,1650,1595,1630,20102,183019,0,1604,1613,1884,2000
A050760,에스폴리텍,20181106,1655,1695,1600,1630,57259,183087,0,1565,1625,1892,2006
A050760,에스폴리텍,20181105,1590,1650,1545,1650,42902,179199,0,1519,1640,1899,2013
A050760,에스폴리텍,20181102,1555,1630,1510,1590,36898,179983,-2971,1464,1653,1905,2019
A050760,에스폴리텍,20181101,1495,1640,1450,1520,85968,183503,-9122,1450,1670,1913,2025
A050760,에스폴리텍,20181031,1405,1495,1405,1435,35697,189613,-4,1467,1690,1922,2031
A050760,에스폴리텍,20181030,1195,1410,1195,1400,167894,189237,2803,1504,1716,1932,2037
A050760,에스폴리텍,20181029,1480,1520,1340,1375,80242,180258,0,1554,1745,1943,2042
A050760,에스폴리텍,20181026,1600,1600,1480,1520,52819,180417,9,1622,1780,1954,2048
A050760,에스폴리텍,20181025,1540,1605,1485,1605,83896,181089,0,1665,1805,1962,2054
A050760,에스폴리텍,20181024,1650,1680,1585,1620,30835,183091,1320,1688,1826,1969,2059
A050760,에스폴리텍,20181023,1695,1740,1650,1650,29969,181894,0,1706,1847,1976,2063
A050760,에스폴리텍,20181022,1710,1750,1700,1715,22687,184072,0,1716,1866,1982,2066
A050760,에스폴리텍,20181019,1735,1740,1675,1735,17466,186218,0,1707,1884,1987,2070
A050760,에스폴리텍,20181018,1700,1735,1690,1720,33842,188049,2696,1702,1900,1992,2073
A050760,에스폴리텍,20181017,1645,1745,1645,1710,58320,185851,0,1694,1916,1999,2076
A050760,에스폴리텍,20181016,1660,1710,1655,1700,15893,177979,2169,1724,1934,2005,2079
A050760,에스폴리텍,20181015,1695,1710,1645,1670,69638,178552,0,1769,1952,2013,2082
A050760,에스폴리텍,20181012,1590,1745,1590,1710,219209,175273,1618,1820,1968,2021,2085
A050760,에스폴리텍,20181011,1835,1835,1650,1680,198199,173730,1118,1863,1984,2028,2087
A050760,에스폴리텍,20181010,1945,1945,1785,1860,95558,181340,1086,1913,2003,2034,2089
A050760,에스폴리텍,20181008,1925,1950,1900,1925,13303,182061,219,1931,2014,2039,2089
A050760,에스폴리텍,20181005,1910,1940,1850,1925,50593,182946,644,1941,2023,2041,2088
A050760,에스폴리텍,20181004,1930,1985,1905,1925,12018,183746,0,1969,2030,2042,2088
A050760,에스폴리텍,20181002,1940,1945,1855,1930,95117,184870,0,1989,2036,2043,2088
A050760,에스폴리텍,20181001,1970,1970,1935,1950,64198,186340,0,2009,2041,2044,2088
A050760,에스폴리텍,20180928,2065,2065,1970,1975,84020,185758,0,2026,2046,2045,2088
A050760,에스폴리텍,20180927,2020,2075,1975,2065,63917,184451,28,2038,2047,2047,2088
A050760,에스폴리텍,20180921,2035,2040,2000,2025,16404,189003,0,2039,2043,2046,2087
A050760,에스폴리텍,20180920,2005,2040,1990,2030,49549,189743,0,2044,2042,2045,2087
A050760,에스폴리텍,20180919,2040,2090,2025,2035,14619,192024,1137,2050,2042,2045,2086
A050760,에스폴리텍,20180918,2065,2070,2015,2035,16708,195632,-809,2056,2040,2045,2085
A050760,에스폴리텍,20180917,2045,2075,2030,2070,15692,197394,0,2059,2037,2045,2084
A050760,에스폴리텍,20180914,2030,2055,2030,2050,22849,198446,145,2045,2032,2043,2082
A050760,에스폴리텍,20180913,2090,2090,2040,2060,22564,198222,-560,2040,2029,2044,2082
A050760,에스폴리텍,20180912,2070,2115,2040,2065,59662,199103,4,2041,2025,2043,2082
A050760,에스폴리텍,20180911,2000,2080,1995,2050,46880,193368,0,2045,2024,2042,2081
A050760,에스폴리텍,20180910,1995,2015,1985,2000,27909,202218,0,2053,2022,2041,2081
A050760,에스폴리텍,20180907,2075,2090,2005,2025,71281,202751,942,2067,2024,2042,2082
A050760,에스폴리텍,20180906,2090,2110,2025,2065,53505,204333,21,2070,2034,2043,2083
A050760,에스폴리텍,20180905,2090,2100,2065,2085,41675,205071,603,2063,2036,2044,2085
A050760,에스폴리텍,20180904,2065,2120,2050,2090,46672,203555,3709,2058,2038,2046,2085
A050760,에스폴리텍,20180903,2040,2145,2040,2070,176181,202843,0,2038,2036,2048,2085
A050760,에스폴리텍,20180831,2030,2040,2005,2040,29165,201963,-2134,2022,2033,2050,2085
A050760,에스폴리텍,20180830,2050,2070,2015,2030,38513,204132,0,2014,2033,2053,2086
A050760,에스폴리텍,20180829,1995,2130,1980,2060,88112,204629,0,2012,2034,2055,2086
A050760,에스폴리텍,20180828,1990,2005,1965,1990,15730,210364,0,2001,2034,2058,2086
A050760,에스폴리텍,20180827,2000,2015,1965,1990,19278,209759,0,1999,2036,2062,2086
A050760,에스폴리텍,20180824,2040,2040,1990,2000,19565,212499,0,1996,2039,2065,2087
A050760,에스폴리텍,20180823,2010,2090,1975,2020,47067,212038,0,1993,2040,2069,2087
A050760,에스폴리텍,20180822,1980,2010,1965,2005,34402,214821,-6515,1983,2040,2074,2088
A050760,에스폴리텍,20180821,1950,1990,1950,1980,63867,214690,-28,1991,2040,2077,2090
A050760,에스폴리텍,20180820,2000,2030,1945,1975,86327,212473,-27,1998,2041,2082,2092
A050760,에스폴리텍,20180817,1965,2010,1965,1985,37085,212754,0,2009,2046,2088,2094
A050760,에스폴리텍,20180816,2065,2070,1955,1970,65008,212740,-27,2058,2048,2094,2097
A050760,에스폴리텍,20180814,2015,2090,1990,2045,48586,212352,1139,2088,2054,2100,2096
A050760,에스폴리텍,20180813,2030,2045,1950,2015,106971,210966,0,2103,2058,2103,2094
A050760,에스폴리텍,20180810,2185,2210,2025,2030,304610,212043,830,2107,2066,2106,2092
A050760,에스폴리텍,20180809,2120,2230,2080,2230,290335,228518,0,2104,2070,2111,2090
A050760,에스폴리텍,20180808,2120,2165,2075,2120,114926,227238,0,2067,2065,2113,2086
A050760,에스폴리텍,20180807,2035,2280,1995,2120,670037,220756,7115,2051,2064,2116,2083
A050760,에스폴리텍,20180806,2070,2070,1980,2035,13896,229140,0,2039,2064,2120,2081
A050760,에스폴리텍,20180803,2055,2080,1990,2015,41070,230132,0,2042,2064,2127,2079
A050760,에스폴리텍,20180802,2040,2090,2010,2045,12893,234702,0,2047,2064,2133,2078
A050760,에스폴리텍,20180801,2045,2095,2040,2040,13060,237188,367,2041,2061,2138,2077
A050760,에스폴리텍,20180731,2050,2065,2015,2060,16790,237305,0,2036,2059,2140,2077
A050760,에스폴리텍,20180730,2040,2070,2010,2050,26651,237095,0,2028,2056,2143,2076
A050760,에스폴리텍,20180727,2035,2095,2030,2040,34737,234736,610,2018,2057,2142,2076
A050760,에스폴리텍,20180726,2005,2035,1970,2015,42083,232943,0,2022,2055,2143,2076
