stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A052770,와이디온라인,20190129,805,805,805,805,0,303928,0,805,808,1541,2059
A052770,와이디온라인,20190128,805,805,805,805,0,303928,0,805,809,1573,2073
A052770,와이디온라인,20190125,805,805,805,805,0,303928,0,805,812,1606,2087
A052770,와이디온라인,20190124,805,805,805,805,0,303928,0,805,817,1636,2101
A052770,와이디온라인,20190123,805,805,805,805,0,303928,0,805,820,1665,2114
A052770,와이디온라인,20190122,805,805,805,805,0,303928,0,805,830,1698,2126
A052770,와이디온라인,20190121,805,805,805,805,0,303928,0,803,828,1732,2138
A052770,와이디온라인,20190118,805,805,805,805,0,303928,0,802,827,1767,2151
A052770,와이디온라인,20190117,805,805,805,805,0,303928,0,802,842,1803,2165
A052770,와이디온라인,20190116,789,820,786,805,1084043,303928,72,804,868,1841,2178
A052770,와이디온라인,20190115,790,810,790,794,565846,301132,-43,805,898,1878,2193
A052770,와이디온라인,20190114,802,812,789,801,741089,222316,-41,807,930,1917,2205
A052770,와이디온라인,20190111,814,820,805,806,691688,94190,-38,810,967,1954,2225
A052770,와이디온라인,20190110,820,873,800,812,3298918,88293,-42,815,1012,1991,2246
A052770,와이디온라인,20190109,798,877,784,814,2399423,202451,72,818,1058,2027,2268
A052770,와이디온라인,20190108,816,820,796,801,1205395,159734,70,816,1124,2064,2293
A052770,와이디온라인,20190107,832,847,813,817,975092,271888,0,820,1190,2099,2318
A052770,와이디온라인,20190104,832,852,810,830,1289000,159646,69,829,1255,2132,2342
A052770,와이디온라인,20190103,810,944,790,827,6018185,85264,63,847,1319,2164,2365
A052770,와이디온라인,20190102,838,838,798,803,1433174,62982,0,854,1384,2195,2388
A052770,와이디온라인,20181228,899,899,809,823,2496789,196424,0,893,1450,2226,2411
A052770,와이디온라인,20181227,930,977,840,862,2587394,78197,0,884,1515,2258,2434
A052770,와이디온라인,20181226,881,1030,880,920,7023181,194231,0,868,1578,2291,2457
A052770,와이디온라인,20181224,1035,1210,830,860,13567285,284403,0,904,1638,2322,2476
A052770,와이디온라인,20181221,770,1010,766,1000,24645443,316923,58,998,1701,2351,2496
A052770,와이디온라인,20181220,796,835,725,779,9781502,302302,74,1078,1759,2376,2514
A052770,와이디온라인,20181219,1000,1065,770,779,18359105,362482,0,1210,1828,2404,2535
A052770,와이디온라인,20181218,1315,1335,1075,1100,1538160,235931,43,1361,1896,2431,2556
A052770,와이디온라인,20181217,1400,1410,1310,1330,317037,215615,41,1481,1952,2453,2574
A052770,와이디온라인,20181214,1440,1530,1395,1400,322144,188578,38,1565,1997,2472,2588
A052770,와이디온라인,20181213,1520,1520,1325,1440,1599229,171735,42,1709,2038,2492,2599
A052770,와이디온라인,20181212,1695,1710,1535,1535,379409,144910,0,1845,2080,2510,2611
A052770,와이디온라인,20181211,1790,1800,1615,1700,302505,149692,0,1962,2130,2524,2622
A052770,와이디온라인,20181210,2315,2315,1705,1750,1142598,113989,8300,2046,2166,2536,2632
A052770,와이디온라인,20181207,2120,2120,2120,2120,0,95078,0,2120,2202,2546,2642
A052770,와이디온라인,20181206,2120,2120,2120,2120,0,95078,0,2120,2224,2549,2650
A052770,와이디온라인,20181205,2120,2120,2120,2120,0,95078,0,2120,2247,2553,2658
A052770,와이디온라인,20181204,2120,2120,2120,2120,0,95078,0,2120,2269,2558,2667
A052770,와이디온라인,20181203,2120,2120,2120,2120,0,95078,0,2120,2299,2563,2674
A052770,와이디온라인,20181130,2120,2120,2120,2120,0,95078,0,2120,2332,2568,2680
A052770,와이디온라인,20181129,2120,2120,2120,2120,0,95078,0,2128,2366,2574,2687
A052770,와이디온라인,20181128,2120,2120,2120,2120,0,95078,0,2136,2397,2580,2693
A052770,와이디온라인,20181127,2120,2120,2120,2120,0,95078,0,2140,2428,2586,2698
