stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A053110,소리바다,20190129,1100,1100,1055,1075,555121,469500,-56,1119,1122,1080,1338
A053110,소리바다,20190128,1140,1140,1090,1105,1315577,443620,-199065,1133,1118,1080,1345
A053110,소리바다,20190125,1135,1145,1130,1135,330960,515201,-100000,1145,1113,1080,1353
A053110,소리바다,20190124,1145,1150,1125,1135,371453,499640,50,1145,1106,1079,1359
A053110,소리바다,20190123,1145,1165,1135,1145,694537,504437,-8,1151,1099,1077,1366
A053110,소리바다,20190122,1170,1180,1135,1145,514366,472221,-8,1161,1092,1076,1373
A053110,소리바다,20190121,1140,1175,1120,1165,1175278,549803,50,1176,1086,1075,1379
A053110,소리바다,20190118,1170,1175,1115,1135,1150204,443436,-6,1181,1078,1075,1386
A053110,소리바다,20190117,1200,1240,1155,1165,1130063,395830,-9,1182,1072,1076,1393
A053110,소리바다,20190116,1220,1300,1145,1195,4762971,410173,-7,1183,1067,1077,1401
A053110,소리바다,20190115,1300,1420,1215,1220,8426452,387245,44,1168,1059,1079,1409
A053110,소리바다,20190114,1145,1205,1140,1190,1509538,676430,38570,1127,1050,1080,1416
A053110,소리바다,20190111,1170,1185,1125,1140,1119213,597607,50,1098,1041,1081,1423
A053110,소리바다,20190110,1120,1265,1090,1170,6741732,732593,0,1077,1034,1084,1431
A053110,소리바다,20190109,1025,1245,1020,1120,10367914,1060293,54,1051,1026,1085,1439
A053110,소리바다,20190108,1040,1050,1015,1015,371873,1064071,40055,1038,1021,1087,1447
A053110,소리바다,20190107,1050,1055,1040,1045,224502,1079251,54,1037,1021,1091,1455
A053110,소리바다,20190104,1025,1040,1015,1035,193547,1033431,7,1028,1021,1096,1464
A053110,소리바다,20190103,1070,1080,1030,1040,528182,1032693,50055,1019,1022,1101,1473
A053110,소리바다,20190102,1015,1100,1015,1055,1256683,1074786,56,1012,1024,1106,1482
A053110,소리바다,20181228,1000,1015,996,1010,208918,1116436,0,1003,1025,1112,1490
A053110,소리바다,20181227,1000,1010,992,998,188959,1125992,1753,1003,1027,1119,1500
A053110,소리바다,20181226,993,996,956,990,478459,1115587,30058,1005,1027,1127,1509
A053110,소리바다,20181224,1005,1010,998,1005,228748,1217223,-56,1012,1028,1136,1518
A053110,소리바다,20181221,1010,1025,1000,1010,188011,1205005,20000,1021,1029,1145,1527
A053110,소리바다,20181220,1005,1025,998,1010,181609,1194599,2,1026,1028,1153,1537
A053110,소리바다,20181219,1025,1035,999,1010,340471,1203023,4,1032,1030,1161,1547
A053110,소리바다,20181218,1050,1050,1015,1025,299567,1216958,-52,1032,1034,1169,1558
A053110,소리바다,20181217,1040,1065,1020,1050,283110,1246658,30000,1027,1038,1179,1569
A053110,소리바다,20181214,1050,1090,1015,1035,734370,1278676,50000,1019,1041,1190,1579
A053110,소리바다,20181213,1010,1045,1005,1040,380924,1245201,0,1017,1044,1202,1590
A053110,소리바다,20181212,1005,1020,994,1010,335147,1166226,20000,1012,1048,1214,1601
A053110,소리바다,20181211,1020,1020,996,1000,403011,1142185,30000,1019,1052,1225,1612
A053110,소리바다,20181210,1015,1020,1000,1010,168679,1141882,12400,1032,1058,1238,1622
A053110,소리바다,20181207,1035,1045,1020,1025,139448,1154465,0,1045,1064,1250,1633
A053110,소리바다,20181206,1050,1055,1000,1015,367798,1163309,0,1053,1072,1262,1645
A053110,소리바다,20181205,1055,1055,1025,1045,301857,1252857,0,1060,1078,1275,1656
A053110,소리바다,20181204,1070,1080,1045,1065,262081,1288550,0,1051,1082,1288,1665
A053110,소리바다,20181203,1070,1085,1045,1075,299908,1273560,0,1042,1085,1302,1675
A053110,소리바다,20181130,1055,1080,1035,1065,382923,1303548,0,1030,1088,1314,1685
A053110,소리바다,20181129,1015,1080,1000,1050,949614,1338480,0,1018,1093,1328,1696
A053110,소리바다,20181128,1025,1025,997,1000,376160,1040799,0,1016,1096,1342,1708
A053110,소리바다,20181127,1030,1030,1005,1020,211393,1003466,56,1032,1100,1357,1721
A053110,소리바다,20181126,1000,1050,998,1015,434144,969680,56,1052,1104,1372,1734
A053110,소리바다,20181123,1030,1055,998,1005,492092,897228,54,1070,1104,1387,1750
A053110,소리바다,20181122,1095,1100,1040,1040,388579,946664,52,1090,1107,1402,1760
A053110,소리바다,20181121,1100,1120,1075,1080,703512,993179,52,1104,1111,1415,1768
A053110,소리바다,20181120,1085,1155,1080,1120,1027138,1089365,0,1106,1114,1428,1776
A053110,소리바다,20181119,1105,1165,1095,1105,746341,1105330,-1,1106,1118,1440,1783
A053110,소리바다,20181116,1095,1140,1090,1105,325155,1021207,0,1111,1124,1453,1790
A053110,소리바다,20181115,1090,1115,1070,1110,227916,967196,0,1128,1132,1464,1797
A053110,소리바다,20181114,1120,1145,1080,1090,481687,941178,0,1134,1141,1475,1805
A053110,소리바다,20181113,1105,1125,1080,1120,327502,1013168,0,1138,1151,1488,1812
A053110,소리바다,20181112,1175,1175,1125,1130,419528,995571,49,1139,1159,1500,1819
A053110,소리바다,20181109,1150,1250,1140,1190,1572316,1140597,0,1140,1164,1514,1827
A053110,소리바다,20181108,1125,1165,1120,1140,442978,1233148,0,1136,1169,1526,1834
A053110,소리바다,20181107,1125,1195,1095,1110,838540,1192926,0,1128,1175,1539,1841
A053110,소리바다,20181106,1135,1140,1105,1125,276016,1260356,0,1124,1186,1553,1848
A053110,소리바다,20181105,1160,1170,1105,1135,690671,1235501,0,1118,1197,1567,1855
A053110,소리바다,20181102,1100,1275,1100,1170,1392313,1316767,0,1094,1206,1582,1862
A053110,소리바다,20181101,1100,1140,1090,1100,334382,1298236,0,1075,1217,1596,1870
A053110,소리바다,20181031,1090,1115,1045,1090,489658,1350649,0,1077,1234,1610,1880
A053110,소리바다,20181030,910,1110,910,1095,1036784,1490795,0,1089,1255,1625,1891
A053110,소리바다,20181029,1065,1090,970,1015,604212,1446731,0,1110,1275,1639,1903
A053110,소리바다,20181026,1115,1130,1050,1075,383037,1392744,0,1152,1302,1655,1916
A053110,소리바다,20181025,1065,1125,1065,1110,575134,1362842,0,1191,1324,1670,1928
A053110,소리바다,20181024,1200,1230,1130,1150,550604,1187450,0,1225,1343,1683,1938
A053110,소리바다,20181023,1225,1235,1160,1200,428123,1240970,0,1253,1360,1696,1949
A053110,소리바다,20181022,1270,1270,1200,1225,522615,1189142,-34,1269,1380,1709,1960
A053110,소리바다,20181019,1290,1290,1245,1270,127906,1194036,0,1270,1404,1724,1970
A053110,소리바다,20181018,1315,1315,1265,1280,174188,1167422,0,1273,1428,1739,1980
A053110,소리바다,20181017,1280,1345,1260,1290,370603,1188593,0,1269,1452,1752,1990
A053110,소리바다,20181016,1230,1315,1230,1280,487243,1262420,0,1276,1473,1765,2000
A053110,소리바다,20181015,1295,1295,1215,1230,335268,1173651,0,1291,1496,1779,2011
A053110,소리바다,20181012,1295,1305,1230,1285,367567,1140240,-62,1306,1521,1793,2023
A053110,소리바다,20181011,1190,1285,1190,1260,477589,1121275,-30,1330,1545,1806,2033
A053110,소리바다,20181010,1330,1355,1285,1325,297537,1047558,-31,1364,1572,1819,2043
A053110,소리바다,20181008,1260,1475,1260,1355,689912,1052629,0,1401,1598,1832,2052
A053110,소리바다,20181005,1375,1385,1280,1305,702514,928893,-30,1431,1623,1844,2061
A053110,소리바다,20181004,1430,1455,1370,1405,448895,790927,0,1479,1650,1857,2071
A053110,소리바다,20181002,1515,1550,1405,1430,730800,729359,-36000,1502,1674,1868,2081
A053110,소리바다,20181001,1505,1535,1480,1510,481509,795793,-20000,1514,1697,1880,2091
A053110,소리바다,20180928,1535,1535,1490,1505,388836,766884,0,1510,1717,1890,2101
A053110,소리바다,20180927,1525,1580,1525,1545,370963,823374,0,1529,1737,1899,2111
A053110,소리바다,20180921,1500,1545,1480,1520,472811,837664,0,1560,1755,1910,2120
A053110,소리바다,20180920,1525,1540,1470,1490,631300,736839,0,1605,1773,1920,2129
A053110,소리바다,20180919,1600,1610,1450,1490,1414842,635409,-25000,1662,1791,1933,2139
A053110,소리바다,20180918,1680,1700,1585,1600,1017592,535271,-19966,1706,1809,1947,2152
