stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A053300,한국정보인증,20190129,4170,4205,4150,4190,41212,641209,0,4205,4080,3872,4220
A053300,한국정보인증,20190128,4205,4255,4175,4185,46922,645186,0,4191,4060,3859,4225
A053300,한국정보인증,20190125,4305,4340,4200,4240,65519,651559,0,4180,4036,3846,4229
A053300,한국정보인증,20190124,4160,4270,4085,4270,136291,660203,2500,4165,4009,3830,4232
A053300,한국정보인증,20190123,4120,4195,4075,4140,68939,655722,0,4134,3990,3812,4235
A053300,한국정보인증,20190122,4190,4370,4120,4120,345308,636760,0,4127,3982,3803,4239
A053300,한국정보인증,20190121,4180,4180,4050,4130,89329,709345,0,4127,3981,3796,4242
A053300,한국정보인증,20190118,4170,4250,4150,4165,91815,694278,0,4096,3962,3790,4246
A053300,한국정보인증,20190117,4105,4145,4060,4115,71604,690992,0,4058,3937,3787,4250
A053300,한국정보인증,20190116,4170,4170,4070,4105,40756,687432,0,4045,3914,3787,4256
A053300,한국정보인증,20190115,3945,4125,3935,4120,94803,687831,0,4038,3895,3786,4262
A053300,한국정보인증,20190114,3950,4015,3950,3975,28102,667452,0,4020,3876,3784,4269
A053300,한국정보인증,20190111,4020,4055,3975,3975,53490,665434,0,4038,3864,3785,4277
A053300,한국정보인증,20190110,4100,4190,4000,4050,130523,671222,0,4021,3850,3786,4286
A053300,한국정보인증,20190109,4030,4105,3980,4070,87973,650754,0,3985,3831,3784,4295
A053300,한국정보인증,20190108,4000,4080,3955,4030,104609,642566,0,3952,3816,3782,4302
A053300,한국정보인증,20190107,3895,4065,3890,4065,112704,650128,0,3901,3803,3780,4310
A053300,한국정보인증,20190104,3810,3900,3770,3890,32326,643193,0,3830,3793,3782,4317
A053300,한국정보인증,20190103,3910,3960,3845,3870,65778,645007,-500,3793,3793,3790,4324
A053300,한국정보인증,20190102,3805,3905,3790,3905,49043,647328,-200,3794,3795,3800,4331
A053300,한국정보인증,20181228,3720,3815,3715,3775,36021,647305,0,3810,3791,3811,4338
A053300,한국정보인증,20181227,3795,3795,3700,3710,37162,637926,0,3875,3793,3826,4345
A053300,한국정보인증,20181226,3775,3875,3705,3705,92167,637187,85,3883,3797,3844,4353
A053300,한국정보인증,20181224,4020,4025,3840,3875,108739,663397,0,3877,3802,3863,4361
A053300,한국정보인증,20181221,4140,4150,3960,3985,260372,674383,600,3831,3798,3882,4369
A053300,한국정보인증,20181220,3750,4420,3700,4100,1960256,674960,0,3781,3786,3899,4377
A053300,한국정보인증,20181219,3675,3765,3675,3750,40396,726995,0,3708,3773,3914,4384
A053300,한국정보인증,20181218,3640,3755,3615,3675,51030,724907,0,3707,3780,3936,4394
