stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A053580,웹케시,20190129,30350,30450,27300,27300,742224,0,-119491,29920,30132,29015,29088
A053580,웹케시,20190128,28700,30850,27500,30200,1182048,0,316534,30760,30192,29027,29110
A053580,웹케시,20190125,31700,34600,28250,28500,3260466,0,-391564,31110,30058,28972,29109
A053580,웹케시,20190124,31500,32150,30850,32150,14226,0,0,32000,30005,28948,29126
A053580,웹케시,20190123,31500,31900,30600,31450,10676,0,0,32090,29745,28862,29119
A053580,웹케시,20190122,32200,32200,31050,31500,14786,0,0,32160,29538,28796,29118
A053580,웹케시,20190121,33050,33050,31400,31950,11533,0,0,32230,29328,28748,29113
A053580,웹케시,20190118,33000,33000,32700,32950,10642,0,0,32120,29130,28700,29109
A053580,웹케시,20190117,32000,32800,32000,32600,16589,0,0,31330,28882,28636,29096
A053580,웹케시,20190116,31500,32500,31500,31800,18278,0,0,30470,28682,28576,29092
A053580,웹케시,20190115,31950,32500,31000,31850,16239,0,0,29770,28538,28540,29097
A053580,웹케시,20190114,29200,31750,28950,31400,15012,0,0,29040,28370,28502,29094
A053580,웹케시,20190111,30000,30000,28800,29000,16873,0,0,28560,28225,28462,29105
A053580,웹케시,20190110,28300,28800,28000,28300,21373,0,0,28460,28200,28469,29138
A053580,웹케시,20190109,28750,28750,28000,28300,15909,0,0,28540,28210,28498,29175
A053580,웹케시,20190108,29000,29000,28000,28200,7536,0,0,28680,28265,28532,29202
A053580,웹케시,20190107,28450,29200,28100,29000,13941,0,0,28740,28295,28523,29224
A053580,웹케시,20190104,28500,28500,27900,28500,9075,0,0,28440,28295,28512,29243
A053580,웹케시,20190103,29000,29000,28000,28700,5259,0,0,28230,28300,28507,29258
A053580,웹케시,20190102,28100,29000,28000,29000,6058,0,0,27880,28302,28498,29293
A053580,웹케시,20181228,28800,28800,27900,28500,3884,0,0,27540,28278,28482,29327
A053580,웹케시,20181227,29800,29800,27000,27500,4745,0,0,27300,28275,28464,29356
A053580,웹케시,20181226,27100,27950,27000,27450,3786,0,0,27400,28350,28471,29392
A053580,웹케시,20181224,27400,28000,26800,26950,2338,0,0,27510,28418,28472,29422
A053580,웹케시,20181221,28950,28950,27000,27300,4383,0,0,27840,28520,28491,29447
A053580,웹케시,20181220,27700,28000,27300,27300,2291,0,0,28160,28602,28504,29464
A053580,웹케시,20181219,28050,28050,27500,28000,1939,0,0,28400,28675,28527,29471
A053580,웹케시,20181218,27700,28500,27700,28000,1667,0,0,28500,28715,28535,29469
A053580,웹케시,20181217,27300,29000,27300,28600,5056,0,0,28600,28732,28546,29456
A053580,웹케시,20181214,29100,29250,28750,28900,663,0,0,28580,28722,28542,29440
A053580,웹케시,20181213,29000,29000,27800,28500,4153,0,0,28680,28645,28536,29402
A053580,웹케시,20181212,29300,29300,28150,28500,4156,0,0,28740,28658,28536,29369
A053580,웹케시,20181211,28900,28900,28000,28500,7166,0,0,28840,28680,28544,29345
A053580,웹케시,20181210,29000,29000,28000,28500,18226,0,0,28860,28722,28555,29320
A053580,웹케시,20181207,28800,29500,28500,29400,19264,0,0,28910,28752,28571,29299
A053580,웹케시,20181206,28500,28900,28350,28800,9432,0,0,28730,28745,28572,29271
A053580,웹케시,20181205,29000,29000,28500,29000,4010,0,0,28660,28748,28583,29251
A053580,웹케시,20181204,28900,28900,28500,28600,792,0,0,28660,28735,28592,29225
A053580,웹케시,20181203,28600,28750,28300,28750,898,0,0,28700,28718,28608,29199
A053580,웹케시,20181130,29300,29300,28350,28500,4920,0,0,28750,28665,28631,29178
A053580,웹케시,20181129,29350,29350,28450,28450,2184,0,0,28840,28635,28662,29158
A053580,웹케시,20181128,29300,29300,28400,29000,2204,0,0,28900,28612,28686,29136
A053580,웹케시,20181127,29700,29700,28700,28800,456,0,0,28860,28508,28699,29112
A053580,웹케시,20181126,29000,29000,28400,29000,2838,0,0,28770,28420,28724,29090
A053580,웹케시,20181123,29000,29500,28500,28950,36265,0,0,28650,28320,28746,29060
A053580,웹케시,20181122,29000,29000,28500,28750,1550,0,0,28330,28248,28764,29027
A053580,웹케시,20181121,31000,31000,28000,28800,6212,0,0,28330,28240,28792,29000
A053580,웹케시,20181120,29900,29900,28200,28350,1479,0,0,28360,28255,28824,28970
A053580,웹케시,20181119,28000,28500,28000,28400,6751,0,0,28560,28292,28866,28950
A053580,웹케시,20181116,29100,29100,27100,27350,4165,0,0,28700,28322,28906,28927
A053580,웹케시,20181115,29400,29400,28100,28750,2071,0,0,29080,28438,28949,28921
A053580,웹케시,20181114,29250,29900,28950,28950,1816,0,0,29100,28480,28963,28904
A053580,웹케시,20181113,32950,32950,28700,29350,1540,0,0,29060,28482,28988,28888
A053580,웹케시,20181112,28800,29200,28700,29100,5260,0,0,28840,28485,28998,28858
A053580,웹케시,20181109,28950,29800,28900,29250,1950,0,0,28560,28530,29012,28827
A053580,웹케시,20181108,28300,29900,27700,28850,730,0,0,28290,28585,29016,28792
A053580,웹케시,20181107,27550,28750,27550,28750,8083,0,0,28120,28528,29035,28759
A053580,웹케시,20181106,28450,28450,27500,28250,3442,0,0,27750,28508,29054,28722
A053580,웹케시,20181105,27550,28000,27550,27700,811,0,0,27510,28502,29083,28693
A053580,웹케시,20181102,28200,28200,27500,27900,2160,0,0,27370,28525,29118,28678
A053580,웹케시,20181101,27600,28250,26650,28000,3370,0,0,27290,28535,29160,28673
A053580,웹케시,20181031,27900,27900,26450,26900,2174,0,0,27410,28505,29193,28669
A053580,웹케시,20181030,28400,28400,25000,27050,12474,0,0,27850,28555,29247,28674
A053580,웹케시,20181029,27500,28800,27000,27000,3914,0,0,28260,28578,29304,28681
A053580,웹케시,20181026,37150,37150,27300,27500,5168,0,0,28660,28632,29376,28687
A053580,웹케시,20181025,29950,29950,28300,28600,1602,0,0,29090,28662,29439,28681
A053580,웹케시,20181024,29500,29500,28900,29100,1787,0,0,29290,28665,29479,28667
A053580,웹케시,20181023,29400,29500,28900,29100,2801,0,0,29270,28635,29518,28647
A053580,웹케시,20181022,29750,29800,29000,29000,6916,0,0,29330,28612,29556,28626
A053580,웹케시,20181019,29600,30000,29400,29650,2067,0,0,29530,28582,29609,28605
A053580,웹케시,20181018,29000,29900,28900,29600,1584,0,0,29670,28525,29654,28566
A053580,웹케시,20181017,29000,30000,29000,29000,4161,0,0,29290,28470,29686,28516
A053580,웹케시,20181016,31000,31000,28850,29400,3168,0,0,29160,28470,29747,28470
A053580,웹케시,20181015,30200,32250,29600,30000,2974,0,0,28910,28458,29807,28390
A053580,웹케시,20181012,28600,30950,28600,30350,38063,0,0,28540,28430,29853,28303
A053580,웹케시,20181011,28900,28900,27700,27700,1032,0,0,28090,28385,29872,28213
A053580,웹케시,20181010,28600,28600,28000,28350,994,0,0,28030,28475,29925,28144
A053580,웹케시,20181008,28300,28400,28100,28150,2947,0,0,27940,28532,29974,28069
A053580,웹케시,20181005,27950,28450,27950,28150,3369,0,0,27810,28602,30010,27997
A053580,웹케시,20181004,19400,28100,19400,28100,2295,0,0,27800,28702,30089,27924
A053580,웹케시,20181002,29000,29000,27000,27400,3513,0,0,27800,28815,30171,27852
A053580,웹케시,20181001,28400,28400,27000,27900,2396,0,0,28050,28940,30248,27787
A053580,웹케시,20180928,28000,28450,27500,27500,1882,0,0,28170,29035,30314,27716
A053580,웹케시,20180927,28400,28400,27800,28100,5618,0,0,28400,29175,30372,27650
A053580,웹케시,20180921,28850,28850,27900,28100,815,0,0,28460,29285,30403,27578
A053580,웹케시,20180920,30000,30000,27750,28650,2321,0,0,28540,29382,30423,27505
A053580,웹케시,20180919,28600,28800,28000,28500,988,0,0,28510,29470,30416,27427
A053580,웹케시,20180918,30000,30000,27100,28650,3374,0,0,28610,29582,30402,27351
A053580,웹케시,20180917,27550,28650,27500,28400,1833,0,0,28710,29692,30367,27272
A053580,웹케시,20180914,29000,29000,28000,28500,3493,0,0,28920,29812,30338,27192
A053580,웹케시,20180913,29650,29650,28300,28500,3708,0,0,29110,29885,30268,27100
A053580,웹케시,20180912,29100,29350,28750,29000,3036,0,0,29310,29940,30202,27000
A053580,웹케시,20180911,29650,29650,28900,29150,644,0,0,29410,30010,30145,26898
A053580,웹케시,20180910,29900,29900,28800,29450,1140,0,0,29490,30050,30084,26784
A053580,웹케시,20180907,30550,30550,29300,29450,1229,0,0,29630,30075,30027,26664
A053580,웹케시,20180906,29300,29800,29300,29500,3394,0,0,29810,30078,29971,26543
A053580,웹케시,20180905,30000,30000,28700,29500,8155,0,0,29890,30102,29919,26430
A053580,웹케시,20180904,29900,30150,29300,29550,5339,0,0,29950,30122,29859,26316
A053580,웹케시,20180903,31400,31400,30000,30150,3077,0,0,30100,30145,29790,26202
A053580,웹케시,20180831,30850,30850,30100,30350,1141,0,0,30130,30128,29724,26080
