stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A053610,프로텍,20190129,15300,15350,14950,15100,21444,532894,0,15000,13810,13193,13820
A053610,프로텍,20190128,15200,15600,14950,15250,52419,531425,-50,14890,13695,13127,13843
A053610,프로텍,20190125,14900,15050,14600,15050,28724,526719,6450,14540,13578,13055,13864
A053610,프로텍,20190124,15100,15700,14650,14900,65452,528958,0,14210,13470,12987,13889
A053610,프로텍,20190123,14450,15150,14400,14700,73806,530652,11706,13910,13380,12914,13917
A053610,프로텍,20190122,13600,16750,13450,14550,361415,524262,-25430,13650,13292,12854,13946
A053610,프로텍,20190121,13500,13700,13250,13500,8688,512338,-300,13430,13215,12792,13973
A053610,프로텍,20190118,13500,13600,13200,13400,18003,510615,-7240,13420,13198,12754,14007
A053610,프로텍,20190117,13450,13450,13100,13400,10733,507658,-3689,13460,13190,12727,14042
A053610,프로텍,20190116,13450,13550,13300,13400,5917,506450,-1331,13470,13115,12706,14077
A053610,프로텍,20190115,13450,13550,13250,13450,9812,506224,1023,13510,13055,12688,14111
A053610,프로텍,20190114,13650,13650,13300,13450,9542,505888,0,13500,13000,12670,14145
A053610,프로텍,20190111,13450,13700,13450,13600,13409,505584,0,13480,12932,12652,14183
A053610,프로텍,20190110,13550,13650,13300,13450,8251,507048,0,13370,12845,12631,14224
A053610,프로텍,20190109,13400,13650,13400,13600,20574,506837,-392,13230,12768,12609,14267
A053610,프로텍,20190108,13150,13450,13100,13400,18912,506304,-1171,13080,12702,12588,14301
A053610,프로텍,20190107,13450,13650,13100,13350,29817,507043,0,12960,12642,12576,14339
A053610,프로텍,20190104,12750,13800,12400,13050,41117,512567,0,12870,12598,12572,14378
A053610,프로텍,20190103,12900,13050,12600,12750,9921,518687,0,12840,12590,12578,14420
A053610,프로텍,20190102,13050,13200,12700,12850,22035,520230,-12893,12910,12602,12591,14459
A053610,프로텍,20181228,13250,13250,12800,12800,7981,517856,0,12930,12625,12608,14498
A053610,프로텍,20181227,13100,13150,12750,12900,6398,517531,-1589,12970,12658,12631,14538
A053610,프로텍,20181226,13000,13050,12700,12900,13038,517619,-3000,13020,12700,12658,14576
A053610,프로텍,20181224,12900,13100,12600,13100,11004,522117,305,13090,12748,12682,14609
A053610,프로텍,20181221,13000,13400,12850,12950,20513,520172,-15780,12850,12788,12705,14645
A053610,프로텍,20181220,13100,13450,12650,13000,15312,521037,0,12700,12820,12732,14682
A053610,프로텍,20181219,13350,13950,13150,13150,48302,525310,-200,12570,12862,12757,14721
A053610,프로텍,20181218,11900,14950,11650,13250,139150,521746,-5090,12360,12905,12779,14761
A053610,프로텍,20181217,12150,12150,11850,11900,10863,533848,1655,12080,12930,12802,14803
A053610,프로텍,20181214,12350,12500,11950,12200,10320,537683,0,12080,13032,12847,14860
A053610,프로텍,20181213,12100,12400,12050,12350,8073,540848,0,12100,13110,12895,14915
A053610,프로텍,20181212,11850,12150,11850,12100,10402,543612,-955,12070,13155,12936,14975
A053610,프로텍,20181211,11750,11950,11700,11850,19057,541866,1759,12140,13225,12979,15035
A053610,프로텍,20181210,12500,12500,11750,11900,13559,545967,1822,12350,13270,13027,15103
A053610,프로텍,20181207,12200,12500,12200,12300,7576,550130,0,12570,13318,13071,15181
A053610,프로텍,20181206,12650,12650,12000,12200,22152,550020,4057,12770,13352,13109,15258
A053610,프로텍,20181205,12800,12800,12400,12450,38737,547667,-14804,13020,13385,13157,15335
A053610,프로텍,20181204,13100,13100,12700,12900,22311,541138,0,13280,13370,13207,15407
