stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A053980,오상자이엘,20190129,7780,7910,7700,7800,29034,212333,0,7728,7096,6924,8167
A053980,오상자이엘,20190128,7680,7920,7680,7790,25296,211436,0,7646,7042,6914,8183
A053980,오상자이엘,20190125,7720,7840,7570,7680,32946,211032,0,7576,6976,6895,8198
A053980,오상자이엘,20190124,7610,7850,7590,7720,15734,210936,0,7470,6909,6866,8215
A053980,오상자이엘,20190123,7300,7690,7300,7650,43516,211740,0,7312,6858,6842,8232
A053980,오상자이엘,20190122,7550,7550,7240,7390,23560,215646,0,7164,6848,6820,8248
A053980,오상자이엘,20190121,7150,7490,7150,7440,52107,216709,0,7064,6861,6816,8265
A053980,오상자이엘,20190118,6960,7170,6760,7150,40225,215453,0,6946,6802,6828,8285
A053980,오상자이엘,20190117,6910,7000,6880,6930,14345,209522,0,6888,6753,6847,8307
A053980,오상자이엘,20190116,7020,7020,6800,6910,19010,208519,0,6846,6710,6873,8333
A053980,오상자이엘,20190115,6800,6960,6800,6890,12436,209054,0,6802,6666,6899,8358
A053980,오상자이엘,20190114,6890,6920,6790,6850,16634,207139,0,6760,6626,6925,8387
A053980,오상자이엘,20190111,6800,6870,6630,6860,10810,206543,0,6740,6588,6949,8417
A053980,오상자이엘,20190110,6720,6800,6690,6720,6070,204905,0,6706,6546,6971,8445
A053980,오상자이엘,20190109,6750,6760,6670,6690,9068,204701,0,6700,6508,6996,8476
A053980,오상자이엘,20190108,6750,6890,6670,6680,13058,203617,0,6690,6491,7025,8507
A053980,오상자이엘,20190107,6710,6930,6650,6750,17832,204383,0,6700,6472,7056,8539
A053980,오상자이엘,20190104,6570,6890,6500,6690,15740,203417,0,6644,6459,7096,8570
A053980,오상자이엘,20190103,6960,6960,6600,6690,26345,205967,0,6572,6462,7140,8603
A053980,오상자이엘,20190102,6900,7130,6580,6640,84182,211150,0,6576,6470,7183,8635
A053980,오상자이엘,20181228,6540,6750,6480,6730,26531,222711,0,6738,6488,7230,8671
A053980,오상자이엘,20181227,6400,6540,6330,6470,23990,220302,0,6920,6504,7277,8699
