stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A055490,테이팩스,20190129,22800,23450,22400,22800,12266,25500,-546,22680,22015,21779,24023
A055490,테이팩스,20190128,22750,23050,22350,22600,11906,25334,1136,22830,21928,21752,24058
A055490,테이팩스,20190125,22600,23000,22050,22300,20006,23442,-3341,23050,21782,21721,24088
A055490,테이팩스,20190124,23350,23350,22350,22500,13587,22356,-2279,23090,21642,21676,24123
A055490,테이팩스,20190123,23150,23550,22250,23200,24269,21814,-6641,23060,21512,21610,24155
A055490,테이팩스,20190122,23950,23950,23000,23550,12265,23432,2553,23040,21355,21550,24173
A055490,테이팩스,20190121,22600,23750,22600,23700,37544,24223,1972,22980,21135,21480,24186
A055490,테이팩스,20190118,22900,22900,22250,22500,5245,21612,28,22790,20948,21402,24205
A055490,테이팩스,20190117,23250,23250,22250,22350,14408,20707,-6,22680,20810,21352,24240
A055490,테이팩스,20190116,23250,23300,22800,23100,11210,21138,-441,22350,20688,21328,24272
A055490,테이팩스,20190115,22800,23350,22300,23250,22980,21545,-429,21870,20552,21292,24298
A055490,테이팩스,20190114,22000,23300,21700,22750,35638,20499,-142,21290,20422,21273,24314
A055490,테이팩스,20190111,20900,22000,20650,21950,31849,19046,18,20840,20302,21262,24335
A055490,테이팩스,20190110,20900,20900,20100,20700,6368,16920,8,20470,20200,21268,24367
A055490,테이팩스,20190109,20050,20800,20050,20700,4773,16473,-397,20500,20165,21290,24412
A055490,테이팩스,20190108,20700,20700,20200,20350,6037,15789,7,20470,20160,21320,24457
A055490,테이팩스,20190107,20550,20750,20100,20500,9443,15362,394,20610,20168,21347,24502
A055490,테이팩스,20190104,20600,21200,19800,20100,22534,15775,-2430,20450,20208,21421,24554
A055490,테이팩스,20190103,20950,20950,20550,20850,20094,19602,17,20330,20315,21518,24609
A055490,테이팩스,20190102,21100,21450,20250,20550,9664,19550,-192,20140,20398,21605,24650
A055490,테이팩스,20181228,19800,21300,19800,21050,26488,22522,-19,20040,20410,21710,24693
A055490,테이팩스,20181227,19950,20200,19450,19700,8871,17279,-425,19660,20430,21822,24733
A055490,테이팩스,20181226,19250,19850,19250,19500,9808,17361,3270,19710,20535,21969,24784
A055490,테이팩스,20181224,20300,20300,19400,19900,12067,19158,2161,19760,20670,22117,24839
A055490,테이팩스,20181221,19000,20250,19000,20050,17530,23354,-233,19760,20768,22272,24890
A055490,테이팩스,20181220,19750,19900,19050,19150,16841,21136,8,19830,20862,22424,24938
A055490,테이팩스,20181219,19600,20000,19250,19950,9696,22022,10,20130,21050,22588,24986
A055490,테이팩스,20181218,19250,19850,19000,19750,19777,21636,38,20210,21202,22742,25030
A055490,테이팩스,20181217,20250,20400,19750,19900,11136,18668,158,20240,21368,22911,25074
A055490,테이팩스,20181214,20700,20700,20200,20400,12509,20142,66,20260,21560,23061,25119
A055490,테이팩스,20181213,20350,20850,20200,20650,14331,23839,103,20300,21800,23214,25160
A055490,테이팩스,20181212,19650,20400,19650,20350,33442,20834,-13637,20270,22018,23379,25200
A055490,테이팩스,20181211,20100,20250,19500,19900,10407,16574,-1185,20460,22228,23541,25236
A055490,테이팩스,20181210,20600,20600,19800,20000,17706,18013,28,20930,22388,23719,25289
A055490,테이팩스,20181207,20500,21000,20150,20600,11535,18221,-1158,21430,22505,23908,25355
A055490,테이팩스,20181206,21400,21400,19750,20500,48783,18272,8912,21470,22645,24102,25410
A055490,테이팩스,20181205,21800,21850,21050,21300,29488,20972,-5162,21660,22770,24302,25469
A055490,테이팩스,20181204,22500,22750,22050,22250,13033,25742,2073,21760,22855,24462,25526
A055490,테이팩스,20181203,21000,22800,21000,22500,42068,28528,14289,21750,22865,24590,25573
A055490,테이팩스,20181130,21200,21600,20650,20800,25443,22533,-3298,21620,22860,24680,25618
