stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A058430,포스코강판,20190129,20600,20600,20050,20350,3526,177128,-2062,20240,20130,19805,21082
A058430,포스코강판,20190128,20250,20700,20050,20450,9447,177181,-1557,20210,20148,19776,21099
A058430,포스코강판,20190125,20300,20300,20000,20150,4533,176795,-1,20180,20140,19749,21115
A058430,포스코강판,20190124,20250,20350,20050,20150,3129,176457,-321,20130,20145,19723,21130
A058430,포스코강판,20190123,20350,20350,20050,20100,3524,176556,-996,20080,20148,19698,21145
A058430,포스코강판,20190122,20450,20450,20050,20200,1944,176032,-14,20100,20150,19692,21159
A058430,포스코강판,20190121,19900,20600,19900,20300,9828,176016,-1289,20060,20145,19694,21171
A058430,포스코강판,20190118,19900,20000,19650,19900,10973,174545,-5862,19970,20158,19701,21181
A058430,포스코강판,20190117,20300,20300,19800,19900,6507,173610,-3153,20070,20180,19715,21191
A058430,포스코강판,20190116,20200,20400,19950,20200,4741,173743,-2070,20130,20220,19736,21205
A058430,포스코강판,20190115,19900,20050,19850,20000,4440,173077,-2636,20150,20255,19756,21222
A058430,포스코강판,20190114,20450,20450,19750,19850,2234,172824,-1067,20120,20285,19781,21248
A058430,포스코강판,20190111,20200,20400,20050,20400,1541,172914,-25,20120,20325,19812,21272
A058430,포스코강판,20190110,20050,20250,20000,20200,1315,172717,-366,20020,20330,19823,21293
A058430,포스코강판,20190109,19900,20350,19650,20300,3396,172652,252,19990,20358,19844,21313
A058430,포스코강판,20190108,19850,19850,19650,19850,3786,171618,8,20030,20365,19867,21317
A058430,포스코강판,20190107,19900,20100,19700,19850,4894,170907,105,20200,20365,19891,21325
A058430,포스코강판,20190104,20000,20000,19750,19900,3336,170412,-407,20290,20385,19931,21333
A058430,포스코강판,20190103,20500,20850,20000,20050,3701,170510,1137,20360,20380,19982,21340
A058430,포스코강판,20190102,20700,21000,20350,20500,2731,170327,-839,20390,20342,20028,21352
A058430,포스코강판,20181228,20300,20850,20300,20700,5916,170266,-1538,20320,20270,20065,21357
A058430,포스코강판,20181227,20100,20550,20000,20300,7479,169529,26,20200,20188,20108,21360
A058430,포스코강판,20181226,20100,20350,19950,20250,7259,170789,-998,20250,20122,20157,21362
A058430,포스코강판,20181224,20000,20500,20000,20200,1196,171395,-83,20270,20062,20211,21366
A058430,포스코강판,20181221,20300,20300,20100,20150,1979,174863,-611,20370,19992,20269,21373
A058430,포스코강판,20181220,20350,20350,20050,20100,4141,175050,-32,20520,19930,20334,21380
A058430,포스코강판,20181219,20350,20550,20150,20550,2788,175474,-21,20620,19868,20401,21392
A058430,포스코강판,20181218,20750,20750,20200,20350,3295,175579,176,20640,19778,20467,21405
A058430,포스코강판,20181217,20400,20850,20400,20700,2215,176070,-56,20670,19708,20536,21420
A058430,포스코강판,20181214,20950,21000,20300,20900,7159,176473,1967,20680,19620,20593,21429
A058430,포스코강판,20181213,20600,20900,20500,20600,6646,176532,-859,20590,19512,20645,21437
A058430,포스코강판,20181212,20600,21000,20550,20650,3551,180082,-914,20440,19418,20703,21445
A058430,포스코강판,20181211,20300,20950,20300,20500,7494,182323,-382,20360,19318,20759,21449
A058430,포스코강판,20181210,20500,20750,20450,20750,12790,184586,11,20220,19235,20816,21460
A058430,포스코강판,20181207,19850,20800,19750,20450,13439,189262,-332,19930,19165,20876,21478
A058430,포스코강판,20181206,20000,20150,19750,19850,6625,188204,-124,19650,19115,20934,21498
A058430,포스코강판,20181205,19650,20350,19350,20250,12179,188526,-377,19490,19095,20997,21529
A058430,포스코강판,20181204,19400,19950,19300,19800,26536,186741,0,19240,19045,21048,21556
A058430,포스코강판,20181203,19100,19700,18950,19300,23602,179798,-4504,19090,19022,21111,21587
A058430,포스코강판,20181130,18950,19350,18850,19050,7182,178760,-2022,18990,19020,21186,21622
A058430,포스코강판,20181129,19100,19250,18900,19050,5733,178299,-1635,18960,19015,21268,21659
A058430,포스코강판,20181128,19200,19250,18800,19000,9104,178486,-3076,18920,18992,21352,21695
A058430,포스코강판,20181127,19000,19050,18800,19050,2819,178079,335,18870,18985,21400,21736
A058430,포스코강판,20181126,19000,19200,18700,18800,10239,177951,-4927,18850,18962,21447,21772
A058430,포스코강판,20181123,18650,18950,18650,18900,1894,178538,-80,18880,18952,21497,21804
A058430,포스코강판,20181122,18900,19000,18500,18850,8708,178755,1147,18850,18998,21540,21833
A058430,포스코강판,20181121,18850,18950,18550,18750,5319,178660,1104,18820,19070,21585,21879
A058430,포스코강판,20181120,18900,19250,18550,18950,7867,178730,-1893,18800,19168,21638,21921
A058430,포스코강판,20181119,18700,19000,18650,18950,7269,178723,-2020,18780,19258,21692,21972
A058430,포스코강판,20181116,18900,18950,18600,18750,4781,178079,-2284,18860,19368,21748,22026
A058430,포스코강판,20181115,18600,18700,18350,18700,3577,177579,13,19000,19500,21805,22084
A058430,포스코강판,20181114,18900,18900,18200,18650,10086,178081,-5583,19150,19640,21859,22142
A058430,포스코강판,20181113,19000,19050,18250,18850,20148,177581,-3370,19270,19792,21915,22200
A058430,포스코강판,20181112,18950,19500,18950,19350,4171,179996,-579,19370,19905,21969,22253
A058430,포스코강판,20181109,19600,19600,19350,19450,3976,180223,-1121,19350,20010,22025,22310
A058430,포스코강판,20181108,19500,19500,19150,19450,19113,180151,-13159,19250,20120,22079,22365
A058430,포스코강판,20181107,19250,19650,19150,19250,7459,180589,-3208,19080,20212,22133,22416
A058430,포스코강판,20181106,19200,19750,18950,19350,7052,180812,-3262,19000,20362,22198,22469
A058430,포스코강판,20181105,18600,19450,18550,19250,9065,180014,5,18850,20545,22258,22520
A058430,포스코강판,20181102,18600,19100,18500,18950,14810,179794,-5748,18720,20722,22306,22572
A058430,포스코강판,20181101,18850,19050,18550,18600,14946,178158,-2218,18890,20910,22359,22630
A058430,포스코강판,20181031,18400,19150,18400,18850,9501,177797,-3012,19230,21142,22422,22698
A058430,포스코강판,20181030,17700,18850,17700,18600,8506,176469,463,19600,21362,22481,22771
A058430,포스코강판,20181029,19100,19900,18100,18600,35258,176303,15912,20030,21608,22538,22842
A058430,포스코강판,20181026,20300,20300,19300,19800,14863,178390,-1577,20540,21862,22592,22902
A058430,포스코강판,20181025,19850,20550,19850,20300,7000,178679,-1188,20860,22075,22626,22953
A058430,포스코강판,20181024,20750,20950,20250,20700,4863,179468,-1726,21100,22265,22648,23005
A058430,포스코강판,20181023,21150,21400,20500,20750,5731,179642,691,21300,22455,22661,23055
A058430,포스코강판,20181022,21000,21300,20700,21150,16022,179487,-4529,21370,22642,22667,23105
A058430,포스코강판,20181019,21800,21800,20700,21400,12895,177728,-5720,21430,22792,22674,23152
A058430,포스코강판,20181018,21600,22000,21300,21500,3363,178125,271,21480,22922,22688,23195
A058430,포스코강판,20181017,21250,21850,21250,21700,2955,178572,447,21440,23052,22714,23234
A058430,포스코강판,20181016,21350,21950,21050,21100,7103,178955,-921,21550,23168,22732,23271
A058430,포스코강판,20181015,21900,21950,21000,21450,12204,179735,-5159,21930,23308,22762,23311
A058430,포스코강판,20181012,21000,21700,21000,21650,9300,179993,-2164,22200,23452,22782,23349
A058430,포스코강판,20181011,21400,21850,21000,21300,14772,181051,1571,22410,23568,22768,23388
A058430,포스코강판,20181010,22350,22700,22200,22250,8008,183130,394,22800,23682,22758,23426
A058430,포스코강판,20181008,22700,23150,22250,23000,10762,184287,1715,23000,23738,22736,23456
A058430,포스코강판,20181005,22850,23150,22300,22800,4025,184727,188,23100,23765,22698,23478
A058430,포스코강판,20181004,23450,23450,22300,22700,10281,185165,20,23280,23815,22676,23502
A058430,포스코강판,20181002,22900,23500,22800,23250,5739,184107,1925,23550,23878,22649,23527
A058430,포스코강판,20181001,23500,23550,22400,23250,11294,184033,1630,23720,23922,22613,23547
A058430,포스코강판,20180928,23500,23700,23300,23500,4858,184800,-843,23970,23852,22568,23569
A058430,포스코강판,20180927,23750,24050,23550,23700,5111,184811,133,24170,23770,22522,23595
A058430,포스코강판,20180921,24450,24450,23700,24050,8050,184033,-715,24260,23675,22477,23620
A058430,포스코강판,20180920,24950,24950,24100,24100,8737,183914,-709,24250,23548,22426,23642
A058430,포스코강판,20180919,24500,24750,24150,24500,9536,186697,1021,24250,23420,22382,23662
A058430,포스코강판,20180918,24000,25000,23900,24500,13876,188577,3179,24150,23290,22342,23682
A058430,포스코강판,20180917,24300,24300,23850,24150,7253,187798,-80,24030,23178,22303,23701
