stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A058730,다스코,20190129,9140,9170,8630,8790,351852,397668,-14971,8896,8564,7928,8039
A058730,다스코,20190128,8870,9150,8830,9060,412357,425778,-1947,8918,8534,7894,8033
A058730,다스코,20190125,8780,8940,8700,8810,172075,428574,15362,8948,8481,7846,8025
A058730,다스코,20190124,9150,9180,8700,8760,389462,408409,168,9078,8434,7798,8022
A058730,다스코,20190123,8890,9120,8880,9060,263314,417779,4766,9106,8410,7747,8019
A058730,다스코,20190122,9200,9360,8840,8900,476143,362640,159,9082,8376,7698,8013
A058730,다스코,20190121,9600,9760,9200,9210,739115,310160,4956,9006,8338,7657,8004
A058730,다스코,20190118,9010,9720,8910,9460,2153948,342343,-4442,8876,8298,7617,7992
A058730,다스코,20190117,9080,9450,8710,8900,1525406,385107,-5548,8688,8242,7573,7974
A058730,다스코,20190116,8610,9050,8550,8940,1224368,464681,1675,8542,8258,7543,7963
A058730,다스코,20190115,8560,8640,8470,8520,275187,458832,2788,8376,8270,7517,7954
A058730,다스코,20190114,8600,8620,8280,8560,297936,482009,-817,8292,8281,7497,7949
A058730,다스코,20190111,8240,8570,8150,8520,434948,508850,-441,8200,8274,7478,7947
A058730,다스코,20190110,8150,8360,8110,8170,155174,475811,-7499,8050,8268,7456,7945
A058730,다스코,20190109,8200,8370,8100,8110,234543,461859,-176,7966,8280,7441,7948
A058730,다스코,20190108,8180,8470,8010,8100,425902,449757,7894,7904,8315,7424,7949
A058730,다스코,20190107,7840,8150,7820,8100,187134,455139,-3946,7922,8344,7406,7950
A058730,다스코,20190104,7750,7860,7560,7770,145603,412051,3991,7900,8374,7402,7950
A058730,다스코,20190103,7830,8080,7610,7750,226436,403081,2925,7922,8406,7418,7952
A058730,다스코,20190102,8260,8300,7770,7800,202730,354012,-12,8026,8378,7434,7960
A058730,다스코,20181228,7990,8310,7990,8190,221019,339874,-63,8140,8338,7446,7966
A058730,다스코,20181227,7900,8100,7800,7990,172675,330974,-656,8134,8284,7450,7971
A058730,다스코,20181226,8020,8130,7610,7880,307242,323344,3036,8218,8233,7457,7974
A058730,다스코,20181224,8370,8400,8170,8270,225606,298460,-233,8308,8188,7467,7978
A058730,다스코,20181221,8210,8410,8100,8370,387250,305336,2544,8500,8121,7476,7983
A058730,다스코,20181220,8400,8500,8120,8160,233157,292175,3448,8658,8048,7487,7983
A058730,다스코,20181219,8460,8500,8130,8410,312250,290675,-372,8776,7986,7493,7989
A058730,다스코,20181218,9140,9430,8330,8330,981476,260670,477,8776,7919,7498,7996
A058730,다스코,20181217,9150,9250,8900,9230,616035,311132,57,8790,7858,7510,8009
A058730,다스코,20181214,8840,9590,8560,9160,2818030,365904,1692,8626,7745,7510,8012
A058730,다스코,20181213,8450,8770,8360,8750,555057,472361,-7988,8558,7627,7513,8018
A058730,다스코,20181212,8320,8530,8210,8410,325414,478829,10104,8546,7528,7525,8031
A058730,다스코,20181211,8490,8630,8210,8400,411684,467451,-870,8602,7448,7544,8043
A058730,다스코,20181210,8670,8700,8340,8410,377957,435500,28,8606,7364,7561,8063
A058730,다스코,20181207,8780,9040,8520,8820,1309622,432066,74,8360,7285,7574,8079
A058730,다스코,20181206,8620,8810,8460,8690,597680,468064,-457,7996,7189,7571,8088
A058730,다스코,20181205,8250,9070,8250,8690,2422327,476174,-2484,7678,7096,7564,8107
A058730,다스코,20181204,7210,9000,7160,8420,5028161,509498,-66113,7336,6984,7557,8131
A058730,다스코,20181203,7190,7310,7070,7180,322469,599196,-31718,7046,6902,7556,8154
A058730,다스코,20181130,7130,7170,6960,7000,70332,604831,-178,6998,6884,7576,8190
A058730,다스코,20181129,7060,7330,7030,7100,220851,612614,-473,6982,6882,7595,8225
A058730,다스코,20181128,7000,7060,6940,6980,50263,579135,9,6942,6864,7612,8262
A058730,다스코,20181127,6960,7040,6900,6970,73243,591115,113,6962,6825,7631,8300
A058730,다스코,20181126,7080,7110,6920,6940,115274,570854,3052,6988,6774,7651,8342
A058730,다스코,20181123,6930,7100,6820,6920,87678,560467,-506,6996,6710,7674,8379
A058730,다스코,20181122,7140,7140,6800,6900,131401,556626,476,6972,6669,7711,8410
A058730,다스코,20181121,7050,7360,7010,7080,286257,583940,-975,6944,6648,7750,8448
A058730,다스코,20181120,6970,7230,6900,7100,167665,632753,496,6892,6632,7783,8467
A058730,다스코,20181119,7000,7280,6900,6980,249019,602908,-35332,6814,6620,7816,8497
A058730,다스코,20181116,6730,6940,6680,6800,174968,590868,1281,6786,6626,7849,8535
A058730,다스코,20181115,6730,6830,6510,6760,150551,580039,933,6806,6654,7885,8578
A058730,다스코,20181114,6750,6950,6710,6820,120351,594873,3381,6820,6684,7917,8624
A058730,다스코,20181113,6640,6800,6470,6710,87864,605633,2909,6748,6712,7945,8670
A058730,다스코,20181112,6850,6970,6780,6840,105141,621639,4,6758,6738,7971,8714
A058730,다스코,20181109,6850,6950,6690,6900,83584,606257,2151,6758,6758,8000,8759
A058730,다스코,20181108,6560,6970,6560,6830,132211,608668,13904,6770,6766,8024,8798
A058730,다스코,20181107,6820,7050,6300,6460,207625,581072,19622,6748,6778,8050,8834
A058730,다스코,20181106,6910,6920,6680,6760,80561,590277,20002,6698,6848,8082,8870
A058730,다스코,20181105,7000,7030,6710,6840,110325,606403,20111,6534,6947,8107,8905
A058730,다스코,20181102,6800,7100,6730,6960,278307,623213,20015,6298,7038,8129,8947
A058730,다스코,20181101,6310,6850,6310,6720,257964,658122,11470,6128,7118,8149,8995
A058730,다스코,20181031,5940,6330,5870,6210,156600,593281,1436,6080,7202,8173,9037
A058730,다스코,20181030,5300,6000,5300,5940,240589,610220,307,6192,7314,8204,9089
A058730,다스코,20181029,5980,6270,5660,5660,220105,550745,3000,6372,7441,8246,9131
A058730,다스코,20181026,6490,6590,6090,6110,200762,509428,144,6660,7598,8291,9158
A058730,다스코,20181025,6400,6680,6400,6480,138006,493622,-4183,6914,7743,8328,9183
A058730,다스코,20181024,6880,6990,6470,6770,146645,471262,-777,7086,7844,8350,9200
A058730,다스코,20181023,7110,7200,6810,6840,115664,463813,-10985,7208,7941,8368,9218
