stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A058850,KTcs,20190129,2600,2705,2555,2640,1270339,4584087,-6148,2585,2552,2559,2474
A058850,KTcs,20190128,2615,2630,2590,2595,329799,4612778,-2302,2573,2545,2553,2470
A058850,KTcs,20190125,2585,2610,2560,2595,284544,4585963,-640,2572,2538,2547,2466
A058850,KTcs,20190124,2540,2570,2535,2560,219472,4633305,4797,2584,2531,2540,2463
A058850,KTcs,20190123,2565,2605,2535,2535,328476,4644578,4565,2600,2528,2533,2459
A058850,KTcs,20190122,2595,2640,2550,2580,528638,4660178,4126,2643,2531,2529,2456
A058850,KTcs,20190121,2660,2660,2575,2590,693830,4700502,-3389,2644,2531,2524,2453
A058850,KTcs,20190118,2665,2695,2595,2655,626565,4631153,-7786,2642,2530,2520,2449
A058850,KTcs,20190117,2720,2740,2625,2640,1332330,4523808,6125,2609,2524,2517,2445
A058850,KTcs,20190116,2600,2790,2570,2750,3601370,4569901,-777,2578,2527,2514,2442
A058850,KTcs,20190115,2585,2595,2550,2585,549849,4340710,8747,2527,2520,2510,2437
A058850,KTcs,20190114,2640,2675,2540,2580,1993806,4243730,-7635,2505,2526,2508,2434
A058850,KTcs,20190111,2500,2520,2470,2490,216253,4364796,4717,2485,2531,2506,2431
A058850,KTcs,20190110,2500,2610,2455,2485,823626,4320215,448,2471,2545,2505,2429
A058850,KTcs,20190109,2475,2520,2460,2495,291224,4458744,574,2463,2563,2504,2427
A058850,KTcs,20190108,2480,2485,2450,2475,188442,4458365,6148,2455,2570,2501,2425
A058850,KTcs,20190107,2450,2485,2435,2480,260113,4462297,351,2457,2580,2499,2423
A058850,KTcs,20190104,2415,2440,2380,2420,252052,4407192,3058,2451,2594,2498,2421
A058850,KTcs,20190103,2445,2470,2410,2445,213469,4400972,9397,2459,2605,2500,2419
