stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A060300,레드로버,20190129,1905,1905,1825,1850,373114,1814301,0,1897,1821,2147,2617
A060300,레드로버,20190128,1890,1925,1860,1900,287756,1843648,0,1879,1818,2151,2633
A060300,레드로버,20190125,1920,1945,1870,1875,424991,1807460,0,1856,1807,2153,2649
A060300,레드로버,20190124,1910,1945,1865,1920,633899,1815947,0,1842,1793,2147,2665
A060300,레드로버,20190123,1755,1990,1755,1940,2186999,1836821,0,1829,1784,2144,2681
A060300,레드로버,20190122,1785,1805,1760,1760,318720,1891336,0,1811,1774,2147,2696
A060300,레드로버,20190121,1805,1805,1725,1785,389904,1779228,0,1837,1776,2151,2714
A060300,레드로버,20190118,1885,1885,1775,1805,420872,1714858,0,1844,1778,2157,2732
A060300,레드로버,20190117,1850,1920,1830,1855,354573,1781464,0,1857,1791,2164,2752
A060300,레드로버,20190116,1945,1945,1830,1850,422529,1693171,0,1846,1810,2172,2772
A060300,레드로버,20190115,1850,1900,1825,1890,283947,1760126,-2,1840,1834,2180,2792
A060300,레드로버,20190114,1930,1955,1820,1820,412656,1672076,1,1808,1856,2189,2812
A060300,레드로버,20190111,1845,1935,1820,1870,461624,1747263,0,1789,1878,2201,2832
A060300,레드로버,20190110,1860,1875,1800,1800,255179,1731141,0,1757,1900,2214,2853
A060300,레드로버,20190109,1750,1920,1730,1820,588705,1736574,0,1747,1926,2231,2874
A060300,레드로버,20190108,1785,1785,1705,1730,383305,1715648,0,1736,1952,2243,2893
A060300,레드로버,20190107,1710,1755,1680,1725,537774,1682650,0,1748,1981,2257,2912
A060300,레드로버,20190104,1770,1780,1710,1710,189486,1519563,0,1740,2017,2276,2932
A060300,레드로버,20190103,1765,1790,1690,1750,326988,1532185,0,1716,2056,2294,2953
A060300,레드로버,20190102,1850,1855,1750,1765,311562,1481143,0,1712,2095,2314,2973
A060300,레드로버,20181228,1650,1790,1650,1790,419447,1463876,2,1711,2130,2331,2993
A060300,레드로버,20181227,1630,1785,1605,1685,1138694,1470708,0,1709,2165,2350,3013
A060300,레드로버,20181226,1685,1710,1555,1590,923940,1379038,0,1739,2208,2371,3034
A060300,레드로버,20181224,1750,1800,1690,1730,693022,1187882,0,1834,2259,2395,3053
A060300,레드로버,20181221,1755,1835,1730,1760,716051,1199704,0,1933,2297,2416,3071
A060300,레드로버,20181220,1850,2015,1715,1780,2062257,1076699,0,2047,2334,2437,3089
A060300,레드로버,20181219,2030,2045,1785,1835,1204455,1066135,0,2159,2377,2459,3106
A060300,레드로버,20181218,2165,2280,2000,2065,876324,995327,0,2243,2412,2481,3124
A060300,레드로버,20181217,2300,2345,2155,2225,246972,797776,0,2291,2438,2496,3140
A060300,레드로버,20181214,2315,2410,2285,2330,612239,806733,0,2312,2458,2512,3156
A060300,레드로버,20181213,2270,2345,2270,2340,211734,846672,0,2312,2468,2526,3169
A060300,레드로버,20181212,2260,2425,2205,2255,393108,763739,0,2309,2472,2537,3182
A060300,레드로버,20181211,2330,2430,2305,2305,284058,636167,0,2346,2483,2550,3195
A060300,레드로버,20181210,2330,2400,2270,2330,256924,644322,0,2385,2496,2563,3210
A060300,레드로버,20181207,2330,2410,2330,2330,266050,655917,0,2424,2510,2572,3225
A060300,레드로버,20181206,2475,2475,2260,2325,467645,636315,-1,2448,2524,2585,3241
A060300,레드로버,20181205,2465,2520,2410,2440,238979,648464,0,2483,2534,2600,3257
A060300,레드로버,20181204,2520,2575,2435,2500,329765,639996,0,2505,2530,2615,3270
A060300,레드로버,20181203,2450,2550,2450,2525,277400,671169,0,2526,2526,2629,3284
A060300,레드로버,20181130,2550,2615,2430,2450,738727,584704,0,2518,2512,2643,3294
A060300,레드로버,20181129,2560,2630,2500,2500,268038,593502,0,2530,2492,2661,3306
A060300,레드로버,20181128,2600,2650,2550,2550,355894,586438,0,2557,2470,2680,3317
A060300,레드로버,20181127,2490,2640,2470,2605,592212,586625,0,2556,2443,2698,3326
A060300,레드로버,20181126,2505,2700,2430,2485,725704,413001,0,2552,2389,2718,3336
A060300,레드로버,20181123,2625,2705,2470,2510,733669,334867,0,2580,2350,2739,3342
A060300,레드로버,20181122,2580,2835,2510,2635,2534310,321719,0,2584,2332,2760,3349
A060300,레드로버,20181121,2540,2595,2500,2545,270527,510811,0,2538,2302,2777,3355
A060300,레드로버,20181120,2605,2675,2525,2585,309306,485737,0,2526,2279,2795,3363
A060300,레드로버,20181119,2530,2685,2515,2625,521482,498716,-1,2521,2261,2814,3370
A060300,레드로버,20181116,2435,2600,2415,2530,400968,459998,0,2517,2249,2830,3376
A060300,레드로버,20181115,2440,2520,2400,2405,438321,335125,-1,2534,2239,2849,3385
A060300,레드로버,20181114,2550,2585,2450,2485,467885,227559,0,2560,2240,2869,3394
A060300,레드로버,20181113,2560,2620,2420,2560,600186,206297,0,2533,2241,2891,3401
A060300,레드로버,20181112,2610,2685,2550,2605,597358,195923,0,2505,2248,2912,3409
A060300,레드로버,20181109,2850,2855,2575,2615,1869921,224131,0,2432,2257,2935,3418
A060300,레드로버,20181108,2350,2560,2350,2535,1003107,373392,0,2318,2254,2958,3427
A060300,레드로버,20181107,2455,2510,2325,2350,1215015,428299,0,2227,2256,2982,3436
A060300,레드로버,20181106,2510,2690,2415,2420,5355044,423227,0,2156,2280,3010,3446
A060300,레드로버,20181105,2045,2275,2030,2240,3245190,940124,0,1979,2300,3032,3456
A060300,레드로버,20181102,2100,2100,1990,2045,1492218,1216333,0,1873,2334,3057,3464
A060300,레드로버,20181101,2200,2350,2030,2080,4588372,1359763,-1,1890,2372,3087,3474
A060300,레드로버,20181031,1575,1995,1575,1995,2496607,2035825,0,1881,2413,3114,3485
A060300,레드로버,20181030,1350,1640,1350,1535,3382358,2215824,-244047,1902,2463,3145,3497
A060300,레드로버,20181029,2055,2120,1710,1710,1058113,1510150,-1,2039,2536,3183,3513
A060300,레드로버,20181026,2005,2190,2005,2130,919215,1667500,-1,2173,2600,3218,3527
A060300,레드로버,20181025,1955,2065,1945,2035,1150741,1633318,-2,2213,2645,3246,3538
A060300,레드로버,20181024,2220,2250,2000,2100,964368,1234367,-3,2292,2700,3276,3549
A060300,레드로버,20181023,2350,2410,2180,2220,544195,952521,-3,2372,2751,3308,3560
A060300,레드로버,20181022,2345,2430,2330,2380,481203,899551,-5,2467,2789,3340,3572
A060300,레드로버,20181019,2405,2640,2300,2330,1341979,802665,-6,2551,2828,3371,3582
A060300,레드로버,20181018,2460,2515,2365,2430,811985,785124,-8,2595,2870,3403,3592
A060300,레드로버,20181017,2695,2715,2485,2500,752565,712638,0,2625,2900,3434,3602
A060300,레드로버,20181016,2750,2830,2645,2695,402034,692122,-100969,2689,2926,3463,3613
A060300,레드로버,20181015,2520,2940,2510,2800,1012645,704643,-79739,2717,2944,3491,3624
A060300,레드로버,20181012,2450,2640,2450,2550,478118,705396,-20840,2741,2948,3516,3632
A060300,레드로버,20181011,2680,2775,2580,2580,446743,622108,8476,2791,2977,3542,3642
A060300,레드로버,20181010,2765,2875,2650,2820,441896,673191,0,2855,3009,3567,3651
A060300,레드로버,20181008,2915,2935,2820,2835,243563,775461,0,2889,3036,3589,3659
A060300,레드로버,20181005,2800,2920,2750,2920,287434,822699,0,2921,3062,3612,3666
A060300,레드로버,20181004,2915,2945,2765,2800,447736,840938,0,2934,3082,3633,3673
A060300,레드로버,20181002,2990,3005,2840,2900,464939,807929,0,2981,3119,3655,3680
A060300,레드로버,20181001,3000,3015,2950,2990,274959,801620,0,3026,3156,3676,3688
A060300,레드로버,20180928,2990,3015,2960,2995,378439,806337,0,3055,3189,3696,3694
A060300,레드로버,20180927,3025,3130,2985,2985,464994,781766,-150765,3050,3228,3711,3700
A060300,레드로버,20180921,3130,3140,3025,3035,366029,769745,0,3085,3266,3726,3707
A060300,레드로버,20180920,3095,3220,3095,3125,367286,836335,11115,3114,3302,3741,3712
