stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A060370,KT서브마린,20190129,3360,3425,3340,3360,42963,636047,0,3372,3283,3336,3723
A060370,KT서브마린,20190128,3390,3425,3370,3370,33031,636147,0,3376,3275,3334,3731
A060370,KT서브마린,20190125,3360,3400,3360,3390,36640,636917,0,3380,3265,3330,3738
A060370,KT서브마린,20190124,3370,3400,3345,3370,18808,634888,0,3391,3253,3326,3746
A060370,KT서브마린,20190123,3350,3395,3345,3370,43106,632665,0,3394,3248,3320,3753
A060370,KT서브마린,20190122,3425,3425,3345,3380,58603,624007,0,3394,3246,3318,3761
A060370,KT서브마린,20190121,3425,3455,3375,3390,58401,617959,0,3387,3243,3314,3768
A060370,KT서브마린,20190118,3375,3445,3335,3445,99776,615794,0,3371,3242,3312,3775
A060370,KT서브마린,20190117,3370,3435,3340,3385,32931,605831,0,3335,3241,3313,3780
A060370,KT서브마린,20190116,3345,3370,3320,3370,22077,604031,0,3295,3241,3319,3787
A060370,KT서브마린,20190115,3310,3385,3305,3345,42940,602563,0,3261,3242,3325,3795
A060370,KT서브마린,20190114,3315,3315,3260,3310,42954,605690,0,3219,3248,3333,3803
A060370,KT서브마린,20190111,3210,3460,3170,3265,184272,605658,0,3186,3253,3340,3810
A060370,KT서브마린,20190110,3200,3230,3155,3185,17953,617238,0,3145,3258,3348,3818
A060370,KT서브마린,20190109,3145,3200,3145,3200,32201,618667,0,3119,3272,3356,3828
A060370,KT서브마린,20190108,3140,3290,3130,3135,33854,618650,0,3106,3287,3366,3837
A060370,KT서브마린,20190107,3060,3145,3060,3145,35588,628402,0,3119,3305,3375,3846
A060370,KT서브마린,20190104,3030,3085,3010,3060,21279,629154,0,3124,3327,3389,3855
A060370,KT서브마린,20190103,3115,3195,3050,3055,45527,631981,0,3140,3350,3408,3864
A060370,KT서브마린,20190102,3205,3240,3115,3135,38815,634214,0,3182,3372,3427,3874
A060370,KT서브마린,20181228,3205,3205,3150,3200,31409,639224,0,3222,3386,3445,3883
A060370,KT서브마린,20181227,3145,3225,3145,3170,44239,637257,-17,3247,3396,3462,3892
A060370,KT서브마린,20181226,3250,3250,3135,3140,97798,627197,0,3287,3403,3480,3903
A060370,KT서브마린,20181224,3335,3390,3260,3265,35454,662076,0,3344,3412,3500,3913
A060370,KT서브마린,20181221,3310,3390,3310,3335,30961,713884,0,3369,3415,3518,3924
A060370,KT서브마린,20181220,3325,3395,3315,3325,45520,717216,0,3381,3412,3535,3935
A060370,KT서브마린,20181219,3430,3485,3365,3370,27376,722492,0,3405,3412,3551,3950
A060370,KT서브마린,20181218,3390,3455,3330,3425,56921,727754,0,3415,3410,3568,3969
A060370,KT서브마린,20181217,3455,3455,3355,3390,28622,737422,0,3405,3404,3584,3987
A060370,KT서브마린,20181214,3550,3555,3390,3395,39674,739020,0,3418,3404,3601,4005
A060370,KT서브마린,20181213,3410,3495,3385,3445,35631,743627,0,3439,3402,3619,4016
A060370,KT서브마린,20181212,3350,3435,3340,3420,35516,737253,0,3450,3396,3637,4028
A060370,KT서브마린,20181211,3470,3495,3345,3375,94534,719520,0,3481,3395,3654,4037
A060370,KT서브마린,20181210,3495,3495,3405,3455,54453,718083,0,3509,3394,3674,4048
A060370,KT서브마린,20181207,3500,3580,3465,3500,60116,722960,0,3518,3389,3693,4059
A060370,KT서브마린,20181206,3575,3610,3450,3500,114240,717400,0,3504,3381,3710,4069
A060370,KT서브마린,20181205,3500,3630,3455,3575,84068,724423,0,3481,3375,3724,4080
A060370,KT서브마린,20181204,3500,3530,3465,3515,85244,724916,0,3428,3364,3737,4091
A060370,KT서브마린,20181203,3435,3505,3430,3500,91068,722522,0,3389,3358,3751,4103
A060370,KT서브마린,20181130,3420,3625,3400,3430,229399,718282,0,3356,3346,3764,4115
A060370,KT서브마린,20181129,3320,3430,3320,3385,73195,754423,17,3326,3340,3777,4127
A060370,KT서브마린,20181128,3350,3350,3290,3310,40716,747656,0,3310,3330,3792,4138
A060370,KT서브마린,20181127,3335,3370,3295,3320,29442,750962,0,3314,3322,3808,4150
A060370,KT서브마린,20181126,3240,3370,3240,3335,51548,750252,0,3314,3313,3824,4163
A060370,KT서브마린,20181123,3345,3345,3235,3280,39107,743148,0,3326,3296,3839,4175
A060370,KT서브마린,20181122,3360,3360,3290,3305,36078,747700,0,3338,3294,3857,4188
A060370,KT서브마린,20181121,3305,3350,3260,3330,57178,747949,0,3342,3288,3875,4201
A060370,KT서브마린,20181120,3340,3395,3310,3320,38651,748319,0,3356,3285,3892,4212
A060370,KT서브마린,20181119,3340,3410,3320,3395,43166,752485,0,3363,3294,3909,4225
A060370,KT서브마린,20181116,3325,3380,3300,3340,59538,744425,0,3355,3311,3926,4238
A060370,KT서브마린,20181115,3400,3405,3280,3325,73474,739521,0,3355,3332,3943,4252
A060370,KT서브마린,20181114,3355,3455,3325,3400,83824,743169,0,3368,3354,3961,4267
A060370,KT서브마린,20181113,3300,3375,3280,3355,68226,748257,0,3357,3374,3976,4280
A060370,KT서브마린,20181112,3340,3465,3330,3355,125235,749534,0,3368,3392,3991,4294
A060370,KT서브마린,20181109,3355,3405,3320,3340,153948,757710,0,3348,3409,4007,4310
A060370,KT서브마린,20181108,3380,3470,3355,3390,92386,755806,0,3339,3430,4024,4328
A060370,KT서브마린,20181107,3405,3540,3300,3345,247928,764750,0,3299,3444,4040,4343
A060370,KT서브마린,20181106,3240,3610,3240,3410,864019,786168,0,3262,3477,4057,4359
A060370,KT서브마린,20181105,3300,3320,3220,3255,64258,856520,0,3207,3515,4073,4374
A060370,KT서브마린,20181102,3210,3315,3210,3295,65337,868140,0,3155,3562,4092,4390
A060370,KT서브마린,20181101,3175,3265,3175,3190,54255,867209,0,3146,3609,4109,4409
A060370,KT서브마린,20181031,3135,3175,3095,3160,57776,868308,0,3144,3662,4128,4427
A060370,KT서브마린,20181030,2810,3150,2810,3135,155922,864694,1,3166,3716,4146,4445
A060370,KT서브마린,20181029,3165,3300,2950,2995,215472,833770,0,3240,3774,4166,4462
A060370,KT서브마린,20181026,3230,3330,3115,3250,114271,817855,0,3385,3842,4187,4479
A060370,KT서브마린,20181025,3200,3225,3105,3180,105520,800686,0,3487,3898,4204,4495
A060370,KT서브마린,20181024,3550,3580,3255,3270,289023,765221,0,3607,3954,4222,4510
A060370,KT서브마린,20181023,3750,3750,3505,3505,102549,744260,-13,3710,4010,4238,4524
A060370,KT서브마린,20181022,3720,3775,3660,3720,60566,742233,-13,3754,4054,4247,4537
A060370,KT서브마린,20181019,3805,3815,3725,3760,86553,744859,0,3747,4089,4255,4548
A060370,KT서브마린,20181018,3850,3850,3755,3780,52127,742999,0,3746,4124,4264,4558
A060370,KT서브마린,20181017,3745,3890,3740,3785,108838,745503,0,3725,4160,4273,4567
A060370,KT서브마린,20181016,3685,3735,3665,3725,42449,753900,0,3770,4194,4280,4575
A060370,KT서브마린,20181015,3770,3785,3670,3685,61009,751467,0,3859,4236,4289,4584
A060370,KT서브마린,20181012,3675,3795,3650,3755,82605,760407,0,3963,4281,4299,4592
A060370,KT서브마린,20181011,3725,3895,3650,3675,464317,755384,0,4056,4321,4308,4600
A060370,KT서브마린,20181010,4170,4380,3985,4010,147653,741677,0,4170,4354,4318,4608
A060370,KT서브마린,20181008,4165,4205,4160,4170,42186,766795,0,4217,4369,4322,4614
A060370,KT서브마린,20181005,4180,4270,4130,4205,70651,767914,0,4244,4378,4321,4619
A060370,KT서브마린,20181004,4245,4275,4185,4220,82483,774674,0,4272,4382,4322,4624
A060370,KT서브마린,20181002,4230,4275,4220,4245,83469,782630,0,4302,4383,4321,4629
A060370,KT서브마린,20181001,4330,4330,4230,4245,75715,781788,0,4316,4384,4322,4632
A060370,KT서브마린,20180928,4305,4345,4295,4305,84393,785045,0,4341,4385,4326,4635
A060370,KT서브마린,20180927,4340,4395,4305,4345,90907,788731,0,4360,4384,4326,4639
A060370,KT서브마린,20180921,4315,4400,4315,4370,50506,785528,0,4374,4380,4330,4643
A060370,KT서브마린,20180920,4370,4430,4315,4315,122199,772555,0,4392,4378,4336,4646
A060370,KT서브마린,20180919,4400,4440,4275,4370,141220,768255,13,4427,4382,4349,4649
A060370,KT서브마린,20180918,4370,4410,4355,4400,75011,774460,13,4449,4380,4369,4652
A060370,KT서브마린,20180917,4415,4455,4370,4415,122490,769535,0,4480,4378,4390,4654
A060370,KT서브마린,20180914,4490,4520,4435,4460,85742,748629,0,4516,4378,4408,4656
A060370,KT서브마린,20180913,4480,4540,4460,4490,107217,741647,0,4535,4374,4413,4656
A060370,KT서브마린,20180912,4550,4580,4450,4480,146153,736476,0,4505,4370,4419,4656
A060370,KT서브마린,20180911,4605,4650,4495,4555,176487,736073,-13,4470,4361,4420,4655
A060370,KT서브마린,20180910,4555,4615,4485,4595,225590,740997,0,4429,4344,4423,4654
A060370,KT서브마린,20180907,4345,4555,4305,4555,586853,735618,11068,4366,4332,4425,4651
A060370,KT서브마린,20180906,4300,4365,4295,4340,91604,737935,0,4304,4320,4427,4650
A060370,KT서브마린,20180905,4350,4390,4295,4305,72911,731392,0,4288,4322,4436,4650
A060370,KT서브마린,20180904,4280,4380,4275,4350,108186,727869,0,4281,4326,4446,4651
A060370,KT서브마린,20180903,4260,4320,4220,4280,70720,717031,0,4267,4327,4455,4652
A060370,KT서브마린,20180831,4260,4300,4210,4245,66340,708305,0,4264,4330,4467,4653
A060370,KT서브마린,20180830,4270,4300,4210,4260,66057,700852,0,4283,4334,4476,4653
A060370,KT서브마린,20180829,4300,4300,4225,4270,27098,690200,0,4306,4338,4485,4653
A060370,KT서브마린,20180828,4310,4330,4220,4280,78854,693694,0,4319,4338,4493,4654
A060370,KT서브마린,20180827,4340,4385,4200,4265,137909,684278,0,4337,4338,4502,4654
A060370,KT서브마린,20180824,4395,4395,4325,4340,60708,687823,0,4365,4340,4511,4654
A060370,KT서브마린,20180823,4360,4425,4300,4375,70329,691154,0,4373,4337,4518,4654
A060370,KT서브마린,20180822,4370,4380,4310,4335,66639,680696,0,4379,4329,4528,4653
A060370,KT서브마린,20180821,4375,4420,4320,4370,59813,669499,0,4374,4323,4533,4654
A060370,KT서브마린,20180820,4380,4450,4370,4405,59910,668371,0,4345,4309,4541,4654
A060370,KT서브마린,20180817,4425,4480,4370,4380,60397,666052,0,4333,4300,4550,4654
