stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A060540,에스에이티,20190129,2025,2050,1980,2045,144087,401051,0,2035,1942,1908,2079
A060540,에스에이티,20190128,2035,2070,2005,2030,83349,404667,2177,2030,1927,1905,2081
A060540,에스에이티,20190125,2040,2050,2015,2045,110155,406098,0,2034,1912,1902,2083
A060540,에스에이티,20190124,2055,2055,2005,2040,110539,383831,0,2036,1898,1897,2085
A060540,에스에이티,20190123,2020,2035,1985,2015,69198,368356,0,2034,1885,1893,2086
A060540,에스에이티,20190122,2050,2050,1985,2020,129282,355299,0,2028,1874,1890,2088
A060540,에스에이티,20190121,2095,2095,2015,2050,181592,352719,563,2012,1862,1889,2089
A060540,에스에이티,20190118,2095,2095,2025,2055,357960,351414,0,1990,1848,1888,2090
A060540,에스에이티,20190117,1990,2050,1965,2030,513863,345181,28,1964,1834,1888,2090
A060540,에스에이티,20190116,1935,1985,1900,1985,211348,328355,3000,1932,1819,1889,2091
A060540,에스에이티,20190115,2075,2145,1940,1940,1042483,307147,3436,1909,1809,1891,2093
A060540,에스에이티,20190114,1930,1940,1875,1940,424906,360405,2223,1882,1802,1894,2095
A060540,에스에이티,20190111,1880,1930,1860,1925,126962,384588,30,1854,1796,1896,2098
A060540,에스에이티,20190110,1885,1970,1870,1870,497636,379157,5000,1825,1787,1898,2102
A060540,에스에이티,20190109,1810,1985,1810,1870,663373,419740,30,1806,1783,1900,2105
A060540,에스에이티,20190108,1810,1835,1785,1805,59550,470594,-28,1794,1781,1902,2109
A060540,에스에이티,20190107,1800,1840,1785,1800,75434,474444,660,1784,1781,1903,2112
A060540,에스에이티,20190104,1775,1800,1740,1780,112690,473823,0,1771,1786,1908,2116
A060540,에스에이티,20190103,1820,1820,1770,1775,63614,482443,23,1765,1794,1916,2119
A060540,에스에이티,20190102,1770,1845,1755,1810,162213,498034,0,1769,1802,1922,2123
A060540,에스에이티,20181228,1735,1770,1730,1755,75436,496487,0,1764,1805,1929,2125
A060540,에스에이티,20181227,1755,1770,1715,1735,54097,480929,0,1769,1812,1938,2129
A060540,에스에이티,20181226,1770,1795,1725,1750,112354,485368,0,1778,1821,1947,2132
A060540,에스에이티,20181224,1770,1800,1765,1795,87953,499981,0,1780,1829,1956,2135
A060540,에스에이티,20181221,1755,1820,1755,1785,143833,563070,0,1769,1835,1966,2139
A060540,에스에이티,20181220,1765,1785,1740,1780,68861,570843,0,1768,1842,1975,2143
A060540,에스에이티,20181219,1750,1785,1735,1780,79378,581960,0,1775,1853,1985,2147
A060540,에스에이티,20181218,1705,1795,1700,1760,152516,584307,0,1779,1864,1995,2152
A060540,에스에이티,20181217,1765,1780,1700,1740,91799,566136,0,1777,1875,2007,2157
A060540,에스에이티,20181214,1815,1820,1760,1780,60817,568592,0,1789,1888,2020,2162
A060540,에스에이티,20181213,1800,1815,1780,1815,76227,575729,0,1799,1896,2034,2168
A060540,에스에이티,20181212,1735,1815,1735,1800,62066,565444,0,1796,1902,2047,2174
A060540,에스에이티,20181211,1745,1800,1740,1750,136148,548952,0,1817,1911,2058,2179
A060540,에스에이티,20181210,1805,1830,1780,1800,45934,551409,0,1855,1922,2070,2186
A060540,에스에이티,20181207,1805,1830,1760,1830,125785,551375,0,1879,1934,2080,2193
A060540,에스에이티,20181206,1880,1905,1765,1800,268448,539584,-8361,1889,1946,2089,2199
A060540,에스에이티,20181205,1905,1930,1880,1905,81641,547435,-4180,1910,1958,2099,2206
A060540,에스에이티,20181204,1925,1970,1925,1940,54572,543221,47,1911,1964,2108,2214
A060540,에스에이티,20181203,1890,1955,1880,1920,82613,546099,0,1904,1970,2116,2222
A060540,에스에이티,20181130,1905,1925,1865,1880,66216,539007,0,1904,1973,2124,2232
A060540,에스에이티,20181129,1930,1950,1895,1905,71572,529212,0,1914,1976,2132,2242
A060540,에스에이티,20181128,1920,1975,1885,1910,105106,528582,0,1931,1976,2140,2253
A060540,에스에이티,20181127,1920,1980,1905,1905,71402,529201,0,1950,1974,2148,2257
A060540,에스에이티,20181126,1950,1950,1910,1920,51340,520112,0,1964,1966,2156,2262
A060540,에스에이티,20181123,1980,1995,1925,1930,62331,513949,0,1978,1958,2164,2264
A060540,에스에이티,20181122,2005,2005,1935,1990,52907,526089,0,1981,1955,2173,2267
A060540,에스에이티,20181121,1970,2005,1930,2005,55011,541700,0,1970,1952,2180,2269
A060540,에스에이티,20181120,1950,2000,1940,1975,56001,543278,0,1966,1951,2186,2271
A060540,에스에이티,20181119,1945,2000,1945,1990,75427,536941,0,1967,1954,2192,2273
A060540,에스에이티,20181116,1965,1985,1930,1945,85152,523884,-19734,1977,1959,2196,2276
A060540,에스에이티,20181115,1910,1965,1890,1935,123627,501428,0,1998,1968,2201,2280
A060540,에스에이티,20181114,1960,2010,1945,1985,84994,482258,28,2019,1977,2205,2282
A060540,에스에이티,20181113,2010,2010,1930,1980,155974,471877,0,2029,1982,2208,2285
A060540,에스에이티,20181112,2065,2065,2000,2040,29654,480759,0,2043,1984,2212,2287
A060540,에스에이티,20181109,2060,2085,2015,2050,98859,481405,0,2034,1982,2216,2290
A060540,에스에이티,20181108,2030,2130,2025,2040,96269,487506,0,2012,1980,2223,2292
A060540,에스에이티,20181107,2020,2090,1980,2035,155449,481241,0,1985,1970,2230,2295
A060540,에스에이티,20181106,2025,2065,1965,2050,104160,516318,0,1949,1972,2235,2298
A060540,에스에이티,20181105,1945,2030,1875,1995,114325,532515,0,1889,1983,2240,2300
A060540,에스에이티,20181102,1920,1985,1920,1940,101454,533580,-20,1845,1993,2244,2303
A060540,에스에이티,20181101,1895,1960,1895,1905,215391,522193,0,1830,2007,2250,2308
A060540,에스에이티,20181031,1755,1870,1750,1855,104491,524840,0,1835,2024,2257,2311
A060540,에스에이티,20181030,1620,1785,1620,1750,596330,527961,0,1860,2045,2264,2316
A060540,에스에이티,20181029,1835,1890,1740,1775,460875,354832,0,1918,2072,2272,2321
A060540,에스에이티,20181026,1940,1950,1840,1865,274544,393460,0,1981,2103,2280,2325
A060540,에스에이티,20181025,1900,1985,1865,1930,350549,433189,0,2030,2128,2285,2328
A060540,에스에이티,20181024,2015,2080,1970,1980,166629,355113,0,2069,2148,2289,2331
A060540,에스에이티,20181023,2070,2110,1990,2040,188640,357046,0,2090,2170,2292,2334
A060540,에스에이티,20181022,2100,2110,2065,2090,108126,339176,0,2086,2191,2293,2334
A060540,에스에이티,20181019,2115,2135,2055,2110,96535,325984,0,2068,2212,2294,2335
