stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A061970,엘비세미콘,20190129,4330,4390,4245,4345,1210144,960119,-1,4346,4235,3968,4556
A061970,엘비세미콘,20190128,4395,4470,4330,4335,2487649,839628,-2,4308,4222,3962,4564
A061970,엘비세미콘,20190125,4400,4455,4320,4385,2473417,889648,-3,4267,4216,3955,4572
A061970,엘비세미콘,20190124,4315,4370,4240,4350,1531590,985866,-3,4208,4188,3943,4573
A061970,엘비세미콘,20190123,4170,4390,4125,4315,3615144,849027,-4,4158,4170,3922,4573
A061970,엘비세미콘,20190122,4150,4195,4105,4155,738597,929659,-6,4149,4165,3910,4574
A061970,엘비세미콘,20190121,4110,4185,4085,4130,779482,872339,-794,4173,4170,3904,4576
A061970,엘비세미콘,20190118,4085,4160,4070,4090,982802,796891,-10,4206,4190,3902,4576
A061970,엘비세미콘,20190117,4275,4305,4085,4100,1426322,612700,-14,4225,4221,3907,4575
A061970,엘비세미콘,20190116,4290,4380,4250,4270,1319297,798937,-19,4250,4236,3912,4576
A061970,엘비세미콘,20190115,4345,4400,4225,4275,2290692,765296,-24,4232,4198,3916,4575
A061970,엘비세미콘,20190114,4205,4335,4155,4295,2083007,1006146,37,4200,4160,3920,4576
A061970,엘비세미콘,20190111,4250,4385,4150,4185,3862552,722630,12986,4184,4114,3925,4577
A061970,엘비세미콘,20190110,4205,4245,4100,4225,1785612,1040932,13961,4199,4067,3929,4578
A061970,엘비세미콘,20190109,4080,4265,4080,4180,2163013,1038333,0,4189,4028,3932,4579
A061970,엘비세미콘,20190108,4250,4250,4115,4115,1430330,743159,0,4214,3989,3937,4579
A061970,엘비세미콘,20190107,4230,4315,4130,4215,2739558,838683,0,4208,3951,3936,4578
A061970,엘비세미콘,20190104,4170,4310,4040,4260,2687731,645508,-1976,4207,3916,3938,4576
A061970,엘비세미콘,20190103,4350,4430,4165,4175,4212535,459185,0,4121,3884,3942,4573
A061970,엘비세미콘,20190102,4150,4375,4090,4305,6012019,827469,0,4083,3858,3947,4571
