stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A063570,한국전자금융,20190129,9370,9370,9130,9200,381439,1995577,-52756,9382,9330,10147,11545
A063570,한국전자금융,20190128,9450,9570,9360,9420,277998,2080178,-91656,9460,9320,10200,11576
A063570,한국전자금융,20190125,9380,9440,9310,9430,198766,1979908,-7900,9464,9287,10252,11607
A063570,한국전자금융,20190124,9480,9500,9350,9380,167017,1967570,-15709,9478,9262,10296,11635
A063570,한국전자금융,20190123,9460,9630,9460,9480,201725,1972956,-15219,9444,9247,10337,11666
A063570,한국전자금융,20190122,9500,9650,9420,9590,384072,2006616,-39409,9434,9229,10378,11692
A063570,한국전자금융,20190121,9670,9670,9390,9440,226706,2011937,-16670,9380,9200,10422,11716
A063570,한국전자금융,20190118,9230,9510,9230,9500,283276,2036273,39672,9334,9180,10467,11735
A063570,한국전자금융,20190117,9550,9550,9190,9210,232109,2009830,-640,9282,9152,10519,11750
A063570,한국전자금융,20190116,9330,9510,9320,9430,208377,2020439,-12760,9302,9132,10582,11772
A063570,한국전자금융,20190115,9250,9360,9150,9320,213645,2027645,8135,9318,9118,10643,11795
A063570,한국전자금융,20190114,9330,9330,9140,9210,173558,2047422,-7815,9410,9114,10702,11823
A063570,한국전자금융,20190111,9360,9380,9180,9240,253371,2094947,-24485,9418,9128,10760,11851
A063570,한국전자금융,20190110,9480,9550,9290,9310,331464,2159090,-8949,9342,9128,10808,11882
A063570,한국전자금융,20190109,9740,9840,9460,9510,551034,2149877,-5841,9242,9136,10850,11908
A063570,한국전자금융,20190108,9370,10150,9300,9780,1207281,2323169,-58967,9188,9164,10891,11934
A063570,한국전자금융,20190107,9060,9360,8990,9250,405140,2384877,2865,9030,9200,10915,11951
A063570,한국전자금융,20190104,8890,9030,8650,8860,202155,2430795,-6718,8932,9282,10953,11977
A063570,한국전자금융,20190103,9240,9260,8810,8810,338300,2446496,-31099,8948,9394,11001,12005
A063570,한국전자금융,20190102,9180,9430,9130,9240,419156,2543637,-11882,9000,9506,11054,12031
A063570,한국전자금융,20181228,8760,9150,8760,8990,126829,2430506,-20881,8976,9594,11109,12056
A063570,한국전자금융,20181227,9000,9040,8730,8760,126401,2522037,-30336,8982,9692,11177,12085
A063570,한국전자금융,20181226,9010,9010,8710,8940,186078,2528792,-10873,9034,9789,11256,12115
A063570,한국전자금융,20181224,9180,9190,9020,9070,115620,2551008,9960,9038,9890,11336,12137
A063570,한국전자금융,20181221,9030,9140,8920,9120,130307,2596673,9117,8984,9986,11415,12158
A063570,한국전자금융,20181220,9020,9180,8800,9020,195914,2635184,19738,8990,10075,11490,12177
A063570,한국전자금융,20181219,9020,9180,8820,9020,201867,2656998,-6702,9034,10176,11570,12196
A063570,한국전자금융,20181218,8730,8970,8600,8960,361839,2676000,-142145,9128,10290,11651,12217
A063570,한국전자금융,20181217,9200,9200,8780,8800,317597,2612524,-117510,9186,10410,11738,12236
A063570,한국전자금융,20181214,9230,9400,9040,9150,186084,2579258,-59169,9320,10545,11821,12252
A063570,한국전자금융,20181213,9500,9590,9240,9240,336897,2554606,-78236,9500,10668,11903,12265
A063570,한국전자금융,20181212,9250,9700,9250,9490,198117,2596444,-6653,9752,10786,11986,12283
A063570,한국전자금융,20181211,9490,9560,9150,9250,298553,2609722,-4141,10034,10884,12064,12295
A063570,한국전자금융,20181210,9840,9890,9420,9470,364405,2649393,-96403,10404,11011,12134,12311
A063570,한국전자금융,20181207,10600,10650,9960,10050,396700,2630713,-118384,10720,11128,12199,12328
A063570,한국전자금융,20181206,10850,11000,10300,10500,134560,2693354,-3482,10910,11212,12251,12340
A063570,한국전자금융,20181205,10850,11000,10750,10900,100905,2682317,-6739,11000,11275,12290,12348
A063570,한국전자금융,20181204,11100,11200,11000,11100,71870,2676325,-5826,10960,11315,12328,12354
A063570,한국전자금융,20181203,11250,11300,11050,11050,109975,2680477,6638,10930,11370,12372,12358
A063570,한국전자금융,20181130,10950,11100,10800,11000,96954,2692288,13649,10920,11435,12415,12360
A063570,한국전자금융,20181129,10900,11150,10750,10950,255040,2700071,-13193,10900,11518,12451,12359
A063570,한국전자금융,20181128,11000,11050,10700,10700,152840,2742698,-37910,10920,11588,12485,12360
A063570,한국전자금융,20181127,11050,11050,10700,10950,155577,2791735,-21211,11040,11680,12520,12366
A063570,한국전자금융,20181126,10750,11050,10750,11000,116909,2798828,-13075,11120,11738,12550,12370
A063570,한국전자금융,20181123,11150,11200,10900,10900,115303,2787731,-9128,11220,11778,12580,12369
A063570,한국전자금융,20181122,11250,11350,10800,11050,298132,2783532,3785,11360,11830,12613,12367
A063570,한국전자금융,20181121,11250,11350,11000,11300,190606,2756067,-34794,11470,11890,12641,12369
A063570,한국전자금융,20181120,11400,11550,11350,11350,111252,2745841,-18980,11500,11930,12670,12368
A063570,한국전자금융,20181119,11500,11800,11500,11500,139255,2739164,-20270,11590,11995,12702,12370
A063570,한국전자금융,20181116,11700,11750,11450,11600,121841,2749764,-5669,11650,12070,12729,12368
A063570,한국전자금융,20181115,11700,11700,11350,11600,124765,2750251,-6121,11680,12142,12752,12368
A063570,한국전자금융,20181114,11800,11800,11400,11450,176134,2742263,-26041,11710,12205,12777,12371
A063570,한국전자금융,20181113,11700,11800,11400,11800,213842,2781232,-75149,11760,12268,12795,12374
A063570,한국전자금융,20181112,11750,12100,11650,11800,151321,2755034,4060,11840,12285,12802,12373
A063570,한국전자금융,20181109,11800,11900,11650,11750,118758,2759205,-33790,11950,12285,12826,12377
A063570,한국전자금융,20181108,11950,12100,11700,11750,221923,2739967,-76485,12130,12298,12847,12384
A063570,한국전자금융,20181107,12250,12400,11600,11700,302527,2722449,-127414,12250,12270,12869,12390
A063570,한국전자금융,20181106,12450,12500,11900,12200,190357,2676773,-68757,12420,12262,12898,12397
A063570,한국전자금융,20181105,12600,12600,12200,12350,175910,2655676,-22209,12400,12240,12918,12400
A063570,한국전자금융,20181102,12400,12650,12250,12650,293110,2654482,-54396,12290,12220,12938,12400
A063570,한국전자금융,20181101,12550,12650,12350,12350,211781,2629236,-48060,12150,12215,12942,12402
A063570,한국전자금융,20181031,12150,12650,11850,12550,284009,2625816,36038,12130,12252,12952,12408
A063570,한국전자금융,20181030,11800,12200,11650,12100,246479,2630374,40999,12040,12298,12962,12410
A063570,한국전자금융,20181029,11900,12400,11700,11800,306377,2581563,67326,12150,12380,12974,12418
A063570,한국전자금융,20181026,12350,12350,11800,11950,186792,2561253,27927,12390,12482,12994,12430
A063570,한국전자금융,20181025,11800,12300,11750,12250,238779,2576587,26848,12610,12565,13006,12441
A063570,한국전자금융,20181024,12750,12900,12100,12100,252668,2542324,11087,12730,12642,13010,12450
A063570,한국전자금융,20181023,13000,13000,12500,12650,143885,2525842,11696,12850,12732,13004,12460
A063570,한국전자금융,20181022,13150,13150,12700,13000,108625,2527354,4606,12750,12808,12981,12465
A063570,한국전자금융,20181019,12700,13150,12550,13050,262763,2539283,50772,12510,12848,12962,12469
A063570,한국전자금융,20181018,12700,13050,12550,12850,277654,2535664,106562,12300,12900,12948,12473
A063570,한국전자금융,20181017,12550,12900,12500,12700,385162,2556258,107543,11970,12968,12945,12481
A063570,한국전자금융,20181016,11850,12450,11850,12150,378040,2548724,125064,11740,13040,12942,12490
A063570,한국전자금융,20181015,12050,12100,11650,11800,144962,2546488,-4350,11660,13108,12955,12508
