stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A065050,조인트리,20190129,1300,1500,1300,1480,1057,0,0,1376,1543,2014,2426
A065050,조인트리,20190128,1400,1630,1225,1545,1937,0,0,1332,1557,2035,2439
A065050,조인트리,20190125,1490,1490,1100,1235,1486,0,0,1313,1574,2055,2451
A065050,조인트리,20190124,1225,1460,1150,1280,981,0,0,1375,1592,2081,2465
A065050,조인트리,20190123,1545,1545,1150,1340,4466,0,0,1409,1618,2104,2480
A065050,조인트리,20190122,971,1400,971,1260,2783,0,0,1476,1647,2126,2494
A065050,조인트리,20190121,1500,1500,1350,1450,965,0,0,1542,1677,2152,2508
A065050,조인트리,20190118,1410,1775,1410,1545,430,0,0,1551,1700,2172,2519
A065050,조인트리,20190117,1595,1595,1450,1450,1239,0,0,1559,1720,2189,2531
A065050,조인트리,20190116,1865,1865,1355,1675,1066,0,0,1589,1746,2209,2542
A065050,조인트리,20190115,1495,1745,1450,1590,2152,0,0,1591,1762,2227,2553
A065050,조인트리,20190114,1550,1565,1430,1495,1300,0,0,1613,1784,2250,2565
A065050,조인트리,20190111,2000,2000,1300,1585,2900,0,0,1638,1804,2271,2576
A065050,조인트리,20190110,1670,1670,1540,1600,2243,0,0,1679,1824,2291,2586
A065050,조인트리,20190109,1705,1705,1510,1685,44,0,0,1712,1844,2312,2598
A065050,조인트리,20190108,1850,1850,1645,1700,571,0,0,1728,1862,2330,2610
A065050,조인트리,20190107,1725,1725,1540,1620,4489,0,0,1740,1877,2346,2621
A065050,조인트리,20190104,2005,2005,1660,1790,2949,0,0,1792,1896,2361,2634
A065050,조인트리,20190103,1990,1990,1765,1765,60,0,0,1756,1907,2380,2644
A065050,조인트리,20190102,1895,1895,1720,1765,1252,0,0,1763,1919,2398,2656
A065050,조인트리,20181228,1750,1770,1740,1760,1304,0,0,1793,1938,2415,2666
A065050,조인트리,20181227,1675,1985,1630,1880,685,0,0,1813,1964,2433,2680
A065050,조인트리,20181226,1725,1800,1550,1610,56,0,0,1819,1970,2449,2695
A065050,조인트리,20181224,1900,1900,1700,1800,1116,0,0,1887,2015,2469,2711
A065050,조인트리,20181221,1305,2000,1305,1915,108,0,0,1921,2043,2486,2726
A065050,조인트리,20181220,2000,2000,1750,1860,1015,0,0,1935,2072,2502,2739
A065050,조인트리,20181219,1980,1980,1400,1910,662,0,0,1968,2095,2518,2756
A065050,조인트리,20181218,1990,1990,1940,1950,451,0,0,1968,2138,2535,2773
A065050,조인트리,20181217,1990,1990,1940,1970,233,0,0,1976,2186,2549,2790
A065050,조인트리,20181214,2000,2000,1850,1985,652,0,0,1982,2212,2566,2808
A065050,조인트리,20181213,2000,2050,1900,2025,2019,0,0,1993,2238,2582,2832
A065050,조인트리,20181212,1940,2040,1905,1910,1417,0,0,1988,2266,2596,0
A065050,조인트리,20181211,1985,1990,1905,1990,900,0,0,2007,2300,2608,0
A065050,조인트리,20181210,2150,2190,1900,2000,740,0,0,2009,2335,2621,0
A065050,조인트리,20181207,2600,2600,1930,2040,222,0,0,2009,2368,2635,0
A065050,조인트리,20181206,2040,2040,2000,2000,214,0,0,2031,2398,2648,0
A065050,조인트리,20181205,2015,2015,1990,2005,903,0,0,2088,2428,2662,0
A065050,조인트리,20181204,2010,2030,2000,2000,1207,0,0,2087,2466,2675,0
A065050,조인트리,20181203,2300,2300,2000,2000,2260,0,0,2187,2496,2688,0
A065050,조인트리,20181130,2110,2190,2000,2150,6462,0,0,2261,2530,2705,0
A065050,조인트리,20181129,2800,2800,1950,2285,8721,0,0,2330,2560,2717,0
A065050,조인트리,20181128,2400,2400,2000,2000,8538,0,0,2337,2583,2728,0
A065050,조인트리,20181127,2420,2500,2400,2500,1663,0,0,2492,2620,2743,0
A065050,조인트리,20181126,2520,2520,2370,2370,3104,0,0,2571,2636,2750,0
A065050,조인트리,20181123,2630,2800,2310,2495,9192,0,0,2597,2651,2758,0
A065050,조인트리,20181122,2700,2700,2300,2320,4099,0,0,2600,2660,2764,0
A065050,조인트리,20181121,2855,2855,2480,2775,1612,0,0,2650,2685,2773,0
A065050,조인트리,20181120,2895,2895,2895,2895,1327,0,0,2615,2676,2774,0
A065050,조인트리,20181119,2525,2525,2500,2500,1159,0,0,2573,2662,2773,0
A065050,조인트리,20181116,2570,2570,2500,2510,925,0,0,2603,2669,2782,0
A065050,조인트리,20181115,2510,2570,2400,2570,4594,0,0,2630,2682,2788,0
A065050,조인트리,20181114,2610,2610,2200,2600,1978,0,0,2636,2701,2794,0
A065050,조인트리,20181113,2600,2895,2600,2685,614,0,0,2671,2708,2798,0
A065050,조인트리,20181112,2630,2650,2600,2650,527,0,0,2654,2714,2803,0
A065050,조인트리,20181109,3060,3060,2600,2645,2098,0,0,2659,2722,2808,0
A065050,조인트리,20181108,2655,2655,2600,2600,1788,0,0,2679,2731,2814,0
A065050,조인트리,20181107,2600,2775,2600,2775,2928,0,0,2709,2732,2819,0
A065050,조인트리,20181106,3195,3195,2600,2600,1102,0,0,2704,2722,2824,0
A065050,조인트리,20181105,2675,2675,2600,2675,1382,0,0,2744,2736,2831,0
A065050,조인트리,20181102,2770,2770,2650,2745,391,0,0,2746,2744,2835,0
A065050,조인트리,20181101,3100,3100,2750,2750,469,0,0,2729,2746,2839,0
A065050,조인트리,20181031,2800,2800,2750,2750,733,0,0,2745,2752,2843,0
A065050,조인트리,20181030,2500,2800,2500,2800,2142,0,0,2715,2755,2847,0
A065050,조인트리,20181029,2400,2700,2400,2685,3282,0,0,2675,2758,2850,0
A065050,조인트리,20181026,2850,2850,2660,2660,999,0,0,2668,2764,2855,0
A065050,조인트리,20181025,2955,2955,2650,2830,2933,0,0,2688,2775,2861,0
A065050,조인트리,20181024,2635,2800,2500,2600,795,0,0,2713,2774,2864,0
A065050,조인트리,20181023,2705,2705,2600,2600,869,0,0,2743,2792,2867,0
A065050,조인트리,20181022,2700,2700,2650,2650,504,0,0,2783,2800,2873,0
A065050,조인트리,20181019,2720,2760,2710,2760,480,0,0,2817,2816,2875,0
A065050,조인트리,20181018,2955,2955,2955,2955,299,0,0,2829,2828,2879,0
A065050,조인트리,20181017,2500,2815,2400,2750,2202,0,0,2762,2822,2880,0
A065050,조인트리,20181016,2820,2820,2800,2800,621,0,0,2724,2815,2881,0
A065050,조인트리,20181015,2825,2825,2820,2820,779,0,0,2741,2814,2882,0
A065050,조인트리,20181012,2840,2840,2820,2820,401,0,0,2744,2814,2884,0
A065050,조인트리,20181011,3100,3100,2610,2620,3298,0,0,2739,2814,2889,0
A065050,조인트리,20181010,2860,2860,2550,2560,6920,0,0,2790,2824,2897,0
A065050,조인트리,20181008,3150,3150,2700,2885,1343,0,0,2838,2836,2906,0
A065050,조인트리,20181005,2835,3370,2830,2835,3180,0,0,2832,2833,2908,0
A065050,조인트리,20181004,2855,2855,2795,2795,1259,0,0,2827,2840,2914,0
A065050,조인트리,20181002,2800,2900,2800,2875,607,0,0,2843,2846,2918,0
A065050,조인트리,20181001,2875,2965,2800,2800,476,0,0,2831,2850,2927,0
A065050,조인트리,20180928,3000,3000,2800,2855,3722,0,0,2861,2854,2941,0
A065050,조인트리,20180927,3240,3800,2810,2810,8025,0,0,2842,2855,2953,0
A065050,조인트리,20180921,3280,3290,2800,2875,4919,0,0,2878,2859,2966,0
A065050,조인트리,20180920,2815,2815,2800,2815,1825,0,0,2899,2858,2977,0
A065050,조인트리,20180919,2835,2960,2835,2950,1139,0,0,2906,2861,2995,0
A065050,조인트리,20180918,3300,3310,2750,2760,4093,0,0,2836,2853,3011,0
A065050,조인트리,20180917,3100,3100,2820,2990,126,0,0,2842,2858,3032,0
A065050,조인트리,20180914,3100,3290,2980,2980,1510,0,0,2809,2860,3049,0
A065050,조인트리,20180913,2725,2850,2725,2850,126,0,0,2773,2856,3082,0
A065050,조인트리,20180912,2770,2770,2600,2600,918,0,0,2771,2858,0,0
A065050,조인트리,20180911,2755,2795,2740,2790,2772,0,0,2811,2872,0,0
A065050,조인트리,20180910,2780,2830,2780,2825,713,0,0,2817,2882,0,0
A065050,조인트리,20180907,2840,2840,2710,2800,839,0,0,2846,2886,0,0
A065050,조인트리,20180906,2870,2870,2840,2840,51,0,0,2869,2896,0,0
A065050,조인트리,20180905,3000,3000,2800,2800,551,0,0,2890,2900,0,0
A065050,조인트리,20180904,2825,2825,2800,2820,7987,0,0,2906,2914,0,0
A065050,조인트리,20180903,2990,2990,2805,2970,1475,0,0,2920,2923,0,0
A065050,조인트리,20180831,2970,2970,2650,2915,2070,0,0,2902,2922,0,0
A065050,조인트리,20180830,2955,3000,2800,2945,6431,0,0,2889,2925,0,0
A065050,조인트리,20180829,2890,2950,2500,2880,7363,0,0,2876,2927,0,0
A065050,조인트리,20180828,2900,2900,2880,2890,1326,0,0,2860,2932,0,0
A065050,조인트리,20180827,2890,2900,2845,2880,6023,0,0,2854,2936,0,0
A065050,조인트리,20180824,2875,2885,2780,2850,1063,0,0,2882,2942,0,0
A065050,조인트리,20180823,2990,2990,2760,2880,2385,0,0,2892,2951,0,0
A065050,조인트리,20180822,2890,2890,2800,2800,5108,0,0,2895,2957,0,0
A065050,조인트리,20180821,2900,2990,2800,2860,3250,0,0,2913,2957,0,0
A065050,조인트리,20180820,3300,3300,2700,3020,1806,0,0,2937,2960,0,0
A065050,조인트리,20180817,2900,2900,2900,2900,4820,0,0,2915,2949,0,0
A065050,조인트리,20180816,2895,2895,2895,2895,0,0,0,2935,2954,0,0
A065050,조인트리,20180814,2925,2940,2890,2890,4469,0,0,2937,2959,0,0
A065050,조인트리,20180813,3000,3000,2800,2980,10208,0,0,2979,2954,0,0
A065050,조인트리,20180810,2900,2950,2900,2910,2152,0,0,2982,2948,0,0
A065050,조인트리,20180809,2920,3000,2900,3000,3038,0,0,2990,2952,0,0
A065050,조인트리,20180808,3000,3090,2905,2905,3517,0,0,2985,2956,0,0
A065050,조인트리,20180807,3500,3500,2800,3100,4942,0,0,3000,2966,0,0
A065050,조인트리,20180806,2990,3040,2870,2995,5387,0,0,2978,2968,0,0
A065050,조인트리,20180803,3100,3100,2950,2950,71,0,0,2972,2969,0,0
A065050,조인트리,20180802,3290,3290,2950,2975,1628,0,0,2982,2981,0,0
A065050,조인트리,20180801,3200,3200,2900,2980,1507,0,0,2993,2982,0,0
A065050,조인트리,20180731,3000,3000,2990,2990,1335,0,0,2995,3004,0,0
A065050,조인트리,20180730,3000,3100,2965,2965,5279,0,0,2959,3036,0,0
A065050,조인트리,20180727,3050,3050,2980,3000,2422,0,0,2950,3068,0,0
A065050,조인트리,20180726,4000,4000,2985,3030,2081,0,0,2910,3098,0,0
A065050,조인트리,20180725,3585,3585,2900,2990,729,0,0,2902,3121,0,0
A065050,조인트리,20180724,2970,2970,2790,2810,4735,0,0,2904,3166,0,0
A065050,조인트리,20180723,3070,3070,2600,2920,15107,0,0,2902,3223,0,0
A065050,조인트리,20180720,3000,3000,2800,2800,7143,0,0,2890,3277,0,0
A065050,조인트리,20180719,3100,3100,2990,2990,1835,0,0,2927,3339,0,0
A065050,조인트리,20180718,3000,3040,2990,3000,4628,0,0,2945,3437,0,0
A065050,조인트리,20180717,2910,2990,2790,2800,9454,0,0,2965,0,0,0
A065050,조인트리,20180716,2900,3100,2860,2860,8556,0,0,3035,0,0,0
A065050,조인트리,20180713,3120,3120,2980,2985,9808,0,0,3063,0,0,0
A065050,조인트리,20180712,3680,3680,3050,3080,3922,0,0,3106,0,0,0
A065050,조인트리,20180711,2195,3600,2195,3100,1664,0,0,3090,0,0,0
A065050,조인트리,20180710,3100,3200,3005,3150,1554,0,0,3152,0,0,0
A065050,조인트리,20180709,3250,3250,3000,3000,6393,0,0,3248,0,0,0
A065050,조인트리,20180706,3300,3400,3100,3200,11399,0,0,3368,0,0,0
A065050,조인트리,20180705,4100,4100,2950,3000,18232,0,0,3448,0,0,0
A065050,조인트리,20180704,3750,3750,3410,3410,8886,0,0,3548,0,0,0
A065050,조인트리,20180703,4000,4000,3605,3630,366,0,0,3644,0,0,0
A065050,조인트리,20180702,4100,4100,3400,3600,18631,0,0,3708,0,0,0
A065050,조인트리,20180629,3890,3890,3550,3600,3584,0,0,3786,0,0,0
A065050,조인트리,20180628,3900,3900,3500,3500,8307,0,0,3876,0,0,0
A065050,조인트리,20180627,3945,3945,3500,3890,15200,0,0,4164,0,0,0
A065050,조인트리,20180626,3975,4000,3950,3950,3241,0,0,0,0,0,0
A065050,조인트리,20180625,4000,4000,3945,3990,9183,0,0,0,0,0,0
A065050,조인트리,20180622,4890,4900,3425,4050,12796,0,0,0,0,0,0
A065050,조인트리,20180621,7950,7950,3000,4940,2909,0,0,0,0,0,0
