stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A065060,지엔코,20190129,1760,1760,1705,1715,929111,1694386,0,1742,1707,1696,1882
A065060,지엔코,20190128,1730,1760,1730,1750,1232750,1662752,0,1761,1704,1690,1885
A065060,지엔코,20190125,1755,1775,1730,1730,1244983,1358409,0,1763,1698,1685,1889
A065060,지엔코,20190124,1785,1800,1750,1755,2715210,1255232,0,1765,1693,1677,1892
A065060,지엔코,20190123,1860,1880,1750,1760,5181730,1157606,0,1759,1693,1668,1894
A065060,지엔코,20190122,1750,1810,1740,1810,2752534,1915801,0,1761,1696,1663,1897
A065060,지엔코,20190121,1755,1770,1725,1760,1101006,1665297,0,1756,1696,1659,1898
A065060,지엔코,20190118,1735,1755,1715,1740,1225298,1409499,0,1748,1702,1657,1900
A065060,지엔코,20190117,1800,1810,1715,1725,2758142,1060684,0,1737,1705,1657,1903
A065060,지엔코,20190116,1795,1815,1755,1770,4854358,1001179,0,1728,1707,1659,1908
A065060,지엔코,20190115,1745,1795,1725,1785,4391711,1277354,-3,1708,1709,1660,1912
A065060,지엔코,20190114,1760,1850,1700,1720,4157350,815386,0,1673,1708,1660,1914
A065060,지엔코,20190111,1695,1740,1670,1685,2150234,756771,2,1651,1702,1662,1917
A065060,지엔코,20190110,1735,1795,1680,1680,6425830,747958,0,1635,1694,1664,1921
A065060,지엔코,20190109,1625,1680,1605,1670,1612761,1282674,0,1615,1693,1666,1924
A065060,지엔코,20190108,1620,1640,1590,1610,1246144,1028276,0,1616,1701,1668,1928
A065060,지엔코,20190107,1640,1655,1605,1610,1406381,948911,0,1624,1713,1669,1931
A065060,지엔코,20190104,1590,1620,1545,1605,1414186,888492,0,1630,1728,1674,1935
A065060,지엔코,20190103,1685,1700,1580,1580,1829326,669529,0,1635,1740,1680,1939
A065060,지엔코,20190102,1665,1690,1645,1675,1539220,713964,-1,1670,1747,1688,1943
A065060,지엔코,20181228,1650,1695,1640,1650,1694663,509967,3,1698,1748,1695,1945
A065060,지엔코,20181227,1690,1710,1630,1640,2693483,411605,0,1729,1752,1703,1949
A065060,지엔코,20181226,1725,1760,1625,1630,5578518,462593,-30,1781,1760,1713,1952
A065060,지엔코,20181224,1810,1845,1735,1755,5974807,310426,0,1813,1771,1724,1954
A065060,지엔코,20181221,1845,1935,1805,1815,13162103,459679,0,1815,1771,1734,1957
A065060,지엔코,20181220,1890,1910,1790,1805,6431866,663046,0,1813,1767,1741,1960
A065060,지엔코,20181219,1915,2175,1865,1900,54138289,633269,-2,1806,1769,1747,1963
A065060,지엔코,20181218,1785,1955,1760,1790,18027640,708113,0,1744,1764,1752,1966
A065060,지엔코,20181217,1800,1865,1760,1765,5958730,510844,0,1695,1770,1760,1970
A065060,지엔코,20181214,1780,1830,1735,1805,6423353,851932,0,1673,1778,1768,1974
A065060,지엔코,20181213,1630,1920,1615,1770,29509495,772765,0,1678,1780,1777,1977
A065060,지엔코,20181212,1545,1615,1545,1590,2179062,1128859,0,1692,1763,1786,1982
A065060,지엔코,20181211,1690,1700,1540,1545,4302956,867593,0,1756,1755,1798,1987
A065060,지엔코,20181210,1810,1940,1645,1655,5007310,770986,0,1815,1748,1810,1994
A065060,지엔코,20181207,1860,1960,1830,1830,7568232,1003642,-39,1829,1736,1820,2002
A065060,지엔코,20181206,1915,1945,1825,1840,6283677,1235671,-1,1805,1717,1828,2008
A065060,지엔코,20181205,1795,1950,1785,1910,15871051,1304657,0,1783,1697,1835,2014
A065060,지엔코,20181204,1750,1840,1705,1840,5099935,2211888,0,1759,1672,1843,2019
A065060,지엔코,20181203,1730,1760,1690,1725,2907727,2079760,0,1762,1652,1851,2025
A065060,지엔코,20181130,1735,1780,1675,1710,2286014,2252729,0,1768,1642,1861,2033
A065060,지엔코,20181129,1795,1825,1730,1730,2190053,2154054,0,1772,1632,1871,2040
A065060,지엔코,20181128,1870,1920,1785,1790,6240120,2102201,30,1795,1616,1880,2047
A065060,지엔코,20181127,1765,1860,1740,1855,6044633,2657340,-1,1796,1596,1890,2054
A065060,지엔코,20181126,1730,1770,1705,1755,2849035,2641275,0,1810,1566,1897,2059
A065060,지엔코,20181123,1830,1845,1710,1730,5581797,2457650,-1280,1842,1538,1906,2065
A065060,지엔코,20181122,1800,1890,1760,1845,10110277,2373265,0,1866,1525,1915,2072
A065060,지엔코,20181121,1905,1925,1780,1795,6770002,2348925,0,1782,1512,1922,2079
A065060,지엔코,20181120,1890,1970,1870,1925,9247795,2680654,-86409,1709,1506,1930,2085
A065060,지엔코,20181119,1870,2055,1840,1915,26357180,2719357,86408,1606,1496,1936,2091
A065060,지엔코,20181116,1435,1850,1425,1850,28203537,3848821,0,1503,1492,1941,2098
A065060,지엔코,20181115,1430,1460,1400,1425,694252,4529725,-1,1425,1490,1947,2104
A065060,지엔코,20181114,1410,1480,1390,1430,1064951,4580896,-1,1428,1510,1959,2116
A065060,지엔코,20181113,1370,1415,1335,1410,913765,4543802,0,1425,1529,1971,2128
A065060,지엔코,20181112,1440,1470,1390,1400,963606,4330032,8,1428,1549,1982,2140
A065060,지엔코,20181109,1465,1485,1425,1460,1208462,4321337,0,1455,1568,1994,2152
A065060,지엔코,20181108,1525,1535,1440,1440,2401497,4300187,-32,1465,1586,2006,2164
A065060,지엔코,20181107,1430,1475,1370,1415,1579263,4628135,0,1457,1598,2019,2176
A065060,지엔코,20181106,1545,1570,1405,1425,4690294,4457955,0,1453,1622,2033,2188
A065060,지엔코,20181105,1520,1580,1455,1535,1130033,5014444,0,1419,1650,2046,2200
A065060,지엔코,20181102,1425,1515,1425,1510,1358838,5068558,0,1353,1674,2056,2211
A065060,지엔코,20181101,1410,1530,1395,1400,2314820,5038230,-1,1344,1704,2068,2223
