stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A065350,신성델타테크,20190129,3320,3320,3215,3305,58026,3560241,-393,3334,3248,3240,3658
A065350,신성델타테크,20190128,3315,3425,3295,3320,67604,3566615,-145,3345,3252,3238,3670
A065350,신성델타테크,20190125,3395,3395,3275,3315,117177,3562175,0,3371,3251,3235,3683
A065350,신성델타테크,20190124,3375,3375,3280,3375,34017,3550266,0,3387,3245,3231,3695
A065350,신성델타테크,20190123,3295,3360,3260,3355,54224,3553079,0,3358,3234,3224,3706
A065350,신성델타테크,20190122,3460,3490,3340,3360,70028,3549608,0,3331,3226,3222,3716
A065350,신성델타테크,20190121,3400,3545,3290,3450,83819,3559569,0,3296,3217,3222,3725
A065350,신성델타테크,20190118,3230,3395,3230,3395,68153,3564241,0,3234,3202,3222,3732
A065350,신성델타테크,20190117,3265,3265,3170,3230,49603,3553253,0,3184,3180,3226,3740
A065350,신성델타테크,20190116,3195,3250,3170,3220,44259,3554011,3873,3171,3164,3234,3751
A065350,신성델타테크,20190115,3165,3215,3120,3185,53185,3548325,0,3159,3151,3243,3761
A065350,신성델타테크,20190114,3195,3195,3120,3140,21819,3538528,0,3146,3143,3252,3772
A065350,신성델타테크,20190111,3170,3220,3110,3145,28777,3534960,0,3147,3134,3262,3783
A065350,신성델타테크,20190110,3140,3180,3115,3165,32546,3535518,0,3138,3120,3272,3794
A065350,신성델타테크,20190109,3130,3180,3095,3160,60557,3538609,0,3131,3106,3279,3805
A065350,신성델타테크,20190108,3135,3190,3085,3120,27253,3520855,0,3166,3100,3288,3815
A065350,신성델타테크,20190107,3100,3175,3100,3145,36750,3522671,0,3221,3095,3296,3826
A065350,신성델타테크,20190104,3085,3125,3030,3100,55922,3517686,0,3251,3098,3308,3834
A065350,신성델타테크,20190103,3335,3335,3130,3130,85483,3516635,-49,3270,3107,3324,3844
A065350,신성델타테크,20190102,3420,3425,3200,3335,53250,3519180,-17,3275,3115,3338,3853
A065350,신성델타테크,20181228,3360,3425,3305,3395,193093,3521627,69983,3249,3111,3350,3857
A065350,신성델타테크,20181227,3195,3395,3160,3295,112460,3515652,49983,3204,3106,3360,3862
A065350,신성델타테크,20181226,3135,3195,3075,3195,114257,3520278,29032,3176,3106,3374,3867
A065350,신성델타테크,20181224,3205,3205,3100,3155,48949,3530304,30000,3126,3111,3390,3874
A065350,신성델타테크,20181221,3165,3225,3125,3205,66586,3538003,30000,3078,3115,3407,3882
A065350,신성델타테크,20181220,3130,3170,3105,3170,58786,3546953,30000,3029,3113,3422,3888
A065350,신성델타테크,20181219,2945,3155,2945,3155,84583,3550708,30000,3000,3118,3441,3896
A065350,신성델타테크,20181218,2915,2990,2870,2945,52385,3551833,29983,2964,3126,3461,3905
A065350,신성델타테크,20181217,2970,2980,2875,2915,43557,3601313,0,2948,3149,3485,3914
A065350,신성델타테크,20181214,3045,3045,2890,2960,71449,3600154,0,2940,3178,3507,3922
A065350,신성델타테크,20181213,3045,3055,2975,3025,21622,3598577,0,2955,3200,3528,3931
A065350,신성델타테크,20181212,2900,2995,2890,2975,25270,3598087,0,2955,3220,3546,3939
A065350,신성델타테크,20181211,2905,2990,2855,2865,38005,3595243,0,2999,3240,3565,3945
A065350,신성델타테크,20181210,3000,3010,2855,2875,120014,3596552,0,3085,3268,3586,3955
A065350,신성델타테크,20181207,3025,3100,3025,3035,41954,3603926,-969,3167,3297,3606,3966
A065350,신성델타테크,20181206,3195,3205,3025,3025,45443,3601046,0,3210,3319,3623,3976
A065350,신성델타테크,20181205,3250,3250,3145,3195,105166,3605347,0,3263,3338,3640,3986
A065350,신성델타테크,20181204,3310,3315,3255,3295,19538,3596559,0,3285,3347,3656,3995
A065350,신성델타테크,20181203,3250,3345,3220,3285,56634,3594599,17,3285,3352,3670,4003
A065350,신성델타테크,20181130,3290,3360,3200,3250,40686,3586497,17,3275,3354,3686,4011
A065350,신성델타테크,20181129,3290,3305,3245,3290,18641,3590588,17,3259,3360,3703,4020
A065350,신성델타테크,20181128,3345,3345,3255,3305,25717,3594334,0,3252,3358,3719,4029
A065350,신성델타테크,20181127,3270,3325,3215,3295,36315,3594363,-112,3258,3348,3734,4036
A065350,신성델타테크,20181126,3145,3250,3145,3235,41132,3595111,-60,3279,3338,3749,4044
A065350,신성델타테크,20181123,3270,3275,3160,3170,78029,3582614,0,3330,3324,3766,4053
A065350,신성델타테크,20181122,3335,3335,3215,3255,74456,3572754,-8368,3376,3326,3783,4063
A065350,신성델타테크,20181121,3395,3395,3260,3335,63532,3576563,-19105,3408,3331,3798,4073
A065350,신성델타테크,20181120,3405,3485,3335,3400,62379,3577243,0,3419,3339,3813,4082
A065350,신성델타테크,20181119,3450,3490,3370,3490,61304,3577021,0,3421,3350,3827,4092
A065350,신성델타테크,20181116,3380,3465,3320,3400,77891,3568921,-29000,3415,3361,3840,4102
A065350,신성델타테크,20181115,3390,3415,3265,3415,102370,3570217,0,3431,3378,3856,4113
A065350,신성델타테크,20181114,3380,3480,3330,3390,64540,3566510,-5901,3430,3395,3870,4123
A065350,신성델타테크,20181113,3380,3440,3330,3410,58790,3567575,0,3427,3410,3887,4133
A065350,신성델타테크,20181112,3430,3485,3385,3460,41289,3566746,0,3425,3427,3909,4142
A065350,신성델타테크,20181109,3435,3480,3350,3480,69725,3569932,-1909,3398,3435,3932,4152
A065350,신성델타테크,20181108,3510,3510,3350,3410,88212,3571176,0,3376,3445,3955,4163
A065350,신성델타테크,20181107,3480,3480,3260,3375,54660,3568016,0,3340,3456,3979,4175
A065350,신성델타테크,20181106,3340,3450,3285,3400,44711,3579806,0,3288,3480,4004,4187
A065350,신성델타테크,20181105,3360,3405,3245,3325,53156,3576401,0,3226,3514,4027,4197
A065350,신성델타테크,20181102,3290,3385,3245,3370,75591,3582455,7719,3155,3545,4052,4209
A065350,신성델타테크,20181101,3125,3430,3105,3230,178958,3581388,5933,3121,3578,4076,4220
A065350,신성델타테크,20181031,3090,3175,3025,3115,63419,3614361,-7878,3145,3618,4102,4232
A065350,신성델타테크,20181030,2895,3140,2895,3090,223423,3614210,1761,3222,3668,4130,4245
A065350,신성델타테크,20181029,3200,3290,2945,2970,186298,3561834,0,3329,3721,4158,4259
A065350,신성델타테크,20181026,3355,3360,3060,3200,201856,3546211,0,3477,3780,4187,4273
A065350,신성델타테크,20181025,3385,3410,3275,3350,189845,3525018,-11948,3586,3828,4211,4286
A065350,신성델타테크,20181024,3630,3670,3440,3500,135939,3525033,-26557,3665,3874,4228,4297
A065350,신성델타테크,20181023,3685,3760,3575,3625,68282,3531233,-12522,3704,3917,4242,4308
A065350,신성델타테크,20181022,3740,3790,3660,3710,95445,3532889,-6345,3728,3956,4254,4317
A065350,신성델타테크,20181019,3720,3750,3640,3745,100024,3529934,20000,3709,3981,4267,4328
A065350,신성델타테크,20181018,3745,3755,3640,3745,88920,3529338,18794,3696,4004,4280,4337
A065350,신성델타테크,20181017,3810,3840,3650,3695,91491,3533433,0,3675,4023,4291,4348
A065350,신성델타테크,20181016,3615,3750,3585,3745,129204,3536594,22748,3704,4044,4304,4359
A065350,신성델타테크,20181015,3630,3715,3575,3615,85512,3534857,20000,3772,4063,4316,4369
A065350,신성델타테크,20181012,3520,3865,3520,3680,214198,3534134,20000,3840,4085,4330,4381
A065350,신성델타테크,20181011,3630,3790,3535,3640,245647,3539100,20000,3911,4105,4343,4392
A065350,신성델타테크,20181010,4095,4095,3805,3840,83956,3546634,0,3987,4126,4355,4405
A065350,신성델타테크,20181008,3955,4090,3730,4085,134319,3563061,-485,4041,4141,4361,4416
A065350,신성델타테크,20181005,4085,4085,3935,3955,114915,3555878,9498,4056,4144,4363,4427
A065350,신성델타테크,20181004,4090,4090,3975,4035,91653,3580988,19702,4095,4158,4367,4439
A065350,신성델타테크,20181002,4105,4155,3965,4020,188549,3588949,-686,4120,4169,4365,4449
A065350,신성델타테크,20181001,4140,4260,4055,4110,60030,3581436,-737,4168,4181,4363,4458
A065350,신성델타테크,20180928,4155,4255,4100,4160,43450,3582516,0,4219,4187,4360,4467
A065350,신성델타테크,20180927,4100,4270,4100,4150,97011,3584877,0,4269,4189,4357,4477
A065350,신성델타테크,20180921,4225,4260,4115,4160,154527,3585965,0,4279,4195,4356,4488
A065350,신성델타테크,20180920,4300,4380,4150,4260,175570,3584569,16976,4289,4196,4354,4498
A065350,신성델타테크,20180919,4425,4450,4320,4365,133759,3606789,28209,4262,4189,4352,4506
A065350,신성델타테크,20180918,4135,4425,4125,4410,265770,3628033,31882,4214,4182,4349,4516
A065350,신성델타테크,20180917,4210,4275,4140,4200,126870,3666317,0,4156,4175,4343,4524
A065350,신성델타테크,20180914,4170,4320,4110,4210,266520,3674875,-1120,4126,4179,4338,4532
A065350,신성델타테크,20180913,4100,4140,4060,4125,26929,3703524,0,4099,4184,4334,4542
A065350,신성델타테크,20180912,4165,4165,4070,4125,76504,3699561,-109,4089,4192,4332,4548
A065350,신성델타테크,20180911,4035,4145,4030,4120,69769,3703134,-137,4091,4206,4326,4553
A065350,신성델타테크,20180910,4060,4060,3980,4050,73947,3683874,3015,4097,4237,4324,4557
A065350,신성델타테크,20180907,4040,4155,4020,4075,60625,3668255,7014,4133,4275,4327,4562
A065350,신성델타테크,20180906,4135,4160,4025,4075,89492,3663342,-11571,4169,4315,4329,4568
A065350,신성델타테크,20180905,4180,4180,4090,4135,66353,3672732,0,4204,4354,4332,4573
A065350,신성델타테크,20180904,4180,4230,4110,4150,120975,3668801,-2972,4224,4391,4334,4578
A065350,신성델타테크,20180903,4255,4315,4165,4230,64002,3658503,0,4234,4423,4336,4583
A065350,신성델타테크,20180831,4230,4300,4170,4255,44788,3662504,0,4241,4453,4337,4587
A065350,신성델타테크,20180830,4280,4290,4185,4250,59205,3659561,0,4226,4482,4338,4589
A065350,신성델타테크,20180829,4200,4310,4180,4235,61372,3649778,0,4202,4508,4339,4592
