stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A065560,녹원씨엔아이,20190129,9300,9470,9190,9390,61853,115831,-1,9440,9103,9318,9347
A065560,녹원씨엔아이,20190128,9580,9580,9170,9300,87290,114785,-25332,9442,9086,9316,9357
A065560,녹원씨엔아이,20190125,9580,9600,9300,9580,61342,124294,-1,9502,9071,9316,9367
A065560,녹원씨엔아이,20190124,9500,9540,9310,9490,65797,127748,6045,9458,9039,9297,9370
A065560,녹원씨엔아이,20190123,9400,9490,9330,9440,45217,126991,9999,9406,9016,9274,9377
A065560,녹원씨엔아이,20190122,9690,9690,9210,9400,76096,127718,-2,9346,8994,9252,9381
A065560,녹원씨엔아이,20190121,9490,9670,9360,9600,114570,122526,-867,9290,8970,9232,9390
A065560,녹원씨엔아이,20190118,9270,9550,9210,9360,152725,114426,-4,9130,8928,9217,9399
A065560,녹원씨엔아이,20190117,9200,9290,9060,9230,69800,89331,0,9016,8894,9210,9411
A065560,녹원씨엔아이,20190116,9120,9200,9040,9140,80466,88487,0,8910,8876,9210,9425
A065560,녹원씨엔아이,20190115,8800,9160,8760,9120,78566,89623,0,8802,8868,9207,9441
A065560,녹원씨엔아이,20190114,8790,8850,8710,8800,15788,79259,-11,8686,8863,9208,9458
A065560,녹원씨엔아이,20190111,8700,8790,8600,8790,33675,71694,127,8664,8873,9210,9480
A065560,녹원씨엔아이,20190110,8510,8700,8380,8700,85845,70816,-28119,8698,8881,9212,9503
A065560,녹원씨엔아이,20190109,8500,8680,8470,8600,43265,67435,0,8738,8900,9208,9523
A065560,녹원씨엔아이,20190108,8650,8710,8500,8540,29579,95887,-1101,8824,8930,9210,9548
A065560,녹원씨엔아이,20190107,9100,9100,8590,8690,116727,95520,-66405,8926,8962,9207,9566
A065560,녹원씨엔아이,20190104,9000,9000,8710,8960,27146,93239,0,8988,8991,9212,9584
A065560,녹원씨엔아이,20190103,8860,9140,8760,8900,45491,86887,0,8984,9008,9218,9599
A065560,녹원씨엔아이,20190102,9050,9160,8960,9030,28760,88706,0,9012,9035,9224,9614
A065560,녹원씨엔아이,20181228,9000,9070,8800,9050,53571,86107,10000,9006,9041,9230,9629
A065560,녹원씨엔아이,20181227,8990,9000,8810,9000,50164,86385,0,8980,9065,9240,9643
A065560,녹원씨엔아이,20181226,8910,9040,8820,8940,23674,81999,3000,8928,9090,9257,9660
A065560,녹원씨엔아이,20181224,9000,9110,8880,9040,52601,82829,10000,8876,9125,9274,9675
A065560,녹원씨엔아이,20181221,8800,9070,8800,9000,47228,76816,0,8842,9156,9294,9695
A065560,녹원씨엔아이,20181220,8880,9030,8610,8920,41108,77138,1396,8838,9196,9305,9718
A065560,녹원씨엔아이,20181219,8780,8780,8420,8740,58445,81098,5387,8860,9245,9317,9746
A065560,녹원씨엔아이,20181218,8860,8990,8610,8680,39254,86404,0,8912,9318,9334,9762
A065560,녹원씨엔아이,20181217,9150,9150,8800,8870,25380,85183,0,8966,9399,9351,9780
A065560,녹원씨엔아이,20181214,9150,9150,8800,8980,37640,84957,0,9008,9468,9364,9799
A065560,녹원씨엔아이,20181213,9180,9180,8990,9030,22500,85425,0,9052,9519,9379,9823
A065560,녹원씨엔아이,20181212,9080,9080,8860,9000,45741,81683,0,9084,9562,9390,9847
A065560,녹원씨엔아이,20181211,9050,9250,8810,8950,75981,83108,-2518,9136,9601,9400,9867
A065560,녹원씨엔아이,20181210,9150,9150,8900,9080,28130,96869,0,9206,9638,9412,9891
