stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A065690,대진디엠피,20190129,3135,3170,3135,3155,37455,223345,-7821,3171,3098,3293,3679
A065690,대진디엠피,20190128,3185,3210,3145,3175,40871,222247,-7792,3174,3100,3296,3690
A065690,대진디엠피,20190125,3205,3210,3160,3190,44225,217380,-7905,3158,3106,3297,3700
A065690,대진디엠피,20190124,3145,3255,3145,3190,68176,208535,-7939,3139,3137,3296,3709
A065690,대진디엠피,20190123,3175,3230,3140,3145,89196,201916,-8033,3110,3168,3295,3719
A065690,대진디엠피,20190122,3100,3220,3085,3170,111897,199932,-8192,3096,3199,3298,3730
A065690,대진디엠피,20190121,3095,3125,3070,3095,42523,196155,-8412,3073,3222,3301,3739
A065690,대진디엠피,20190118,3040,3095,3025,3095,57743,185609,-8559,3062,3249,3307,3749
A065690,대진디엠피,20190117,3100,3100,3010,3045,68151,171038,-8525,3058,3275,3315,3758
A065690,대진디엠피,20190116,3085,3090,3035,3075,63414,171167,-8525,3064,3306,3326,3769
A065690,대진디엠피,20190115,3040,3070,3005,3055,64227,155766,-8464,3066,3334,3337,3779
A065690,대진디엠피,20190114,3075,3100,3030,3040,55351,139839,-8359,3070,3362,3348,3789
A065690,대진디엠피,20190111,3105,3105,3045,3075,46621,131495,-8342,3085,3388,3359,3801
A065690,대진디엠피,20190110,3110,3125,3050,3075,49108,128076,-8323,3084,3410,3370,3811
A065690,대진디엠피,20190109,3065,3115,3065,3085,45410,127559,-8311,3057,3397,3380,3822
A065690,대진디엠피,20190108,3100,3110,3040,3075,58466,127326,-8220,3060,3391,3388,3832
A065690,대진디엠피,20190107,3070,3160,3000,3115,97480,128892,-8445,3084,3386,3394,3842
A065690,대진디엠피,20190104,2935,3070,2905,3070,66910,125520,-8691,3121,3388,3404,3852
A065690,대진디엠피,20190103,3100,3110,2940,2940,133452,133552,-8445,3267,3396,3419,3862
A065690,대진디엠피,20190102,3195,3215,3020,3100,183282,143290,0,3443,3412,3436,3873
A065690,대진디엠피,20181228,3290,3330,3110,3195,228456,158340,-36021,3575,3417,3452,3881
A065690,대진디엠피,20181227,3585,3590,3300,3300,304978,121968,-5037,3662,3422,3468,3890
A065690,대진디엠피,20181226,3800,3840,3760,3800,418625,143481,-7241,3728,3417,3484,3898
A065690,대진디엠피,20181224,3820,3850,3750,3820,329603,152744,-8377,3692,3388,3493,3901
A065690,대진디엠피,20181221,3655,3860,3600,3760,674145,168457,4037,3661,3360,3504,3905
A065690,대진디엠피,20181220,3590,3660,3590,3630,94516,192246,0,3635,3339,3514,3911
A065690,대진디엠피,20181219,3600,3660,3580,3630,100269,193548,-35,3634,3324,3525,3918
A065690,대진디엠피,20181218,3635,3670,3600,3620,91465,185280,0,3620,3308,3534,3927
A065690,대진디엠피,20181217,3650,3675,3555,3665,215398,191056,0,3595,3296,3541,3936
A065690,대진디엠피,20181214,3590,3660,3570,3630,157891,190520,-282,3428,3282,3548,3945
A065690,대진디엠피,20181213,3555,3665,3505,3625,261588,192943,0,3295,3262,3558,3954
A065690,대진디엠피,20181212,3560,3565,3350,3560,653215,184848,42531,3166,3242,3568,3963
A065690,대진디엠피,20181211,2860,3675,2800,3495,1561606,189718,14344,3085,3226,3577,3971
A065690,대진디엠피,20181210,2940,2940,2780,2830,73708,202437,-24,3028,3218,3588,3981
A065690,대진디엠피,20181207,3010,3145,2950,2965,34929,202825,-160,3117,3248,3611,3998
A065690,대진디엠피,20181206,3220,3220,2980,2980,41687,203345,0,3164,3272,3633,4013
A065690,대진디엠피,20181205,3150,3240,3115,3155,29847,205100,0,3226,3299,3655,4028
A065690,대진디엠피,20181204,3390,3390,3210,3210,9514,205416,-152,3236,3316,3674,4043
A065690,대진디엠피,20181203,3200,3345,3200,3275,6963,207606,-424,3239,3332,3692,4056
A065690,대진디엠피,20181130,3290,3290,3200,3200,6892,208348,0,3236,3346,3709,4069
A065690,대진디엠피,20181129,3220,3315,3200,3290,19118,208518,11024,3263,3362,3729,4082
A065690,대진디엠피,20181128,3225,3270,3200,3205,11026,212391,-15,3272,3365,3748,4095
A065690,대진디엠피,20181127,3235,3270,3170,3225,17295,212420,-15,3291,3367,3770,4106
A065690,대진디엠피,20181126,3265,3335,3250,3260,8748,213596,-81,3321,3362,3791,4117
A065690,대진디엠피,20181123,3380,3380,3250,3335,14584,215978,0,3346,3356,3813,4127
A065690,대진디엠피,20181122,3325,3350,3275,3335,17278,219406,-13,3326,3354,3833,4136
A065690,대진디엠피,20181121,3340,3405,3240,3300,16789,221696,-82,3305,3356,3853,4145
A065690,대진디엠피,20181120,3385,3475,3305,3375,14670,226138,-29,3293,3364,3873,4153
A065690,대진디엠피,20181119,3235,3425,3230,3385,29806,228200,0,3284,3375,3890,4160
A065690,대진디엠피,20181116,3230,3350,3220,3235,16947,228560,0,3291,3391,3906,4169
A065690,대진디엠피,20181115,3240,3250,3150,3230,14311,226694,0,3336,3414,3925,4179
A065690,대진디엠피,20181114,3330,3330,3135,3240,38943,226282,-56,3394,3438,3940,4189
A065690,대진디엠피,20181113,3420,3420,3300,3330,30259,225181,0,3444,3463,3956,4198
A065690,대진디엠피,20181112,3500,3500,3365,3420,19826,225916,-15,3486,3482,3970,4205
A065690,대진디엠피,20181109,3575,3575,3440,3460,11034,226853,0,3509,3494,3983,4213
A065690,대진디엠피,20181108,3640,3640,3425,3520,28036,227677,0,3525,3500,3997,4221
A065690,대진디엠피,20181107,3600,3600,3440,3490,7394,227269,0,3489,3496,4010,4227
A065690,대진디엠피,20181106,3575,3575,3465,3540,21780,233140,-22,3441,3508,4023,4234
A065690,대진디엠피,20181105,3500,3610,3440,3535,29589,235453,-267,3355,3528,4036,4240
A065690,대진디엠피,20181102,3305,3595,3305,3540,59227,236903,-30,3280,3551,4051,4245
A065690,대진디엠피,20181101,3385,3415,3250,3340,34371,229679,-15,3229,3577,4066,4253
A065690,대진디엠피,20181031,3110,3370,3080,3250,25832,226578,-27,3235,3616,4084,4262
A065690,대진디엠피,20181030,2855,3115,2855,3110,73586,224991,-48,3276,3667,4102,4271
A065690,대진디엠피,20181029,3155,3295,3000,3160,80562,210212,-9,3374,3730,4123,4282
A065690,대진디엠피,20181026,3375,3560,3190,3285,65150,204933,-44,3484,3794,4144,4293
A065690,대진디엠피,20181025,3470,3470,3305,3370,57718,209934,-101,3566,3850,4162,4302
A065690,대진디엠피,20181024,3600,3635,3335,3455,62189,209933,0,3634,3896,4176,4312
A065690,대진디엠피,20181023,3725,3725,3515,3600,25824,213790,-70,3692,3929,4190,4323
A065690,대진디엠피,20181022,3730,3730,3605,3710,15780,219806,0,3714,3953,4201,4331
A065690,대진디엠피,20181019,3725,3745,3615,3695,11965,220622,0,3702,3973,4212,4342
A065690,대진디엠피,20181018,3710,3745,3655,3710,16837,224624,-2489,3678,3999,4221,4352
A065690,대진디엠피,20181017,3665,3770,3650,3745,42841,228637,79,3626,4024,4231,4365
A065690,대진디엠피,20181016,3725,3750,3620,3710,26152,229248,0,3625,4043,4242,4373
