stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A066410,버킷스튜디오,20190129,2118,2153,2083,2113,90137,766758,0,2117,2275,2741,3848
A066410,버킷스튜디오,20190128,2069,2118,2052,2113,66905,769409,0,2138,2297,2760,3892
A066410,버킷스튜디오,20190125,2131,2131,2052,2061,150963,766476,0,2169,2319,2778,3935
A066410,버킷스튜디오,20190124,2171,2188,2096,2135,229272,765814,0,2179,2344,2797,3984
A066410,버킷스튜디오,20190123,2219,2219,2157,2162,57475,763698,0,2183,2365,2811,4032
A066410,버킷스튜디오,20190122,2334,2334,2179,2219,57500,760759,0,2183,2384,2832,4078
A066410,버킷스튜디오,20190121,2105,2334,2096,2268,179564,766350,0,2173,2401,2855,4124
A066410,버킷스튜디오,20190118,2157,2166,2109,2109,52947,760908,0,2134,2415,2876,4169
A066410,버킷스튜디오,20190117,2153,2224,2087,2157,121846,766492,1,2145,2434,2900,4215
A066410,버킷스튜디오,20190116,2210,2219,2118,2162,95539,802053,23,2171,2449,2926,4267
A066410,버킷스튜디오,20190115,2074,2193,2074,2171,145069,809270,45,2249,2465,2954,4320
A066410,버킷스튜디오,20190114,2188,2188,2043,2069,196187,833546,-3,2325,2486,2982,4375
A066410,버킷스튜디오,20190111,2378,2378,2113,2166,334742,850019,-1,2422,2507,3012,4426
A066410,버킷스튜디오,20190110,2554,2704,2206,2285,1184334,897186,-175,2499,2520,3042,4477
A066410,버킷스튜디오,20190109,2553,2553,2553,2553,0,4494798,0,2553,2528,3065,4526
A066410,버킷스튜디오,20190108,2553,2553,2553,2553,0,4494798,0,2553,2520,3088,4569
A066410,버킷스튜디오,20190107,2553,2553,2553,2553,0,4494798,0,2553,2514,3110,4612
A066410,버킷스튜디오,20190104,2553,2553,2553,2553,0,4494798,0,2553,2518,3137,4658
A066410,버킷스튜디오,20190103,2553,2553,2553,2553,0,4494798,0,2553,2534,3169,4703
A066410,버킷스튜디오,20190102,2553,2553,2553,2553,0,4494798,0,2553,2548,3198,4755
A066410,버킷스튜디오,20181228,2553,2553,2553,2553,0,4494798,0,2553,2563,3235,4809
A066410,버킷스튜디오,20181227,2553,2553,2553,2553,0,4494798,0,2553,2579,3278,4859
A066410,버킷스튜디오,20181226,2553,2553,2553,2553,0,4494798,0,2553,2596,3321,4913
A066410,버킷스튜디오,20181224,2553,2553,2553,2553,0,4494798,0,2537,2615,3364,4965
A066410,버킷스튜디오,20181221,2553,2553,2553,2553,0,4494798,0,2518,2640,3407,5009
A066410,버킷스튜디오,20181220,2553,2553,2553,2553,0,4538064,0,2507,2668,3454,5055
A066410,버킷스튜디오,20181219,2425,2553,2425,2553,167788,4539664,-80,2515,2704,3501,5105
A066410,버킷스튜디오,20181218,2459,2586,2411,2473,168473,4473209,32,2501,2744,3539,5159
A066410,버킷스튜디오,20181217,2482,2525,2407,2459,92984,4650207,0,2490,2793,3579,5224
A066410,버킷스튜디오,20181214,2591,2596,2445,2497,74494,4697230,0,2488,2842,3624,5285
A066410,버킷스튜디오,20181213,2544,2591,2468,2591,173059,4909571,-78,2468,2895,3668,5346
A066410,버킷스튜디오,20181212,2435,2676,2411,2487,188425,4832759,-74,2436,2944,3713,5405
A066410,버킷스튜디오,20181211,2440,2501,2364,2416,67259,4770707,35,2465,3000,3762,5462
A066410,버킷스튜디오,20181210,2379,2780,2327,2449,267091,4808472,33,2555,3053,3811,5507
A066410,버킷스튜디오,20181207,2440,2478,2397,2397,71861,4820358,0,2633,3100,3859,5550
A066410,버킷스튜디오,20181206,2624,2629,2383,2431,255135,4772296,0,2724,3157,3910,5591
A066410,버킷스튜디오,20181205,2837,2837,2582,2634,267647,4837864,100,2813,3217,3964,5632
A066410,버킷스튜디오,20181204,2846,2880,2800,2866,105248,4917946,0,2863,3265,4010,5674
A066410,버킷스튜디오,20181203,2908,2908,2814,2837,76338,4887624,0,2879,3301,4055,5713
A066410,버킷스튜디오,20181130,2875,2922,2770,2852,161312,4880626,0,2920,3344,4109,5754
A066410,버킷스튜디오,20181129,2932,3107,2861,2875,164688,4764726,0,2974,3383,4166,5791
A066410,버킷스튜디오,20181128,2946,2955,2823,2884,188353,4714413,0,3053,3405,4212,5828
A066410,버킷스튜디오,20181127,3055,3055,2889,2946,110161,4563041,91,3146,3418,4255,5865
A066410,버킷스튜디오,20181126,3121,3135,3003,3045,126109,4452070,87,3250,3431,4299,5910
A066410,버킷스튜디오,20181123,3258,3287,3064,3121,115564,4317637,82,3326,3429,4341,5964
A066410,버킷스튜디오,20181122,3386,3386,3239,3267,87408,4304005,80,3413,3444,4374,6016
A066410,버킷스튜디오,20181121,3476,3518,3310,3353,100454,4335961,78,3476,3461,4408,6067
A066410,버킷스튜디오,20181120,3419,3556,3334,3462,84816,4353713,79,3524,3467,4441,6106
A066410,버킷스튜디오,20181119,3546,3590,3376,3428,171539,4330544,77,3528,3472,4474,6141
A066410,버킷스튜디오,20181116,3636,3636,3452,3556,33847,4331148,78,3522,3488,4508,6178
A066410,버킷스튜디오,20181115,3642,3665,3452,3580,31408,4303030,73,3515,3500,4538,6202
A066410,버킷스튜디오,20181114,3480,3604,3452,3594,48711,4240277,77,3526,3514,4572,6226
A066410,버킷스튜디오,20181113,3381,3480,3253,3480,57576,4147663,82,3526,3528,4603,6257
A066410,버킷스튜디오,20181112,3452,3537,3357,3400,62781,4112122,0,3547,3554,4634,6275
A066410,버킷스튜디오,20181109,3712,3712,3357,3523,66375,4113922,0,3608,3567,4671,6290
A066410,버킷스튜디오,20181108,3688,3688,3590,3632,43477,4234150,0,3630,3588,4710,6299
A066410,버킷스튜디오,20181107,3584,3769,3480,3594,54213,4211787,0,3566,3598,4729,6309
A066410,버킷스튜디오,20181106,3769,3769,3542,3584,42171,4249717,0,3477,3627,4784,6316
A066410,버킷스튜디오,20181105,3656,3750,3443,3708,43960,4310910,0,3402,3672,4841,6325
A066410,버킷스튜디오,20181102,3395,3636,3310,3632,58425,4370225,79,3260,3702,4897,6334
A066410,버킷스튜디오,20181101,3177,3372,3131,3310,62272,4337816,0,3215,3760,4956,6345
A066410,버킷스튜디오,20181031,3253,3277,3083,3149,43715,4203017,0,3275,3850,5023,6360
A066410,버킷스튜디오,20181030,2762,3239,2762,3211,122029,4174073,0,3343,3948,5093,6374
A066410,버킷스튜디오,20181029,3405,3405,2979,2998,139754,3879430,-52,3411,4044,5172,6387
A066410,버킷스튜디오,20181026,3613,3642,3372,3409,91345,3774882,-50,3561,4152,5252,6403
A066410,버킷스튜디오,20181025,3357,3642,3357,3608,105635,3879845,0,3641,4251,5324,6415
A066410,버킷스튜디오,20181024,3618,3688,3428,3490,133423,3716217,-53,3691,4338,5393,6425
A066410,버킷스튜디오,20181023,3750,3760,3537,3552,89384,3647917,0,3767,4404,5463,6438
A066410,버킷스튜디오,20181022,3812,3868,3646,3746,107549,3640920,0,3857,4470,5530,6451
A066410,버킷스튜디오,20181019,3840,3887,3731,3807,70457,3590506,0,3838,4541,5607,6460
A066410,버킷스튜디오,20181018,3873,4011,3835,3859,82187,3528398,0,3866,4608,5687,6470
A066410,버킷스튜디오,20181017,4025,4115,3807,3873,109142,3505682,0,3861,4680,5768,6479
A066410,버킷스튜디오,20181016,3665,4199,3656,4001,361774,3514115,0,3922,4758,5841,6483
A066410,버킷스튜디오,20181015,3296,3835,3267,3650,685037,3418660,0,4016,4827,5912,6486
A066410,버킷스튜디오,20181012,3830,4043,3783,3949,218820,2840922,0,4148,4910,5987,6491
A066410,버킷스튜디오,20181011,4091,4091,3750,3830,287283,2402414,0,4319,4986,6050,6493
A066410,버킷스튜디오,20181010,4474,4474,4181,4181,155895,1959125,0,4574,5076,6115,6497
A066410,버킷스튜디오,20181008,4303,4663,4115,4469,229376,1762005,0,4759,5136,6179,6499
A066410,버킷스튜디오,20181005,4753,4753,4266,4313,476975,1347074,0,4892,5192,6237,6498
A066410,버킷스튜디오,20181004,4965,4989,4724,4800,255288,1341363,0,5060,5280,6312,6498
A066410,버킷스튜디오,20181002,5107,5107,5107,5107,0,1244235,0,5178,5355,6383,6494
A066410,버킷스튜디오,20181001,5131,5320,5084,5107,104965,1244235,0,5226,5382,6440,6488
A066410,버킷스튜디오,20180928,5202,5392,5061,5131,163601,1157041,52,5169,5398,6505,6482
A066410,버킷스튜디오,20180927,5462,5462,5155,5155,148047,1156889,51,5117,5421,6566,6476
A066410,버킷스튜디오,20180921,5438,5628,5344,5392,344417,1186998,0,5117,5441,6611,6469
A066410,버킷스튜디오,20180920,4871,5392,4824,5344,494401,1540308,54,5070,5428,6655,6460
A066410,버킷스튜디오,20180919,4871,5084,4720,4824,366782,1882438,0,5060,5427,6709,6451
A066410,버킷스튜디오,20180918,5107,5226,4824,4871,264033,1583613,0,5183,5450,6780,6446
A066410,버킷스튜디오,20180917,5107,5179,4919,5155,151837,1691799,0,5283,5480,6869,6440
A066410,버킷스튜디오,20180914,5297,5297,5107,5155,193113,1671376,0,5316,5494,6947,6431
A066410,버킷스튜디오,20180913,5368,5438,5226,5297,133021,1547575,0,5377,5506,7024,6423
A066410,버킷스튜디오,20180912,5392,5438,5131,5438,332927,1740730,0,5443,5522,7098,6412
A066410,버킷스튜디오,20180911,5250,5510,5250,5368,240044,1672634,0,5434,5524,7162,6401
A066410,버킷스튜디오,20180910,5510,5628,5320,5320,261843,1414692,0,5476,5521,7203,6392
A066410,버킷스튜디오,20180907,5770,5889,5438,5462,393022,1305597,0,5628,5536,7242,6382
A066410,버킷스튜디오,20180906,5320,5911,5297,5628,727879,1619068,0,5793,5556,7272,6372
A066410,버킷스튜디오,20180905,5534,5652,5273,5392,799903,1376813,0,5798,5514,7300,6361
A066410,버킷스튜디오,20180904,6053,6053,5438,5580,1046575,1187081,0,5807,5588,7339,6350
A066410,버킷스튜디오,20180903,6125,6172,5935,6077,512697,1228343,0,5807,5660,7371,6339
A066410,버킷스튜디오,20180831,5793,6290,5652,6290,675528,1588269,0,5703,5708,7399,6325
A066410,버킷스튜디오,20180830,5510,5723,5438,5652,280560,1488885,0,5472,5752,7416,6308
A066410,버킷스튜디오,20180829,5510,5675,5438,5438,334231,1298188,0,5405,5837,7443,6292
A066410,버킷스튜디오,20180828,5534,5723,5415,5580,247951,1382362,0,5377,5933,7475,6279
A066410,버킷스튜디오,20180827,5155,6077,4942,5557,1127641,1474140,0,5353,6050,7522,6264
A066410,버킷스튜디오,20180824,5297,5344,5084,5131,191731,1519396,0,5330,6163,7587,6248
A066410,버킷스튜디오,20180823,5344,5438,5226,5320,121767,1523348,0,5382,6292,7658,6236
A066410,버킷스튜디오,20180822,5534,5534,5297,5297,190465,1407376,0,5443,6415,7726,6222
A066410,버킷스튜디오,20180821,5486,5510,5392,5462,107573,1425558,0,5476,6534,7772,6209
A066410,버킷스튜디오,20180820,5438,5534,5344,5438,111494,1392674,0,5448,6640,7808,6195
A066410,버킷스튜디오,20180817,5628,5723,5344,5392,207634,1369152,-1,5481,6787,7848,6181
A066410,버킷스튜디오,20180816,5462,5817,5202,5628,404499,1362609,1,5576,6946,7867,6167
A066410,버킷스튜디오,20180814,5297,6125,5226,5462,855978,1290286,0,5410,7100,7880,6151
A066410,버킷스튜디오,20180813,5557,5604,5202,5320,354412,1616619,0,5689,7241,7911,6135
A066410,버킷스튜디오,20180810,5675,6030,5250,5604,598383,1337772,0,6030,7388,7917,6120
A066410,버킷스튜디오,20180809,5202,6172,5202,5865,2855693,1292998,0,6318,7514,7910,6103
A066410,버킷스튜디오,20180808,6692,6953,4800,4800,1009149,1022440,0,6579,7610,7889,6084
A066410,버킷스튜디오,20180807,6929,7094,6362,6857,480784,441404,0,7089,7755,7888,6074
A066410,버킷스튜디오,20180806,7023,7189,6953,7023,117902,606414,0,7189,7812,7849,6047
A066410,버킷스튜디오,20180803,7166,7236,6857,7047,157574,661287,-62,7369,7861,7809,6019
A066410,버킷스튜디오,20180802,7307,7473,6953,7166,255005,544070,0,7525,7948,7771,5991
A066410,버킷스튜디오,20180801,7496,7685,7307,7354,204283,372851,-29,7633,8042,7734,5962
A066410,버킷스튜디오,20180731,7709,7709,7260,7354,364026,313626,-32,7718,8101,7697,5932
A066410,버킷스튜디오,20180730,8088,8372,7591,7922,365598,287606,0,7780,8183,7655,5903
A066410,버킷스튜디오,20180727,7709,7993,7662,7827,313509,468714,0,7714,8227,7602,5868
A066410,버킷스튜디오,20180726,7780,7946,7591,7709,185398,377723,1,7823,8227,7554,5834
A066410,버킷스튜디오,20180725,7591,8040,7496,7780,227094,369024,1,7998,8246,7506,5802
A066410,버킷스튜디오,20180724,7639,7899,7567,7662,212811,439802,0,8183,8285,7457,5769
A066410,버킷스튜디오,20180723,8372,8372,7591,7591,309823,315060,0,8306,8356,7413,5735
A066410,버킷스튜디오,20180720,8608,8797,8182,8372,464070,459020,-25,8438,8486,7372,5702
A066410,버킷스튜디오,20180719,8773,9246,8442,8585,1019068,555605,0,8391,8560,7313,5661
A066410,버킷스튜디오,20180718,8277,8916,8253,8703,871101,572685,0,8230,8619,7253,5619
A066410,버킷스튜디오,20180717,8253,8419,8040,8277,222501,391768,0,8031,8671,7190,5575
A066410,버킷스튜디오,20180716,8277,8750,7969,8253,702654,432213,0,7974,8720,7125,5536
A066410,버킷스튜디오,20180713,7709,8206,7709,8135,290290,402683,0,7922,8699,7059,5495
A066410,버킷스튜디오,20180712,7615,8372,7591,7780,418961,306241,0,8054,8675,6995,5455
A066410,버킷스튜디오,20180711,8040,8064,7520,7709,417693,348381,0,8305,8650,6936,5420
A066410,버킷스튜디오,20180710,7993,8608,7662,7993,558263,410371,0,8471,8629,6879,5386
A066410,버킷스튜디오,20180709,8797,8939,7922,7993,622470,320085,32,8674,8617,6819,5349
A066410,버킷스튜디오,20180706,8821,9081,8608,8797,397178,302646,31,8835,8591,6758,5314
A066410,버킷스튜디오,20180705,8608,9341,8230,9034,974195,436372,-156470,8641,8539,6684,5271
A066410,버킷스튜디오,20180704,9010,9034,8300,8537,626008,355683,32,8452,8455,6605,5227
A066410,버킷스튜디오,20180703,8892,9743,8821,9010,3260621,313660,-4000,8457,8392,6535,5187
A066410,버킷스튜디오,20180702,7899,8963,7827,8797,1663850,346820,-265667,8471,8310,6458,5144
A066410,버킷스튜디오,20180629,8017,8324,7307,7827,893176,700397,56791,8750,8289,6385,5103
A066410,버킷스튜디오,20180628,8324,8537,7780,8088,625207,523128,0,9152,8370,6327,5070
A066410,버킷스튜디오,20180627,9081,9625,8182,8561,1284606,582806,208820,9488,8434,6265,5034
A066410,버킷스튜디오,20180626,10122,10122,9058,9081,806325,284277,9970,9724,8478,6194,4994
A066410,버킷스튜디오,20180625,9838,10808,9838,10192,1427955,405076,-3103,9762,8425,6112,4950
A066410,버킷스튜디오,20180622,9743,11423,9554,9838,4480465,368751,31024,9289,8297,6011,4897
A066410,버킷스튜디오,20180621,10027,10050,9246,9767,657937,405007,79965,8854,8198,5914,4847
A066410,버킷스튜디오,20180620,10169,10996,9199,9743,3063211,289355,2796,8357,8035,5821,4799
A066410,버킷스튜디오,20180619,8112,9980,7780,9270,4797991,463800,-19901,7865,7869,5727,4751
A066410,버킷스튜디오,20180618,7662,7946,7354,7827,326278,180105,-104,7563,7772,5641,4708
A066410,버킷스튜디오,20180615,7449,7780,7354,7662,401664,233960,0,7492,7663,5581,4676
A066410,버킷스튜디오,20180614,7260,7426,6669,7284,599100,315553,0,7511,7540,5523,4646
A066410,버킷스튜디오,20180612,7615,7757,7284,7284,410623,233569,-117,7525,7406,5472,4619
A066410,버킷스튜디오,20180611,7520,8230,7496,7757,906971,274533,0,7520,7278,5422,4592
A066410,버킷스튜디오,20180608,7685,7969,7330,7473,597271,212037,-60,7444,7117,5361,4562
A066410,버킷스튜디오,20180607,7567,7946,7496,7757,756266,207378,15755,7624,6975,5308,4534
A066410,버킷스튜디오,20180605,7212,7757,7023,7354,702525,207378,16409,7965,6826,5251,4503
A066410,버킷스튜디오,20180604,7378,7496,6976,7260,749059,6405102,5181,8367,6704,5199,4477
A066410,버킷스튜디오,20180601,8158,8277,7354,7378,1111228,6357550,22170,8802,6599,5142,4452
A066410,버킷스튜디오,20180531,9577,9625,7402,8372,2416202,6357550,12,8930,6471,5083,4423
A066410,버킷스튜디오,20180530,9341,9672,8750,9459,751371,6397550,0,8783,6292,5005,4389
A066410,버킷스튜디오,20180529,9601,9862,8750,9365,954633,6439857,29,8462,6064,4909,4346
A066410,버킷스튜디오,20180528,8040,10074,7827,9436,2256372,6427952,30,7889,5836,4814,4305
A066410,버킷스튜디오,20180525,7284,8253,7000,8017,990721,6385987,0,7288,5608,4719,4262
A066410,버킷스튜디오,20180524,7094,7993,6835,7639,2701191,6369965,0,7151,5458,4647,4231
A066410,버킷스튜디오,20180523,7071,8442,6881,7851,6498870,6599265,35,6754,5334,4582,4204
A066410,버킷스튜디오,20180521,6550,6835,6408,6503,1152261,6390797,41,6224,5181,4514,4174
A066410,버킷스튜디오,20180518,6857,7118,6384,6432,4379031,6306044,-39959,5844,5105,4468,4155
A066410,버킷스튜디오,20180517,5723,7330,5723,7330,5710105,6458344,40040,5503,5031,4421,4137
A066410,버킷스튜디오,20180516,5107,6030,5061,5652,2138170,6500715,47,4944,4883,4358,4111
A066410,버킷스튜디오,20180515,4620,5557,4611,5202,1689747,6966272,57,4739,4815,4324,4099
A066410,버킷스튜디오,20180514,4729,4777,4582,4602,123127,7003836,24,4654,4769,4297,4090
A066410,버킷스튜디오,20180511,4526,4965,4526,4729,272153,7084040,25,4717,4752,4280,4087
A066410,버킷스튜디오,20180510,4640,4672,4417,4536,179153,6869331,28,4802,4731,4259,4082
A066410,버킷스튜디오,20180509,4777,4824,4318,4625,209482,6928990,-32,4860,4721,4245,4080
A066410,버킷스튜디오,20180508,4989,4989,4729,4777,123505,6862314,-33,4890,4707,4229,4077
A066410,버킷스튜디오,20180504,5155,5179,4919,4919,265773,6870769,55,4919,4686,4210,4073
A066410,버킷스튜디오,20180503,4847,5179,4729,5155,645048,6994912,16,4895,4656,4190,4067
A066410,버킷스튜디오,20180502,4753,4895,4668,4824,204573,7100228,17,4838,4616,4168,4061
A066410,버킷스튜디오,20180430,4800,4847,4649,4777,235322,6935233,0,4876,4593,4151,4057
A066410,버킷스튜디오,20180427,4847,4942,4777,4919,157518,6955807,0,4952,4575,4133,4055
A066410,버킷스튜디오,20180426,4919,5013,4753,4800,157292,6949688,0,4928,4546,4115,4049
A066410,버킷스튜디오,20180425,5013,5013,4800,4871,235710,6863181,0,4966,4523,4099,4044
A066410,버킷스튜디오,20180424,5107,5250,4942,5013,546827,6700421,0,4980,4495,4081,4039
A066410,버킷스튜디오,20180423,4847,5155,4724,5155,771139,6972943,0,4851,4454,4058,4031
A066410,버킷스튜디오,20180420,5013,5037,4729,4800,458154,7130816,0,4680,4403,4032,4021
A066410,버킷스튜디오,20180419,4942,4989,4710,4989,768145,7296531,0,4576,4364,4010,4014
A066410,버킷스튜디오,20180418,4389,5392,4365,4942,4293148,7234953,0,4429,4324,3984,4006
A066410,버킷스튜디오,20180417,4299,4370,4275,4370,91719,7380839,0,4303,4282,3960,3997
A066410,버킷스튜디오,20180416,4318,4318,4237,4299,59809,7281139,0,4297,4268,3946,3993
A066410,버킷스튜디오,20180413,4256,4294,4190,4280,73393,7177925,32,4305,4263,3931,3988
A066410,버킷스튜디오,20180412,4313,4318,4161,4256,144464,7085970,33,4319,4258,3915,3984
A066410,버킷스튜디오,20180411,4389,4422,4303,4308,166468,7039565,32,4334,4258,3904,3981
A066410,버킷스튜디오,20180410,4351,4412,4289,4341,129694,6936877,32,4342,4256,3893,3978
A066410,버킷스튜디오,20180409,4313,4351,4280,4341,104679,7000058,33,4349,4245,3880,3976
A066410,버킷스튜디오,20180406,4327,4526,4256,4351,464567,6896220,0,4362,4241,3870,3971
A066410,버킷스튜디오,20180405,4308,4370,4256,4327,93499,6965632,0,4360,4241,3858,3968
A066410,버킷스튜디오,20180404,4412,4422,4285,4351,132907,6943593,0,4365,4237,3848,3965
A066410,버킷스튜디오,20180403,4327,4398,4313,4374,153374,6968597,0,4355,4210,3839,3963
A066410,버킷스튜디오,20180402,4351,4507,4251,4408,440696,6971185,0,4320,4185,3830,3960
A066410,버킷스튜디오,20180330,4408,4408,4289,4341,131840,7102557,0,4265,4149,3821,3956
A066410,버킷스튜디오,20180329,4322,4474,4285,4351,393903,7116812,0,4200,4116,3812,3951
A066410,버킷스튜디오,20180328,4185,4351,4171,4303,177416,7189884,1,4169,4082,3803,3943
A066410,버킷스튜디오,20180327,4167,4313,4119,4199,234596,7156241,0,4127,4053,3795,3936
