stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A066590,우수AMS,20190129,6280,6420,5900,6080,14656579,224832,0,5259,4361,3900,5084
A066590,우수AMS,20190128,4885,6120,4860,6120,22153116,341544,11794,5005,4243,3862,5087
A066590,우수AMS,20190125,4555,4785,4500,4715,2776288,336055,11252,4817,4115,3821,5090
A066590,우수AMS,20190124,4865,4880,4545,4590,2833569,277817,-165,4840,4057,3802,5105
A066590,우수AMS,20190123,4775,4890,4650,4790,2300779,349433,14599,4764,4011,3785,5120
A066590,우수AMS,20190122,5220,5230,4810,4810,3256318,260200,0,4631,3951,3776,5133
A066590,우수AMS,20190121,4920,5440,4810,5180,9965809,148885,-35558,4449,3900,3769,5147
A066590,우수AMS,20190118,4360,5060,4320,4830,13006851,298301,-19978,4190,3824,3763,5157
A066590,우수AMS,20190117,4150,4350,4045,4210,3376306,399216,-4474,4010,3756,3770,5168
A066590,우수AMS,20190116,3955,4240,3885,4125,3839087,502819,21000,3962,3705,3789,5187
A066590,우수AMS,20190115,3955,3980,3870,3900,1200709,415273,-1,3875,3669,3808,5210
A066590,우수AMS,20190114,3920,3950,3835,3885,918098,540753,0,3829,3639,3831,5235
A066590,우수AMS,20190111,4080,4095,3910,3930,2607455,449938,1,3784,3610,3856,5262
A066590,우수AMS,20190110,3700,3980,3670,3970,3915896,706233,1530,3746,3569,3880,5285
A066590,우수AMS,20190109,3670,3720,3640,3690,677975,625783,0,3662,3520,3905,5308
A066590,우수AMS,20190108,3725,3770,3610,3670,992928,593072,0,3680,3492,3934,5331
A066590,우수AMS,20190107,3815,3820,3600,3660,1204821,655473,0,3688,3478,3954,5353
A066590,우수AMS,20190104,3510,3750,3500,3740,1444115,836048,0,3669,3473,3979,5368
A066590,우수AMS,20190103,3800,3815,3550,3550,1395299,576476,-8000,3633,3468,4009,5384
A066590,우수AMS,20190102,3735,3830,3670,3780,1866023,722157,0,3656,3472,4044,5402
A066590,우수AMS,20181228,3620,3805,3615,3710,2107798,830710,1,3617,3459,4081,5424
A066590,우수AMS,20181227,3615,3680,3480,3565,1131997,917627,8000,3634,3451,4122,5450
A066590,우수AMS,20181226,3535,3715,3530,3560,864562,1036874,0,3655,3450,4165,5475
A066590,우수AMS,20181224,3585,3770,3530,3665,1609973,1078186,0,3634,3453,4204,5501
A066590,우수AMS,20181221,3745,3955,3585,3585,2926345,1146665,6863,3540,3444,4243,5527
