stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A066980,브레인콘텐츠,20190129,885,888,866,870,545261,4924928,-68,887,867,884,934
A066980,브레인콘텐츠,20190128,893,902,887,890,377877,4958019,-2,891,865,883,935
A066980,브레인콘텐츠,20190125,890,905,886,891,554863,4789164,-3,892,861,882,936
A066980,브레인콘텐츠,20190124,899,899,886,890,334458,4725813,-6,888,856,880,937
A066980,브레인콘텐츠,20190123,885,906,882,894,396205,4759427,-12,885,851,877,938
A066980,브레인콘텐츠,20190122,890,900,882,890,474473,4690259,-14,882,848,876,939
A066980,브레인콘텐츠,20190121,878,900,874,895,639905,4953632,57,879,845,876,940
A066980,브레인콘텐츠,20190118,869,880,869,873,315846,4798320,-14,871,843,876,941
A066980,브레인콘텐츠,20190117,882,890,869,871,383587,4709519,-17,870,841,877,941
A066980,브레인콘텐츠,20190116,873,884,872,883,301312,4744768,-6022,868,840,879,943
A066980,브레인콘텐츠,20190115,859,884,858,875,596314,4662644,-9027,864,840,880,944
A066980,브레인콘텐츠,20190114,860,874,851,854,461367,4545806,-5006,857,841,881,946
A066980,브레인콘텐츠,20190111,863,874,860,867,449956,4456993,101,854,844,883,948
A066980,브레인콘텐츠,20190110,870,870,853,861,348583,4333308,-61,845,844,884,950
A066980,브레인콘텐츠,20190109,843,874,842,862,694663,4310987,5,839,844,886,953
A066980,브레인콘텐츠,20190108,845,848,835,841,311601,4197473,3,834,846,887,955
A066980,브레인콘텐츠,20190107,829,849,826,839,589389,4216882,67,834,849,888,958
A066980,브레인콘텐츠,20190104,820,831,808,823,456104,4155637,7,826,854,891,960
A066980,브레인콘텐츠,20190103,838,845,829,830,368290,4200002,68,819,860,894,963
A066980,브레인콘텐츠,20190102,844,855,831,838,533358,4286394,67,814,866,898,965
A066980,브레인콘텐츠,20181228,839,869,811,838,1629927,4276926,68,810,872,901,967
A066980,브레인콘텐츠,20181227,797,817,797,801,332626,4511366,70,811,877,905,970
A066980,브레인콘텐츠,20181226,783,802,783,790,586262,4527810,10011,821,884,910,972
A066980,브레인콘텐츠,20181224,823,823,797,801,1077350,4486946,9939,831,891,914,975
A066980,브레인콘텐츠,20181221,837,848,819,822,927202,4486030,6,840,896,918,978
A066980,브레인콘텐츠,20181220,853,862,836,841,574160,4427423,5,851,900,922,981
