stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A070960,용평리조트,20190129,6980,7040,6800,6890,295544,1428111,-1868,7088,6589,6080,6374
A070960,용평리조트,20190128,7210,7210,6960,7020,271064,1306055,-2813,7122,6549,6055,6374
A070960,용평리조트,20190125,7100,7220,7060,7130,182931,1293745,10057,7144,6496,6026,6372
A070960,용평리조트,20190124,7290,7290,7070,7180,237814,1286584,706,7136,6428,5991,6370
A070960,용평리조트,20190123,7010,7360,6930,7220,384318,1288146,-244,7044,6373,5953,6366
A070960,용평리조트,20190122,7150,7200,6920,7060,316141,1255826,337,6962,6322,5926,6363
A070960,용평리조트,20190121,7170,7210,7010,7130,463899,1236961,-15387,6870,6288,5905,6360
A070960,용평리조트,20190118,6720,7100,6610,7090,893467,1293996,14557,6716,6251,5886,6356
A070960,용평리조트,20190117,6900,7000,6610,6720,632388,1200727,-10311,6552,6220,5871,6351
A070960,용평리조트,20190116,6710,6930,6540,6810,1048215,1224231,-619,6444,6196,5864,6351
A070960,용평리조트,20190115,6330,6650,6270,6600,283296,1251749,196,6322,6164,5858,6350
A070960,용평리조트,20190114,6380,6510,6300,6360,269950,1234776,281,6234,6148,5854,6353
A070960,용평리조트,20190111,6190,6300,6130,6270,201374,1250627,259,6162,6132,5854,6359
A070960,용평리조트,20190110,6200,6230,6130,6180,135700,1243768,1043,6092,6120,5854,6366
A070960,용평리조트,20190109,6240,6240,6120,6200,213745,1256168,-7,6040,6101,5855,6373
A070960,용평리조트,20190108,6010,6250,6010,6160,384339,1284706,-9539,5984,6092,5858,6380
A070960,용평리조트,20190107,5980,6080,5950,6000,185090,1248509,-11673,5970,6068,5859,6388
A070960,용평리조트,20190104,5860,5930,5810,5920,159953,1245284,518,5960,6060,5874,6397
A070960,용평리조트,20190103,5860,6090,5830,5920,273818,1244144,23848,5932,6059,5898,6405
A070960,용평리조트,20190102,6170,6200,5900,5920,140391,1225285,-302,5964,6059,5921,6416
A070960,용평리조트,20181228,6030,6100,6000,6090,120336,1231838,-721,6020,6044,5943,6425
A070960,용평리조트,20181227,5910,6010,5870,5950,188419,1241725,224,6078,6022,5962,6433
A070960,용평리조트,20181226,5920,5980,5700,5780,473102,1249296,16300,6166,6006,5982,6442
A070960,용평리조트,20181224,6260,6260,6070,6080,153983,1229403,-1270,6302,5998,6005,6453
A070960,용평리조트,20181221,6380,6470,6140,6200,346900,1242436,-17078,6336,5974,6025,6465
A070960,용평리조트,20181220,6390,6670,6310,6380,425529,1243456,5601,6332,5938,6043,6475
