stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A071055,한국금융지주우,20190129,36000,36000,35100,35250,6370,896671,-1880,35980,35212,36054,36634
A071055,한국금융지주우,20190128,36150,36750,35800,36050,4629,898250,-66,36070,35198,36015,36658
A071055,한국금융지주우,20190125,36300,36850,35950,36350,1639,899323,-674,36010,35135,35952,36676
A071055,한국금융지주우,20190124,35600,36400,35600,36400,1579,899456,0,35980,35088,35891,36692
A071055,한국금융지주우,20190123,35750,35950,35700,35850,285,899859,191,35920,35038,35831,36712
A071055,한국금융지주우,20190122,35750,35950,35500,35700,1811,899886,1318,35930,35020,35790,36737
A071055,한국금융지주우,20190121,36700,36700,35650,35750,1365,900192,-416,35840,35010,35754,36763
A071055,한국금융지주우,20190118,36100,36300,35650,36200,3233,900287,-129,35470,35010,35726,36780
A071055,한국금융지주우,20190117,36150,36300,35050,36100,5711,900295,-2101,35200,34962,35686,36794
A071055,한국금융지주우,20190116,35250,36300,35000,35900,9171,900208,-1023,34950,34938,35664,36820
A071055,한국금융지주우,20190115,33950,35700,33900,35250,4454,899996,-1072,34750,34942,35648,36848
A071055,한국금융지주우,20190114,34800,34800,33900,33900,5297,899803,-1963,34600,35025,35641,36882
A071055,한국금융지주우,20190111,34800,35300,34600,34850,340,899592,-1,34760,35178,35668,36927
A071055,한국금융지주우,20190110,35200,35200,34700,34850,6231,899425,-2239,34660,35258,35662,36974
A071055,한국금융지주우,20190109,34250,35050,34250,34900,2007,899645,-166,34330,35340,35658,37029
A071055,한국금융지주우,20190108,34600,35400,33300,34500,33535,900104,-1533,34190,35460,35663,37082
A071055,한국금융지주우,20190107,34350,34900,34050,34700,12881,899526,2623,34280,35585,35674,37142
A071055,한국금융지주우,20190104,33450,34950,32100,34350,4981,899765,-3,34300,35772,35702,37205
A071055,한국금융지주우,20190103,35000,35000,32950,33200,7817,899267,-58,34510,36022,35751,37269
A071055,한국금융지주우,20190102,34900,35050,33950,34200,4083,900351,-691,34950,36368,35832,37345
A071055,한국금융지주우,20181228,34800,35250,34700,34950,3720,894762,-160,35210,36625,35903,37398
A071055,한국금융지주우,20181227,34700,35200,34700,34800,6285,901189,-678,35320,36852,35978,37445
A071055,한국금융지주우,20181226,34800,35800,34800,35400,5850,901804,60,35510,37038,36069,37498
A071055,한국금융지주우,20181224,35000,35700,34900,35400,15757,901995,-11801,35480,37168,36149,37546
A071055,한국금융지주우,20181221,34900,35600,34900,35500,6875,902434,-383,35520,37258,36223,37602
A071055,한국금융지주우,20181220,35450,35750,35250,35500,13472,902276,-101,35620,37305,36294,37656
A071055,한국금융지주우,20181219,35350,35750,35150,35750,8318,902446,-1391,35900,37375,36363,37707
A071055,한국금융지주우,20181218,35600,35600,34900,35250,3640,905689,-596,36140,37445,36418,37761
A071055,한국금융지주우,20181217,35900,36100,35550,35600,4503,906165,-2557,36380,37552,36470,37822
