stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A071950,코아스,20190129,1535,1570,1475,1490,199572,965259,-1186,1540,1508,1376,1480
A071950,코아스,20190128,1550,1595,1540,1550,137375,990185,-34,1554,1501,1371,1480
A071950,코아스,20190125,1555,1580,1545,1545,167951,984385,-4,1557,1488,1366,1481
A071950,코아스,20190124,1600,1600,1535,1550,174994,966738,-1,1572,1474,1360,1482
A071950,코아스,20190123,1550,1605,1545,1565,155167,959976,28,1577,1464,1352,1483
A071950,코아스,20190122,1585,1635,1550,1560,285493,920840,-57,1592,1456,1347,1482
A071950,코아스,20190121,1620,1625,1550,1565,328355,893734,-36,1593,1444,1343,1481
A071950,코아스,20190118,1575,1640,1545,1620,524016,900084,44,1589,1430,1339,1479
A071950,코아스,20190117,1635,1635,1565,1575,477610,878472,-31,1569,1414,1336,1477
A071950,코아스,20190116,1610,1670,1560,1640,1034282,914456,22,1550,1402,1334,1475
A071950,코아스,20190115,1535,1580,1525,1565,371655,1006732,10,1524,1385,1333,1474
A071950,코아스,20190114,1555,1570,1510,1545,395722,1000912,13,1495,1374,1332,1473
A071950,코아스,20190111,1470,1555,1470,1520,314643,1028171,113,1466,1360,1331,1472
A071950,코아스,20190110,1480,1520,1455,1480,389113,994336,55,1438,1350,1329,1472
A071950,코아스,20190109,1430,1620,1430,1510,1420851,964018,-23,1414,1348,1327,1472
A071950,코아스,20190108,1405,1485,1400,1420,754502,964231,27,1376,1348,1325,1472
A071950,코아스,20190107,1400,1435,1385,1400,194887,921436,136,1362,1345,1324,1472
A071950,코아스,20190104,1360,1400,1355,1380,237327,902846,-24,1339,1348,1325,1472
A071950,코아스,20190103,1320,1420,1315,1360,433172,917714,158,1317,1350,1330,1472
A071950,코아스,20190102,1400,1420,1310,1320,194328,889943,-1577,1317,1349,1335,1473
A071950,코아스,20181228,1295,1350,1290,1350,81555,922282,116,1330,1349,1341,1475
A071950,코아스,20181227,1300,1320,1270,1285,135920,945935,53,1324,1347,1346,1476
A071950,코아스,20181226,1310,1340,1250,1270,236028,902970,-4349,1328,1346,1352,1478
A071950,코아스,20181224,1395,1405,1330,1360,320944,921381,-6946,1334,1347,1359,1480
A071950,코아스,20181221,1320,1405,1315,1385,493088,985730,280,1325,1343,1365,1482
A071950,코아스,20181220,1300,1420,1300,1320,709371,965288,48,1309,1337,1372,1484
A071950,코아스,20181219,1300,1330,1260,1305,197344,952112,30,1313,1334,1378,1486
A071950,코아스,20181218,1295,1335,1270,1300,166579,921825,6,1308,1334,1385,1489
A071950,코아스,20181217,1285,1340,1270,1315,174147,895649,8,1312,1334,1394,1494
A071950,코아스,20181214,1340,1360,1295,1305,162035,893625,687,1337,1333,1404,1498
A071950,코아스,20181213,1280,1340,1280,1340,179631,914494,540,1375,1330,1414,1502
A071950,코아스,20181212,1330,1350,1265,1280,292544,862923,-1040,1382,1325,1424,1507
A071950,코아스,20181211,1405,1435,1320,1320,496827,836142,-88066,1418,1321,1435,1512
A071950,코아스,20181210,1465,1480,1400,1440,551911,820580,81230,1436,1316,1444,1517
A071950,코아스,20181207,1430,1630,1375,1495,3943477,896740,167,1418,1307,1450,1522
A071950,코아스,20181206,1490,1490,1365,1375,335541,984946,-959,1382,1295,1453,1526
A071950,코아스,20181205,1390,1480,1375,1460,451905,1051836,1976,1369,1290,1458,1533
A071950,코아스,20181204,1335,1420,1320,1410,292487,1070830,1796,1331,1278,1462,1541
A071950,코아스,20181203,1325,1360,1310,1350,160340,1059238,48,1307,1272,1465,1548
A071950,코아스,20181130,1300,1340,1295,1315,102386,1047415,10,1291,1270,1469,1556
A071950,코아스,20181129,1330,1330,1290,1310,125151,1054041,40,1281,1270,1473,1565
A071950,코아스,20181128,1315,1315,1260,1270,115516,1053122,12,1271,1266,1478,1573
A071950,코아스,20181127,1295,1320,1270,1290,82797,1104798,19,1279,1264,1482,1580
A071950,코아스,20181126,1290,1310,1265,1270,101806,1079917,22,1281,1258,1486,1587
A071950,코아스,20181123,1300,1315,1245,1265,96906,1053741,5065,1287,1250,1491,1594
A071950,코아스,20181122,1300,1330,1255,1260,66102,1061105,-42,1284,1249,1499,1601
A071950,코아스,20181121,1310,1350,1275,1310,132981,1061485,59,1277,1253,1506,1609
A071950,코아스,20181120,1280,1345,1250,1300,140845,1074793,3461,1256,1254,1513,1612
A071950,코아스,20181119,1265,1315,1260,1300,145527,1069930,127,1242,1258,1520,1618
A071950,코아스,20181116,1220,1300,1215,1250,92296,1053894,13,1233,1267,1526,1625
A071950,코아스,20181115,1205,1230,1195,1225,175409,1037901,123,1233,1283,1534,1632
A071950,코아스,20181114,1235,1255,1190,1205,90783,1005336,13,1242,1298,1541,1639
A071950,코아스,20181113,1215,1245,1170,1230,108996,1008815,70,1246,1310,1547,1647
A071950,코아스,20181112,1240,1270,1225,1255,64709,1009995,17,1259,1319,1551,1654
A071950,코아스,20181109,1270,1305,1220,1250,76714,1010838,146,1270,1326,1557,1665
A071950,코아스,20181108,1250,1285,1220,1270,148968,998549,14,1280,1333,1562,1676
A071950,코아스,20181107,1300,1340,1205,1225,270405,955502,3,1273,1338,1567,1686
A071950,코아스,20181106,1310,1345,1265,1295,123981,967326,-1,1274,1350,1572,1696
A071950,코아스,20181105,1330,1330,1270,1310,141285,982729,4,1252,1368,1576,1706
A071950,코아스,20181102,1235,1320,1235,1300,180881,984627,-2505,1209,1385,1580,1717
A071950,코아스,20181101,1240,1310,1225,1235,135205,997798,-5305,1199,1403,1584,1730
A071950,코아스,20181031,1165,1230,1165,1230,104719,1014709,26,1220,1424,1589,1743
A071950,코아스,20181030,1095,1200,1065,1185,391069,1008824,152,1239,1446,1596,1756
