stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A073010,케이에스피,20190129,1430,1430,1430,1430,0,27801,0,1430,1430,2789,3275
A073010,케이에스피,20190128,1430,1430,1430,1430,0,27801,0,1430,1430,2828,3294
A073010,케이에스피,20190125,1430,1430,1430,1430,0,27801,0,1430,1430,2867,3313
A073010,케이에스피,20190124,1430,1430,1430,1430,0,27801,0,1430,1430,2906,3333
A073010,케이에스피,20190123,1430,1430,1430,1430,0,27801,0,1430,1430,2944,3352
A073010,케이에스피,20190122,1430,1430,1430,1430,0,27801,0,1430,1430,2983,3372
A073010,케이에스피,20190121,1430,1430,1430,1430,0,27801,0,1430,1546,3022,3391
A073010,케이에스피,20190118,1430,1430,1430,1430,0,27801,0,1430,1663,3061,3410
A073010,케이에스피,20190117,1430,1430,1430,1430,0,27801,0,1430,1780,3100,3430
A073010,케이에스피,20190116,1430,1430,1430,1430,0,27801,0,1430,1896,3139,3449
A073010,케이에스피,20190115,1430,1430,1430,1430,0,27801,0,1430,2012,3178,3469
A073010,케이에스피,20190114,1430,1430,1430,1430,0,27801,0,1430,2129,3216,3488
A073010,케이에스피,20190111,1430,1430,1430,1430,0,27801,0,1430,2246,3255,3508
A073010,케이에스피,20190110,1430,1430,1430,1430,0,27801,0,1430,2362,3294,3527
A073010,케이에스피,20190109,1430,1430,1430,1430,0,27801,0,1430,2478,3333,3546
A073010,케이에스피,20190108,1430,1430,1430,1430,0,27801,0,1430,2595,3372,3566
A073010,케이에스피,20190107,1430,1430,1430,1430,0,27801,0,1430,2712,3410,3585
A073010,케이에스피,20190104,1430,1430,1430,1430,0,27801,0,1430,2828,3449,3605
A073010,케이에스피,20190103,1430,1430,1430,1430,0,27801,0,1430,2944,3488,3624
A073010,케이에스피,20190102,1430,1430,1430,1430,0,27801,0,1430,3061,3527,3644
A073010,케이에스피,20181228,1430,1430,1430,1430,0,27801,0,1430,3178,3566,3663
A073010,케이에스피,20181227,1430,1430,1430,1430,0,27801,0,1896,3294,3605,3682
A073010,케이에스피,20181226,1430,1430,1430,1430,0,27801,0,2362,3410,3644,3702
A073010,케이에스피,20181224,1430,1430,1430,1430,0,27801,0,2828,3527,3682,3721
