stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A073490,이노와이어리스,20190129,24950,25200,24000,24700,43304,369673,-246,24940,25652,22322,21456
A073490,이노와이어리스,20190128,25700,25800,24800,24950,37608,368201,9964,24810,25678,22197,21410
A073490,이노와이어리스,20190125,24900,25700,24850,25650,51549,377135,15141,24980,25652,22064,21361
A073490,이노와이어리스,20190124,24950,25150,24200,25000,63611,379624,27472,24960,25462,21909,21300
A073490,이노와이어리스,20190123,23700,24700,23700,24400,71206,381936,7672,25130,25288,21748,21249
A073490,이노와이어리스,20190122,25800,26000,24000,24050,149440,359794,-28364,25500,25168,21627,21203
A073490,이노와이어리스,20190121,25500,26250,25300,25800,55876,367151,-3408,25950,25048,21518,21158
A073490,이노와이어리스,20190118,25600,26000,24900,25550,107725,358411,-28365,25980,24852,21388,21095
A073490,이노와이어리스,20190117,26250,26450,25400,25850,61476,345072,-11550,26150,24670,21280,21031
A073490,이노와이어리스,20190116,26450,26450,25800,26250,28882,345625,-163,26150,24478,21182,20968
A073490,이노와이어리스,20190115,26050,26450,25550,26300,35387,340877,3962,25940,24242,21077,20902
A073490,이노와이어리스,20190114,26650,27100,25950,25950,60079,335003,8468,25760,24020,20968,20839
A073490,이노와이어리스,20190111,26300,27450,26200,26400,214606,332493,41985,25980,23778,20864,20780
A073490,이노와이어리스,20190110,25550,26100,25150,25850,78867,326868,3685,26070,23508,20749,20717
A073490,이노와이어리스,20190109,25350,26050,24950,25200,106094,323584,-17330,26120,23245,20630,20649
A073490,이노와이어리스,20190108,27050,27050,24750,25400,200419,301571,-10318,26230,22990,20527,20585
A073490,이노와이어리스,20190107,27100,27250,26100,27050,139795,315700,6533,26190,22705,20406,20518
A073490,이노와이어리스,20190104,26200,27750,25700,26850,247954,315873,-26018,25670,22370,20272,20432
A073490,이노와이어리스,20190103,25700,26700,25200,26100,204323,263700,-33308,24670,22072,20162,20335
A073490,이노와이어리스,20190102,25600,26200,25000,25750,129012,211818,-10879,23750,21838,20075,20242
A073490,이노와이어리스,20181228,24900,26650,24600,25200,288959,211474,20923,23000,21618,20001,20153
A073490,이노와이어리스,20181227,22750,24500,22250,24450,306955,209127,44779,22290,21422,19949,20074
A073490,이노와이어리스,20181226,20800,22150,20750,21850,121077,135921,72229,21780,21295,19920,20001
A073490,이노와이어리스,20181224,22000,22200,21000,21500,59161,122117,2799,21790,21230,19938,19949
A073490,이노와이어리스,20181221,21700,22200,21500,22000,39226,129324,12798,21890,21172,19962,19904
A073490,이노와이어리스,20181220,21500,22000,21500,21650,29590,127670,5649,21800,21100,19971,19849
A073490,이노와이어리스,20181219,22200,22250,21650,21900,28692,128501,2600,21840,21055,20025,19806
A073490,이노와이어리스,20181218,21500,22500,21500,21900,62126,133253,30313,21680,20990,20042,19759
A073490,이노와이어리스,20181217,21300,22000,20800,22000,71892,134290,41006,21500,20912,20051,19717
A073490,이노와이어리스,20181214,21900,21900,21250,21550,34935,141709,8800,21220,20842,20059,19673
A073490,이노와이어리스,20181213,20950,21950,20800,21850,64341,148098,19261,20930,20800,20092,19636
A073490,이노와이어리스,20181212,21200,21200,20500,21100,38220,154870,-188,20500,20720,20106,19602
A073490,이노와이어리스,20181211,20650,21000,20300,21000,58046,148696,34000,20350,20665,20125,19571
