stockCode,stackName,date,startPrice,highPrice,lowPrice,finalPrice,amountTrade,amounForeigner,amountAgencyBuy,days5MovAvr,days20MovAvr,days60MovAvr,days120MovAvr
A073710,씨디네트웍스,20190129,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20190128,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20190125,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20190124,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20190123,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20190122,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20190121,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20190118,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20190117,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20190116,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20190115,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20190114,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20190111,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20190110,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20190109,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20190108,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20190107,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20190104,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20190103,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20190102,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20181228,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20181227,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20181226,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20181224,14900,14900,14900,14900,0,0,0,14900,14900,14900,14900
A073710,씨디네트웍스,20181221,14900,14900,14900,14900,0,0,0,14900,14900,14900,14901
A073710,씨디네트웍스,20181220,14900,14900,14900,14900,0,0,0,14900,14900,14900,14877
A073710,씨디네트웍스,20181219,14900,14900,14900,14900,0,0,0,14900,14900,14900,14852
